pólskim	pʊlskʲim
wósam	wʊsam
góršy	ɡɨrʃɨ
módlił	mʊdliw
koło	kowɔ
maka	maka
kóleno	kɨlɛnɔ
pólšćina	pɛlɕt͡ɕina
wóna	wɨna
wósow	wɨsɔw
jězd	jɪst
nisko	nʲiskɔ
wjeliki	jɛlikʲi
někotary	nʲɪkɔtarɨ
wósu	wɛsu
wódkach	wɨtkax
maju	maju
chóre	xɛrɛ
kara	kara
jěźešo	jɪʑɛʃɔ
dana	dana
módre	mɨdrɛ
puste	pustɛ
žołw	ʒow
kanki	kankʲi
politika	pɔlitʲika
górach	ɡɨrax
slěpy	slɪpɨ
sedym	sɛdɨm
póra	pɨra
wórjech	wɨrʲɛx
ruma	ruma
zemju	zɛmʲu
wódki	wɛtkʲi
tśěsć	t͡ɕɪst͡ɕ
bydli	bɨdli
telewizor	tɛlɛvʲizɔr
luty	lutɨ
pólu	pɨlu
wósami	wʊsami
gładkich	ɡwatkʲix
mójej	mɛjɛj
póli	pʊli
jima	jima
gustem	ɡustɛm
pětkach	pʲɪtkax
kóža	kɛʒa
jasne	jasnɛ
rěka	rʲɪka
informacija	infɔrmat͡sija
jare	jarɛ
chórgoj	xʊrɡɔj
nowe	nɔwɛ
paśpula	paɕpula
damast	damast
wóse	wʊsɛ
chóra	xʊra
mólu	mɨlu
blida	blida
moderne	mɔdɛrnɛ
kśěł	kɕɪw
mój	mɛj
droga	drɔɡa
co	t͡sɔ
błogi	bɔɡʲi
starjejše	starʲɛjʃɛ
bósy	bɨsɨ
wóte	wɨtɛ
mógła	mʊɡwa
baza	baza
pětkow	pʲɪtkɔw
aby	abɨ
stilist	stʲilist
lawk	lawk
licy	lit͡sɨ
bridki	brʲitkʲi
wokuń	ɔkunʲ
krowy	krowɨ
gjarsć	ɡʲarst͡ɕ
chóre	xʊrɛ
škórc	ʃkɨrt͡s
myś	mɨɕ
palice	palit͡sɛ
wóz	wɛs
gózdź	ɡɨst͡ɕ
běchmy	bʲɪxmɨ
raki	rakʲi
wóni	wɛnʲi
góleśa	ɡɨlɛɕa
stog	stɔk
górka	ɡɛrka
wóśc	wʊɕt͡s
tej	tɛj
spóra	spɨra
kwětk	kvʲɪtk
bjerjośo	bʲɛrʲɔɕɔ
bójm	bɛjm
gósća	ɡɨst͡ɕa
teja	tɛja
licyś	lit͡sɨɕ
móžomej	mɨʒɔmɛj
rěd	rʲɪt
wóda	wɛda
dan	dan
rice	rʲit͡sɛ
wóno	wɛnɔ
wózyk	wɛzɨk
palcami	palt͡samʲi
wólša	wɨlʃa
piśe	pʲiɕɛ
blědy	blɪdɨ
palcom	palt͡sɔm
wózyk	wʊzɨk
chrome	xrɔmɛ
wólša	wɛlʃa
wó	wɨ
góršy	ɡʊrʃɨ
kóń	kɛnʲ
pówětš	pɛvʲɪt͡ʃ
nožyce	nɔʒɨt͡sɛ
pili	pʲili
woglědaś	ɔɡlɪdaɕ
wałma	wawma
gótowa	ɡɛtɔwa
gdy	dɨ
pólack	pʊlat͡sk
sarna	sarna
pali	pali
jěźechmej	jɪʑɛçmɛj
pólka	pɨlka
móct	mɨt͡st
buk	buk
pónjeźela	pɨnʲɛʑɛla
tłocy	twɔt͡sɨ
bjerješćo	bʲɛrʲɛɕt͡ɕɔ
sona	sɔna
byli	bɨli
zeleznica	zɛlɛznʲit͡sa
radijo	radʲijɔ
wódajtej	wʊdajtɛj
kós	kʊs
jeleń	jɛlɛnʲ
wódajśo	wʊdajɕɔ
togodla	tɔɡɔdla
kóńcowaś	kɨnʲtsowaɕ
kogo	kɔɡɔ
spicy	spʲit͡sɨ
mólam	mʊlam
kózoł	kɛzow
syre	sɨrɛ
ricali	rʲit͡sali
pśed	pɕɛt
rak	rak
cesa	t͡sɛsa
nime	nʲimɛ
njasł	nʲas
cyniś	t͡sɨnʲiɕ
žurnal	ʒurnal
kós	kɨs
barlinja	barlʲinʲa
toaleta	toalɛta
syłojk	sɨwɔjk
nałpa	nawpa
móžom	mɛʒɔm
jazw	jas
zajmowaś	zajmɔwaɕ
banka	banka
wjasele	vʲasɛlɛ
wótmólowany	wʊtʊɛlɔwanɨ
pjac	pʲat͡s
móle	mʊlɛ
chórych	xɛrɨx
wótšy	wɛt͡ʃi
bruk	bruk
klěkaś	klʲɪkaɕ
górjejce	ɡɨrʲɛjt͡sɛ
syra	sɨra
mecha	mɛxa
kamele	kamɛlɛ
gromaźe	ɡrɔmaʑɛ
słyšaś	swɨʃaɕ
marchwej	marxwɛj
pórat	pɛrat
kamjenica	kamʲɛnʲit͡sa
dali	dali
kśebjat	kɕɛbʲat
móžoš	mɛʒɔʃ
módlił	mɨdliw
kusa	kusa
wucha	uxa
bjerjotej	bʲɛrʲɔtɛj
wódkami	wɨtkamʲi
kšupy	kʃupɨ
njejsmy	nʲɛjsmɨ
njejsy	nʲɛjsɨ
škóra	ʃkʊra
pólka	pɛlka
k	k
blido	blidɔ
cytanje	t͡sɨtanʲɛ
módle	mʊdlɛ
sćěnje	st͡ɕɪnʲɛ
wódki	wʊtkʲi
mapa	mapa
kóza	kʊza
seno	sɛnɔ
prěcny	prʲɪt͡snɨ
gódy	ɡɛdɨ
młoźinske	mɔʑinskʲɛ
karpa	karpa
wě	vʲɪ
crjej	t͡srʲɛj
góleśa	ɡʊlɛɕa
njerěšny	nʲɛrʲɪʃnɨ
pólsku	pʊlsku
módlim	mɨdlim
wězaś	vʲɪzaɕ
pěś	pʲɪɕ
wón	wʊn
dobrego	dɔbrɛɡɔ
teje	tɛjɛ
palim	palim
dwór	dwʊr
suche	suxɛ
nim	nʲim
serce	sɛrt͡sɛ
kósa	kʊsa
dubje	dubʲɛ
cuzy	t͡suzɨ
złotych	zwɔtɨx
droznje	drɔznʲɛ
swójźba	swɛjʑba
wózu	wɨzu
baze	bazɛ
wjele	vʲɛlɛ
candaŕ	t͡sandarʲ
mórjo	mʊrʲɔ
bóleł	bɨlɛw
źinsa	ʑinsa
źěliś	ʑɪlʲiɕ
droze	drɔzɛ
swětły	svʲɪtwɨ
małe	mawɛ
kóśeł	kʊɕɛw
źiśe	ʑiɕɛ
gósći	ɡɛst͡ɕi
njejsom	nʲɛjsɔm
chórem	xɨrɛm
pitu	pʲitu
powědaś	pɔjɪdaɕ
pólo	pʊlɔ
górki	ɡɨrkʲi
byśe	bɨɕɛ
galerija	ɡalɛrʲija
ś	ɕ
kśebjata	kɕɛbʲata
kopi	kɔpʲi
pětkam	pʲɪtkam
byk	bɨk
bjeŕtej	bʲɛrʲtɛj
pólskim	pɨlskʲim
źotej	ʑɔtɛj
gózdźe	ɡɨzd͡ʑɛ
putu	putu
sej	sɛj
chórych	xʊrɨx
pó	pʊ
chroma	xrɔma
proch	prɔx
złej	zwɛj
tśi	tɕi
njewjedro	nʲɛvʲɛdrɔ
jězyk	jɪzɨk
spóra	spʊra
módliś	mɨdliɕ
kamjeny	kamʲɛnɨ
kóse	kɛsɛ
spali	spali
krotko	krɔtkɔ
cynimej	t͡sɨnʲimej
mógło	mɛɡwɔ
gózdźik	ɡɛzdʑik
papa	papa
widlicki	vʲidlit͡skʲi
bazowy	bazɔwɨ
bobr	bɔbr
grozu	ɡrɔzu
zemisku	zɛmʲisku
kjarcma	kʲart͡sma
pytali	pɨtali
wjasć	jast͡ɕ
pólskich	pɛlskʲix
kamjeń	kamʲɛnʲ
wótmólowaś	wʊtmʊlɔwaɕ
móje	mɛjɛ
lichy	lixɨ
kralik	kralik
wón	wɨn
spice	spʲit͡sɛ
sera	sɛra
cyniš	t͡sɨnʲiʃ
gótowy	ɡɛtɔwɨ
kócka	kʊt͡ska
cłowjek	t͡swɔjɛk
wu	u
jasno	jasnɔ
swěty	svʲɪtɨ
syłojik	sɨwɔjik
tkali	tkali
chóry	xɛrɨ
móli	mɨli
městno	mʲɪstnɔ
kónopje	kɨnɔpʲɛ
móri	mɛrʲi
gósća	ɡʊst͡ɕa
stwórtk	stwʊrtk
jastśebik	jast͡ɕɛbʲik
wót	wɛt
mimo	mʲimɔ
cole	t͡sɔlɛ
wóda	wɨda
wódkach	wʊtkax
dy	dɨ
bjeŕ	bʲɛrʲ
góra	ɡɛra
kawkami	kawkamʲi
mórjo	mɨrʲɔ
beja	bɛja
wjelk	vʲɛlk
cogo	t͡sɔɡɔ
rědny	rʲɪdnɨ
absolwent	apsɔlvɛnt
kšuška	kʃuʃka
paprika	paprʲika
pólski	pʊlskʲi
stary	starɨ
awstriska	awstrʲiska
stare	starɛ
póli	pɨli
lipsk	lipsk
dwór	dwɨr
lubje	lubʲɛ
kót	kɨt
góleśa	ɡɛlɛɕa
wšykno	ʃɨknɔ
górce	ɡɨrt͡sɛ
wójowaś	wɛjɔwaɕ
rědki	rʲɪtkʲi
grod	ɡrɔt
karnikel	karnʲikʲɛl
góle	ɡɨlɛ
źěl	ʑɪl
bjerjecy	bʲɛrʲɛt͡sɨ
górki	ɡɛrkʲi
chóra	xɛra
snědaś	snʲɪdaɕ
wina	vʲina
sport	spɔrt
góńtwowaś	ɡɛnʲtwowaɕ
gjardy	ɡʲardɨ
tu	tu
chrobry	xrɔbrɨ
tucne	tut͡snɛ
bóli	bʊli
žrěbc	ʒrʲɪpt͡s
twóŕ	twɨrʲ
bóleś	bɨlɛɕ
jary	jarɨ
žaba	ʒaba
wuchac	uxat͡s
twarjenja	twarʲɛnʲa
pólach	pɨlax
palit	palit
wita	vʲita
płowy	pɔwɨ
fabrice	fabrʲit͡sɛ
łopata	wɔpata
stwórtk	stwɨrtk
pšenice	pʃɛnʲit͡sɛ
case	t͡sasɛ
słyńco	swɨnʲt͡sɔ
pěsk	pʲɪsk
tśo	t͡ɕɔ
mjazy	mʲazɨ
něco	nʲɪt͡sɔ
luba	luba
pětki	pʲɪtkʲi
groza	ɡrɔza
móli	mʊli
móla	mʊla
kamel	kamɛl
mě	mʲɪ
měriś	mʲɪrʲiɕ
mamam	mamam
komora	kɔmɛra
dank	dank
wumje	umʲɛ
smej	smɛj
wědomnosć	vʲɪdɔmnɔst͡ɕ
kurwota	kurwɔta
danje	danʲɛ
tur	tur
zemja	zɛmʲa
sol	sɔl
dirigent	dʲirʲiɡʲɛnt
górce	ɡʊrt͡sɛ
kobołk	kɔbowk
francojska	frant͡sɔjska
pśigótowaś	pɕiɡʊtowaɕ
pawa	pawa
nimska	nʲimska
dobru	dɔbru
złoty	zwɔtɨ
kawka	kawka
mysli	mɨsli
mógli	mʊɡli
pasam	pasam
skót	skɨt
nocach	nɔt͡sax
doma	dɔma
spóraś	spɨraɕ
wjasć	vʲast͡ɕ
wěźeś	vʲɪʑɛɕ
kapow	kapɔw
dejanje	dɛjanʲɛ
źiśelc	ʑiɕelt͡s
mackami	mat͡skamʲi
wóz	wɨs
tyźeń	tɨʑɛnʲ
wózyś	wʊzɨɕ
smjerś	smʲɛrɕ
dobre	dɔbrɛ
móri	mʊrʲi
pólske	pɛlskʲɛ
wama	wama
kóńc	kɛnʲt͡s
kusaś	kusaɕ
bjerjoš	bʲɛrʲɔʃ
jěźom	jɪʑɔm
twóŕ	twɛrʲ
plasć	plast͡ɕ
wósoba	wʊsɔba
kólaso	kʊlasɔ
semje	sɛmʲɛ
jara	jara
źośo	ʑɔɕɔ
gardina	ɡardʲina
dobry	dɔbrɨ
jědu	jɪdu
pólo	pɛlɔ
kóza	kɨza
brodach	brɔdax
palona	palɔna
móžomy	mɨʒɔmɨ
kóta	kɛta
glej	ɡlɛj
wósach	wʊsax
stareju	starɛju
njejźom	nʲɛjʑɔm
štunda	ʃtunda
kóta	kʊta
daneje	danɛjɛ
pjero	pʲɛrɔ
stadle	stadlɛ
gada	ɡada
do	dɔ
kanka	kanka
nocami	nɔt͡samʲi
wótmólowany	wɛtmɛlɔwanɨ
kobrami	kɔbramʲi
móc	mʊt͡s
grima	ɡrʲima
skóro	skɨrɔ
gósća	ɡɛst͡ɕa
pódla	pʊdla
granice	ɡranʲit͡sɛ
mrěś	mrʲɪɕ
klěcaś	klɪt͡saɕ
kóta	kɨta
list	list
raku	raku
złym	zwɨm
coš	t͡sɔʃ
gódy	ɡʊdɨ
hengist	hɛŋʲɡʲist
ako	akɔ
wósebny	wʊsɛbnɨ
wobwócyjo	ɔbwɨt͡sɨjɔ
módru	mʊdru
gójś	ɡɛjɕ
móžomy	mɛʒɔmɨ
kjarm	kʲarm
na	na
lic	lit͡s
kulka	kulka
bliska	bliska
pólskimi	pɨlskʲimʲi
wuměram	umʲɪram
wótmólowaś	wɛtmɛlɔwaɕ
gusto	ɡustɔ
liška	liʃka
šćenje	ɕt͡ɕɛnʲɛ
wšyken	ʃɨkʲɛn
mógli	mɨɡli
rosć	rɔst͡ɕ
papje	papʲɛ
górce	ɡɛrt͡sɛ
lipat	lipat
ryba	rɨba
mól	mɛl
kóśeł	kɛɕɛw
rudy	rudɨ
wóni	wʊnʲi
maś	maɕ
słomce	swɔmt͡sɛ
kóryto	kɨrɨtɔ
boce	bɔt͡sɛ
droze	drɔwzɛ
šule	ʃulɛ
nagu	naɡu
kołp	kɔwp
kónju	kʊnʲu
wumrěś	umrʲɪɕ
masło	maswɔ
woglěd	ɔɡlɪt
gaby	ɡabɨ
pcha	pxa
duś	duɕ
kuba	kuba
brodom	brɔdɔm
myli	mɨli
dalej	dalɛj
wósy	wɨsɨ
górjejce	ɡʊrʲɛjt͡sɛ
źowce	ʑɔwt͡sɛ
což	t͡sɔʃ
cora	t͡sɔra
pśigótujo	pɕiɡʊtujɔ
pśichod	pɕixɔt
mógłej	mɨɡwɛj
škrjok	ʃkrʲɔk
běštej	bʲɪʃtej
mógłej	mʊɡwɛj
górami	ɡɨramɨ
boga	bɔɡa
nagi	naɡʲi
gósć	ɡɛst͡ɕ
mła	mwa
sylny	sɨlnɨ
pytanje	pɨtanʲɛ
wobjedowaś	ɔbʲɛdɔwaɕ
noc	nɔt͡s
póram	pɨram
butra	butra
kónopje	kʊnɔpʲɛ
bankach	bankax
mógłej	mɛɡwɛj
wuměraju	umʲɪraju
móct	mɛt͡st
drjewo	drʲɛwɔ
skót	skɛt
rose	rɔsɛ
bósučki	bʊsut͡ʃki
kóleno	kʊlɛnɔ
chórowni	xɛrownʲi
groby	ɡrɔbɨ
stoga	stɔɡa
broń	brɔnʲ
pósoł	pɨsɔw
źěłaś	ʑɪwaɕ
torm	tɔrm
głogi	ɡwɔɡʲi
wósk	wʊsk
makam	makam
drugi	druɡʲi
njejo	nʲɛjɔ
znamje	znamʲɛ
rada	rada
krowami	krowamʲi
wórjech	wʊrʲɛx
pólske	pɨlskʲɛ
doł	dɔw
bójaś	bɛjaɕ
buźćo	buɕt͡ɕɔ
brane	branɛ
gózdź	ɡɛst͡ɕ
śěgaś	ɕɪɡaɕ
chóra	xɨra
braś	braɕ
chórem	xɛrɛm
kóśeł	kɨɕɛw
banku	banku
kawkach	kawkax
rosa	rɔsa
wótšy	wɨt͡ʃɨ
spaś	spaɕ
kurka	kurka
tasow	tasɔw
běžaś	bʲɪʒaɕ
mul	mul
kótow	kɨtow
prose	prɔsɛ
prozniny	prɔznʲinɨ
afrika	afrʲika
rybarnik	rɨbarnʲik
naga	naɡa
pólskich	pʊlskʲix
nowy	nowɨ
śěžki	ɕɪʃkʲi
lico	lit͡sɔ
kšuty	kʃutɨ
kózyrožk	kɛzɨroʃk
wjelk	jɛlk
politiki	pɔlitʲikʲi
powrjoz	powrʲɔs
kóse	kʊsɛ
pólšćina	pɨlɕt͡ɕina
mule	mulɛ
zarza	zarza
wótergi	wɛtɛrɡʲi
goły	ɡɔwɨ
wósam	wɛsam
kobyła	kɔbɨwa
mak	mak
dejaś	dɛjaɕ
twójej	twɛjɛj
ku	ku
góla	ɡɨla
pisał	pʲisaw
wugoŕ	uɡɔrʲ
kani	kanʲi
malina	malina
swój	swɛj
barliń	barlʲinʲ
włose	wɔsɛ
pólak	pʊlak
zemiski	zɛmʲiskʲi
škórc	ʃkɛrt͡s
pósoł	pɛsɔw
mólach	mɛlax
rad	rat
bruse	brusɛ
nos	nɔs
góla	ɡʊla
kněz	knʲɪs
śěło	ɕɪwɔ
něnto	nʲɪntɔ
cesta	t͡sɛsta
wóśc	wɛɕt͡s
kósa	kɨsa
lěs	lɪs
módru	mɨdru
kólaso	kɛlasɔ
gótowa	ɡʊtɔwa
dobrota	dɔbrɔta
wózyś	wɨzɨɕ
twóŕ	twʊrʲ
mysliś	mɨsliɕ
wósk	wɛsk
kóryto	kɛrɨtɔ
wósami	wɛsami
zemiska	zɛmʲiska
pólski	pɛlskʲi
drogich	drɔɡʲix
sejźi	sɛjʑi
wiźeś	vʲiʑɛɕ
wiźenje	vʲiʑɛnʲɛ
gótowa	ɡɨtɔwa
bjerjechu	bʲɛrʲɛçu
smy	smɨ
kupnice	kupnʲit͡sɛ
gólc	ɡʊlt͡s
běchmej	bʲɪxmej
twóje	twɛjɛ
wuměraś	umʲɪraɕ
kócka	kɨt͡ska
mógł	mɨk
mólam	mɨlam
wó	wʊ
palony	palɔnɨ
kśěn	kɕɪn
deje	dɛjɛ
stśěła	st͡ɕɪwa
twój	twɛj
wójca	wɛjt͡sa
lažaś	laʒaɕ
carne	t͡sarnɛ
njewjericka	nʲɛjɛrʲit͡ska
daloko	dalɔkɔ
škóra	ʃkɨra
póra	pɛra
wódy	wɨdɨ
spóraś	spʊraɕ
ŕ	rʲ
mlaś	mlaɕ
mězdze	mʲɪzd͡zɛ
malinami	malinamʲi
kuždy	kuʒdɨ
drugich	druɡʲix
swět	svʲɪt
dwě	dvʲɪ
nutśi	nut͡ɕi
mógło	mʊɡwɔ
góźina	ɡʊʑina
zgórjelc	zɡɛrʲɛlt͡s
mjadwjeź	mʲadvʲeɕ
stoł	stɔw
wóśc	wɨɕt͡s
kótow	kɛtow
skóńcowaś	skɨnʲt͡sɔwaɕ
witaś	vʲitaɕ
zyma	zɨma
gósćeńc	ɡɛst͡ɕɛnʲt͡s
móla	mɨla
mólach	mɨlax
dom	dɔm
gus	ɡus
běły	bʲɪwɨ
serbiske	sɛrbʲiskʲɛ
gód	ɡɨt
rudu	rudu
wóte	wɛtɛ
tenraz	tɛnras
kšej	kʃɛj
syłoj	sɨwɔj
wódce	wɛtt͡sɛ
styri	stɨrʲi
jacmjeń	jat͡smʲɛnʲ
stojał	stɔjaw
fabrika	fabrʲika
wódka	wɨtka
mudra	mudra
sejźeł	sɛjʑɛw
wójowaŕ	wɛjowarʲ
kónju	kɨnʲu
móžo	mɨʒɔ
góńtwowaś	ɡɨnʲtwowaɕ
mulam	mulam
grobami	ɡrɔbamʲi
wózyś	wɛzɨɕ
wšykne	ʃɨknɛ
mógło	mɨɡwɔ
barana	barana
pisaś	pʲisaɕ
paliło	paliwɔ
kamela	kamɛla
chórownja	xɨrownʲa
parka	parka
kawce	kawt͡sɛ
móc	mɨt͡s
drogowy	drɔwɡɔwɨ
wóte	wʊtɛ
gusty	ɡustɨ
progi	prɔɡʲi
palił	paliw
jězdźiś	jɪzd͡ʑiɕ
běšo	bʲɪʃɔ
tłocył	twɔt͡sɨw
wódaj	wʊdaj
pśechwatanje	pɕɛxwatanʲɛ
bankami	bankamʲi
źeń	ʑɛnʲ
gózdźik	ɡɨzdʑik
suchy	suxɨ
paliśo	paliɕɔ
muž	muʃ
mórzgi	mɛrzɡʲi
pólsku	pɛlsku
dat	dat
nich	nʲix
mech	mɛx
gjardło	ɡʲardwɔ
kósć	kɛst͡ɕ
stole	stɔlɛ
pśěźom	pɕɪʑɔm
stojm	stɔjm
taktiki	taktʲikʲi
rjobło	rʲɔbwɔ
móst	mʊst
měsćanaŕ	mʲɪst͡ɕanarʲ
móžom	mɨʒɔm
skóńcowaś	skʊnʲt͡sɔwaɕ
kóryto	kʊrɨtɔ
móst	mɨst
pónjeźele	pɨnʲɛʑɛlɛ
wózu	wɛzu
rodach	rɔdax
móžomej	mɛʒɔmɛj
baz	bas
graśe	ɡraɕɛ
serbskich	sɛrskʲix
wětš	vʲɪt͡ʃ
lipa	lipa
pón	pʊn
skócyś	skʊt͡sɨɕ
sprjewja	sprʲɛja
wóse	wɛsɛ
piło	pʲiwɔ
dole	dɔlɛ
wósoma	wʊsɔma
bydle	bɨdlɛ
bliskimi	bliskʲimʲi
diskutowaś	dʲiskutɔwaɕ
wósoł	wɨsɔw
njebjo	nʲɛbʲɔ
drobami	drɔbamʲi
měsćański	mʲɪst͡ɕanʲskʲi
módlim	mɛdlim
bóje	bɛjɛ
studowaś	studɔwaɕ
kótow	kʊtow
śopły	ɕɔpwɨ
sporty	spɔrtɨ
wódce	wʊtt͡sɛ
sada	sada
źomy	ʑɔmɨ
módru	mɛdru
maki	makʲi
měrił	mʲɪrʲiw
bob	bɔp
pramu	pramu
góram	ɡɨram
dalina	dalina
kós	kɛs
złoto	zwɔtɔ
crjop	t͡srʲɔp
danku	danku
pótom	pʊtɔm
wósebny	wɛsɛbnɨ
góram	ɡʊram
słoma	swɔma
pomoc	pɔmɛt͡s
kobra	kɔbra
chytšy	xɨtʃɨ
bój	bɛj
mórjo	mɛrʲɔ
bóleł	bɛlɛw
cłowjek	t͡swɔvʲɛk
sotša	sɔt͡ʃa
kóleno	kɛlɛnɔ
wjelike	vʲɛlikʲɛ
pólskim	pɛlskʲim
