math	maθ
nip	n͈ʲiːb
forcanat	forkanad
toísegu	toːi̯sʲeɣu
rig	r͈ʲiɣ
festae	fʲeste
adchess	aðxʲɛs
aisil	asʲilʲ
gréine	ɡʲrʲeːnʲe
ammus	amus
nigid	n͈ʲiɣʲəðʲ
buirbe	burʲbʲe
teiched	tʲexʲeð
dorchacht	dorxaxt
ulad	ulað
paiter	padʲer
bile	bʲilʲe
ériu	eːrʲiu̯
asagúsi	asaɡuːsʲi
atobcí	adovkʲiː
ríg	r͈iːɣ
atlugud	atluɣuð
míanach	mʲiːa̯nax
róm	r͈oːṽ
muinter	mun͈ʲtʲer
banb	ban͈v
cúl	kuːl
socamail	sokaṽalʲ
ímáig	iːṽaːɣʲ
muintire	mun͈ʲtʲirʲe
croch	krox
cobair	kovərʲ
chéste	xʲeːste
intleda	in͈ʲtʲlʲeða
neich	n͈ʲexʲ
ciúine	kʲiːu̯nʲe
dubae	duve
toísig	toːi̯sʲiɣʲ
ind	in͈d
nachibberar	n͈axivʲbʲerar
maisse	masʲe
opar	obar
cír	kʲiːr
arnachcorathar	ar͈n͈axɡoraθar
forcell	forʲɡʲel͈
foraithminedar	foraθʲmʲinʲeðar
ith	iθ
at	ad
tre	tʲrʲe
aigid	aɣʲiðʲ
doslí	dosʲl͈ʲiː
atbath	advaθ
doíni	doːi̯nʲi
dechraigidir	dʲexriɣʲiðʲirʲ
aub	au̯v
nombeid	nomʲbʲeðʲ
caich	kaxʲ
óenar	oːi̯nər
adcomlat	aðkoṽlad
coscur	koskur
íasacht	iːa̯səxt
benn	bʲen͈
accrann	akran͈
láthar	l͈aːθar
sét	sʲeːd
ndéni	n͈ʲdʲeːni
fírián	fʲiːrʲiaːn
adroilli	aðr͈ol͈ʲi
dubach	duvax
anmann	anman͈
máthir	maːθirʲ
cumung	kuṽuŋɡ
comsuidigud	koṽhuðʲiɣuð
atom	adoṽ
adelliub	aðel͈ʲiu̯v
frém	fʲrʲeːṽ
ce	kʲe
aithgnintar	aθʲɣʲnʲin͈tar
maid	maðʲ
inducbaidi	in͈duɡviðʲi
cluichigedar	kluxʲiɣʲeðar
miscuis	mʲiskusʲ
thoirsech	θor͈ʲsʲex
roláis	r͈ol͈aːsʲ
adcosnai	aðkosn͈i
adchobrat	aðxovrad
senathair	sʲenəθərʲ
carcar	karkar
cumgat	kuṽɡad
béssu	bʲeːsu
foilsigthe	fol͈ʲsʲiɣʲθʲe
selg	sʲelɡ
airfitech	arʲfʲidʲex
glenaid	ɡʲl͈ʲenəðʲ
brí	bʲrʲiː
anál	anaːl
argat	arɡad
ocus	oɡus
adnoí	aðn͈oːi̯
orbbae	orbe
súil	suːlʲ
ligiu	l͈ʲiɣʲu
broon	broon
berach	bʲerax
noíb	n͈oːi̯v
ríar	r͈ʲiːa̯r
ríctar	r͈ʲiːkdar
ériu	eːrʲə
adágathar	aðaːɣaθar
cáel	kaːi̯l
ataella	adael͈a
táeb	taːi̯v
anaid	aniðʲ
dochrud	doxruð
taig	taɣʲ
fer	fʲer
cethramad	kʲeθraṽað
dolugai	dol͈uɣi
aimdetar	amʲðʲedar
cern	kʲern
chos	xos
gelid	ɡʲelʲəð
nahísiu	n͈ahiːsʲiu̯
samlaidir	saṽliðʲirʲ
cormac	kormak
roib	r͈ovʲ
adciam	aðkʲiaṽ
críst	kʲrʲiːsʲtʲ
thoil	θolʲ
cerca	kʲerka
isin	isin
cuit	kudʲ
scoth	skoθ
cloth	kloθ
fochricc	foxrəɡʲ
fochidi	foxiðʲi
colmán	kolmaːn
condansamailter	kon͈dansaṽil͈ʲtʲer
brega	bʲrʲeɣa
téta	tʲeːda
eó	eːo̯
adcomlatar	aðkoṽladar
samail	saṽilʲ
bera	bʲera
moídid	moːi̯ðʲiðʲ
cáech	kaːi̯x
coll	kol͈
aer	aer
seir	sʲerʲ
nathir	naθirʲ
con	kon
fáilid	faːlʲiðʲ
druí	druːi̯
mná	mnaː
fercaigidir	fʲerɡiɣʲiðʲirʲ
tharb	θarv
brón	broːn
droch	drox
airid	arʲiðʲ
mbard	mbaːr͈d
forcenna	forkʲen͈a
moídim	moːi̯ðʲimʲ
dongníat	doŋʲnʲiːad
ulath	ulaθ
dindí	dʲin͈dʲiː
lég	l͈ʲeːɣ
ré	r͈ʲeː
adella	aðel͈a
thoschith	θosʲxʲiθʲ
doléici	dol͈ʲeːɡʲi
magister	maɣʲisʲtʲer
tol	tol
túailnge	tuːa̯lʲŋʲe
breib	bʲrʲebʲ
immurgu	imurɣu
leu	lʲeu̯
rúad	r͈uːa̯ð
decha	dʲexa
liae	l͈ʲie
fortacht	fortəxt
loth	loθ
dobur	dovur
robem	robʲeṽ
asindet	asinʲdʲəd
ultu	ul͈tu
mo	mo
léimm	l͈ʲeːmʲ
othar	oθar
llong	l͈oŋɡ
mís	mʲiːsʲ
adcotad	aðkodað
étaitis	eːdidʲisʲ
bríg	bʲrʲiːɣ
slis	sʲl͈ʲis
dechellt	dʲexʲel͈t
astoing	astoŋʲɡʲ
adidgéuin	aðiðɣʲeːu̯nʲ
glan	ɡlan
sine	sʲinʲe
topar	tobar
formut	formud
ranna	r͈an͈a
crud	kruð
atatgéntar	adadɣʲeːn͈tar
cathair	kaθərʲ
roicc	r͈ohiɡʲ
consecha	konsʲexa
boinenn	bonʲen͈
námae	n͈aːṽe
ranngabáil	r͈an͈ɣavaːlʲ
teichid	tʲexʲiðʲ
gellach	ɡʲel͈ax
rumaith	r͈umaθʲ
dona	dona
lega	l͈ʲeɣa
rád	r͈aːð
imdibe	imʲðʲivʲe
óen	oːi̯n
ailén	alʲeːn
doib	doivʲ
nó	n͈oː
bardu	bar͈du
at	at
cailech	kalʲex
lár	l͈aːr
cona	kona
áedacán	aːi̯ðaɡaːn
césaid	kʲeːsiðʲ
molid	moliðʲ
milis	mʲilʲisʲ
talam	talaṽ
áichfetar	aːxʲfʲedar
imdae	imðe
dorchatas	dorxədəs
bith	bʲiθʲ
domeiccethar	domʲeɡʲəθər
promaid	proṽiðʲ
margad	marɡað
isind	isin͈d
notail	n͈odalʲ
dodcadchae	doðɡaðxe
adráigsetar	aðr͈aːxʲsʲedar
bráthair	braːθirʲ
adarc	aðərk
lon	l͈on
echu	exu
debe	dʲevʲe
tíre	tʲiːrʲe
immtét	imʲtʲeːdʲ
les	lʲesʲ
etercerta	edʲerkʲerta
ithim	iθʲimʲ
gaibid	ɡavʲiðʲ
cacht	kaxt
iress	irʲes
crith	kʲr͈ʲiθ
adaltras	aðal͈tras
molto	mol͈to
chell	xʲel͈
sceid	sʲkʲeiðʲ
brisid	bʲrʲisʲiðʲ
adcotedae	aðkodeðe
nél	n͈ʲeːl
ardu	ar͈du
dúthracht	duːθr͈əxt
lenamain	l͈ʲenəṽənʲ
airchellad	arʲxʲəl͈əð
admidethar	aðmʲiðʲeθar
bec	bʲeɡ
grád	ɡraːð
cuilén	kulʲeːn
sluindid	sl͈un͈ʲdʲəðʲ
étade	eːdaðe
dungnéu	duŋʲnʲeːu̯
lacht	l͈axt
fulaing	fuliŋʲɡʲ
cingid	kʲiŋʲɡʲiðʲ
comét	koṽʲeːd
mberes	mʲbʲerʲes
duaisilbi	duasʲilʲvʲi
apad	abað
laigid	l͈aɣʲəðʲ
creitid	kʲrʲedʲiðʲ
achta	axta
arrad	ar͈að
robí	r͈obʲiː
áram	aːrav̄
chomthururasib	xoṽθururasivʲ
ndéde	n͈ʲdʲeːðʲe
fergus	fʲerɣus
sál	saːl
glún	ɡluːn
níbu	n͈ʲiːbu
luid	l͈uðʲ
saill	sal͈ʲ
doaidlea	dohaðʲl͈ʲa
druid	druiðʲ
srón	sroːn
cech	kʲex
cach	kax
ag	aɣ
uic	uɡʲ
imrádud	imʲraːðuð
adobragart	adovraɣar͈t
adgústis	aðɡuːsʲtʲisʲ
riga	r͈ʲiɣa
facherred	faxʲer͈ʲeð
asbeir	asbʲerʲ
toil	tolʲ
adágathar	aðaːɣaðar
colmáin	kolmaːnʲ
bona	bona
saiget	saɣʲəd
pridchaid	pʲrʲiðxiðʲ
adcota	aðkoda
mbed	mʲbʲeð
foácaib	fohaːɡəvʲ
cóic	koːɡʲ
céile	kʲeːlʲe
nísu	n͈ʲiːsu
sásta	saːsta
arreith	arr͈ʲeθʲ
bir	bʲirʲ
breg	bʲrʲeɣ
fíacail	fʲiːa̯kilʲ
art	ar͈t
ochtmad	oxtṽað
dano	dano
cois	kosʲ
adtreba	aðtʲrʲeva
terga	tʲerɣa
airegdae	arʲeɣðe
aidchi	aðʲxʲi
airg	arʲɡʲ
taít	taːi̯dʲ
sescatmad	sʲeskadṽað
lugu	l͈uɣu
beid	bʲeðʲ
chlúasaib	xluːa̯sivʲ
snigid	sʲn͈ʲiɣʲiðʲ
níta	n͈ʲiːda
certa	kʲer͈ta
adchíther	aðxʲiːθer
súilib	suːlʲivʲ
adgair	aðɡarʲ
ndig	n͈ʲdʲiɣʲ
aidche	aðʲxʲe
messe	mʲesʲe
ferg	fʲerɡ
airbert	arʲvʲərt
ruc	r͈uɡ
chert	xʲer͈t
éis	eːsʲ
foísitiu	foːi̯sʲidʲiu̯
dechrigmir	dʲexriɣʲmʲirʲ
ndíummusach	n͈ʲdʲiːu̯musax
adchotadsam	aðxodaðsaṽ
fota	foda
cainnt	kan͈ʲtʲ
daire	darʲe
slaidid	sl͈aðʲiðʲ
comsuidigthe	koṽhuðʲiɣʲθʲe
adcot	aðkod
foálgi	fohaːlʲɣʲi
deired	dʲerʲəð
builg	bulʲɡʲ
brecc	bʲrʲek
reg	r͈ʲeɣ
doicc	dohʲiɡʲ
tart	tar͈t
déicsiu	dʲeːkʲsʲu
ferge	fʲerʲɡʲe
nia	n͈ʲia
oítiu	oi̯tʲu
chúl	xuːl
océn	oɡʲeːn
conutaing	konudəŋʲɡʲ
dimicthe	dʲiṽʲikʲθʲe
scarinn	skarin͈ʲ
labrither	l͈avriθʲer
dotét	dotʲeːd
cumachtaig	kuṽaxtiɣʲ
hulltu	hul͈tu
doetarrat	doedər͈əd
rofoilsigsetar	r͈ofol͈ʲsʲiɣʲsʲedar
adfíadat	aðfʲiːa̯ðəd
gil	ɡʲilʲ
crenaid	kʲrʲeniðʲ
ériu	eːrʲu
secht	sʲext
rét	r͈ʲeːd
móir	moːrʲ
atgairith	adɣarʲiθʲ
díriuch	dʲiːrʲiu̯x
ebla	evla
persin	pʲer͈sinʲ
senmáthair	sʲenṽaːθərʲ
rosc	r͈osk
catho	kaθo
imchomarc	imxoṽark
fodaimet	fodaṽʲed
fon	fon
ceto	kʲedo
dogneith	doɡʲnʲeθʲ
adáigther	aðaːɣʲθʲer
festais	fʲestisʲ
bemmi	bʲemʲi
bréin	bʲrʲeːnʲ
ingen	iŋʲɡʲen
níssu	n͈ʲiːsu
nime	n͈ʲiṽʲe
ceilid	kʲelʲəðʲ
deidbir	dʲeðʲvʲirʲ
senod	sʲenuð
frecndairc	fʲrʲekn͈dirʲkʲ
mrath	mr͈aθ
laigin	l͈aɣʲinʲ
doburchú	dovurxuː
líthu	l͈ʲiːθu
céste	kʲeːste
fíriánaigidir	fʲiːrʲiaːniɣʲiðʲirʲ
beta	bʲeda
oíngus	oːi̯nɣus
relic	r͈ʲelʲiɡʲ
occo	oɡo
dotuit	dotutʲ
deiscipul	dʲesʲkʲibul
rufáilsigset	r͈ufaːl͈ʲsʲiɣʲsʲed
tarta	tar͈da
láib	l͈aːvʲ
brain	branʲ
ros	r͈os
díthrub	dʲiːθruv
cían	kʲiːa̯n
théchtu	θʲeːxtu
samrad	saṽrað
láech	l͈aːi̯x
eich	exʲ
état	eːdad
chridiu	xʲrʲiðʲu
claidib	klaðʲivʲ
catha	kaθa
accai	aki
intamlid	in͈taṽliðʲ
foreith	for͈ʲeθʲ
chuir	xurʲ
ellach	el͈ax
dofuiben	dofuvʲən
duine	dunʲe
égept	eːɣʲeft
chamma	xama
accathar	akaθar
foceirr	fokʲer͈ʲ
cáel	koːi̯l
moirb	morʲvʲ
saíthar	saːi̯θar
cote	kodʲe
cocubus	koɡuvus
hultaib	ul͈divʲ
adrochomul	aðr͈oxoṽul
lóg	l͈oːɣ
adcotadus	aðkodaðus
míl	mʲiːlʲ
cath	kaθ
fortachtaigedar	for͈taxtiɣʲeðar
cretim	kʲrʲedʲimʲ
imb	imʲbʲ
cretim	kʲrʲedʲiṽʲ
mísa	mʲiːsa
epscop	ebskob
dúil	duːlʲ
olla	ol͈a
muntair	muntirʲ
cloíne	kloːi̯nʲe
aithirrestar	aθʲir͈ʲestar
togairm	toɣərʲmʲ
chú	xuː
cúán	kuːaːn
nglas	ŋɡlas
lethar	l͈ʲeθar
chirt	xʲir͈ʲtʲ
scríbnid	sʲkʲrʲiːvʲnʲiðʲ
adcomla	aðkoṽla
robátar	robaːdar
estais	estisʲ
adfíadar	aðfʲiːa̯ðar
imbed	imʲbʲeð
drochet	droxʲed
dobeir	dobʲerʲ
asbiur	asbʲiu̯r
cruth	kruθ
fíu	fʲiːu̯
adilgnigidir	aðʲilʲɡʲnʲiɣʲiðʲirʲ
nert	n͈ʲert
comolnatar	koṽolnadar
documlai	dokuṽli
umal	uṽal
marb	marv
am	am
étatham	eːdaθaṽ
aill	al͈ʲ
úasal	uːa̯sal
adcobra	aðkovra
uisse	usʲe
cúramach	kuːramax
smacht	smaxt
ndea	n͈ʲdʲea
fosisedar	fosisʲəðər
soiscélae	sosʲkʲeːle
ith	iθʲ
adcosna	aðkosn͈a
manid	manʲiðʲ
dugníth	duɡʲnʲiːθ
suidi	suðʲi
brúmar	bruːṽar
fern	fʲer͈n͈
tá	taː
cairdes	kar͈ʲdʲes
aiti	adʲi
fíriánigedar	fʲiːriaːniɣʲeðar
togu	toɣu
líaig	l͈ʲia̯ɣʲ
rouic	r͈ohuɡʲ
tarta	tar͈ta
díglae	dʲiːɣle
arda	ar͈da
loing	l͈oŋʲɡʲ
doáirci	dohaːrʲɡʲi
séitig	sʲeːdʲəɣʲ
immráidi	imʲr͈aːði
fíal	fʲiːa̯l
taís	tai̯s
carcair	karkirʲ
olann	olan͈
nachibmided	n͈axivʲmʲiðʲeð
accatar	akadar
ádam	aːðaṽ
rúsc	ruːsk
teine	tʲenʲe
dó	doː
ner	n͈ʲer
flaithius	flaθʲus
cuil	kulʲ
focheirt	foxʲer͈ʲdʲ
doeim	doheṽʲ
coiscset	kosʲkʲsʲed
regam	r͈ʲeɣaṽ
buinne	bun͈ʲe
talman	talṽan
míad	mʲiːa̯ð
epret	ebʲrʲed
adchobrai	aðxovri
fodaimid	fodaṽʲiðʲ
echlach	exlax
filidecht	fʲilʲəðʲəxt
fíre	fʲiːrʲe
sídach	sʲiːðax
biáil	bʲiaːlʲ
tíagme	tʲiːa̯ɣme
adgúset	aðɡuːsʲed
fochid	foxiðʲ
lac	l͈aɡ
noíb	n͈oːi̯vʲ
tomus	toṽus
themel	θʲeṽʲel
imfolngai	imʲfolŋi
gait	ɡadʲ
gréc	ɡʲrʲeːɡ
fáilte	faːl͈ʲtʲe
armidethar	armʲiðʲeθar
chloíne	xloːi̯nʲe
bris	bʲrʲisʲ
afraicc	afrəkʲ
ubull	uvul͈
cotarsnatu	kodarsn͈adu
domeil	domʲelʲ
benaid	bʲeniðʲ
bráithre	braːθʲrʲe
pecthae	pʲekθe
béoigidir	bʲeːu̯iɣʲiðʲirʲ
slis	sʲl͈ʲisʲ
dene	dʲeːnʲe
lib	lʲivʲ
adellat	aðel͈əd
filed	fʲilʲeð
imfolnged	imʲfolʲŋʲeð
doíre	doːi̯rʲe
ascnae	askne
doinóla	doinoːla
ís	iːs
árim	aːrʲimʲ
léine	l͈ʲeːnʲe
dosom	dosom
búachaill	buːa̯xil͈ʲ
acht	axt
mbris	mʲbʲrʲisʲ
corp	korp
nách	n͈aːx
ísle	iːsʲlʲe
lebor	l͈ʲevər
bráth	br͈aːθ
cenaib	kʲenivʲ
sacart	saɡar͈t
lochlannach	l͈oxlan͈ax
mlicht	mʲlʲixt
fichid	fʲixʲiðʲ
tías	tʲiːa̯s
adcotade	aðkodaðe
ulaid	uliðʲ
snechtae	sʲn͈ʲexta
coibnesta	kovʲnʲesta
análfadach	anaːlfaðax
dílenn	dʲiːlʲen͈
mór	moːr
dunaib	dunivʲ
réir	r͈ʲeːrʲe
caratrad	karadrað
már	maːr
creitim	kʲrʲedʲimʲ
dóenacht	doːi̯naxt
adgénammar	aðɡʲeːnamar
orcun	orɡun
turcbál	turɡvaːl
dom	dom
cnoccach	knokax
certu	kʲer͈tu
lucht	l͈uxt
cummatu	kumadu
frisgair	fʲrʲisɡarʲ
atanneirrig	adan͈ʲer͈ʲiɣʲ
aimser	amʲsʲer
ech	ex
son	son
indbadaigid	in͈dvaðiɣʲiðʲ
serc	sʲerk
soilse	sol͈ʲsʲe
indeb	in͈ʲdʲev
briste	bʲrʲisʲtʲe
úas	uːa̯s
fid	fʲiðʲ
terc	tʲerk
brécach	bʲrʲeːɡax
brithemnas	bʲrʲeθʲeṽnas
derb	dʲerv
ón	oːn
congné	konɡʲnʲeː
atobaig	adovaɣʲ
fortchide	for͈ʲtʲxʲiðʲe
tige	tʲiɣʲe
áu	aːu̯
gaibes	ɡavʲes
snaid	sn͈aəðʲ
fris	fʲrʲisʲ
fescor	fʲeskor
eiplet	ebʲlʲed
adaig	aðaɣʲ
tolg	tolɡ
ollam	ol͈aṽ
tú	tuː
dechellt	dʲeːxʲel͈t
cethair	kʲeθirʲ
sáile	saːlʲe
dam	daṽ
adáichfethar	aðaːxʲfʲeðar
rusamaltar	r͈usaṽal͈tar
desciplu	dʲesʲkʲiblu
aitt	atʲ
nonchretid	n͈onxʲrʲedʲiðʲ
úath	uːa̯θ
amne	aṽnʲe
théta	θʲeːda
cathracha	kaθraxa
dogoa	doɡoa
lasar	l͈asar
luch	l͈ux
mescae	mʲeske
siair	sʲiarʲ
pridchimme	pʲrʲiðximʲe
sund	sun͈d
errach	er͈ax
deich	dʲexʲ
bretha	bʲrʲeθa
dotluchethar	dotluxʲəθər
cáin	kaːnʲ
aingid	anʲɣʲiðʲ
bráthardae	braːθarðe
peccad	pʲekað
ulod	uloð
milsi	mʲil͈ʲsʲi
gile	ɡʲilʲe
cúrsachad	kuːrsaxað
esséirge	esʲeːrʲɣʲe
brén	bʲrʲeːn
cobodlus	kovoðlus
fiur	fʲiur
nduit	n͈dutʲ
chír	xʲiːr
focren	fokren
uile	ulʲe
áru	aːru
docuirethar	dokurʲəθər
cloc	kloɡ
darolgea	darolʲɣʲa
pridchim	pʲrʲiðximʲ
reithid	r͈ʲeθʲiðʲ
úait	uːa̯tʲ
aithche	aθʲxʲe
samain	saṽinʲ
sróna	sroːna
sabbait	sabaːdʲ
adeirrig	aðer͈ʲəɣʲ
téite	tʲeːdʲe
fortachtaigid	for͈taxtiɣʲiðʲ
dún	duːn
lugaid	l͈uɣiðʲ
adgnin	aðɡʲnʲinʲ
atbela	advʲela
dumenammar	dumʲenamar
engach	eŋɡax
adgéuin	aðɡʲeːu̯nʲ
fairrge	far͈ɡʲe
inloing	in͈l͈oŋʲɡʲ
adarcae	aðarke
mbí	mʲbʲiː
adgúsi	aðɡuːsʲi
án	aːn
ágatar	aːɣadar
fáelán	faːi̯laːn
assagúiset	asaɡuːsʲed
tarsno	tar͈sn͈o
náire	n͈aːrʲe
cenn	kʲen͈
líach	l͈ʲiːa̯x
forsammitter	for͈samʲidʲer
mind	mʲin͈d
tengad	tʲeŋɡað
rím	r͈ʲiːṽ
adcosnae	aðkosne
athair	aθirʲ
adtluchedar	aðtluxʲeðar
graig	ɡr͈aɣʲ
muccaid	mukiðʲ
mesctha	mʲeskθa
gním	ɡʲnʲiːṽ
muccaidecht	mukiðʲext
domnall	doṽnal͈
rocluinemmar	roklunʲemar
bein	bʲenʲ
aig	aɣʲ
tíagmi	tʲiːa̯ɣmi
eochaid	eːu̯xiðʲ
nini	n͈ʲin͈ʲi
duacair	duhaɡərʲ
cluichigidir	kluxʲiɣʲidʲirʲ
cathraig	kaθriɣʲ
comthururasib	koṽθururasivʲ
athramail	aθraṽilʲ
torbae	torve
midi	mʲiðʲi
dúibsi	duːvʲsʲi
asruguset	asruɣusʲed
it	id
aimmded	amʲðʲeð
cáelán	kaːi̯laːn
gairid	ɡarʲiðʲ
grian	ɡʲrʲian
flaith	flaθʲ
dúnchad	duːnxəð
tál	t̪ˠæːlˠ
suidigidir	suðʲiɣʲiðʲirʲ
lúas	l͈uːa̯s
gela	ɡʲela
fora	fora
sebac	sʲevak
anísiu	an͈ʲiːsʲiu̯
bem	bʲeṽ
fis	fʲiu̯s
claidbiu	klaðʲvʲu
núall	n͈uːa̯l͈
nammá	n͈amaː
intí	in͈ʲtʲiː
imfen	imʲfʲen
berar	bʲerar
móin	moːnʲ
genti	ɡʲen͈ʲtʲi
adágainn	aðaːɣin͈ʲ
bélmar	bʲeːlṽar
áed	aːi̯ð
bélrae	bʲeːl͈re
esta	esta
muntar	muntar
adcodados	aðkodaðos
doclaid	doklaðʲ
abis	avʲisʲ
saír	saːi̯rʲ
sí	sʲiː
aís	aːi̯sʲ
détso	dʲetso
bir	bʲir
nim	n͈ʲiṽʲ
corathar	koraθar
rehenaus	r͈ahenəs
oí	oːi̯
bó	boː
foilsigthi	fol͈ʲsʲiɣʲθʲi
trí	tʲrʲiː
dofich	dofʲixʲ
mnaí	mnaːi̯
hultaib	hul͈divʲ
cor	kor
sam	saṽ
air	arʲ
baile	balʲe
fetarlicc	fʲedar͈l͈ikʲ
mían	mʲiːa̯n
lám	l͈aːṽ
doadbit	doaðvidʲ
impúd	impuːð
chretim	xʲrʲedʲiṽʲ
doeth	doheθ
firend	fʲirʲen͈d
attó	attoː
cum	kuṽ
brittach	bʲrʲitax
íssu	iːsu
bruth	bruθ
sní	sʲn͈ʲiː
tét	tʲeːd
gáethach	ɡaːi̯θax
dliged	dʲlʲiɣʲeð
fochidib	foxiðʲivʲ
demniu	dʲeṽʲnʲu
denim	dʲeːnʲimʲ
etarscarthae	edarskarθe
cen	kʲen
robat	rovad
níbo	n͈ʲiːbo
foceird	fokʲer͈ʲdʲ
cos	kos
ráidid	r͈aːðʲiðʲ
nascaid	n͈asʲkʲəðʲ
macthae	makθe
sinsersiur	sʲinsʲerhiur
bice	bʲiɡʲe
samailter	saṽil͈ʲtʲer
forcain	forkanʲ
cré	kʲr͈ʲeː
dusclaid	dusɡlaðʲ
bard	bar͈d
láma	l͈aːṽa
isindí	isʲin͈dʲiː
remib	r͈ʲeṽiv
feidid	fʲeðʲəðʲ
neir	n͈ʲerʲ
ithe	iθʲe
étar	eːdar
fuil	fulʲ
chretid	xʲrʲedʲiðʲ
accomoltar	akoṽol͈tar
fíada	fʲia̯ða
comalnammar	koṽalnamar
luchorp	l͈uxorp
anís	an͈ʲiːs
epert	ebʲert
rímid	r͈ʲiːṽiðʲ
ainimm	anʲimʲ
nondobmolor	n͈on͈dovmolor
gúforcell	ɡuːorʲɡʲel͈
smachtu	smaxtu
bert	bʲer͈t
bachlaig	baxliɣʲ
labramar	l͈avramar
pridchite	pʲrʲiðxidʲe
maraid	marəðʲ
aingel	anʲɣʲel
coíniud	koi̯nʲuð
bodar	boðar
trom	trom
maithe	maθʲe
súan	suːa̯n
rofinnadar	r͈ofʲin͈aðar
tonn	ton͈
accuis	akusʲ
bolg	bolɡ
athar	aθar
lúath	l͈uːa̯θ
dotéis	dotʲeːʃ
bed	bʲeð
conici	kon͈ʲiɡʲi
ingreimm	inʲɣʲrʲemʲ
cerc	kʲerk
delb	dʲelv
ticed	tʲiɡʲeð
rétu	r͈ʲeːdu
adamraigetar	aðaṽriɣʲedar
rethit	r͈ʲeθidʲ
bríg	bʲrʲiːɣʲ
fír	fʲiːrʲ
cosc	kosk
beit	bʲedʲ
ammait	amidʲ
áesmar	aːi̯sṽər
tracht	traxt
adáichfer	aðaːxʲfʲer
ármag	aːrṽaɣ
dagníat	daɣʲnʲiːad
cúan	kuːa̯n
cumtach	kuṽdəx
legaid	l͈ʲeɣiðʲ
admat	aðməd
tórand	toːrən͈d
circe	kʲirʲkʲe
sceith	sʲkʲeθʲ
mé	mʲeː
noídenacht	n͈oːi̯ðʲenaxt
foraib	forivʲ
sieir	sʲierʲ
cú	kuː
firennach	fʲirʲen͈ax
arsidetu	arsiðʲedu
midithir	mʲiðʲiθʲirʲ
agair	aɣirʲ
precepte	pʲrʲeɡʲepʲtʲe
fonn	fon͈
forfen	forfʲen
rúnde	r͈uːn͈de
ban	ban
mullach	mul͈əx
fir	fʲirʲ
nídan	nʲiːdan
serg	sʲerʲɣʲ
áigther	aːɣʲðʲer
theg	θʲeɣ
maig	maɣʲ
mebuir	mʲeṽurʲ
báo	baːu̯
águr	aːɣur
oc	oɡ
ailidi	alʲiðʲi
remor	r͈ʲeṽor
samaltar	saṽal͈tar
