גברבר	ɡvaʁvaʁ
עברית	ʕibriθ
מלכה	malka
תרועות	təruːʕoːθ
לפה	lefo
חטיף	χatif
יהודי	jŭhuði
אנוכי	ʔanaki
עוגייה	uɡija
חמישה	ħămiʃɔ
אוקיינוס	ʔokjanus
ל־	li
קולני	kolani
צהריים	t͡sohoʁajim
גן	ɡan
בהכרח	bəheχʁeaχ
פלונטר	plonter
סיפר	sipɛʁ
רוק	ʁavak
שבור	ʃavuʁ
עשה	ʔasa
עצם	ʕetsem
תשע	tejʃa
ילד	jalad
זכר	zaxar
בדיוק	bedijuk
שונא	ɬoːniʔu
שומר	ʃømer
חמישי	χamiʃi
צמח	sˤeːmæħ
יהודה	jehuda
ערבית	aʁavit
נער	naʕar
רצח	ʁat͡saχ
גפן	ɡafen
שיקר	ʃikeʁ
תפר	tafar
השפעה	haʃpaːʕaː
שבע	ʃaβaʕ
פקודה	pkuda
צימוקים	tsmʊkm̩
עברית	ʕivrit
א	alef
ליקק	likek
השפעה	haʃpɔɔ
מלאך	malʔaχ
חטף	χataf
יון	javan
חנוכה	ħanukkaː
ממש	maməʃ
דעה	deʔa
אבד	ʔived
בהכרח	bəheχʁaχ
כדורעף	kaduʁaf
עזה	azɔ
כותב	køθev
השפעה	haʃpaʔa
יצחק	jisħak
יריעה	jeʁiʔa
חמץ	ħamesˤ
שמעון	ʃimʕœn
כחול	kaχɔl
לעזאזל	laʔazazel
ל־	la
קדשנו	kadɨʃenu
איך	ʔeχ
אברהם	ʔabraham
את	ed
שחק	saχak
ניתוח	nituaχ
עקשן	ʔakʃan
נשבע	niʃbaʕ
אויב	ojev
זכר	zɔxɔr
הפרעה	hafraʔa
יוסף	josef
תחת	taχat
גרש	ɡeʁeʃ
מיכה	mixa
מתי	mati
עברות	ʔivʁut
נשב	naʃav
מהיר	mahiʁ
במהירות	bimhiʁut
חנון	χnun
שישה	ʃiʃʃah
עשה	ʕɔːsɔː
גנב	ɡaːnaβ
במקום	bamakom
רוק	ʁok
אשכים	aʃaχim
נהג	nahaɡ
חמש	ħɔmeʃ
משפחה	miʃpaχa
אדום	ɔdojm
שיבולת	ʃibolet
ד״ר	doktoʁ
קרא	qaːraːʔ
מניין	minjan
טג׳יקיסטן	tad͡ʒikistan
גוי	ɡoj
כפל	kefel
תועבה	toʔeva
קדשנו	kidaʃnu
חום	χum
ארון	aʁon
ארבעה	aʁbaa
אהל	ahal
פי	pi
גנב	ɡaːnab
ווק	wok
אבות	ʔavot
רווקה	ʁavaka
פישט	piʃɛt
חבש	χavaʃ
השתכנז	hiʃtaknez
אסטרופיזיקה	astʁɔfizika
תפקיד	tafkid
חדש	χadaʃ
צמח	tsamax
תלוי	taluj
אחדות	aχdut
אדום	adom
רקע	reka
איבד	ʔibed
לגמרי	leɡamre
נהר	nahaʁ
ערס	ʔaʁs
אגרוף	eɡʁof
מהר	maheʁ
כתיתה	ktita
עם	am
מרבד	maʁvad
היה	haja
חסד	χesed
נשמה	naʃma
זן	zan
דברים	d̪evarim
מלון	melon
תשואה	tesua
ישב	jaʃev
עלמה	alma
נשבה	niʃba
שקל	ʃakal
אחיינית	ʔaχjanit
בנה	bana
יערות	jɛʕaʁot
גנב	ɡanav
עזיז	ʕaziz
קנה	kana
אָ	ʔa
מסדרון	misdaʁon
אסתר	est̪er
דרך	deʁeχ
רפאל	ʁafaʔel
בחור	baχur
אות	ʔoθ
ידע	jɔda
איגרוף	iɡʁuf
כרגיל	kaʁaɡil
דן	dan
ערמון	ʕarmon
מיזם	meɪzam
שריר	ʃəʁiʁ
מרפק	miʁpɛk
צריך	sˤɔrix
לקק	lukak
כתיבה	kăθivɔ
קרה	kaʁa
שלום	ʃalom
חדר	χadaʁ
מתודה	metoda
חלם	χalam
עשים	aʃim
אברהם	ʔævrɔhɔm
קול	qoːl
צרח	tsaʁaχ
שלושה	ʃăloʃɔ
ידע	jæðæʕ
יומולדת	jɔmulɛdɛt
בשל	bəʃel
בדולח	æbbɑdlæ
קל	kal
אחז	aχaz
דבק	davak
שלום	ʃaːloːm
מלפפון	melafefon
שנא	saːneːʔ
אותיום	otjom
חוה	χava
שלושה	ʃaloːʃah
גנב	ɡɔnav
ארץ	eʁet͡s
אדם	ʔaːdaːm
ידע	jɔðaʕ
אבה	ʔava
רחוב	rəħoːv
נכס	nɛχɛs
תועבה	toʕeva
רקיע	rɔːqiːaʕ
דבר	dɔvɔr
רבקה	ʁivka
חתול	χatul
ישראל	jisraʔel
רבקה	ribqaː
ישראל	jisruajl
השואה	haʃɔʔa
כבוד	kaːboːd
טרוריסט	teʁoʁist
צינגלה	tsinɡale
דבק	devek
עברית	ʕivriθ
הוכחה	hoχaχa
החזיק	heχezik
אבד	ʔavad
בשעטו״מ	beʃaatum
סמכות	samχut
שמע	ʃma
נעמי	noʔomi
ירה	jaʁa
אברהם	avrɔhɔm
אבדה	ʔaveda
הבין	hɛvin
לה	lɑh
אנגליה	ʔŋɡlija
רומנית	ʁɔmanit
צדק	sedek
פיסח	piseaχ
קרא	qɔrɔʔ
מנורה	menoʁa
אנטומולוגיה	ɛntɔmɔlɔɡja
שובל	ʃoval
התאבד	hitʔabed
חדר	χedeʁ
בקע	baka
חתול	xusil
תרועה	taruʕɔ
ויקיפדיה	vikipedja
קולנוע	kolnoa
אויב	oɪ̯jeɪ̯v
פופאי	popaj
גמל	d͡ʒɔːmal
ירוק	jaʁok
לימד	limɛd
קהל	ɡɔːhɔːl
מהפכה	mahapeχa
חצות	χat͡sot
צימוקים	sˀimːuqim
שנא	sane
שישה	ʃiʃa
תשובה	tʃuva
מימון	majmon
עץ	et͡s
הסתתר	histateʁ
אבה	ʔɔvɔː
אדם	ɔdɔm
חנות	χanut
התקוממות	hitkɔmɛmut
דבר	daːbaːr
קניון	kenjon
שקיעה	ʃkiʕa
בקע	beka
על	al
חומש	χumaʃ
שדרן	ʃadʁan
יצר	jetseʁ
כפל	kafal
אפילו	afilu
שיחה	siχa
חסון	xason
קהל	kahal
סמיכות	smiχut
אפיקורוס	epikoros
קרא	qɔʀɔʔ
אחד	eχad
שנא	ɬaːneːʔ
כותב	koɪ̯seɪ̯v
תורה	toʀɔ
טלפן	tilfen
שמעון	ʃimʕon
נגע	naɡa
לשמוע	liʃmoaʕ
מד״א	mada
נגמר	niɡmaʁ
עשב	ʔesev
נאבד	neʔevad
חשוב	ħaʃuv
צמח	sˤɛmaħ
בחור	baħur
זבל	zevel
שופכה	ʃɔfχa
כור	kur
ישיבה	jeʃiva
השפעה	haʃpaʕa
עזה	ʔaza
אגם	aɡam
בין	ben
גרון	ɡaʁon
חם	χam
עמורה	ʁɑmoːrɑ
סונכרן	sunkran
שטח	ʃɛtaχ
סיפק	sipɛk
אות	ʔot
מחשב	maχʃev
לקוח	lakoax
מחרתיים	maħoraθajim
מרפק	maʁpɛk
צריך	t͡saʁiχ
ידיד	jadid
עולם	oɪlɔm
דרקון	darqon
ש״ח	ʃaχ
תמונה	tmuna
עצם	ʕæsˀæm
לכאן	ləχɑn
הועיל	hoʔil
אביב	aviv
אדישות	adiʃut
צריך	sˤaːrik
קומזיץ	kumzit͡s
לבב	levɔv
חמץ	χamets
נהג	nɔhaɡ
שקל	ʃɛkɛl
בניין	binjan
שרב	ʃaʁav
פרסה	parsa
עשה	ʕaːɬaː
מג״ב	maɡav
חרב	χeʁev
דוד	dod
התרפא	hitʁape
ארץ	ʔæræsˤ
ג׳וק	dʒuk
שומר	ʃumaʁ
כתף	katef
נשבר	niʃbaʁ
אפרטהייד	apaʁthajd
הארץ	hɔʔɔʀɛsˤ
אברהם	avʁaham
דוד	døːð
אונסכ״ו	unesko
אחד	eχɔd
אנוכי	ɔnojxi
אדוני	æðøːnɔj
יוכבד	joχeved
אמן	ʔamen
לעזאזל	leʔazazel
מעלה	maʕalɔː
ישב	jaʃov
עוון	ɔvɔjn
אשמה	aʃma
אפ׳חד	ʔafxad
ללמוד	lilmod
דרקון	dʁakon
קרא	kaʁaʔ
חרת	ħaːraθ
בחוץ	baxut͡s
מיכאל	miχaʔel
החזיק	heχzik
רוק	rawwaːq
להקה	lahaka
חבל	χaval
מקום	makom
סינכרן	sinχren
ביטוח	bituːaħ
צייר	tsijɛʁ
לא	lo
רוצים	ʁɔtsim
איראן	iʁan
חלון	χalɔn
משוש	masos
ארבעה	ʔarbɔʕɔ
גיטרה	ɡitaʁa
אחד	ʔeħaːd
חלומות	χalɔmɔt
שריר	ʃʁiʁ
בחייך	beχajaiχ
סוף	sof
תרועה	təruːʕaː
מפעל	mifʔal
שית	ʃit
עצים	ʕet͡sim
תפירה	tfiʁa
גפן	dʒɔːfæn
אנוכי	ʔɔnøxi
נזיר	nɔːziːr
לדרוש	lidʁoʃ
עף	ʔaf
חשוב	ħaːʃuːb
חורף	χoʁef
אויב	ʔoːjeːb
מפסידן	mafsidan
שקיעה	ʃkijʕa
רוק	roːq
שובל	ʃovel
גפן	dʒæfæn
קשישא	kʃiʃɑ
כבר	kvaʁ
שמואל	ʃmuel
לשון	lɔʃøn
צי	t͡si
מזל	mazɔl
עייף	ʕijef
עלוב	ʕaluv
עור	ɔʁ
אב	ʔɔːv
תרועות	təʁuɔɪ̯s
בראשית	beʁeʃit
ציון	sˤijoːn
אובדן	ʔɔvðɔːn
ציון	sˤijjoːn
מלוח	maluaχ
חיים	ħæjim
כולו	kulo
זבוב	zvuv
ישב	jiʃev
טוב	tˤøːv
כותב	koːteːb
פלשת	pæ̆læʃæθ
סדר	seder
אין	en
כוהן	køhen
חכם	ħɑːxɑːm
כדאי	kedaj
ירושלים	jəruːʃaːlajim
בן	ben
אמן	ɔmeɪn
כאילו	kilu
רווק	ʁavak
אנחנו	ʔanaχnu
הועיל	hoʕil
בשעטו״מ	beʃaatovaumutslaχat
לספר	ləsapeʁ
לשון	laːʃoːn
ידע	jed̪aʕ
פרי	pʁi
ממש	mamaʃ
שנקל	ʃnɛkɛl
פח	paχim
טוב	toi̯v
תורה	toːraː
אחרי	aχʁe
משכן	miʃkan
יה	jaːh
אבזם	ʔavzam
קטל	kitel
קשת	qeʃeθ
דיכוי	dikuj
עמ׳	ʔmud
מחרתיים	moχoʁatajim
דיו	dijo
מחקים	meχakim
יער	jaʔaʁ
תחת	taħaθ
ארבע	aʁba
שערה	saʔaʁa
נבוכדנאצר	nəbuːχaðnɛsˤsˤar
אור	ʔoʁ
אלוה	eloa
אנוכי	ʔɔnoxi
מיכה	mixɔ
נאט״ו	neto
רבקה	ribqa
חלום	χalom
איבה	eva
יון	jon
מסכת	massɛːχɛθ
עשה	ɔsɔ
מר	maʁ
עוף	of
דיר	diʁ
לתפור	litpor
תאום	tĕʔom
התפשט	hitpaʃet
זיוה	ziva
ריח	ʁeaχ
זהב	zahav
כבוד	kɔvoð
כנסת	kneset
מאוד	meod
צחק	t͡saχak
הודעה	hodaʔa
אהב	ʔahav
תרופה	tʁufa
נזיר	nɔːzəʁ
ישראל	jisraːʔeːl
אובדן	ʔovdan
שישה	ʃiʃʃɔ
מאתיים	maʔatajim
מאות	mot
אוסטריה	ʔostʔʁijah
יד	jad
חבש	ħɔvæʃ
אכלה	ʔoχla
רוקה	rawwaːqaː
ארבע	ʔarbaʕ
פין	pin
אות	ʔoːt
חרא	χaʁa
פסנתר	psanteʁ
שונא	soɪ̯neɪ̯
עשה	ʕasa
שתה	ʃata
מזיק	mazik
יובל	juval
קלה	kala
הוא	hu
ורד	vɛʁɛd
את	ɛs
תרועות	taruʕœθ
עמ׳	ʕmud
שמע	ʃema
הפך	hefeχ
אבוב	ʔabuv
אדום	ad̪oːm
חייך	χijɛχ
שוחד	ʃoxad
צ׳ק	tʃek
תרועה	tʁuə
מדע	madaʕ
אפשר	efʃaʁ
יצר	jatsaʁ
ירושלים	jeʁuʃalajim
סמכותי	samχuti
אָ	ʔo
קטן	katan
בחור	bɔχər
פלשתינה	palestina
רקיע	ʁakia
שופכן	ʃɔfχan
שנא	sɔneʔ
מלון	milon
אנוכי	ʔanoxi
שדר	ʃɛdɛʁ
שלוף	ʃaluf
אות	ɔs
קשת	kejʃejs
חבש	ħaːbaʃ
מעלה	maʕala
נלחם	nilχam
נער	naʔaʁ
מתתיהו	mattaθjaːhuː
תא	ta
יוחנן	joχanan
אמד	ʔamad
ירושלים	jəruʃɔlajim
נבוכדנאצר	nevuχadnɛtsaʁ
צדק	t͡sedek
רץ	ʁat͡s
עזה	ʕaza
תינוק	tinok
סמל	sɛmɛl
חורפי	χoʁfei̯
ר״מ	ram
לבב	leɪvɔv
ל־	le
כותב	keθev
אלה	ele
תשע	teʃa
בוקר	bokeʁ
שכב	ʃaχav
חרה	χaʁa
כבוד	kɔvøð
לחיים	leχajim
חנוכה	χanuka
דוד	daːwiːð
כלל	kalal
אליך	ʔeleχa
רחוק	ʁaχɔk
חורפים	χoʁafim
נשמה	neʃama
מערך	maʔaʁaχ
ירח	jaʁɛaχ
קיץ	kajits
זברה	zɛbʁa
רציתי	ʁatsiti
עולם	ʕøːlɔm
מסעדה	misʔada
ארכנופוביה	aʁaχnɔfɔbja
כיסא	kise
חבל	χevel
יחידה	jɛχida
עד	ʔed
תלוי	talui
ראשון	ʁiʃon
בבלי	bavli
כרית	kaʁit
כסת״ח	kastax
סדן	sadan
זמן	zman
הצטרפות	hitstarfut
ויקיפדיה	wikipedja
מתתיהו	matitjahu
עולם	ʕolɔm
להגמר	lehiɡameʁ
קשת	kaʃat
נמלט	nimlat
ברוך	baʁuχ
פסחא	pasχa
דממה	dmama
עצלן	atslan
שט	ʃat
רוצות	ʁɔtsɔt
נותן	noten
אבות	ʔɔvoːθ
נהג	nɔhaɣ
חנ״ג	xanaɡ
שקרן	ʃakʁan
אויב	ʔojeb
דובדבן	duvdevan
אדם	adam
כולם	kulam
אשה	ʔiʃa
רוח	ruaχ
דוח	doχ
דוד	dɔvid
עייף	ʕajef
זומבי	zombi
ידע	jɔðæʕ
בלשנות	balʃanut
אל	ʔal
חמה	χama
פחדן	paχdan
שומר	ʃomeʁ
בחייך	beχaːjɛχa
מתתיהו	matiθjɔhu
חברותא	χavʁuta
אדמה	adama
עפרונות	ʔefʁonot
בראשית	bərejʃis
לובסטר	lobsteʁ
רדה	ʁada
גולן	ɡɔlan
את	eθ
שנא	saneʔ
טוב	tei̯v
אחת	æħæθ
שטח	ʃiteaχ
מתתיהו	matɪsjɔhu
יעל	jaɛl
טוב	tˤoːb
אהוב	ʔahuv
חבש	ħavaʃ
פרחים	pəraːħiːm
שבע	ʃeva
במהירות	bemehiʁut
לילה	lajla
מקום	mekom
תיקונצ׳יק	tikuntʃik
חברון	χevʁon
שבת	ʃæbbɔːθ
שקר	ʃeqer
שש	ʃeʃ
אורגזמה	ɔʁɡazma
יוחנן	jøħɔnɔn
לפה	lepo
אטמוספירה	atmɔsfɛʁa
אחת	aχas
חיים	xajim
זכר	zaxaʁ
זיין	zijen
מלך	meleχ
כתיבה	ktiva
בית	bajit
ביטא	biteʔ
עלה	ʔala
פושט	puʃat
אבוי	ʔavoi
אהבה	ahava
אשפה	ʔaʃpa
לו	lu
פך	paχ
חרדית	χaʁɛdit
כדי	kedej
כוהן	kohen
ל־	lə
אחריות	aχʁajut
שלום	ʃɔloɪm
פיצה	pitsa
כולנו	kulanu
גפן	ɡɔfen
עברית	ivris
אגרוף	iɡʁuf
ארמנית	aʁmɛnit
דפקתי	dafakti
טורסו	tɔʁsɔ
עט	ʕet
כותב	kotev
אבגתא	ʔavaɡta
עצם	ʕasˀm
ציון	sˤijøːn
דוד	dɔːwið
פונדק	pundak
אבובן	ʔabuvan
עמורה	ʔamoʁa
עלה	ʔale
אורי	uʁi
רחוב	ʁɛχov
הלכה	halχa
אבוד	ʔavud
אנו	ʔanu
נתפס	nitpas
שירות	ʃeʁut
שמעון	ʃɪmən
חסד	ħesed
אחד	ʔe̞ħäd̪
הודו	hodu
אני	ʔani
ויסקי	viski
אהל	ohel
יוחנן	joħɔnɔn
עברית	ʕiːbriːt
וכו׳	vəχule
פיזי	fizi
כתיבה	ketiva
גזבר	ɡizbaʁ
חמישה	xamiʃa
פעם	peʔem
הפך	hafaχ
הבנה	havana
כור	kor
שעה	ʃaʔa
עכוז	akuz
חום	χom
שפם	safam
אוכל	ʔoχel
כלבלב	klavlav
אויב	ʔøjev
דובאי	dubaj
דבר	d̪avar
גמל	d͡ʒamːɔːl
שמעון	ʃimʕəoːn
צבא	t͡sava
צדקה	t͡sdaka
סקרנות	sakʁanut
נותן	not̪en
חיטה	χita
סיבוך	sibuχ
ארמני	armeni
חסון	ħason
אדריכל	adʁiχal
קדח	kadax
תורה	tojrɔ
עמד	ʕamad
רבקה	rivqɔ
כבוד	kavod
בדולח	bdolaχ
סופגנייה	sufɡanja
את	et
יחי	jeχi
נעמי	nɔʕɔmiː
עזה	ʕazːɔ
זנה	zana
כיוון	kivun
מטר	mɔːtˀɔːr
קשת	qɛʃɛθ
עמ׳	ʕmudim
בני	bne
שבור	ʃvuʁ
שחק	ɬaħaq
עולם	ʕolam
בחייך	beχajɛχa
אסתר	æsteːr
שקל	ʃaːqal
ישראל	jisʁaʔel
פלשת	pleʃet
מברג	mavʁeɡ
קרא	kɔrɔ
כתיבה	ksivɔ
מיקרופון	mikʁɔfɔn
גמל	ɡamal
עוף	uf
עוגות	uɡot
טכנולוגי	teχnoloɡi
יער	jaʕaʁ
שאלה	ʃeʔela
סרטון	siʁton
עברית	ʕibrit
יהי	jehi
לדינו	ladinɔ
מצא	matsa
נרטב	niʁtav
אבהות	ʔabahut
כמו	kemo
תרועה	təruːʕɔː
עשה	ʕɔsɔ
ארץ	ʔeresˤ
קדח	kɔðaħ
שטח	ʃataχ
גדול	ɡadɔl
את	eɪs
ויקרא	vajikʁa
מוזר	muzaʁ
אור	ʔuʁ
חפרפרת	χafaʁpeʁet
תשואה	t͡sua
צייר	tsajaʁ
שונא	ɬoːneːʔ
איש	ʔiʃ
פלשת	pălɛʃɛθ
קריזה	krizɑ
פעם	paʔam
מחשב	maħʃeːv
מזל	mazzɔːl
מקסיקו	mɛksikɔ
יין	jajin
נותן	nøθen
שונא	soneʔ
ערום	aʁum
משחק	misχak
מחבל	meχabel
חו״ל	χul
עף	af
עדן	ʕeden
אבהי	ʔavahi
שמנת	ʃamɛnɛt
אסתר	esteʁ
ציון	t͡sijoɪn
ארכיטקטורה	arxitektura
בר	bar
אשכיים	ɛʃχaim
טרול	tʁol
תרועות	tʁuʔot
כוהן	kojhen
מריחואנה	maʁiχwana
פנס	panas
בית	bajiθ
שבעה	ʃivʔa
עולם	olam
מזיק	mezik
נעמי	nomi
כריסטמס	kʁistmas
ביטוח	bituaχ
הייתה	hajta
נכס	naχas
פח	paχ
אבגתא	ʔavaɣθɔː
קטל	katal
מתי	mataj
ירח	jɛʁaχ
נמל	namel
פושט	pɔʃɛt
קול	kul
חחח	χaχaχa
שלמה	ʃlomo
עולם	ʕoːlaːm
לכאן	ləkɑn
חתול	ħɔθul
בקע	baːqaʕ
זכר	zɔχɔr
מין	min
תרועות	teruʕot
שלוש	ʃaloːʃ
קטל	ketel
שונא	soːneːʔ
אדם	ʔadam
שנא	sɔneɪ̯
הפעם	hapaʔam
הסתיר	histiʁ
ציפורה	tsipoʁa
חכם	χaχam
ייצא	jitse
דברים	dăvɔrim
לשון	lɔʃojn
דבר	dabar
הלכה	halaχa
נזיר	nazir
אהל	ihel
תחת	tæħæθ
סוד	sɔd
צפון	tsafon
שמימי	ʃmejmi
חבר	ħɔver
ידע	jad̪aʕ
נאט״ו	nato
ערבית	aʁvit
מתתיהו	mattiθjaːhuː
שומר	ʃojmejr
נותן	noθen
חברון	ħɛvroːn
אָ	a
מלון	malon
בני	banaɪ
דברים	dævɔrim
אורי	oʁi
לשוני	leʃoni
יובל	jovel
בקע	bɛqaʕ
אבדון	ʔavadon
שבעה	ʃiβʕaː
פשט	paʃat
שונא	sone
קניון	kanjon
נאבק	neʔevak
מלך	malaχ
טוב	tˤeːv
קטון	katon
קשת	kɛʃɛt
גן	ɡɛn
מ־	mi
יה	jah
הוכחה	hoχaħa
פרסית	paʁsit
כבוד	kabod
תורה	t̪oɾa
צבעוני	tsivʔoni
רמונים	ʁimɔnim
ישעיהו	jeʃaʕjahu
אדוני	ăðoːnaːj
תבע	tavaʕ
תיירות	tajaʁut
פלשת	pleʃes
אצבע	ʔet͡sbaʕ
שקר	ʃɛqɛr
זיעה	zeʕa
אדם	ʔɔðɔm
לשון	laʃon
אב	ʔav
בחר	baχaʁ
צרפתית	tsaʁfatit
אבן	even
יהודי	jehudi
אגם	ʔaɣam
באולינג	bawliŋ
ישראל	jisrɔejl
פרוטקציה	pʁotektsja
אל	ʔel
רך	ʁaχ
עזה	ɣɑzːɑː
דוד	d̪aːvid̪
שוב	ʃuv
מתתיהו	mattiθjɔhu
ליד	lejad
עדכון	idkun
מרור	maʁoʁ
קומבינה	kombina
כיוון	kiven
עזה	ʁɑzːɑː
אחד	ʔɛħɔð
צמח	tsemax
דג	dɔːɣ
יוחנן	jojχɔnɔn
טלית	taləs
סקסי	seksi
סמל	samal
עט	ʕeːtˤ
ישב	jaʃav
רוח	ruæħ
הצהיר	hit͡shiʁ
לו	lo
עף	ʕaf
רגש	ʁɛɡɛʃ
אבוד	ʔavuda
שונא	søneʔ
השפעה	haʃpɔʕɔ
שדר	ʃadaʁ
חולצה	χultsa
אברהם	ʔavrɔhɔm
על	ŋal
לנשוב	linʃov
איפה	ejfo
חבר	ħɔveːr
ייבא	jibe
עצם	etsem
עברית	ivʁit
צימוקים	simukim
אמן	amen
לשון	lɔʃon
שלושה	ʃəloʃa
חבר	ħaːbeːr
אנציקלופדיה	ɛntsiklɔpɛdja
חרדיים	χaʁɛdim
אסור	asuʁ
בני	bni
שורש	ʃoʁɛʃ
לשמור	liʃmoʁ
ארץ	eres
ש״ץ	ʃats
נקבה	nɛ̆qevɔ
חמישה	ħamiʃah
גפן	ɡɛfɛn
חתול	xɔsul
איבוד	ʔibud
שומר	ʃomer
שד	ʃed
תפוז	tapuz
תולעת	tolaʔat
מושלם	muʃlam
כמו	kmo
סתם	stam
רקיע	raːqiːaʕ
שומר	ʃoːmiru
מישהו	miʃu
קשת	keʃes
תורה	toʁa
לקק	likek
לבב	levav
שמואל	ʃəmuːʔeːl
לה	la
שלוש	ʃaloʃ
ענן	ʕanan
אתה	ʔata
חשוב	χaʃuv
משה	moʃe
ירך	jaʁɛχ
אויב	ʔoːjibu
דמוקרטיה	demokratja
יצחק	jit͡sχak
לדפוק	lidfɔk
הזדמנות	hizdamnut
עמ׳	ʔmudim
זהיר	zahiʁ
בית	bejs
הפשיט	hifʃit
ישראל	jiɬraːʔeːl
אדוני	adonaj
חמש	ħameʃ
חבר	xavejr
יריעה	jeʁiʕa
זן	zɔːn
כוהן	koːheːn
ידע	jeda
קול	ɡøːl
דוד	dojd
רבקה	rivkaː
אדוני	ăðonɔj
מסכת	maseχet
יכול	jaχol
שכינה	ʃχina
כרוב	kʁuv
נגב	neɡev
אחת	aχat
ציפור	t͡sipoʁ
מחלה	maχala
בשר	baːsaːr
כנען	kenaʔan
טלית	talliθ
פלשת	peleʃet
שקל	ʃeqel
ענבל	inbal
חבר	ħaber
כבוד	kɔvojd
מיני	mini
שד	ʃad
בג״ץ	baɡats
דוב	dov
פלשת	peleʃed
שמואל	ʃæ̆muʔel
פסח	pasaχ
שכח	ʃaχaχ
עמורה	ɣɑmoːrɑ
תרועות	tʁuəs
שנה	ʃana
מחרתיים	moχʁatajim
אשור	aʃuʁ
עייף	ʕajaf
קח	kaχ
מזל	mazzaːl
טלית	talliːθ
למוד	lamud
דוד	doːð
נאט״ו	neɪto
עבד	eved
עיוור	ivɛʁ
קין	kajin
אבדון	ʔăvaddoːn
בית	bet
אברהם	ʔabraːhaːm
פסח	pesaχ
דוד	dɔːwiːð
בלוט	balut
מחר	mɑħɑr
מאות	meʔot
שזף	ʃazaf
