རྫོང་ཁ	*rd͡zoŋkʰa
དར	tʰaːɹ˩˧
གཟའ་འཁོར	*gzaɣᵑkʰor
གསུམ	sum˥˥
བོད་སྐད	pʰøː˩˧kɛː˥˩
ཞོགས་པ	ɕoː˩˧kɛː˥˩
དངུལ	ŋy˥˥
བྱང་ཆུབ	*bʲaŋt͡ɕʰup
མུ་སྟེགས་པ	*mustekspa
རྩྭ	*rt͡sʷa
ལེགས་སྦྱར	*lekszbʲar
རྐང་པ	kõ˥˥mba˥˧
ལྟབ	təp̚˥˩
རྩིག	*rt͡sik
གཟའ་ཕུར་བུ	sa˩˧pʰuː˥˥pu˥˥
སྤྲིན་པ	ʈ͡ʂĩ˥˥pə˥˥
འགྲུབ	*ᵑɡrup
ལང	*laŋ
ཡ	*ja
འོ་མ	o˩˧ma˥˧
བཟླས་བརྗོད	*bzlasbrd͡ʑot
ས	sa˥˥
འཁོར་ལོ	*ᵑkʰorlo
སྒོ	ko˩˧
ཐུག	*tʰuk
འདིང	*ⁿdiŋ
སེར	seː˥˥
བཙན་པོ	t͡sɛ̃˥˥po˥˥
སྟོན	hton
ཆེ	*t͡ɕʰe
གསར་པ	saː˥˥pa˥˥
རག་ལས	*raklas
ཁྱིམ་རྒྱུད	*kʰʲimrɡʲut
འཛམ་གླིང	t͡sam˩˧liŋ˥˥
འཛུམ	*ⁿd͡zum
སུམ་ཅུ	*sumt͡ɕu
གཅོད	*kt͡ɕot
འཁྲུངས་སྐར	ʈ͡ʂʰuŋ˥˥kaː˥˥
ཕྱག	t͡ɕʰa˥˩
མིང	miŋ˩˧
ཐལ་བ	tʰa˥˥la˥˥
འབྲུག	mɖ͡ʐək
སྦྱོར་ཀློག	*zbʲorklok
ཐུགས་རྗེ	*tʰuksrd͡ʑe
མར་གད	maːɹ˩˧kɛː˥˩
སྒ	*zɡa
སོག་པོ	*sokpo
ཏ	ta˥˥
བཞི	wʑə
གནམ་མཚོ	*gnammt͡sʰo
རོལ	ʐøː˩˧
ག་རེ་བྱས་ནས	*ɡarebʲasnas
སྦྱིན	*zbʲin
ཇ་སྲུབ་མ	t͡ɕʰa˩˧syː˥˥mə˥˥
འགྲིམ་འགྲུལ	*ᵑɡrimᵑɡrul
ཤིང་ནགས	ɕiŋ˥˥na˥˩
སྲོག	*srok
གཙང་མ	t͡saŋ˥˥ma˥˥
གཡུ་ལོ	ju˥˥loˑ
སེམས་པ	sem˥˥pa˥˥
ཁམས	*kʰams
རིན་པོ་ཆེ	ʐim˩˧pu˥˥t͡ɕʰiˑ
སྤྱི་ཚོགས	*spʲit͡sʰoks
དབྱེ	*dbʲe
ངག	*ŋak
དངུལ	ŋu˥˥
རོལ་ཆ	ʐøː˩˧t͡ɕʰa˥˥
མདུན	*mdun
སྒོ	gᴜ˥˧
ལྷ	*l̥a
བརྒྱད	*brɡʲat
བདུད	tyː˩˧˨
ཆོས	t͡ɕøː˥˩
སྤྲིན་པ	*sprinpa
གདུགས	*gduks
སྤེན་པ	*spenpa
ཐག་པ	*tʰakpa
ཐོབ	*tʰop
ཝ	*wa
ལྔ	ŋa˥˥
དྲུག	ʈ͡ʂʰu˧˩
སྐད་བརྡ་རིག་པ	kɛː˥˥ta˥˥ʐik̚ˀ˩˧pə˥˥
བློ་ཁོག	*blokʰok
མཇུག	t͡ɕuk̚ˀ˥˩
བལྟས	*pltas
ཤིང	ɕiŋ˥˥
ཛ	t͡sʰa˩˧
སྲང་ལམ	ʈ͡ʂaŋ˥˥laŋ˥˥
འདེབས	*ⁿdeps
བཙོང	t͡soŋ˥˥
ཤངས	*ɕaŋs
རྒྱན་སྤྲས	*rɡʲanspras
ལེན	*len
ཤིང་བརྐོས	ɕiŋ˥˥køː˥˩
མི་དམངས	mi˩˧maŋ˥˩
འོ་མ	ɣo˩˧ma˥˧
ཀྲུའུ་ཞི	ʈ͡ʂu˥˥ɕi˥˥
གསུམ	suŋ˥˥
དགུན་ཀ	*dɡunka
དགོས	ko˩˧
པོ་ལོ	pʰo˥˥lo˥˥
ཅུང་ཟད་ཙམ	*t͡ɕuŋzatt͡sam
སྨན་པ	m̥ẽ˥˥mba˥˧
ཕྱུ་པ	t͡ɕʰu˥˥pə˥˥
དཔལ་ལྡན	pan˥˥tɛ̃˥˥
སྟངས	taŋ˥˩
དབུས་གཙང	*dbuskt͡saŋ
ཞེ་ས	*ʑesa
ཀློག	*klok
དགུ	ku˩˧
བ	pʰa˩˧
གྲོང་ཁྱེར	*ɡroŋkʰʲer
ནི	*ni
སྨན་པ	hmanpa
བདེ་སྐྱིད	*bdeskʲit
ཚ་ལུ་མ	*t͡sʰaluma
སྙིང་རྗེ	ȵiŋ˥˥t͡ɕeˑ
དང	*daŋ
ད་ལྟ་བ	tʰa˩˧ta˥˥waˑ
སྲང་ལམ	*sraŋlam
བརྩོན་འགྲུས	t͡sỹ˥˥ʈ͡ʂyː˥˩
ཤར	ɕaː˥˥
སེང	seŋ˥˥
རྒྱ	*rɡʲa
ཉམས་མྱོང	ȵam˩˧˨ȵuŋ˩˧
འི	*ɣi
མནའ་མ	*mnaɣma
བརྒྱད་ཅུ	d͡ʑe˧˩t͡ɕu˥˧
ར	ʐa˩˧
ཅུང་ཙམ	*t͡ɕuŋt͡sam
དམར	*dmar
པོད	*pot
ཆུ་རྒུན་འབྲུམ	*t͡ɕʰurɡunᵐbrum
ལྟ	*lta
དབྱར་ཀ	jaː˥˥ka˥˥
བྱམས་བརྩེ	*bʲamsprt͡se
རྐྱང	*rkʲaŋ
ལེགས་སྦྱར་སྐད	*lekszbʲarskat
བྲན	*bran
ཁང་པ	*kʰaŋpa
གཡུ་མཚོ	jum˥˥t͡sʰo˥˩
བཟང	saŋ˩˧˨
ཆང་ནད	t͡ɕʰaŋ˥˥nɛː˥˩
པི་ཝང	pi˥˥waŋ˥˥
བསོད་ནམས	so˥˥na˥˩
བྱ་ཚིག	*bʲat͡sʰik
ལྡག	ta˩˧˨
བློ་མཐུན	*blomtʰun
མིག་ཆུ	*mikt͡ɕʰu
སེར	*ser
ཡོད	*jot
ཀོག་ཤི	koː˥˥ɕi˥˥
རྒྱ་གར	*rɡʲaɡar
རེ་བ	*reba
འབྲས་ལྗོངས	*ᵐbrasld͡ʑoŋs
བོད	*bot
གསུམ	hsəm
ཚིག་མཛོད	*t͡sʰikmd͡zot
ཐ་མ་རྡབ་ས	*tʰamardapsa
གཡེར་མ	*ɡjerma
ང	ŋɒ
དོམ	*dom
རྐྱལ་རྒྱག	cɛː˥˥ca˩˧˨
ལྕེ	*lt͡ɕe
གླུ་དབྱངས	lu˥˥jaŋ˥˩
ཤེལ་སྒོ	*ɕelzɡo
བུ་མོ	*bumo
སྲོག	ʂog
བདུན་ཅུ	dỹ˥˥t͡ɕu˥˧
གསོད	ɣsal
གཏམས	*ktams
འཚོ་བ	t͡sʰo˥˥waˑ
འཆི	xhə
ཤེས་པ	ɕe˥˥pa˥˥
འབྲས	nɖ͡ʐi
སྒྲིལ	*zɡril
རོལ	*rol
པ་སངས	*pasaŋs
གང་འདྲ	kʰəŋ˩˧ʈ͡ʂɛː˥˩
ཆུ་ཤེལ	ʈ͡ʂʰu˥˩ʂeːɹ˥˥
དངུལ་ཁང	ŋyː˥˥kʰaŋ˥˥
མངོན་བརྗོད	ŋø̃˥˥t͡ɕøː˥˩
བྱང	ɕaŋ
ལྗགས	t͡ɕa˩˧˨
སྔ	ŋa˥˥
རྔུལ	ŋ̊əl
སླར	laːɹ˥˩
མཐོང	tʰoŋ˥˥
ཉལ	ȵa
སྐད	kɛː˥˩
སྐད	*skat
སྟོང	toŋ˥˩
གུང་ཁྲན་རིང་ལུགས	kʰuŋ˩˧ʈ͡ʂʰɛ̃˥˥ʐiŋ˩˧lu˥˩
བདག་པོ	*bdakpo
ཚོང	t͡sʰoŋ˥˥
བ	*ba
སྒྲ་གདངས	*zɡragdaŋs
མཛོ	t͡so˩˧
ཙི་ཙི	*t͡sit͡si
རྫ་རྡོ	*rd͡zardo
ཟས	*zas
བལ	*bal
དགེ་སློང་མ	ke˩˧loŋ˥˥ma˩˧
ཡེ་ཤེས	*jeɕes
ཚེག	caj
དབྱིན་གོ	jĩ˥˥ko˥˥
འཁོར	*ᵑkʰor
བོད་ཡིག	*botjik
ཞེ་དྲག	*ʑedrak
གངས	*ɡaŋs
འཆུ	t͡ɕu˥˥
རེ	ʐe˩˧
ལྦུ་བ	pʊː˩˧
བདུན་ཕྲག	*bdunpʰrak
བརྒྱད	bɡjat
དགེ་སློང་མ	*dɡezloŋma
ངུ	ŋu˩˧
བོད་ལྗོངས	*botld͡ʑoŋs
ལ་ཕུག	*lapʰuk
ལོ་མ	lo˩˧ma˥˥
གླང	*glaŋ
ཉི་ཤུ	ȵi˩˧ɕu˥˥
ན་རོ	*naro
འཆུ	*ⁿt͡ɕʰu
སྲིད	*srit
བླ་མ	*blama
བདེ་བ	*bdeba
ཟླ་བ	rdawa
ཨ་ཆུང	*ʔat͡ɕʰuŋ
འཐུང	*ⁿtʰuŋ
བྱང་ཆུབ	t͡ɕʰaŋ˩˧t͡ɕʰu˥˩
སྦྱང	*zbʲaŋ
གནམ	nam˥˥
རྟ	*rta
དམར་སྐྱ	maːɹ˥˥caˑ
མཆོད་རྟེན	*mt͡ɕʰotrten
གཟའ	*gzaɣ
དགུ་བཅུ	ɡu˥˥t͡ɕu˥˧
བཞི་བཅུ	hʑəpt͡ɕə
ཅིག	*t͡ɕik
དཀར་ཆག	kaːɹ˥˥t͡ɕʰa˥˩
དུ་བ	*duba
སྤྱང་པོ	*spʲaŋpo
སྙིང	ȵiŋ˥˥
རླབས་ཆེན	ləp̚˥˥t͡ɕʰẽ˥˥
ལ་དྭགས	*ladʷaks
ལྟ	hta
མཛོ་མོ	t͡so˩˧mo˥˥
སྟོན	tɛ̃˥˥
སྒོང་ང	koŋ˩˧ŋa˥˥
ཨ་ཆུང	ʔə˩˧t͡ɕʰuŋ˥˥
ནག་པོ	na˩˧ko˥˥
ལྷགས་པ	*l̥akspa
རྩོམ་མཁན	*rt͡sommkʰan
དུང་ཕྱུར	tʰuŋ˩˧t͡ɕʰuːɹ˥˥
སེམས	sem˥˩
བསོད་ནམས	so˥˥nam˥˩
རྒྱུད	*rɡʲut
སྙིང	*zȵiŋ
ཐུང་ཐུང	thuŋ˥˥thuŋ˥˥
བརྒྱད་ཅུ	cɛː˩˧t͡ɕu˥˥
ཤར	*ɕar
ནས	nɛːˑ
དྲུག་ཅུ	ʈ͡ʂʰuk̚ˀ˩˧t͡ɕu˥˥
ཁོང	*kʰoŋ
བདུན་ཅུ	hdənt͡ɕə
ཉལ	*ȵal
ཞབས	*ʑaps
མགྲིན་པ	ʈ͡ʂĩ˩˧pə˥˥
གཟའ་སྤེན་པ	sa˩˧pẽ˥˥pa˥˥
གཡག	*ɡjak
དྲུག	ʈ͡ʂʰu˩˧˨
གངས་རི	kʰəŋ˩˧ʐi˥˥
ལྷོ	ɬo
གསའ	sa˥˥
སྒོང་ང	*zɡoŋŋa
བརྡ	ta˩˧
མིག	*mik
རབས	*raps
བརྩོན་འགྲུས	*prt͡sonᵑɡrus
ཡུལ	*jul
རྒྱལ་པོ	cɛː˩˧po˥˥
བཞི	ɣɪ˥˧
ཤེས	*ɕes
ཁྱི	*kʰʲi
འཕུར	*ᵐpʰur
དབང་ཕྱུག	wəŋ˥˥t͡ɕʰu˥˩
ཚེ་སྲོག	t͡sʰe˥˥so˥˩
འབྱེད	t͡ɕʰe˥˥
ལམ	*lam
སྲས་མོ	*srasmo
ལི་ཤི་མཚོན་འཁོར	*liɕimt͡sʰonᵑkʰor
གཉིས	ȵi
བརྒྱད	hd͡ʑal
ལྡན	*ldan
ཕྲག་པ	*pʰrakpa
ནུབ	nu˩˧˨
བྲན་གཡོག	ʈ͡ʂʰɛ̃˩˧jo˥˩
གདོན་འདྲེ	toŋ˩˧ʈ͡ʂeˑ
ཚ	*t͡sʰa
སློབ་གྲྭ་ཆེན་མོ	lap̚˥˥ʈ͡ʂa˥˥t͡ɕʰẽ˥˥mo˥˥
ཁ་ལོ་བ	*kʰaloba
གསང་སྤྱོད	*ksaŋspʲot
རྐྱང	caŋ˥˥
མོག་མོག	*mokmok
སློབ་གྲྭ	*zlopgrʷa
དགུ་བཅུ	*dɡupt͡ɕu
ཇ་སྲུབ་མ	*d͡ʑasrupma
ལག་པ	lak̚ˀ˩˧pa˥˥
ཚིག་མཛོད	t͡sʰiŋ˥˥t͡søː˥˩
བཟོ	*bzo
འབྱོར	t͡ɕaː˩˧
གོམ་པ་རྒྱག	kʰom˩˧pa˥˥ca˩˧˨
འཇིབ	t͡ɕip̚˩˧˨
འགྲེང་པོ	*ᵑɡreŋpo
སྤོ་བོ	*spobo
འཆད	ɕɛː˥˩
འབྲས་ལྗོངས་སྐད	ʈ͡ʂɛ̃˩˧t͡ɕoŋ˥˥kɛː˥˩
གནས	*gnas
མེ་ལོང	*meloŋ
རྒྱ	ca˩˧
པིར	piːɹ˥˥
པིར	*pir
འཆུ	t͡ɕʰyː˥˩
དུག	tək
བྱེད	t͡ɕʰe˩˧˨
ལོ་གསར	løː˩˧saː˥˥
རྩམ་པ	*rt͡sampa
གསུམ	ɣsəm
བདེ་ཐང	te˩˧tʰaŋ˥˥
རྩོམ	t͡som˥˩
ནུབ	*nup
མིང	*miŋ
མིག་དམར	*mikdmar
བདུན	hdən
ཀ་བ	*kaba
ཞེ་ས	ɕe˩˧˨saˑ
རྒྱལ་རབས	cɛː˩˧ʐəp̚˥˩
ཐམ་པ	tʰam˥˥pa˥˥
དམ་པ	*dampa
བཟོ་པ	*bzopa
ལྟེ་ཁུང	*ltekʰuŋ
མདོང་མོ	toŋ˩˧mo˥˥
གཏོར	*ktor
ཆེན་པོ	t͡ɕʰẽ˥˥po˥˥
སུ	su˥˥
གསའ	*ksaɣ
གང་འདྲ	*ɡaŋⁿdra
ཉི་ཤུ	ȵɪ˩˧xhu˥˧
ཤིང་འབྲས	*ɕiŋᵐbras
གཟའ་ལྷག་པ	*gzaɣl̥akpa
གཡུ	ju˥˥
ལུག	*luk
ཆང	t͡ɕʰaŋ˥˥
ཚེ་སྲོག	*t͡sʰesrok
མཚོ་གླིང	t͡sʰo˥˥liŋ˥˥
ཡོད	jøː˩˧˨
ཚན་རིག	t͡sʰɛ̃˥˥ʐi˥˩
བཀའ་ཤག	ka˥˥ɕa˥˩
སོ	*so
དབྱར་ཀ	*dbʲarka
བློ་བཟང	*blobzaŋ
བལ	pʰɛː˩˧
ཁ	kʰa˥˥
ཀླུང	*kluŋ
ནི	niˑ
ག	*ɡa
རིང་ལུགས	*riŋluks
བཀྲ་ཤིས	ʈ͡ʂə˥˥ɕi˥˩
མ་བྱན	*mabʲan
འབྲུག་སྐད་རྒྱག	ʈ͡ʂu˩˧kɛː˥˩ca˩˧˨
གསུམ	*ksum
མཉམ་དུ	ȵam˥˥tuˑ
བཞིན	*bʑin
གྱོན	kʰø̃˩˧
འ	*ɣa
མཁོ	*mkʰo
སྙམ	*zȵam
ཨ་རག	*ʔarak
འོད	ʔøː˩˧˨
འོངས	*ɣoŋs
དབྱར་རྩྭ་དགུན་འབུ	*dbʲarrt͡sʷadɡunᵐbu
བརྒྱུད	cyː˩˧˨
བསྟན་པ	tɛ̃˥˥pa˥˥
བརྒྱུད	*brɡʲut
མར	*mar
གསུམ	sɑ̃˥˥
སྒམ	hgam
དཀར་པོ	*tkarpo
རྩིག་པ	*rt͡sikpa
གངས	kʰaŋ˩˧˨
བདེ་ལེགས	te˩˧le˥˩
བརྒྱ	d͡ʑa˥˧
པད་ཚལ	pɛː˥˥t͡sʰɛː˥˥
བུད་མེད	*butmet
དབྱར་ཁ	*dbʲarkʰa
སྨན་པ	mɛ̃˥˥pa˥˥
ཐེར་འབུམ	*tʰerᵐbum
གཡེར་མ	jeːɹ˥˥ma˥˥
ཐ	*tʰa
ས་ཡ	*saja
འཁྲིད	*ᵑkʰrit
སྦྱིན་པ	t͡ɕĩ˩˧pə˥˥
ཟླ་བོ	*zlabo
འབྲུག་སྐད་རྒྱག	*ᵐbrukskatrɡʲak
བརྡ་རྙིང	tə˩˧ȵiŋ˥˥
སྐྱུར་མོ	*skʲurmo
ལྕགས	t͡ɕa˥˩
ཟས	sɛː˩˧˨
རྐང་རྩེད་སྤོ་ལོ	*rkaŋrt͡setspolo
ཁོག་ལྡིར	kʰoː˥˥tiŋ˥˥
བཞི	*bʑi
རྗེས་དྲན	*rd͡ʑesdran
བརླ་ཤ	lɛː˥˥ɕa˥˥
བྱེ	t͡ɕʰe˥˥
ཆུད	*t͡ɕʰut
བལྟས	tɛː˥˩
དེབ	tʰep̚˩˧˨
གཙང	*kt͡saŋ
ཞ	*ʑa
ལྕགས	t͡ɕɑʔ˥˧
གཟའ་ཟླ་བ	sa˩˧ta˩˧wa˥˥
ཀླུང	luŋ˥˩
གསོལ་དཀྲུམ	*ksoltkrum
རྨོ་མོ	*rmomo
ཨ་མ	*ʔama
ཉན་བྱེད་འཕྲུལ་ཆས	ȵɛ̃˩˧t͡ɕe˥˩ʈ͡ʂʰyː˥˥t͡ɕʰɛː˥˩
ལྕེ་ཚ	*lt͡ɕet͡sʰa
དགོངས་དག	*dɡoŋsdak
འཁྲོལ	ʈ͡ʂøː˥˥
དམ་པ	tʰam˩˧pa˥˩
འཐག	tʰak
ཞིང	*ʑiŋ
ཤོག་བུ	ɕu˥˥ku˥˥
འབྲས	nɖ͡ʐe˩˧
ཐང་ཀ	*tʰaŋka
ཁ་སང	*kʰasaŋ
མཇུག	*md͡ʑuk
སྐུལ་ཚིག	*skult͡sʰik
དགེ་བཤེས	ke˩˧ɕe˥˩
ང་ཚོ	*ŋat͡sʰo
འཇའ	*ⁿd͡ʑaɣ
འབྲི	ʈ͡ʂʰi˩˧
རྩི	*rt͡si
ཀེ་ར	*kera
ཀླད་ཀོར	*klatkor
ཤིང	*ɕiŋ
ཨ་མདོ	ʔam˥˥to˥˥
ཞོགས་པ	*ʑokspa
ཡང	jaŋ˩˧
སྔ	hŋa
ནང	naŋ˩˧
གྱི	*ɡʲi
གནམ་གཤིས	nəm˥˥ɕi˥˩
བཅུ	t͡ɕə
རིགས་རྒྱུད	*riksrɡʲut
ཁ་པར	kʰa˥˥paː˥˥
ཆར་པ	*t͡ɕʰarpa
ཆུ་ཚོད	*t͡ɕʰut͡sʰot
སྔ་དྲོ་བདེ་ལེགས	*zŋadrobdeleks
འདི	ti˩˧
གསོན་པོ	*ksonpo
ཀུན	*kun
གོག	*ɡok
སྐྱིད་པོ	ci˥˥poˑ
སྐྱོང	koŋ˥˩
མོག་མོག	mo˩˧mo˥˩
དམག་མི	*dmakmi
རྣམ་ཤེས	nam˥˥ɕe˥˩
མིག	mi˥˩
ལོ་མ	*loma
སྡོམ	hdom
འབའ	*ᵐbaɣ
སྨྲ	*zmra
ཡབ	jap̚˥˩
ཧ་ཡང	ha˥˥jaŋ˥˥
རང་དབང	*raŋdbaŋ
བརྒྱད་ཅུ	wɟjalt͡ɕə
བསོད་ནམས	*psotnams
དེབ་ཐེར	tʰep̚˩˧tʰeː˥˥
མཆོད	t͡ɕʰøː˥˩
ཤེལ	ɕeː˥˥
མདའ	ta˩˧
བཀྲ་ཤིས	*bkraɕis
ཤོས	*ɕos
ལྔ	rŋa
ཉོ	*ȵo
སེམས་ཅན	*semst͡ɕan
མཚན	*mt͡sʰan
བློ་མཐུན	lu˥˥tʰỹ˥˥
གངས་རིན་པོ་ཆེ	kʰaŋ˩˧˨ʐĩ˩˧pu˥˥t͡ɕʰiˑ
ཟ	sa˩˧
པི་ཝང	*piwaŋ
བྱ	t͡ɕa˥˥
ཆུང་བ	*t͡ɕʰuŋba
སྟོན་པ	*stonpa
འབྲས་བུ	*ᵐbrasbu
ནང་བསྟན	*naŋpstan
ལྔ	ŋa˥˧
རྒྱ་སྐད	ca˩˧kɛː˥˩
རྣམ	*rnam
འཐུང	tʰuŋ˥˥
ཨ་ལྕག	ʔa˥˥t͡ɕak̚ˀ˥˩
ཏཱ་ལའི་བླ་མ	ta˥˥lɛː˥˥la˥˥ma˥˥
སྒྱུ་རྩལ	*zɡʲurt͡sal
རླུང	*rluŋ
ཁར	*kʰar
སྟོབས	*stops
འོ་མ	ʔo˩˧ma˥˥
ནས	*nas
ཚིག	t͡sʰi˥˩
འབབ	pɑʔ˨˧˩
ཤེས་བྱ	ɕeː˥˥t͡ɕa˥˥
སྔ་དྲོ	*zŋadro
ཤོར	*ɕor
དཀར་ཆག	*tkart͡ɕʰak
ཐུགས་རྗེ་ཆེ	tʰuk̚ˀ˥˥t͡ɕeˑʈ͡ʂʰeˑ
ཞི་བདེ	ɕi˩˧ti˥˥
བརྒྱད་ཅུ	*brɡʲatt͡ɕu
དོམ	tʰom˩˧
འགྲོ་བ	*ᵑɡroba
དཔར་ཆས	*tpart͡ɕʰas
སློབ་སྟོན	*zlopston
བདུན	*bdun
བརྒྱ	hd͡ʑa
ལྷག་པ	ɬak̚ˀ˥˥pa˥˥
སྤྱི་ཚོགས	t͡ɕi˥˥t͡sʰo˥˩
སློབ་ཁྲིད་བྱེད	lop̚˥˥ʈ͡ʂʰi˥˩t͡ɕʰe˩˧˨
རྩྭ	t͡sa˥˥
དབང་སྒྱུར	*dbaŋzɡʲur
ཀ་ཏ་མན་ཏུ	ka˥˥ta˥˥mɛ̃˩˧tu˥˥
ལྗོངས	*ld͡ʑoŋs
བརྒྱད	wɟjal
དུག	tʰu˩˧˨
མཚོ	nt͡sʰo
དཀྲོལ	ʈ͡ʂøː˥˥
བདག་པོ	tak̚ˀ˩˧po˥˩
ཁྲག་ཁྲིག་ཆེན་པོ	*kʰrakkʰrikt͡ɕʰenpo
སྔོན་པོ	*zŋonpo
བསྟན	*pstan
བསྟན་པ	*pstanpa
མགུལ	*mɡul
ཐོབ	tʰop̚˥˩
རྒྱ་ནག	*rɡʲanak
ཆབ་སྲིད	t͡ɕʰəp̚˥˥si˥˩
ལི་ཤི	li˩˧ɕi˥˥
དེབ་ཐེར	*deptʰer
རྒྱ་མཚོ	*rɡʲamt͡sʰo
འབྲས་མོ་ལྗོངས	*ᵐbrasmold͡ʑoŋs
ཁམས	kʰam˥˩
ཞོགས་ཇ	*ʑoksd͡ʑa
བརྙན	*brȵan
མཁྱེན	cʰẽ˥˩
ཚེ་རིང	t͡sʰi˥˥ʐiŋ˥˩
རང་བྱུང	ʐəŋ˩˧t͡ɕuŋ˥˥
གཏམ	*ktam
རང	*raŋ
ཡི་དམ	ji˩˧təm˥˥
དབྱིན་ཇི	jĩ˥˥t͡ɕi˥˥
ཀླུང་མ	luŋ˥˩ma˩˧
དམག་དཔུང	*dmaktpuŋ
མགྲིན་པ	*mɡrinpa
ཆེན	*t͡ɕʰen
རང་བྱུང་ཁམས	ʐəŋ˩˧t͡ɕuŋ˥˥kʰam˥˩
རྒན་པོ	*rɡanpo
ལོ	*lo
དྲུག	ʈ͡ʂuʔ˨˧˩
ཤུབས	ɕup̚˥˩
ཟླ་བ	da˩˧wa˥˧
འཆི	xhe˥˧
སྨན་ཁང	*zmankʰaŋ
འབྲུག	nɖ͡ʐuʔ˥˧
སོ་པ	so˥˥pa˥˥
བོད་རང་སྐྱོང་ལྗོངས	pʰøː˩˧˨ʐaŋ˩˧coŋ˥˩t͡ɕoŋ˩˧˨
འབྲུག་སྐད	ʈ͡ʂu˩˧kɛː˥˩
བྱང་ཐང	*bʲaŋtʰaŋ
ཀྱི	*kʲi
ཁ	*kʰa
ཁྱིམ་རྒྱུད	cʰim˥˥cyː˥˩
འཆད	*ⁿt͡ɕʰat
ཤུག་པ	*ɕukpa
བློ་ཁོག	lo˥˥kʰo˥˩
འབྲས་ལྗོངས	ʈ͡ʂɛ̃˩˧t͡ɕoŋ˥˩
ཀེ་ར	ke˥˥ʐa˥˥
ལེགས	*leks
འབྲས	nɖ͡ʐɛ˥˥
བཤད	ɕɛː˥˩
རྟགས	*rtaks
བརྡ་རྙིང	*brdarȵiŋ
འོ་ན	ʔo˩˧naˑ
རྙིང་པ	*rȵiŋpa
བདུད	*bdut
ཁྲི	ʈ͡ʂʰi˥˧
རྣམ་དབྱེ	*rnamdbʲe
སྤྱི་ལེ	*spʲile
བརྙན	ȵɛ̃˥˥
ཨ་རག	ʔa˥˥ʐa˥˩
རྙིང	*rȵiŋ
ཚྭ	t͡sʰa˥˧
རྣམ་ཐར	*rnamtʰar
སྐུ	*sku
འབུམ	nbəm
བོད་ཡིག	pʰyː˩˧ji˥˩
སྒ	ka˩˧
བབས་ཆུ	*bapst͡ɕʰu
ཁྱིམ	*kʰʲim
སྙམ	ȵam˥˥
དབུ	*dbu
ཐེར་འབུམ་ཆེན་པོ	*tʰerᵐbumt͡ɕʰenpo
བྱ་གཏོར	t͡ɕʰa˩˧toːɹ˥˩
ལྡོག	*ldok
ལྷ	ɬa˥˥
མཛོ	*md͡zo
