liste	liʃtə
knupp	kʰnup
mittach	mitax
quele	kweːlə
pnëu	pneʊ̯
schach	ʃax
maale	mɔːlə
suppe	supə
oste	oʃtə
brille	prilə
nazismus	na͡tsismus
wesch	veʃ
krem	kreːm
sicht	siçt
stols	ʃtols
ihm	iːm
muschel	muʃl̩
schrecklich	ʃrekliç
text	tʰekst
staate	ʃtɔːtə
schwach	ʃvax
kemme	kʰɛmə
kerl	kʰɛl
hier	hiːɐ
urin	uriːn
gaarte	kɔːtə
mennlich	mænliç
nedich	neːriç
wespe	veʃpə
sandfloh	santfloː
tamburin	tʰampuriːn
schiller	ʃilɐ
sauer	saʊ̯ɐ
lockre	lokrə
ovend	oːvn̩t
aanung	ɔːnuŋ
februa	feːpruaː
hemm	hɛm
himd	himt
steier	ʃtaɪ̯ɐ
moos	moːs
beeder	peːrɐ
lumpe	lumpə
woherheet	voːɐheːt
dein	taɪ̯n
sibzen	sipt͡sn̩
spatze	ʃpat͡sə
schlachtung	ʃlaxtuŋ
ween	veːn
waan	vɔːn
schnall	ʃnal
aff	af
gift	kift
lieve	liːvə
gesetzlich	kəset͡sliç
trample	tramplə
scheine	ʃaɪ̯nə
torte	tʰɔtə
kolonie	kʰoloniː
nass	nas
finnef	finəf
kleen	kleːn
spanne	ʃpanə
hand	hant
manga	maŋka
russe	rusə
streichle	ʃtraɪ̯çlə
oder	oːrɐ
was	vas
zumache	t͡suːmaxə
boot	poːt
missione	misi̯oːnə
kapital	kʰapitaːl
weize	vaɪ̯t͡sə
schmitt	ʃmit
schiss	ʃis
leere	leːrə
gelleb	keləp
retter	retɐ
wetter	vetɐ
seite	saɪ̯tə
katze	kʰat͡sə
kerrich	kʰɛriç
tanke	taŋkə
menschlich	mɛnʃliç
radio	raːti̯o
kralle	kralə
naame	nɔːme
platze	plat͡sə
astre	aʃtrə
sitze	sit͡sə
herz	hɛ͡ts
lilje	liljə
zittre	t͡sitrə
streck	ʃtrek
zwieback	t͡sviːpak
renne	rɛnə
seck	sek
hesslich	hesliç
wachs	vaks
meer	meːɐ
gellebrieb	keləpriːp
laade	lɔːrə
gern	kɛn
meter	meːtɐ
ool	oːl
dich	tiç
ziel	t͡siːl
de	tə
nativ	natiːf
sproch	ʃprox
kramm	kram
neere	neːrə
tëlevisong	theləvisɔŋ
rëghierung	reçiːruŋ
lese	leːsə
komisch	kʰoːmiʃ
ungesund	unkəsunt
platt	plat
uff	uf
hellgrien	helkriːn
piff	pʰif
weert	veːɐt
dier	tiːɐ
sump	sump
sehn	seːn
schwitz	ʃvit͡s
putting	pʰutiŋ
stamper	ʃtampɐ
fusball	fuːspal
knie	kniː
saan	sɔːn
koche	kʰoxə
gelechenheet	kəleçn̩heːt
net	net
maske	maʃkə
rod	roːt
wunsch	vunʃ
scheed	ʃeːt
zweu	t͡svɔɪ̯
ochs	oks
kumplett	kʰumplet
frohe	froːə
rass	ras
awer	avəɾ
been	peːn
soje	soːʃə
schatte	ʃatə
forreb	fɔrəb
meister	maɪ̯ʃtɐ
schneid	ʃnaɪ̯t
stier	ʃtiːɐ
deitschland	taɪ̯͡tʃlant
pausa	pʰaʊ̯sa
kotze	kʰot͡sə
weib	vaɪ̯p
konkurrenz	kʰoŋkurɛnt͡s
wind	vint
aach	ɔːx
gescherr	kəʃɛr
puer	pʰuːɐ
schicht	ʃiçt
immer	imɐ
leeb	leːp
internet	intɐnet
reis	raɪ̯s
leicht	laɪ̯çt
sechzich	seçt͡siç
parente	pʰarɛntə
solle	solə
schopp	ʃop
onkel	ɔŋkl̩
miete	miːtə
zepp	t͡sep
schaum	ʃaʊ̯m
stumm	ʃtum
preis	praɪ̯s
kreft	kreft
wochenn	voxɛn
saure	saʊ̯rə
weiblich	vaɪ̯pliç
stiel	ʃtiːl
supp	sup
nod	noːt
kravatt	kravat
schissle	ʃislə
daafe	tɔːfə
sicherlich	siçɐliç
schleim	ʃlaɪ̯m
nacht	naxt
werklichkeet	verkliçkʰeːt
wech	veç
monatlich	moːnatliç
lerne	lɛnə
studente	ʃtutɛntə
kuvert	kʰuvɛt
ohne	oːnə
prinzessin	print͡sesin
lang	laŋ
matsch	mat͡ʃ
noch	nox
wollek	volk
schnuer	ʃnuːɐ
lasse	lasə
gesicht	kəsiçt
graas	krɔːs
leit	laɪ̯t
au	aʊ̯
woche	voxə
krache	kraxə
zwett	t͡svet
lande	lantə
wesche	veʃə
zaal	t͡sɔːl
knippe	knipə
wette	vetə
schliese	ʃliːsə
knapp	knap
griecheland	kriːçəland
ransch	ranʃ
sechseck	seksek
prime	priːmə
sofa	sofaː
weider	vaɪ̯rɐ
hauptstatt	hauptʃtat
ritz	rit͡s
mol	moːl
du	tuː
puhl	pʰuːl
abakaschi	apakaʃi
kraut	kraʊ̯t
schot	ʃoːt
wer	vɛɐ̯
schlapp	ʃlap
schlang	ʃlaŋ
opfer	opfɐ
poste	pʰoʃtə
pumpe	pʰumpə
stang	ʃtaŋ
peine	pʰaɪ̯nə
wachse	vaksə
monarkie	monarkiː
troost	troːʃt
stengel	ʃtɛŋl̩
weis	vaɪ̯s
schritte	ʃritə
xtayn	ʃtajn
strome	ʃtroːmə
sals	sals
puffe	pʰufə
kneppe	knepə
rolle	rolə
newel	nevl̩
tirolisch	tʰiroːliʃ
onnibus	ɔnipus
praktisch	praktiʃ
krach	krax
aan	ɔːn
wache	vaxə
kommunion	kʰomuni̯oːn
unfall	unfal
politik	pʰolitiːk
sechs	seks
schisser	ʃisɐ
mist	miʃt
leed	leːt
dachs	taks
zimmer	t͡simɐ
mond	moːnt
drei	traɪ̯
richter	riçtɐ
scherz	ʃɛt͡s
wasser	vasɐ
wach	vax
äerd	ɛːɐt
mied	miːt
muskel	muʃkl̩
linse	linsə
aanfenger	ɔːnfɛŋɐ
see	seː
seckel	sekl̩
pisse	pʰisə
uersach	uːɐsax
nochber	noxpa
millich	miliç
mitbringe	mitpɾiŋə
stump	ʃtump
prozess	prot͡ses
kinner	kʰinɐ
spitze	ʃpit͡sə
stros	ʃtroːs
mensch	mɛnʃ
himmel	himl̩
materiale	materiaːlə
ruh	ruː
malve	malvə
ellef	eləf
mich	mɪç
uns	uns
zink	t͡siŋk
null	nul
rehn	reːn
tee	tʰeː
krall	kral
sped	ʃpet
laterne	latɛnə
rehne	reːnə
schone	ʃoːnə
trieve	triːvə
sand	sant
aarem	ɔːrm̩
storz	ʃtɔt͡s
wichtich	viçtiç
fufzen	fuf͡tsn̩
lehm	leːm
ovend	oːmt
millichflasch	miliçflaʃ
steenich	ʃteːniç
schreck	ʃrek
lichter	liçtɐ
dreive	traɪ̯və
mask	maʃk
sieve	siːvə
geld	kelt
violine	violiːnə
roserod	roːzəroːt
krone	kroːnə
strick	ʃtrik
nazisdisch	na͡tsistiʃ
nichter	niçtɐ
politisch	pʰoliːtiʃ
pest	pʰeʃt
weisbrod	vaɪ̯sproːt
kokes	kʰoːkəs
eich	aɪ̯ç
schaffe	ʃafə
repple	replə
klasse	klasə
texte	tʰekstə
goiaab	kojɔːp
glick	klik
unschuld	unʃult
kanale	kʰanalə
spring	ʃpriŋ
trupp	trup
schuppe	ʃupə
sichte	siçtə
ihn	iːn
schall	ʃal
schoppe	ʃopə
faust	faʊ̯ʃt
normal	normaːl
schneide	ʃnaɪ̯rə
en	n̩
treppe	trepə
kiss	kʰis
brieh	briː
sacolas	sakolas
laus	laʊ̯s
faul	faʊ̯l
zinn	t͡sin
schipp	ʃip
wiest	viːʃt
welte	veltə
aue	aʊ̯ə
vasos	vaːsos
enstatt	n̩ʃtat
wild	vilt
ruf	ruːf
aussihn	aʊ̯ssiːn
stinkdier	ʃtiŋktiːɐ
bohn	poːn
korz	kʰɔt͡s
sardin	satiːn
sofas	sofaːs
wille	vilə
mol	moː
nier	niːɐ
senger	sɛŋɐ
mut	muːt
nazione	nat͡si̯oːnə
faare	fɔːrə
nest	neʃt
ricke	rikə
sekund	sekunt
dorrich	tɔɾɪç
landkaart	lantkʰɔːt
kohle	kʰoːlə
omelett	omelet
aarschloch	ɔːʃlox
schlott	ʃlot
braun	praʊ̯n
danke	taŋkə
messdiener	mestiːna
person	pʰɛsoːn
lecke	lekə
där	tɛː
kilometer	kʰilomeːtɐ
mul	muːl
statt	ʃtat
worte	vɔtə
packe	pʰakə
zaun	t͡saʊ̯n
wickle	viklə
peil	pʰaɪ̯l
stift	ʃtift
trenne	trɛnə
zwern	t͡svɛn
krepp	krep
springe	ʃpriŋə
gehn	keːn
leen	leːn
nehe	neːə
picke	pʰikə
italje	italjə
raume	raʊ̯mə
dun	toːn
schwarz	ʃva͡ts
kot	kɔt
zins	t͡sins
menz	mɛns
eherlich	eːɐliç
spiele	ʃpiːlə
sterne	ʃtɛnə
zeich	t͡saɪ̯ç
streiche	ʃtraɪ̯çə
stehn	ʃteːn
das	tas
lenke	lɛŋkə
schlesser	ʃlesɐ
skorpion	ʃkorpioːn
lamm	lam
zecke	t͡sekə
brumme	prumə
sin	sin
praia	praɪ̯a
stoppe	ʃtopə
werre	vɛrə
kech	kex
perle	pʰɛlə
moviment	movimɛnt
schutzengel	ʃut͡sɛŋl̩
keefer	kʰeːfɐ
gesund	kəsunt
mamma	mama
hochtsayt	hɔxtsajt
arschentina	arʃn̩tiːna
waser	vasəɾ
ennre	ɛnrə
feier	faɪ̯ɐ
luft	luft
schmutz	ʃmu͡ts
leffel	lefl̩
spaad	ʃpɔːt
waffe	vafə
planet	planeːt
tappes	tʰapəs
latein	lataɪ̯n
brenne	prɛnə
raucher	raʊ̯xɐ
kanone	kʰanoːnə
wollef	voləf
grien	kriːn
kuh	kʰuː
fest	feʃt
zeidich	͡tsaɪ̯riç
strom	ʃtroːm
reiche	raɪ̯çə
meiler	maɪ̯lɐ
messer	mesɐ
soot	soːt
tritt	trit
rausche	raʊ̯ʃə
ringfinger	riŋfiŋɐ
seh	seː
dreen	treːn
katz	kʰa͡ts
finger	fiŋɐ
taach	taːx
foghel	foːxl̩
lengst	lɛŋʃt
walse	valsə
zaam	t͡sɔːm
schlof	ʃloːf
leie	laɪ̯ə
ned	neːt
fraa	frɔː
menner	mɛnɐ
loch	lox
million	mili̯oːn
hon	hɔn
punkt	pʰuŋkt
prim	priːm
stimme	ʃtimə
schnut	ʃnuːt
aanfank	aːnfaŋk
stolper	ʃtolpɐ
pianos	pʰiaːnos
kreh	kreː
seid	saɪ̯t
niss	nis
brasil	prasil
weele	veːlə
klarinette	klarinetə
nickel	nikl̩
fenster	fɛnʃtɐ
schwamm	ʃvam
unsicher	unsiçɐ
nazion	nat͡si̯oːn
aarveter	ɔːrvətɐ
niese	niːsə
polente	pʰolɛntə
teme	tʰeːmə
waffle	vaflə
material	materiaːl
meergrien	meːɐkriːn
kellich	kʰeliç
disch	tiʃ
prisong	prisɔŋ
mer	mɐ
schwelle	ʃvelə
mick	mik
baade	pɔːrə
mass	mas
die	tiː
goiaab	kojaːp
grau	kraʊ̯
love	loːvə
matratze	matrat͡sə
konferenz	kʰonfərɛnt͡s
sinonim	sinoːnim
sticker	ʃtikɐ
stecke	ʃtekə
klang	klaŋ
wellef	veləf
sechzen	seç͡tsn̩
naacht	naːxt
kett	kʰet
sies	siːs
krist	kriʃt
rock	rok
pomata	pʰomaːta
wever	veːvɐ
maus	maʊ̯s
reese	reːsə
kanal	kʰanal
monde	moːntə
korste	kʰɔʃtə
kerle	kʰɛlə
drock	trok
watte	vatə
micke	mikə
leser	leːsɐ
kapitel	kʰapitl̩
bërinschela	perinʃela
zippe	t͡sipə
seif	saɪ̯f
aanbasse	ɔːnpasə
stock	ʃtok
brunne	prunə
letter	letɐ
nenne	nɛnə
schwimme	ʃvimə
satellit	satəliːt
leve	leːvə
laab	lɔːp
planz	plant͡s
karre	kʰarə
peif	pʰaɪ̯f
mein	maɪ̯n
parent	pʰarɛnt
gesundheet	kəsuntheːt
aarmel	ɔːrml̩
petze	pʰet͡sə
scherze	ʃɛt͡sə
mineralwasser	minəraːlvasɐ
wackle	vaklə
strich	ʃtriç
neint	naɪ̯nt
neher	neːɐ
spinne	ʃpinə
riwle	rivlə
monate	moːnatə
spritze	ʃprit͡sə
uerwald	uːɐvalt
monat	moːnat
deitsch	taɪ̯͡tʃ
orde	ɔtə
planz	plans
daume	taʊ̯mə
kepp	kʰep
kiste	kʰiʃtə
zehe	t͡seːə
mote	moːtə
liehe	liːə
maure	maʊ̯rə
karette	kʰaretə
pulver	pʰulvɐ
pisin	pʰisiːn
stolpre	ʃtolprə
meen	meːn
wimper	vimpɐ
panz	pʰant͡s
scheme	ʃeːmə
werklich	vɛrkliç
seel	seːl
nitterlande	nitɐlantə
knepp	knep
perl	pʰɛl
konto	kʰonto
wuchs	vuks
kurve	kʰurvə
kaue	kʰaʊ̯ə
gesundheit	kəsunthaɪ̯t
montach	moːntax
lampe	lampə
fier	fiːɐ
kohl	kʰoːl
kiche	kʰiçə
australje	aʊ̯ʃtraljə
profeet	profeːt
raum	raʊ̯m
zange	t͡saŋə
scha	ʃaː
weine	vaɪ̯nə
freind	fraɪ̯nt
sohl	soːl
speen	ʃpeːn
schalle	ʃalə
schwäer	ʃvɛːɐ
spruch	ʃprux
hunsrickisch	hunsrikiʃ
licht	lɪxt
haan	hɔːn
stetter	ʃtetɐ
schicke	ʃikə
trieb	triːp
wort	vɔt
zettel	t͡setl̩
kump	kʰump
nackich	nakiç
dann	tan
stall	ʃtal
lehe	leːə
schleppe	ʃlepə
stern	ʃtɛn
stell	ʃtel
lohne	loːnə
korst	kʰɔʃt
mineral	minəraːl
stinke	ʃtiŋkə
zeid	t͡saɪ̯t
traire	traiːrə
eherlichkeit	eːɐliçkʰaɪ̯t
sicher	siçɐ
zufried	t͡sufriːt
planete	planeːtə
sohn	soːn
steen	ʃteːn
sauver	saʊ̯vɐ
weck	vek
aadler	ɔːtlɐ
kraft	kraft
steck	ʃtek
schiff	ʃif
krank	kraŋk
schapong	ʃapɔŋ
obwohl	oːpvoːl
sardine	satiːnə
aanannerbappe	ɔːnanɐpapə
sinne	sinə
minister	miniʃtɐ
konfus	konfuːs
kuhmist	kʰuːmiʃt
konkurrenze	kʰoŋkurɛnt͡sə
kette	kʰetə
berrich	pɛriç
schwimmer	ʃvimɐ
stross	ʃtros
glaave	klɔːvə
aanstrengung	ɔːnʃtrɛŋuŋ
rester	reʃtɐ
aanstreiche	ɔːnʃtraɪ̯çə
stiefmutter	ʃtiːfmutɐ
sose	soːsə
klass	klas
zung	t͡suŋ
mede	meːrə
daa	tɔː
putsch	pʰut͡ʃ
schof	ʃoːf
maul	maʊ̯l
losse	losə
satz	sat͡s
schlappe	ʃlapə
wand	vant
joher	joːɐ
daal	tɔːl
knall	knal
witz	vit͡s
zwinge	t͡sviŋə
weie	vaɪ̯ə
blumm	plum
mitte	mitə
zehn	t͡seːn
dreizen	traɪ̯͡tsn̩
sinner	sinɐ
prinz	prins
auto	aʊ̯to
glaas	klɔːs
eppel	epl̩
tunkelheet	tuŋkəlheːt
traue	traʊ̯ə
zitrone	t͡sitroːnə
spott	ʃpot
papier	pʰapiːɐ
wichs	viks
satellite	satəliːtə
froh	froː
luxemborrich	luksm̩pɔriç
spucke	ʃpukə
zeche	t͡seçə
naus	naʊ̯s
peffermenz	pʰefɐmɛns
palme	pʰalmə
koste	kʰoʃtə
rios	riːos
schun	ʃun
ritze	rit͡sə
abakattebaam	apakatəpɔːm
kontinent	kʰontinɛnt
mos	moːs
esse	esə
watt	vat
well	vel
laam	lɔːm
naas	nɔːs
schichte	ʃiçtə
baad	pɔːt
hex	heks
aarschdaarem	ɔːʃtɔːrm̩
schwanz	ʃvans
schote	ʃoːtə
daaf	tɔːf
ordne	ɔtnə
rëlighion	reliçi̯on
rëghion	reçioːn
lupp	lup
naaghel	nɔːxl̩
maschin	maʃiːn
sind	sint
list	liʃt
kremp	krɛmp
steche	ʃteçə
knoche	knoxə
kih	kʰiː
klamme	klamə
ove	oːvə
niere	niːrə
krempe	krɛmpə
kisse	kʰisə
schrank	ʃraŋk
neinzen	naɪ̯n͡tsn̩
munde	muntə
spitz	ʃpit͡s
gold	kolt
schlitze	ʃlit͡sə
suckle	suklə
spass	ʃpas
schnuppe	ʃnupə
sprich	ʃprix
ros	roːs
aanzugh	ɔːnt͡suːç
kropp	krop
mih	miː
patente	pʰatɛntə
mitz	mit͡s
lein	laɪ̯n
kopp	kʰop
nist	niʃt
knipp	kʰnip
schuss	ʃus
polnisch	pʰolniʃ
partikular	pʰatikulaːr
weise	vaɪ̯sə
baart	pɔːt
leef	leːf
spule	ʃpuːlə
polack	pʰolak
rose	roːsə
fisch	fiʃ
truppe	trupə
äerdbeer	ɛːɐtpeːɐ
lins	lins
dod	toːt
nutze	nut͡sə
reichre	raɪ̯çrə
reife	raɪ̯fə
konferenze	kʰonfərɛnt͡sə
praias	praɪ̯as
tunke	tʰuŋkə
sterz	ʃtɛt͡s
spinn	ʃpin
keenichin	kʰeːniçin
toych	tɔjx
gester	keʃtɐ
papiere	pʰapiːrə
nummer	numɐ
staal	ʃtɔːl
lehne	leːnə
lanz	lans
mit	mit
weste	veʃtə
maniok	manioːk
piss	pʰis
zebras	t͡seːpras
feilche	faɪ̯lçə
aapehoer	ɔːpəhoːɐ
lung	luŋ
herr	hɛr
äärem	ɛːrm̩
rettung	retuŋ
straus	ʃtraʊ̯s
rechne	reçnə
bäer	pɛːɐ
ruhe	ruːə
zeh	t͡seː
rufe	ruːfə
kraan	krɔːn
tausend	tʰaʊ̯sn̩t
netz	net͡s
schule	ʃuːlə
achtzen	ax͡tsn̩
wisse	visə
winsche	vinʃə
med	meːt
schlachte	ʃlaxtə
luchs	luks
rieche	riːçə
simp	simp
nitter	nitɐ
herrebst	hɛrəpʃt
sei	saɪ̯
patt	pʰat
prozent	prot͡sɛnt
salse	salse
siete	siːtə
zipp	t͡sip
gott	kɔt
some	soːmə
sammlung	samluŋ
dank	taŋk
minutt	minut
seele	seːlə
pizza	pit͡sa
fabrick	faprik
laut	laʊ̯t
keller	kʰelɐ
blau	plaʊ̯
damm	tam
ferbasse	fɐpasə
kreische	kraɪ̯ʃə
rau	raʊ̯
rang	raŋ
maschine	maʃiːnə
schloss	ʃlos
ooze	oːt͡sə
eel	eːl
mitglied	mitkliːt
not	noːt
nister	niʃtɐ
wein	vaɪ̯n
sorte	sɔtə
kist	kʰiʃt
persche	pʰɛʃə
mitsinge	mitsiŋə
wend	vent
reck	rek
sakrament	sakramɛnt
mittelfinger	mitl̩fiŋɐ
zitron	t͡sitroːn
ring	riŋ
terrenos	tʰereːnos
schrecke	ʃrekə
merz	mɛ͡ts
mantel	mantl̩
macher	maxɐ
lieb	liːb
stricke	ʃtrikə
lehn	leːn
sein	saɪ̯n
milse	milsə
steie	ʃtaɪ̯ə
stamm	ʃtam
stett	ʃtet
spieler	ʃpiːlɐ
naast	nɔːʃt
aanbacke	ɔːnpakə
mentel	mentl̩
litter	litɐ
schlau	ʃlaʊ̯
es	əs,es
treffe	trefə
levendich	leːvn̩tiç
mihe	miːə
haut	haʊ̯t
pole	pʰoːlə
sehe	seːə
schwaart	ʃvɔːt
leine	laɪ̯nə
linje	linjə
zaan	͡tsɔːn
lunge	luŋə
ratte	ratə
stampe	ʃtampə
zang	t͡saŋ
wutz	vut͡s
sinke	siŋkə
leer	leːɐ
schutze	ʃut͡sə
rind	rint
gros	kroːs
schluck	ʃluk
unglick	unklick
daafel	tɔːfl̩
china	ʃiːna
lenner	lenɐ
uffs	ufs
klingel	kliŋl̩
keen	kʰeːn
strecke	ʃtrekə
rand	rant
leerer	leːrɐ
ziehe	t͡siːə
schnitt	ʃnit
franzeesisch	fran͡tseːsiʃ
glicklich	klikliç
heilich	haɪ̯liç
lotterie	loteriː
natuer	natʰuːɐ
strauch	ʃtraʊ̯ç
schuh	ʃuː
rechts	reçt͡s
komputatoer	komputatoːɐ
wund	vunt
misse	misə
daab	tɔːp
klarinett	klarinet
setze	set͡sə
schwanger	ʃvaŋɐ
fayer	fajəɾ
lojas	loːʃas
mund	munt
massiv	masiːf
werst	vɛʃt
rode	roːrə
sprecherei	ʃpreçəraɪ̯
lenge	lɛŋə
hellblau	hɛlplaʊ̯
tante	tʰantə
silver	silvɐ
aviong	aviɔŋ
dun	tuːn
schwarzbier	ʃvaʁt͡sbiːɐ̯
stempel	ʃtɛmpl̩
spritz	ʃprit͡s
tomatt	tʰomat
prinz	print͡s
sohle	soːlə
pihl	pʰiːl
zeichne	t͡saɪ̯çnə
neinzich	naɪ̯nt͡siç
pause	pʰaʊ̯sə
schein	ʃaɪ̯n
wutze	vut͡sə
un	un
lanz	lant͡s
staab	ʃtɔːp
lämmer	lɛmɐ
kritisch	kriːtiʃ
sparre	ʃparə
zimmermann	t͡simɐman
neid	naɪ̯t
rute	ruːtə
leis	laɪ̯s
aart	ɔːt
nutel	nuːtl̩
schlank	ʃlaŋk
spuck	ʃpuk
kritisiere	kritisiːrə
modern	motɛn
seit	saɪ̯t
kriegh	kriːç
aananner	ɔːnanɐ
skelett	ʃkelet
fluss	flus
oostre	oːʃtrə
keenich	kʰeːniç
rio	riːo
zebra	t͡seːpra
munizippal	munit͡sipaːl
panne	pʰanə
klemme	klɛmə
schrappe	ʃrapə
persone	pʰɛsoːnə
spess	ʃpes
statts	ʃta͡ts
simbol	simpol
butter	putɐ
klamm	klam
fatter	fatɐ
roll	rol
keim	kʰaɪ̯m
schnalle	ʃnalə
eher	eːɐ
koch	kox
masch	maʃ
lift	lift
brick	pril
reif	raɪ̯f
tempel	tʰɛmpl̩
portugal	pʰortukaːl
sinfonie	sinfoniː
schissel	ʃisl̩
