lyfta	lɪʰta
drunnhvíti	tɹʊnːkvʊiːtɪ
dollari	tɔlːaɹɪ
gjógv	tʃɔɑːjɪr
mjødn	mjœtn
vín	vʊiːn
meðan	meːan
baka	pɛaːʰka
stigbending	stiːpɛntɪŋk
pannukøka	pʰanːʊkʰøːʰka
breiður	pɹaijʊɹ
hurð	huːɹ
sveisari	svaisarɪ
turkmenistan	tʰʊɹ̥kmeːnɪstan
altar	al̥taɹ
havið	hɛaːvɪ
frøðingur	fɹøːjɪnkʊɹ
fýlum	fʊiːlʊn
selma	sɛlma
torleivur	tʰɔɹlaiːvʊɹ
greypfrukt	kɾɛiːpfɾʊʰkt
síða	sʊiːja
valborgarmessa	valpɔɹkaɹmɛsːa
klipp	kʰlɪʰpː
umskera	ʊmʃeːɹa
mistilteinur	mɪstɪltʰaiːnʊɹ
pungur	pʰuŋkʊɹ
petti	pʰɛʰtːɪ
bryggja	pɾɪt͡ʃːa
ok	oːʰk
bidna	pɪtnːa
plantuolja	plan̥tʊɔlja
spann	spanː
hákallur	hɔɑːkatlʊɹ
benin	peniːn
kettu	t͡ʃʰɛʰtːʊ
ragnheiður	ɹaknhaiːjʊɹ
jarma	jaɹma
nudla	nʊtla
skipari	ʃiːpaɹɪ
andlát	anlɔɑːʰt
plumba	pʰlʊmpa
satt	saʰtː
stavur	stɛaːvʊɹ
bast	past
arnar	aɻɳaɹ
blýggj	plʊt͡ʃː
biva	piːva
sálva	sɔlva
fani	fɛaːnɪ
eyðkvæmi	ɛʰkːvɛaːmɪ
alisfrøði	ɛaːlɪsfɾøːjɪ
skemtiteknari	ʃɛm̥tɪtʰɛknaɹɪ
knútur	kʰnʉuːtʊɹ
sáð	sɔɑː
likka	lɪʰkːa
kuffert	kʰʊfːɛɹ̥ʈ
sú	sʉuː
svar	svɛaːɹ
sjokuláta	ʃoːʰkʊlɔɑːʰta
fønari	føːnaɹɪ
tjørnuvíkingur	tʃʰœtnuvɪʃɪnkʊɹ
fossar	fɔsːaɹ
ata	ɛaːʰta
skøta	skøːʰta
súla	sʉuːla
reyðkollur	ɹɛiːjkʰɔtlʊɹ
búi	pʉuːwɪ
trúbót	tʰɹʉuːwpɔuːt
kjadd	tʃʰatː
kelda	tʃʰɛlta
dóttir	tœʰtːɪɹ
nevna	nɛvna
mjúkur	mjʉuːkʊɹ
handski	han̥ːʃɪ
kjølur	t͡ʃʰøːlʊɹ
edikur	eːtɪʰkːʊɹ
flugusoppur	fluːʊsɔʰpːʊɹ
floti	floːʰtɪ
dagur	tɛaːvʊɹ
brekka	pɾɛʰkːa
t	tʰ
finnland	fɪnːlant
grótbræðing	kɾɔuːtpɾɛaːjɪŋk
langavi	lɛŋkɛaːvɪ
goti	koːʰtɪ
klæði	kʰlɛaːjɪ
eystur	ɛstʊɹ
otur	oːʰtʊɹ
hælur	hɛaːlʊɹ
varð	vɛaːɹ
hørpa	hœɹ̥pa
ekki	ɛʰt͡ʃːɪ
upplýsing	ʊʰplʊiːjsiŋk
skel	ʃeːl
kýr	kʰʊiːjr
eygnaviðgerð	ɛknavit͡ʃːeːɹ
standmynd	stantmɪnt
árni	ɔdnɪ
teisti	tʰaiːstɪ
a	ɛaː
dómur	tɔuːmʊɹ
tarmur	tʰaɹmʊɹ
mjólkarsukur	mjœl̥kaɹsuːkʊɹ
trýsta	tɾʊiːʃta
hattvíkingur	haʰtːɪʃɪŋkʊɹ
fitisýra	fiːtɪsʊiːɹa
gjósa	t͡ʃɔuːsa
svangur	svɛŋkʊɹ
sjeikur	ʃaiːkʊɹ
tík	tʰʊiːjk
ættir	aʰtːɪɹ
øvundsjúkur	øːvʊnʃʉuːkʊɹ
lag	lɛaː
pakistan	pʰaʰkistan
tó	tʰouː
keypmannahavn	tʃʰɛʰpmanːahavn
jallur	jatlʊɹ
hjørð	jøːɹ
tónleikari	tʰɔuːnlaikaɹɪ
genta	t͡ʃɛn̥ta
slektbólkur	slɛʰktpœl̥kʊɹ
landslag	lanslɛaː
einkja	ɔiɲ̊t͡ʃːa
fjara	fjɛaːɹa
drúva	tɾʉuːva
pera	pʰeːɹa
geit	kaiːt
dagný	taknʊiː
kanning	kʰanːɪŋk
maður	mɛaːvʊɹ
heiðarýpa	haiːjaɹʊiːpa
týðari	tʰʊiːjaɹɪ
kavi	kʰɛaːvɪ
ja	jɛaː
pætursmessa	pʰɛaːtʊʂmɛsːa
list	lɪst
kasta	kʰasta
ormum	ɔɹmʊn
talorð	tʰɛaːloːɹ
kvennkyn	kfɛn̥ːtʃʰiːn
njálur	nʲɔɑːlʊɹ
horn	hɔtn
tog	tʰoː
fluga	fluːwʊ
bjóða	pjɔuːwa
l	l
kólna	kʰœlna
fýla	fʊiːla
hora	hoːɹa
trý	tɾʊiː
lundi	lʊntɪ
ungarskur	ʊŋkaʂkʊɹ
oddbjørn	ɔtpjœtn
floyta	flɔiːjta
ferðagjald	feːɹatʃalt
eftir	ɛʰtːɪɹ
mestur	mɛstʊɹ
siga	siːja
kraft	kɹaft
munum	muːnʊn
sigarett	sikaɹɛʰtː
standa	stanta
epli	eːʰplɪ
skorsteinur	skɔʂstaiːnʊɹ
babbað	papːa
tóm	tʰɔuːm
rái	ɹɔɑːjɪ
jonn	jɔnː
aprikosa	apɹikoːsa
gongur	kɔŋkʊɹ
flysa	fliːsa
oyðin	ɔiːjɪn
fólk	fœl̥k
krakkur	kɹaʰkːʊɹ
stórur	stɔuːɹʊɹ
kallkyn	kʰal̥tʃʰiːn
undirætt	ʊntɪɹaʰtː
smiður	smiːjʊɹ
kalkun	kʰal̥kʰuːn
perutræ	pʰeɛːɹʊtɹɛaː
øðuskel	øːvʊʃeːl
eimur	aiːmʊɹ
fuglfirðingur	fʊl̥fɪɹɪŋkʊɹ
banki	paɲ̊t͡ʃɪ
skák	skɔɑːʰk
soppur	sɔʰpːʊɹ
kvøða	kvøːa
flogvøllur	floːvœtlʊɹ
duga	tuːwa
ala	ɛaːla
múrur	mʉuːɹʊɹ
frysta	fɾɪsta
krógv	kʰɾɛkv
samband	sampant
økja	øːʰtʃa
føroyskt	føːɹɪst
krúpa	kʰɹʉuːpa
systir	sɪstɪɹ
gangi	kɛɲt͡ʃɪ
sátan	sɔɑːʰtan
agað	ɛːa
hatur	hɛaːʰtʊɹ
krossur	kʰɹɔsːʊɹ
bratsj	pɾaʰt͡ʃː
forhúð	fɔɹhʉuː
venjingardystur	vɛnjɪŋkaɹtɪstʊɹ
nørdur	nœɻʈʊɹ
vinur	viːnʊɹ
grønlendskt	kɾœnlɛŋ̊kst
hest	hɛst
berjalyngur	pɛɹjalɪŋkʊɹ
deyvur	tɛiːvʊɹ
ari	ɛaːɹɪ
kvirra	kvɪɹːa
vetrarbreyt	veːʰtɹaɹpɾɛiːt
havørn	hɛaːvœɻɳ
oksi	ɔʰksɪ
runnur	ɹʊnːʊɹ
kjøra	t͡ʃʰøːɹa
sigfríður	sɪkfɾʊiːjʊɹ
starv	starv
tari	tʰɛaːɹɪ
ást	ɔst
sveinur	svaiːnʊɹ
hamara	hɛaːmaɹa
vitur	viːtʊɹ
ættum	aʰtːʊn
lýri	lʊiːɹɪ
dimmbláur	tɪmːplɔaːwʊɹ
mætur	mɛaːʰtʊɹ
leggur	lɛkːʊɹ
mýrisnípa	mʊiːɹɪsnʊiːpa
sálarmessa	sɔaːlaɹmɛsːa
vakt	vaʰkt
toy	tʰœiː
kjarni	tʃʰatnɪ
høvn	hœvn
kór	kʰɔuːɹ
fótbóltsvøllur	fɔuːtpœl̥tsvœtlʊɹ
asni	asnɪ
eiður	aiːjʊɹ
árið	ɔɑːɹɪ
páll	pʰɔtl
dimmreyður	tɪmːɹɛiːjʊɹ
neyt	nɛiːt
setningur	sɛtnɪŋkʊɹ
skriva	skɾiːva
yvirhópur	iːvɪɹhɔuːpʊɹ
sild	sɪlt
ríki	ɹʊiːtʃɪ
bláur	plɔɑːvʊɹ
bævur	pɛaːvʊɹ
münchen	mʏn̥ʃɛn
ítróttur	ʊitɹœʰtːʊɹ
sekki	sɛʰt͡ʃːɪ
mer	meːɹ
kúnum	kʰʉunːʊn
týrur	tʰʊiːjɹʊɹ
skjól	ʃɔuːl
neyvleiki	nɛiːvlaiːʰt͡ʃɪ
fár	fɔaːɹ
skúm	skʉuːm
motta	mɔʰtːa
veit	vaiːt
kræklingur	kɹɛaːklɪŋkʊɹ
hjún	tʃʰʉuːn
sverri	svɛɹːɪ
sorg	sɔɹk
ráð	ɹɔɑː
skeið	skaiːj
yngd	ɪŋkt
kusa	kʰuːsa
kort	kʰɔɻ̊ʈ
fall	fatl
lyngur	lɪŋkʊɹ
harpa	haɹ̥pa
fyrisetingarorð	fiːɹɪsetɪŋkaɹoːɹ
tættur	tʰaʰtːʊɹ
rókur	ɹɔuːkʊɹ
íbúgvi	ʊipɪkvɪ
fylgja	fɪʎtʃa
vandi	vantɪ
granni	kɾanːɪ
ásbjørn	ɔspjœtn
r	ɹ
hús	hʉuːs
koyta	kʰɔita
eygnalækni	ɛknalahknɪ
gingu	t͡ʃɪŋkʊ
vára	vɔaːɹa
skipa	ʃiːpa
saltsýra	sal̥tsʊiːɹa
ragnarøk	ɹaknaɹøːʰk
gull	kʊtl
køttur	kʰœʰtːʊɹ
fata	fɛaːʰta
stjørnufrøði	ʃœtnʊfrøːjɪ
skaði	skɛaːjɪ
føri	føːɹɪ
fjør	fjøːɹ
sett	sɛʰtː
leiftur	laʰktʊɹ
ulka	ʊl̥ka
rann	ranː
vjetnam	vjɛʰtnam
degnum	tɛknʊn
dýsa	tʊiːsa
mágur	mɔaːvʊɹ
gudfrøði	kʊfːɾøːjɪ
regin	ɹeːjɪn
kvið	kfiːj
stubbi	stʊpːɪ
illur	ɪtlʊɹ
do	toː
bjørn	pjœtn
vínber	vʊinpeɛːɹ
sjúrður	ʃʉuːɹʊɹ
gingið	t͡ʃɪɲt͡ʃɪ
kommuna	kʰɔmuːna
brundur	pɾʊntʊɹ
sámi	sɔɑːmɪ
líggja	lʊɪt͡ʃːa
vavv	vavː
verkstaður	vɛɹ̥kstɛaːvʊɹ
vinalag	viːnalɛa
hond	hɔnt
ý	ʊiː
eysturoy	ɛstʊrɔiː
kyndilsmessa	tʃʰɪntɪlsmɛsːa
fjørður	fjøːɹʊɹ
bergur	pɛɹkʊɹ
hvønn	kfœnː
skjøldur	ʃœltʊɹ
tøknifrøði	tʰœʰknɪfrøːjɪ
rødd	ɹœtː
alga	alka
grindahvalur	krɪntakʰvɛaːlʊɹ
jarn	jatn
miðøld	miːœlt
áttu	ɔʰtːʊ
ertnasúpan	ɛɻ̊tɳasʉuːpan
álvheiður	ɔlvhaiːjʊɹ
gervi	tʃɛɹvɪ
sætt	saʰtː
gáta	kɔɑːta
kráka	kʰɾɔɑːʰka
trúgva	tɹɪkva
rópa	ɹɔuːpa
grikki	kɾɪʰt͡ʃːɪ
skál	skɔɑːl
so	soː
hvæl	kvɛaːl
skúvoyingur	skʉuːvɪŋkʊɹ
neyst	nɛst
knettasúpan	kʰnɛʰtːasʉuːwpan
álvaratos	ɔlvaratʰoːs
fitna	fɪʰtna
russland	ɹʊsːlant
tummasmessa	tʰʊmːasmɛsːa
fjós	fjɔus
jólamaður	jɔuːlamɛaːvʊɹ
eyga	ɛiːja
greivi	kraiːvɪ
romi	ɹoːmɪ
krókur	kʰɾɔuːkʊɹ
sjúkur	ʃʉuːkʊɹ
hjalti	jal̥tɪ
verð	veːɹ
talvfólk	tʰalfœl̥k
g	k
monika	moːnɪka
s	s
jennur	jɛnːʊɹ
venjing	vɛnjɪŋk
ernst	ɛɻɳst
karin	kʰɛaːɹɪn
staður	stɛaːvʊɹ
vær	vɛaːɹ
inda	ɪnta
húgva	hɪkva
muskattnøt	muskaʰtːnøːʰt
leyv	lɛiːv
fýrikur	fʊiːɹɪkʊɹ
hara	hɛaːɹa
lína	lʊiːna
spennandi	spɛnːantɪ
sagnorð	saknoːɹ
onnu	ɔnːʊ
landslið	lansliːj
fríður	fɹʊiːjʊɹ
seiður	saiːjʊɹ
orði	oːɹɪ
stór	stɔuːɹ
váttur	vɔʰtːʊɹ
ask	ask
lógvi	lɛkvɪ
verji	vɛɹjɪ
torbergur	tʰɔɹpɛɹkʊɹ
verða	veːɹa
gosoyggj	ɡoːsɔit͡ʃː
lægd	lakt
iran	iːɹan
kvæði	kvɛaːjɪ
ingimundur	ɪɲt͡ʃɪmʊntʊɹ
áki	ɔɑːʰt͡ʃɪ
ryta	ɹiːta
baksturvøra	paʰkstʊɹvøːɹa
teldupostur	tʰɛltʊpʰɔstʊɹ
lyfta	lɪfta
lords	lɔɻʈs
ivi	iːvɪ
v	v
sakaris	sɛaːʰkaɹɪs
pílatræ	pʰʊiːlatʰɾɛaː
koppur	kʰɔʰpːʊɹ
støða	støːva
upphædd	ʊʰpːhatː
met	meːʰt
bei	paiːj
puma	pʰuːma
middagur	mɪtːɛaːvʊɹ
strutsur	stɹʊsːʊɹ
lág	lɔɑː
turriklæði	tʰʊɹːɪklɛaːjɪ
fiskari	fɪskarɪ
váð	vɔɑː
ið	ʊiːj
valdmikil	vaɬmiːt͡ʃɪl
nøt	nøːʰt
hørur	høːɹʊɹ
týdningarmikil	tʰʊitnɪŋkaɹmiːt͡ʃɪl
ferðsla	fɛʂla
soð	soː
knøttur	kʰnœʰtːʊɹ
storkur	stɔɹ̥kʊɹ
lík	lʊiːjk
tjøra	t͡ʃʰøːɹa
vindur	vɪntʊɹ
d	t
ørmum	œɹmʊn
bjarti	bjaɻ̊ʈɪ
dýrd	tʊiɹt
munnum	mʊnːʊn
teppi	tʰɛʰpːɪ
húni	hʉuːnɪ
ísur	ʊiːsʊɹ
hvønn	kvœnː
trúgv	tʰɹɪkv
knútur	knʉuːtʊɹ
strutsur	stɹʊtsʊɹ
geil	kaiːl
niðurlond	niːjʊɹlɔnd̥
kunoyingur	kʰuːnɪŋkʊɹ
vón	vɔuːn
aksal	aʰksal
gunnar	kʊnːaɹ
flesk	flɛsk
nikka	nɪʰkːa
sigar	sikaːɹ
skalv	skalv
soviposi	soːvɪpʰoːsɪ
ú	ʉuː
fossi	fɔsːɪ
ysta	ɪsta
lansa	lan̥sa
múr	mʉuːɹ
kukka	kʰʊʰkːa
ljósstyrki	ljɔusːtɪɻ̊t͡ʃɪ
hittittiskur	hɪʰtːɪʰtɪskʊɹ
jodd	jɔtː
mangan	mɛŋkan
arnbjørn	aɻɳpjœtn
tøka	tʰøːʰka
arnheiður	aɻɳhaiːjʊɹ
er	eːɹ
kassi	kasːɪ
hvassur	kvasːʊɹ
leita	laiːta
vesi	veːsɪ
kiribati	kiɹipɑːti
knappaborð	kʰnaʰpːapoːɹ
orangutang	oɹaŋkʊtaŋk
skegg	ʃɛkː
vatn	vaʰtn
pláss	plɔsː
null	nʊlː
sápa	sɔɑːʰpa
kjarnasýra	t͡ʃʰatnasʊiːɹa
bakarí	pɛaːʰkaɹʊi
varúlvur	vɛaːɹʏlvʊɹ
kviður	kfiːjʊɹ
india	ɪntia
ásmundur	ɔsmʊntʊɹ
sýra	sʊiːɹa
kokusnøt	kʰoːʰkʊsnøːʰt
finnur	fɪnːʊr
júgur	jʉuːwʊɹ
márur	mɔɑːɹʊɹ
orkuframleiðsla	ɔɻ̥kʊfɹanlaiʃla
hársápa	hɔʂɔɑːʰpa
ær	ɛaːɹ
astma	asma
sjórænari	ʃɔuɹɛaːnaɹɪ
søtt	sœʰtː
jarðnøt	jaɹnœʰt
kirsuber	t͡ʃʰɪɻ̊ʂʊpeːɹ
stórum	stɔuːɹʊn
skúvoy	skʉuːvɪ
systkin	sɪst͡ʃʰɪn
didda	tɪtːa
fura	fuːɹa
bending	pɛntɪŋk
heimta	haim̥ta
ævi	ɛaːvɪ
bylgja	pɪʎt͡ʃa
teitur	tʰaiːtʊɹ
klára	klɔɑːɹa
blá	plɔɑː
ert	ɛɻ̊ʈ
eingilsmaður	ɔiɲtʃɪlsmɛaːvʊɹ
birgir	bɪrdʒɪr
ljósur	ljɔuːsʊɹ
prógv	pɾɛkv
abbabarn	apːapatn
fjøður	fjɛaːɹaɹ
teldubræv	tʰɛltʊpɹɛaːv
eg	eː
torn	tʰɔɻɳ
gangið	kɛɲt͡ʃɪ
telefon	tʰelefoːn
longa	lɔŋka
eigi	aiːjɪ
varði	vɛaːɹɪ
stjóri	stjɔuːɹɪ
hegri	hɛkɹɪ
pasta	pʰasta
seg	seː
tjørn	cʰœtn
nýsæland	nʊiːjsɛaːlant
gaffil	kafːɪl
kot	kʰoːʰt
kríggj	kɹʊitʃ
tanki	tʰɛɲ̊tʃɪ
stokkhólmur	stɔʰkhœlmʊɹ
krossfiskur	kɹɔsːfɪskʊɹ
vákn	vɔʰkn
kikari	t͡ʃʰiːkaɹɪ
æsa	ɛaːsa
lá	lɔɑː
fornur	fɔtnʊɹ
bróstmøði	pɹœstmøːjɪ
heiðra	haira
brenna	pɾɛnːa
hjúpa	t͡ʃʰʉuːpa
hav	hɛaːv
gágguskel	kɔkːʊʃeːl
svølta	svœl̥ta
høvur	høːvʊɹ
geykur	t͡ʃɛiːkʊɹ
arinbjørn	ɛaːɹɪnpjœtn
morð	moːɹ
lógvi	lɛkfɪ
steinbítur	staiːnpʊiːtʊɹ
hjallur	t͡ʃʰatlʊɹ
núgv	nɪkf
bløða	pløːa
hvalur	kʰvɛaːlʊɹ
rá	ɹɔɑː
torpur	tʰɔɹ̥pʊɹ
krypil	kɾiːpɪl
ross	ɹɔsː
grundøki	kɹʊntøːʰtʃɪ
páskir	pʰɔʃːɪɹ
spark	spaɹ̥k
sum	sʊmː
trýggj	tɾʊit͡ʃː
gøtuskeggi	køːʰtʊʃɛt͡ʃːɪ
djúpur	t͡ʃʉuːpʊɹ
doyggja	tɔt͡ʃːa
terna	tʰɛtna
spurt	spʊɻ̊ʈ
vágur	vɔɑːvʊɹ
gleði	kleːjɪ
umsókn	ʊmsœʰkn
degnum	teːnʊn
tjóðhátíð	tʃʰɔuːwhɔɑːtʰʊiːj
sýria	sʊiːɹija
punktum	pʊŋktʊm
dansur	tansʊɹ
tannlækni	tʰanːlaʰknɪ
bera	peːɹa
greipa	kɹaiːpa
árnfirðingur	ɔn̥fɪɹɪŋɡʊɹ
um	ʊmː
miði	miːjɪ
køliskáp	kʰølɪskɔɑːʰp
læmingi	lɛaːmɪɲt͡ʃɪ
hildur	hɪltʊɹ
kambur	kʰampʊɹ
gísli	kʊiʃlɪ
toft	tʰɔft
ermi	ɛɹmɪ
gera	t͡ʃeːɹa
bunki	pʊɲ̊t͡ʃɪ
leiftur	laiʰtːʊɹ
ahorn	ahɔɻɳ
løgfrøði	lœkfɾøːjɪ
fimti	fɪm̥tɪ
samur	sɛaːmʊɹ
gras	kɹɛaːs
spin	spiːn
farmaskip	faɹmaʃiːp
súpanarskeið	sʉuːpanaɹskaiːj
pípa	pʰʊiːpa
vikuskifti	viːkʊʃɪftɪ
skeppa	ʃɛʰpːa
b	p
læa	le̞ːa
verkur	vɛɹ̥kʊɹ
tak	tʰɛaːʰk
mandla	manla
fám	fɔɑːm
føroyingur	føːɹɪŋkʊɹ
mars	maʂː
glymja	klɪmja
njál	nʲɔɑːl
alda	alta
mat	mɛaːt
veggur	vɛkːʊɹ
sátt	sɔʰtː
neon	neːɔn
froskmansbúni	frɔskmanspʉuːnɪ
tvist	tvɪst
spermur	spɛɹmʊɹ
moska	mɔska
hol	hoːl
milt	mɪl̥t
æður	eːʊɹ
kvið	kʰviːj
vøllur	vœtlʊɹ
stuðul	stuːwʊl
sámal	sɔaːmal
tonga	tʰɔŋka
nei	naiː
rita	ɹiːta
fílur	fʊiːlʊɹ
eyðolvur	ɛiːjɔlvʊɹ
bilur	piːlʊɹ
herðar	heːɹaɹ
angola	aŋkoːla
kenna	t͡ʃʰɛnːa
hampur	ham̥pʊɹ
gil	t͡ʃiːl
namibia	namiːpia
hundur	hʊntʊɹ
skarð	skɛaːɹ
salmiakk	salmiaʰkː
hvørsfall	kvœʂfatl
ótálmaður	œuːtɔlmavʊɹ̥
hagi	hɛaːjɪ
vika	viːka
tváa	tʰvɔːa
nógvur	nɛkvʊɹ
lóg	lɔuːw
stjóri	ʃɔuːɹɪ
rógvi	ɹɛkvɪ
kúbein	kʰʉuːwpaiːjn
urt	ʊɻ̊ʈ
væringi	vɛaːɹɪɲt͡ʃɪ
bispur	pɪspʊɹ
blý	plʊiː
kykna	t͡ʃʰɪʰkna
árstíð	ɔʂːtʰʊiːj
kirna	t͡ʃɪtna
myrra	mɪɹːa
sanna	sanːa
morgnar	mɔtnaɹ
gágga	kɔkːa
høgguslokkur	hœkːslɔʰkːʊɹ
giraffur	t͡ʃiɹafːʊɹ
ægir	ɛaːjɪr
ungi	ʊɲt͡ʃɪ
kvøða	kvøːva
tummi	tʰʊmːɪ
høsn	hœsn
spurvur	spʊɹvʊɹ
fræ	fɹɛaː
pínslarváttur	pʰʊiːn̥slaɺvɔʰtːʊɹ
te	tʰeː
hár	hɔaːɹ
gvagg	kvakː
ólukka	ɔuːlʊʰkːa
fostur	fɔstʊɹ
apaldur	ɛaːʰpaltʊɹ
rokkur	ɹɔʰkːʊɹ
dýpd	tʊipt
vøka	vøːʰka
langskip	lɛŋkʃiːp
ungarn	ʊŋkaɻɳ
álvur	ɔlvʊɹ
j	j
kaðal	ke̞ːal
valnøt	valnøːʰt
speki	speːʰt͡ʃɪ
føða	føːa
nev	neːv
skeyt	ʃɛiːt
nálatræ	nɔɑːlatɹɛaː
jólakort	jɔuːlakʰɔɹ̥ʈ
mamma	mamːa
tora	tʰoːɹa
talsmaður	tʰalsmɛaːvʊɹ
jakslur	jakslʊɹ
mánaður	mɔɑːnavʊɹ
høggormur	hœkːɔɹmʊɹ
sálarfrøði	sɔaːlaɹfɹøːjɪ
hind	hɪnt
møttul	mœʰtːʊl
sikiloy	siːt͡ʃɪlɔiːj
líkur	lʊiːkʊɹ
dag	tɛaː
køka	kʰøːʰka
sá	sɔɑː
gildi	tʃɪldɪ
lás	lɔɑːs
hin	hiːn
júgv	jɪkf
tollaksmessa	tʰɔtlaksmɛsːa
fátækur	fɔɑːtʰɛaːʰkʊɹ
gotland	kɔːʰtlant
plantuslag	plan̥tʊslɛaː
illa	ɪtla
jaga	jeːa
øki	øːʰtʃɪ
bologna	polɔɲːa
taska	tʰaska
p	pʰ
snið	sniːj
hársápa	hɔɑːɹsɔɑːʰpa
eyð	ɛiːj
okn	ɔʰkn
trælur	tʰɹɛaːlʊɹ
vaðmal	vamːal
tunga	tʰʊŋka
kjósa	t͡ʃʰɔuːsa
gullasj	kʊlːaʃ
leykur	lɛiːkʊɹ
fongsul	fɔŋ̊ksʊl
fróður	fɾouːwʊɹ
volga	vɔlka
vár	vɔaːɹ
mørður	møːɹʊɹ
vindstyrki	vɪnstʏɻ̥ʈ͡ʂɪ
silas	siːlas
fylgisveinur	fɪʎtʃɪsvaiːjnʊɹ
biðja	piːja
vestfall	vɛstfatl
enn	ɛnː
faðir	fɛaːjɪɹ
fjall	fjatl
terna	tʰɛɻɳa
sag	sɛaː
nærhendis	nɛarɪndɪs
yrking	ɪɹ̥tʃɪŋk
barmur	paɹmʊɹ
tosti	tʰɔstɪ
ull	ʊtl
blóð	plɔuːw
lynur	liːnʊɹ
dáta	tɔɑːʰta
slips	slɪʰps
konufólk	kʰoːnʊfœl̥k
tign	tʰɪkn
akur	ɛaːʰkʊɹ
hávur	hɔɑːvʊɹ
søtum	søːʰtʊn
fløttur	flœʰtːʊɹ
til	tʰiːl
júst	jʏst
ali	ɛaːlɪ
viðoyingur	viːjɪŋkʊɹ
app	aʰpː
húsbóndi	hʏspœntɪ
fæ	fɛaː
vik	viːk
djóralækni	t͡ʃɔuːɹalahknɪ
tit	tiːt
akslatræ	akslatɾɛaː
háur	hɔɑːvʊɹ
fjallatindur	fjatlatʰɪntʊɹ
lý	lʊiː
far	fɛaːɹ
gø	køː
skittur	ʃɪʰtʊɹ
geypa	t͡ʃɛiːpa
ganga	kɛŋka
sandoy	santɪ
grækarismessa	kɹɛaːʰkaɹɪsmɛsːa
matur	mɛaːʰtʊɹ
e	eː
dreymur	tɾɛiːmʊɹ
væl	vɛaːl
fonn	fɔnː
rúsdrekka	ɹʉuːstɹɛʰkːa
eitil	aiːjtɪl
munnur	mʊnːʊɹ
dagsljós	taksljɔuːs
slag	slɛaː
drong	tɾɔŋk
torkil	tʰɔɹ̥tʃɪl
valur	vɛaːlʊɹ
undirslag	ʊntɪɹslɛaː
líð	lʊiː
sjón	ʃɔuːn
ravnur	ɹavnʊɹ
aðal	ɛːal
tørva	tʰœɹva
bíða	pʊija
einir	aiːjnɪɹ
spyrji	spɪɹjɪ
eigur	aiːjʊɹ
vegur	veːvʊɹ
laga	leːa
skip	ʃiːp
fundur	fʊntʊɹ
viður	viːjʊɹ
ekkja	ɛʰt͡ʃːa
suðuroyingur	suːɹɪŋkʊɹ
her	heːɹ
steikja	staiːt͡ʃa
øska	œska
ferðaseðil	feːɹaseːjɪl
oknagras	ɔʰknakrɛaːs
fiskaørn	fɪskaœɻɳ
yrkjari	ɪɹ̥tʃaɹɪ
kvørkveggja	kvœɹ̥kvɛtʃːa
mørur	møːɹʊɹ
mangan	maŋkan
skola	skoːla
í	ʊiː
veikur	vaikʊr
undirfylki	ʊntɪɹfɪl̥t͡ʃɪ
ryggur	ɹɪkːʊɹ
fyrrapartur	fɪɹːapʰaɻ̊ʈʊɹ
táttur	tʰɔʰtːʊɹ
