dubhghall	d̪ˠʊwəl
bogadh	bˠɔɡəx
acusan	akəpˠsˠənˠ
bealtaine	bʲal̪ˠt̪ˠənʲə
ghall	ɣɑːl̪ˠ
ghrian	jɾʲiənˠ
anglaise	aŋɡləʃə
liosta	l̠ʲɪsˠt̪ˠə
fiche	fʲiː
tuilleadh	t̪ˠɪl̠ʲə
iascach	iəskəx
cinn	ciːn̠ʲ
deargadh	dʲaɾˠəɡə
ceil	cɛlʲ
d'fhonn	d̪ˠʌn̪ˠ
glac	ɡlˠɑk
chéibh	çeːvʲ
clann	kl̪ˠaun̪ˠ
coileach	kɛlʲax
béic	bʲeːc
clogaid	klˠʌɡədʲ
ghobadh	ɣɔbˠu
píoba	pʲiːbˠə
leanbh	l̠ʲanˠəwˠ
cailleadh	kal̠ʲətʲ
adhlaic	əil̪ˠəc
uaighe	uəj
cuimhnigh	kiːmʲɾʲə
treabh	tʲɾʲau̯
taispeáin	spˠɑːnʲ
amanna	amˠən̪ˠə
fortacht	fˠʌɾˠt̪aht̪ˠ
sara	sˠaɾˠə
caoimhe	kiː
mbeas	mʲɛsˠ
ceacht	cæxt̪ˠ
barr	bˠɑːɾˠ
har	haɾˠ
punta	pˠʊn̪ˠt̪ˠə
acht	ax
torc	t̪ˠɔɾˠk
duaidh	d̪ˠuəɟ
bog	bˠɔɡ
chuirfeadh	xɪɾˠhəx
aonghuthach	eːn̪ˠɣʊhah
earra	aɾˠə
éide	eːdʲə
gcuireadh	ɡɪɾʲətʲ
táille	t̪ˠæːl̠ʲə
próifíl	pˠɾˠɔːfʲilʲ
fáilte	fˠɑːlʲtʲə
iontach	iːn̪ˠt̪ˠəx
gearradh	ɟaɾˠu
amach	əmˠax
gcóstaí	ɡoːsˠt̪ˠiː
troigh	t̪ˠɾˠiː
'ur	ə
bhuail	vˠuəlʲ
námhaid	n̪ˠæːwədʲ
teachtaire	tʲaxt̪ˠəɾʲə
blás	blɔːs
culaith	kl̪ˠɞh
asainne	aːsˠt̪ˠən̠ʲə
aimsir	æːmʲʃəɾʲ
artaire	aɾˠt̪ˠəɾʲə
suíonn	sˠiːn̪ˠ
buntáiste	bˠʊn̪ˠt̪ˠɑːʃtʲə
chás	xæːsˠ
dtorann	d̪ˠɔɾˠən̪ˠ
páirtí	pˠæːɾˠtʲi
ál	ɑːlˠ
oilim	ɪlʲəmʲ
bara	bˠaɾˠə
amhras	ə̃ũɾˠəsˠ
mhúchadh	wuːxuː
léi	lʲeːi
cinnigí	cɪn̠ɪɟiː
mhúchadh	wuːxətʲ
míol	mʲiːlˠ
múchadh	mˠuːxu
cearc	kæːɾˠk
séan	ʃeːnˠ
roghanna	ɾˠoun̪ˠə
cú	kuː
ithe	ɪhə
itear	ɪtʲəɾˠ
adhairce	əiəɾʲcɪ
aga	aɡə
tráth	t̪ˠɾˠɑː
as	æsˠ
chuige	ɛɟɪ
fleá	fʲlʲæː
cíor	ciːɾˠ
dul	d̪ˠʊlˠ
poll	pˠəul̪ˠ
faoin	fˠiːnʲ
blais	bˠlˠaʃ
uaine	wɛnʲə
tiománaí	tʲʊmˠɑːnˠiː
log	l̪ˠʌɡ
ógh	oːɣ
breatnach	bʲɾʲən̪ˠax
fón	fˠoːnˠ
meánn	mʲæːn̪ˠ
cogain	kɔɡənʲ
cúthail	kuːhəlʲ
leon	lʲoːn̪ˠ
rúin	ɾˠuːnʲ
sásair	sˠæːsˠəɾʲ
saothraigh	sˠiːɾˠə
éasca	eːsˠkə
cam	kɑːmˠ
díol	dʲiəl̪ˠ
iodáil	ɪd̪ˠælʲ
anamnacha	ɑnəmˠnɑxə
gcnuic	ɡnˠɪc
máirín	mˠɑːɾʲiːnʲ
eithne	ɛnʲə
ruda	ɾˠʊd̪ˠə
tóireacha	t̪ˠoːɾʲəxə
fheadha	ɑː
aontaigh	iːn̪ˠt̪ˠiː
airleacan	ɑːɾˠl̠ʲəkənˠ
oileann	ɛlʲən̪ˠ
fén	fʲeːn̪ˠ
scanraigh	sˠkæːn̪ˠɾˠi
náire	n̪ˠɑːɾʲə
oideachas	ɛdʲəxəsˠ
oidhreacht	əiɾʲiəxt̪ˠ
amhrasach	ɑnvɾˠəsˠəx
deartháir	dʲɾʲiçaːɾʲ
bheo	vʲɔː
b'	bˠ
droichead	d̪ˠɾˠeːd̪ˠ
tinn	tʲɪn̠ʲ
cogadh	kɔɡəx
chasta	xɑsˠt̪ˠə
lúcháir	l̪ˠɛvˠɑːɾʲ
casadh	kasˠu
meacain	mʲakənʲ
cré	cɾʲeː
míre	mʲiːɾʲə
chuirfeadh	xɪɾˠhu
contae	kuːndeː
fliuchadh	fʲlʲɔxəəx
róid	ɾˠɔːdʲ
sinne	ʃɪn̠ʲə
gearradh	ɟaɾˠətʲ
churaigh	xɔɾˠə
lasadh	l̪ˠasuː
magadh	mˠaɡə
bhris	vʲɾʲɪʃ
altadh	al̪ˠt̪ˠu
bhrisfeadh	vʲɾʲɪʃətʲ
dúiseacht	d̪ˠuːʃaht̪ˠ
áil	ɑːlʲ
brónach	bˠɾˠoːnˠəx
nua	n̪ˠuː
uafás	uːɑːsˠ
cuid	kɪdʲ
fheiceadh	ɛcu
ósta	ɔːsˠt̪ˠə
reiligiún	ɾˠɛlʲɪɟuːnˠ
bróin	bˠɾˠoːnʲ
fós	fˠoːsˠ
fhómhar	uːwəɾˠ
eolais	ɔːlˠəʃ
blagaid	bˠlˠaɡədʲ
ramhar	ɾˠəʊɾˠ
conchúr	kʊnˠxuːɾˠ
farraige	fˠaɾˠɪɟɪ
díbríodh	dʲiːbʲɾʲiːvˠ
cloch	klˠɔx
múchadh	mˠuːxuː
fairsing	fˠɑɾˠʃənʲ
tiorma	tʲɾʲʊmə
coitianta	kʌtʲən̪ˠt̪ˠə
pianadh	pʲiənˠəvˠ
coinníoll	kɪnʲiːl̪ˠ
cáisc	kɑːʃc
sámh	sˠæːw
urraim	ɪɾʲəmʲ
uinge	ɪɲɟɪ
cainteoir	kan̠ʲtʲoːɾʲ
falamh	fˠal̪ˠə
strainséir	sˠt̪ˠɾˠan̠ʲʃaɾʲ
lán	l̪ˠɑːnˠ
uainín	uənʲiːnʲ
d'oileadh	d̪ˠɪlʲu
maith	mˠah
éanacha	eːn̪ˠəxiː
sasana	sˠasˠənˠə
críochnaigh	cɾʲiːxn̪ˠi
banríon	bˠanˠɾˠiːnˠ
sáigh	sˠɑː
tráta	t̪ˠɾˠæːt̪ˠə
aindriú	anʲɾʲuː
iarthar	iəɾˠhəɾˠ
cinneadh	cɪn̠ʲəvˠ
thabharfadh	hoːɾˠəx
seans	ʃan̪ˠsˠ
pící	pʲiːciː
srón	sˠɾˠoːnˠ
bacaí	bˠakiː
cúinge	kuːɲɪ
teann	tʲan̪ˠ
bogadh	bˠɔɡətʲ
fhómhair	uːwəɾʲ
iaguar	iəɡuəɾˠ
san	sˠənʲ
leite	l̠ʲɛtʲə
cóstaí	koːsˠt̪ˠiː
camall	kamˠəl̪ˠ
gcuireadh	ɡɪɾʲu
lag	l̪ˠɑɡ
oibrí	əibʲɾʲiː
cairde	kɑːɾˠdʲə
ngeall	ɲal̪ˠ
gealbhan	ɟalˠəwənˠ
trealamh	tʲɾʲalˠu
baiste	bˠaʃtʲə
uirrim	ɪɾʲəmʲ
canadh	kɑn̪ˠə
fógra	fˠoːɡɾˠə
bradach	bˠɾˠɑd̪ˠəx
ceachtar	caxt̪ˠəɾˠ
fírinneach	fʲiːɾʲən̠ʲah
damh	d̪ˠaw
imreoir	ɪmʲɾʲoːɾʲ
iaguair	iəɡuəɾʲ
garraí	ɡaɾˠi
tosú	t̪ˠʌsˠu
agam	əɡɑmˠ
caill	kal̠ʲ
taoschnó	t̪ˠiːsˠxɾˠoː
síochán	ʃiːxɑːn̪ˠ
b'éigean	bʲeːɟənˠ
aisteoir	aʃtʲoːɾʲ
gníomh	ɟɾʲiːəw
dragan	d̪ˠɾˠaɡənˠ
saoradh	sˠiːɾˠə
íoc	iːk
dhubh	ɣʊw
inse	ɪnʲʃə
bratach	bˠɾˠat̪ˠah
focail	fˠɔkəlʲ
cabhrach	kəuɾˠəx
im	iːmʲ
cána	kɑːnˠə
muinín	mˠɪnʲiːnʲ
gréasáin	ɟɾeːsˠænʲ
pléigh	pʲlʲeːɟ
céadta	ceːt̪ˠə
síleachtáil	ʃiːlʲəxt̪ˠɑːlʲ
tithe	tʲɪhɪ
aontaigh	iːn̪ˠt̪ˠə
tinte	tʲɪn̠ʲtʲə
réitigh	ɾˠeːtʲɪɟ
peann	pʲan̪ˠ
míreanna	mʲiːɾʲən̪ˠə
bardasach	bˠɑːɾˠd̪ˠəsˠəx
gobadh	ɡɔbˠuː
dócha	d̪ˠɔːxə
gruama	ɡɾˠuəmˠə
gréas	ɟɾiasˠ
chuadhadh	xuəw
crochadh	kɾˠʌxu
bacacha	bˠəkɑxə
faol	fˠeːlˠ
chugam	hʊɡəmˠ
stoca	sˠt̪ˠʌkə
oiltear	ɪlʲtʲəɾˠ
ó	oː
ceapadh	capˠəɡ
asaibhse	asˠiʃə
daonchairdiúil	d̪iːn̪xɑːɾˠdʲuːlʲ
meacain	mʲakanʲ
cáis	kæːʃ
fuinneog	fˠɪn̠ʲoːɡ
casadh	kasˠəvˠ
cailleadh	kɑːl̠ʲəvˠ
athraigh	aːɾˠə
fágann	fˠɑːɡən̪ˠ
tarta	t̪ˠaɾˠt̪ˠə
déanamh	dʲɪn̪ˠə
tigh	tʲɪɟ
na	nˠə
phóca	pˠoːkə
truaí	t̪ˠɾˠuəj
aithreachas	ahəɾʲəxəsˠ
bródúil	bˠɾˠɔːd̪ˠulʲ
tsagart	t̪ˠæɡəɾˠt̪ˠ
náisiún	n̪ˠɑːʃuːnˠ
léi	lʲeːhə
dall	d̪ˠɑl̪ˠ
sleamhnaigh	ʃlʲəunˠiː
bail	bˠalʲ
aoire	eːɾʲɪ
leon	l̠ʲɔːnˠ
pasfhocal	pˠasˠɔkəlˠ
horlaí	həuɾˠl̪ˠiː
canúnach	kanˠunˠah
croí	kɾˠiː
bhur	mˠəɾˠ
leathuair	l̠ʲæuəɾʲ
oifigiúil	ɛfʲɪɟuːlʲ
máistreás	mˠɑːʃtʲɾʲɑːsˠ
garraí	ɡaɾˠiː
iompar	ʊmˠpˠəɾˠ
theas	hasˠ
céadaoin	ceːd̪ˠiːnʲ
scian	ʃciənˠ
lettáeb	l͈ʲetaːi̯v
breabadh	bʲɾʲabˠuː
pógadh	pˠɔːɡətʲ
clainne	kl̪ˠanʲə
acu	aku
dár	d̪ˠɑːɾˠ
dráma	d̪ˠɾˠɑːmˠə
ainneoin	an̠ʲoːnʲ
farc	fˠaɾˠk
pianadh	pʲiənˠu
aiféala	afʲeːlˠ
cos	kɔsˠ
smior	sˠmʲɪɾ
cás	kæːsˠ
ré	rˠeː
sceideal	ʃcɛdʲəlˠ
folláin	fˠal̪ˠæːnʲ
fágadh	fˠɑːɡuː
chuiris	xɪɾʲəʃ
móire	moːɾʲə
ruainne	ɾˠuːn̠ʲə
sop	sˠɔpˠ
siad	ʃiəd̪ˠ
d'oileadh	d̪ˠɛlʲu
phósfadh	fˠɔːsˠətʲ
clú	klˠuː
dhul	ɣʊlˠ
ardghlórach	ɑːɾˠd̪ˠɣl̪ˠoːɾˠəx
bheifeá	vʲɛɑː
dabhach	d̪ˠəuwi
seanchas	ʃanəxəsˠk
ann	ɑːn̪ˠ
muide	mˠɪdʲə
seol	ʃoːl
iodáilis	ɪdˠaːlʲɪʃ
amhras	avˠɾˠəsˠ
bacaigh	bˠakiː
dtóireacha	d̪ˠoːɾʲəxə
domhnall	d̪ˠuːnˠəl̪ˠ
bromach	bˠɾˠɔmˠəx
romhatsa	ɾˠuːt̪ˠsˠə
dtiocfá	dʲʊkfˠɑː
móra	mˠɔːɾˠə
faitíos	fˠatʲisˠ
abrán	ɑbˠəɾˠɑːn̪ˠ
deirfiúracha	dʲeɾʲəfʲəɾˠəxə
plump	pˠl̪ˠʊmˠpˠ
ainbhios	ænəʃ
caomh	kiːvˠ
cearnóg	caːɾˠn̪ˠoːɡ
niamh	n̠ʲiːvˠ
grua	ɡɾˠuə
pusa	pˠʊsˠə
air	aɾʲ
páras	pˠɑːɾˠəsˠ
chuardaigh	xuəɾˠd̪ˠiː
buíoch	bˠeːx
leithead	l̠ʲɛhəd̪ˠ
fiacha	fʲiəxə
meacan	mʲakanˠ
grámhar	ɡɾˠɑːvˠəɾˠ
múchadh	mˠuːxəɡ
póca	pˠoːkə
pheacaí	fʲakiː
freastal	fʲɾʲasˠt̪ˠəlˠ
briseadh	bʲɾʲɪʃəɡ
bríste	bʲɾʲiːʃtʲə
ceannaigh	can̪ˠə
bhuí	vˠiː
mbas	mˠasˠ
rang	ɾˠaŋ
bearradh	bʲɑːɾˠəvˠ
ligh	l̠ʲiː
foide	fˠɛdʲə
muiris	mˠɪɾʲəʃ
mhéid	vʲeːdʲ
teannta	tʲəun̪ˠt̪ˠə
altfaidh	al̪ˠt̪ˠəɟ
á	ɑː
beich	bʲɛç
báire	bˠɑːɾʲə
díbríodh	dʲiːbʲɾʲiːw
chasadh	xasˠu
gan	ɡan̪ˠ
laoch	l̪ˠiːx
tamall	t̪ˠamˠəl̪ˠ
mbard	mˠæːɾˠd̪ˠ
chruinne	xɾˠɪn̠ʲə
lios	l̠ʲʊsˠ
lampa	l̪ˠamˠpˠə
altadh	al̪ˠt̪ˠətʲ
ráth	ɾˠɑː
fliuchadh	fʲlʲɔxəvˠ
beid	bʲɛdʲ
múinte	mˠuːn̠ʲtʲə
buíoch	bˠiːx
neamh	n̠ʲaw
dhíobh	jiːbˠ
fuiriste	fʲɾʲɪʃtʲə
iarraidh	iəɾˠə
fheadha	æː
créacht	cɾʲeːxt̪ˠ
ghníomhaíocht	ɣɾˠiːwiaht̪ˠ
robé	robʲeː
aimhleas	avl̠ʲas
cónra	kuːɾˠhə
éalaigh	eːlˠiː
mbriseadh	mʲɾʲɪʃətʲ
árainn	ɑːɾˠən̠ʲ
dreoigh	dʲɾʲoːj
bunúsach	bən̪ˠuːsˠəx
maide	mˠadʲə
mól	mˠoːlˠ
hata	hat̪ˠə
sinn	ʃɪnʲ
fichid	fʲiːdʲ
imleacán	imʲlʲəkɑːn̪ˠ
diana	dʲiənˠə
deireadh	dʲɛɾʲuː
pógadh	pˠoːɡuː
orainne	ɔɾˠən̠ʲə
fírinne	fʲiːɾʲənʲə
d'fhágadh	d̪ˠæːɡətʲ
adharca	əiəɾˠkə
ríomhleabhar	ɾʲiːvˠlʲəuɾˠ
acusan	əkusˠənˠ
nóin	n̪ˠɔːnʲ
lucharachán	l̪ˠʊxəɾˠəxɑːnˠ
teastaigh	t̪ˠasˠt̪ˠə
veigeatóir	vʲɛɟɪt̪ˠɔrʲ
riarann	ɾˠiəɾˠən̪ˠ
chruit	xɾˠɪtʲ
cláracha	kl̪ˠɑɾˠəxiː
chasadh	xasˠuː
bréan	bʲɾʲeːnˠ
gasóg	ɡasˠɔɡ
seanmóir	ʃanˠəmoːɾʲ
breabadh	bʲɾʲabˠəvˠ
easpag	ɑsˠpˠək
cinneadh	cɪɲəx
cairdeas	kɑːɾˠdʲəsˠ
gealach	ɟalˠəx
peann	pʲaun̪ˠ
bheo	vʲoː
taibhse	t̪ˠavʲʃə
cailleadh	kal̠ʲu
dona	d̪ˠɔnˠə
bunábhar	bˠʊnˠɑːwəɾˠ
mhí	vʲiː
mbíonns	mʲiːn̪ˠsˠ
ullmhaigh	ʊl̪ˠwə
cata	kɑt̪ˠə
braon	bˠɾˠeːn̪ˠ
sláinte	sˠl̪ˠɑːn̠ʲtʲə
rúnda	ɾˠuːn̪ˠd̪ˠə
chósta	xoːsˠt̪ˠə
trasinscneach	t̪ˠɾˠasˠɪn̠ʲʃcnʲəx
fraincis	fˠɾˠæɲcɪʃ
gobadh	ɡʌbˠu
athrú	aːɾˠuː
cearnóige	cæːɾˠn̪ˠɔɟə
cuardaigh	kuəɾˠd̪ˠiː
traochta	t̪ˠɾˠeːxt̪ˠə
pianfaidh	pʲiənhɪɟ
gránach	ɡɾˠɑːnˠəx
dtuigeann	d̪ˠɪɟən̪ˠ
iompair	ʊmˠpˠəɾʲ
thiománach	hɪmˠænah
bhfeirm	vʲɛɾʲəmʲ
ab	əbˠ
gortaigh	ɡɔɾˠt̪ˠə
salú	sˠal̪ˠu
miste	mʲɪʃtʲə
timpiste	tʲiːmˠpˠəʃtʲə
mhaithe	vˠahə
ceannann	can̪ˠən̪ˠ
deoch	dʲɔx
uait	wætʲ
scaradh	sˠkaɾˠə
aeróstach	eːɾˠoːsˠt̪ˠəx
oileadh	ɛlʲu
feirm	fʲɛɾʲəmʲ
bhain	wɪnʲ
phósadh	fˠɔːsˠu
caoi	kiː
pinc	pʲɪɲc
sinsear	ʃiːn̠ʲsʲəɾˠ
nae	n̪ˠeː
gabh	ɡoː
shagart	haɡəɾˠt̪ˠ
breo	bʲɾʲɔː
réitigh	ɾˠeːtʲiː
cnagaire	knˠaɡəɾʲə
lile	l̠ʲɪlʲə
bradach	bˠɾˠad̪ˠəx
gcaoi	ɡiː
bradán	bˠɾˠəd̪ˠaːn̪ˠ
tacht	t̪ˠɑxt̪ˠ
cuil	kɪlʲ
fheadh	æː
bun	bˠʊnˠ
úinéara	uːnʲeːɾˠə
polainn	pˠɔl̪ˠɪɲ
cóta	kɔːt̪ˠə
chomh	xʊ
athraigh	ɑɾˠə
seamhan	ʃəunˠ
í	iː
fuisce	fˠɪʃcɪ
altadh	al̪ˠt̪ˠəɡ
fionnghuala	fʲɪn̪ˠuːəlˠə
chnáimh	xɾˠɑːvʲ
naoscann	n̪ˠeːsˠkən̪ˠ
dtaisce	d̪ˠaʃcɪ
scrúdaigh	sˠkɾˠuːd̪ˠi
uaigneach	uəɟnʲəx
mhéad	vʲeːd̪ˠ
oifig	ɛfʲɪc
oilfidh	ɛlʲhə
peile	pʲɛlʲə
torainn	t̪ˠɔɾˠɪɲ
clár	klˠæːɾˠ
máistreása	mˠæːʃtʲɾʲæsˠə
oileadh	ɪlʲətʲ
muintir	mˠɪn̠ʲtʲəɾʲ
cánacha	kæːnˠahə
saoire	sˠiːɾʲə
fágfaidh	fˠɑːkiː
saoradh	sˠiːɾˠətʲ
cloth	klˠɔh
gránaigh	ɡɾˠɑːnˠiː
phiocadh	fʲʊkuː
coisric	kɛʃɾʲɪc
d'oileadh	d̪ˠɛlʲətʲ
fiaradh	fʲiəɾˠuː
d'fhiafraigh	dʲiəɾˠə
athraím	ɑɾˠiːmʲ
bhéarfadh	vʲeːɾˠəx
mhá	vˠɑː
déanamh	dʲiːn̪ˠə
rialtas	ɾˠiəl̪ˠt̪ˠəsˠ
lann	l̪ˠaun̪ˠ
thugadh	hʊɡuː
tige	tʲɪɟɪ
saothar	sˠiːhəɾˠ
gealt	ɟal̪ˠt̪ˠ
cúis	kuːʃ
can	kanˠ
suas	sˠuəsˠ
tarlaigh	t̪ˠɑːɾˠl̪ˠə
féil	fʲeːlʲ
trátha	t̪ˠɾˠɑːhə
ghob	ɣɔbˠ
peadar	pʲad̪ˠəɾˠ
císte	ciːʃtʲə
ríomhleabhar	ɾʲiːwlʲoːɾˠ
clann	kl̪ˠan̪ˠ
comh	kɔ
soir	sˠɛɾʲ
cruinniú	kɾˠɪn̠ʲuː
loim	l̪ˠiːmʲ
mbíos	mʲiːsˠ
molfaidh	mʌlhə
atá	at̪ˠæ
arú	aɾˠuː
súil	sˠuːl
cótaí	kɔːt̪ˠi
streabhóg	ʃtʲɾʲəuɔɡ
cosa	kɔsˠə
tiomáin	tʲəmˠɑːnʲ
amanna	amˠən̪ˠiː
ngobadh	ɡʌbˠu
gcasadh	ɡasˠu
glúin	ɡlˠuːnʲ
scanrú	sˠkaun̪ˠɾˠuː
dhó	ɣoː
mháistreása	vˠɑːʃtʲɾʲɑːsˠə
fheis	ɛʃ
mallacht	mˠal̪ˠaxt̪ˠ
iodáil	ɪd̪ˠɑːlʲ
ort	ɔɾˠt̪ˠ
clár	klˠɑːɾˠ
ríomh	ɾˠiːvˠ
freagair	fʲɾʲaɡəɾʲ
bruth	bˠɾˠʊh
dílse	dʲiːl̠ʲʃə
sliabh	ʃlʲiəvˠ
milis	mʲɪlʲəʃ
naoscann	n̪ˠɯːsˠkən̪ˠ
buntáiste	bˠən̪ˠt̪ˠɑːʃtʲə
súile	sˠuːlʲə
fómhar	fˠõːɾˠ
bardasach	bˠæːɾˠd̪ˠəsˠah
snas	sˠn̪ˠasˠ
phléisiúr	fʲlʲeːʃuːɾˠ
cóirigh	koːɾʲə
amuigh	əmˠʊ
pobail	pˠɔbˠəlʲ
ceintiméadar	cɛn̠ʲtʲəmʲed̪ˠəɾˠ
dorchacht	d̪ˠɔɾˠəxəxt̪ˠ
aisti	aʃtʲə
lóistín	l̪ˠoːʃtʲiːnʲ
gcathaoir	ɡɑhiːrʲ
coróin	kɔɾˠuːnʲ
bhrisfeadh	vʲɾʲɪʃəx
veigeán	vʲɛɟaːn̪ˠ
coll	kal̪ˠ
bearradh	bʲaɾˠətʲ
bris	bʲɾʲɪʃ
blarnan	bˠlˠɑːɾˠn̪ˠənˠ
sea	ʃa
bearradh	bʲaɾˠəvˠ
saile	salʲə
leithid	l̠ʲɛhədʲ
comrádaí	kʊmˠɾˠɑːd̪ˠiː
droim	d̪ˠɾˠiːmʲ
gnóthaigh	ɡɾˠuː
feola	fʲoːlˠə
magairle	mˠaɡəɾˠl̠ʲə
soip	sˠɪpʲ
haithne	hænə
pháras	fˠɑːɾˠəsˠ
athar	æhəɾˠ
adhmad	ɑːmˠəd̪ˠ
bhfiaradh	vʲiəɾˠə
meon	mʲuːn̪ˠ
naoi	n̪ˠiː
fhada	ad̪ˠə
lasadh	l̪ˠasˠəvˠ
bocht	bˠɔxt̪ˠ
scairteadh	sˠkaɾˠtʲuː
aonghas	eːŋɣəsˠ
shíníomar	hiːnʲimˠəɾˠ
chomh	xə
rinc	ɾˠɪɲc
caoimhín	kiːvʲinʲ
cósta	kɔːsˠt̪ˠə
bís	bʲiːʃ
réidh	ɾˠeːɟ
damáiste	d̪ˠəmˠɑːʃtʲə
tréithe	tʲɾʲeːhə
mhúchadh	vˠuːxəx
timpeall	tʲiːmˠpˠəl̪ˠ
critic	cɾʲɪtʲɪc
oileadh	ɛlʲətʲ
fheicfeadh	ɛcu
pósadh	pˠoːsˠəɡ
bliosán	bʲlʲɪsˠænˠ
d'altfadh	d̪ˠal̪ˠt̪ˠuː
bhfiaradh	vʲiəɾˠu
mhuire	vˠɪɾʲə
bharúil	vˠɑɾˠuːlʲ
éalaigh	ial̪ˠɪɟ
tlú	t̪ˠlˠuː
leapacha	l̠ʲæpˠəxiː
croch	kɾˠɔx
céide	ceːdʲə
naofa	n̪ˠiːfˠə
aithníodh	ænʲiːtʲ
scaití	sˠkatʲiː
cailleadh	kal̠ʲəvˠ
caith	kɑh
cónaí	koːn̪ˠiː
shagart	hæɡəɾˠt̪ˠ
catán	kat̪ˠænˠ
dhínn	ɣiːn̠ʲ
mianach	mʲiən̪ˠəx
raidió	ɾˠadʲiɔ
ngránaigh	ŋɾˠɑːnˠə
faca	fˠakə
ainm	ænʲəmʲ
crúb	kɾˠuːbˠ
lasrach	l̪ˠasˠɾˠəx
cait	kɪtʲ
faoina	fˠiːnˠə
tachtadh	t̪ˠɑxt̪ˠəx
dhom	ʊmˠ
critice	cɾʲɪtʲɪcɪ
gréasáin	ɟɾeːsˠɑːnʲ
dhíom	iːmˠ
bunscoil	bˠʊnˠsˠkɛlʲ
ocht	ɔxt̪ˠ
leoraís	lʲɔɾˠiːsˠ
éan	eːnˠ
canadh	kanˠu
codanna	kɔd̪ˠən̪ˠə
tógálaí	t̪ˠoːɡaːlˠiː
mur	mˠəɾˠ
tuirseach	t̪ˠɤɾˠʃah
tamall	t̪ˠɑmˠəl̪ˠ
nimh	nʲɪvʲ
chuireadh	xɪɾʲuː
carcair	kaɾˠkəɾʲ
ngobadh	ŋɔbˠə
meidhbhín	mʲəivʲiːnʲ
