អាង	ʔaaŋ
ខារ៉ាអូខេ	kʰaaraaʔoukʰee
ជាយក្រុង	cieykroŋ
ក្រូច	krouc
ស្លាដក់	slaadɑk
សង្ឃឹម	sɑŋkʰɨm
ហូយ	houy
ក្រាល	kraal
កាហ្វេ	kaafee
ភ្លែត	plɛɛt
ម្សៅ	msav
បក	bɑɑk
ស្ដីបន្ទោស	sdǝybɑntooh
ទឹករលក	tɨkrɔlɔɔk
រថយន្តក្រុង	rʊətyʊənkroŋ
សល់	sɑl
ពោរ	pou
ពិត	pɨt
ហាងកាហ្វេ	haaŋkaafee
ខគោ	kʰɑɑkoo
ចាប់ជាតិ	capciet
បង្ហោះ	bɑŋhɑh
កើប	kaəp
អាវសាច់ក្រណាត់	ʔaavsackrɑnat
ជញ្ជូន	cʊəɲcuun
ជិតស្និទ្ធ	cɨtsnǝt
ឆ្លងកាត់	clɑɑŋkat
អ្នកធ្វើការ	neaktvəəkaa
តោង	taoŋ
ស្ដាំ	sdam
ធីតា	tʰiidaa
ផលិត	pʰɑlɨt,pʰɑlət
ហើរ	haǝ
គំនិត	kumnɨt
ទង្វើ	tʊəŋvəə
អត់ទាន់	ʔɑttoan
ជ្រុល	crul
ជម្រើស	cumrəəh
ឧស្ម័ន	ʔusman
ព	pɔɔ
នៀក	niək
ស្រមោល	srɑmaol
ផ្សារ	psaa
ធៀបការ	tʰiəpkaa
ចូលគ្នា	coulknie
ឆុង	cʰoŋ
ដើមឈើ	daəmcʰəə
អត្ថន័យ	ʔattʰaʔney
ញឹក	ɲɨk
បាយដំណើបសំខ្យា	baaydɑmnaəpsɑŋkyaa
អគ្គិសនី	ʔakkihsaʔnii
បន្លឺ	bɑnlɨɨ,bɑnləɨ
បែក	baek
ទូកក្ដោង	tuukkdaoŋ
ចាប់ហួយ	caphuəy
ជីវី	ciivii
ប្រជ្រៀត	prɑcriet
រូបមន្ត	ruupmʊən
គុណ	kun
ទឹកស៊ីអ៊ីវ	tɨksiiʔiiv
រង្វាស់រង្វាល់	rʊəŋvoahrʊəŋvoal
ដោយឡែក	daoylaek
ស្រក់	srɑk
ប្រចាំ	prɑcam
ពុល	pul
ទៀន	tien
ទាយ	tiey
ទ្រព្យសម្បត្តិ	troapsɑmbat
អស់សាំង	ʔɑhsaŋ
សប្បាយ	sapbaay
ទាំងមូល	teaŋmuul
ពេលថ្ងៃ	peeltŋay
ក្បាល	kbaal
ផ្អាប់ទុក	pʔaptuk
ជនជាតិ	cɔɔnciet
បន្ទាប់ពី	bɑntoappii
កុមារី	koʔmaarəy
ជាច្រើន	ciecraən
ទើប	təəp
ពិតប្រាកដ	pɨtpraakɑɑt
សេរេ	seeree
កំណត់	kɑmnɑt
ម្លប់	mlup
មីង	miiŋ
ហូរ	hou
ភាគច្រើន	pʰiekcraən
បែកអេក	baekʔeek
កូកាកូឡា	koukaakoulaa
ផ្សង	psɑɑŋ
នាឡិកា	nieleʔkaa
ហាល	haal
ផ្លិតទឹក	pləttɨk
ឥត	ʔət
បញ្ញើ	bɑɲɲaə
ភាព	pʰiep
ផ្លូវលំ	pləvlum
ចោល	caol
ដំបូល	dɑmboul
លៀន	liǝn
រីឯ	riiʔae
ឡានក្រុង	laankroŋ
គ្រលុក	krɔluk
ជាមួយនឹង	ciemuəynɨŋ
រាងកាយ	rieŋkaay
ត្រជាក់	trɑceak
ពោល	pool
កាន់	kan
ទែម៉ូម៉ែត្រ	tɛɛmoumaet
អូស្ត្រាលី	ʔoostraalii
នឹងគ្នា	nɨŋknie
មេឃ	meek
សម្ដែង	sɑmdaəŋ
ទ្រនិច	trɔnɨc
អត់	ʔɑt
ទឹកទន្លេ	tɨktʊənlee
ឈឺក្បាល	cʰɨɨkbaal
ប្រហើរ	prɑhaə
ស្បែកជើងប៊ូ	sbaekcǝǝŋpuu
ពាសវាលពាសកាល	piehvielpiehkaal
ដាក់ពាក្យ	dakpiek
ដាក់តាំង	daktaŋ
សូន្យ	soun
ផ្ដេសផ្ដាស	pdeehpdaah
សំដី	sɑmdəy
ថ្នាំសន្លប់	tnamsɑnlɑp
ក្បាលរ៉ូប៊ីនេទឹក	kbaalroubiineetɨk
ម៉ូតូ	moutou
តម្លៃ	tɑmlay
ប្រភេទ	prɑpʰeet
កម្រាលឥដ្ឋ	kɑmraalʔǝt
សៀមរាប	siǝmriep
កូនប្រុស	kounproh
អ៊ុត	ʔut
បុប្ផា	boppʰaa
ចំណោទ	cɑmnaot
ភាន់ច្រឡំ	pʰoancrɑlɑm
ហ្គាស	geah
កៅឆាយ	kavcʰaay
ត្រូវអំពើ	trəvʔɑmpəə
ស៊ប់	sup
សំបុក	sɑmbok
ចំពីមុខ	cɑmpiimuk
ជណ្ដើរយន្ត	cʊəndaəyʊən
រង់ចាំ	rʊəŋcam,rɔɔŋcam
បណ្ដាលឲ្យ	bɑndaalʔaoy
ជ្រកម្លប់	crɔɔkmlup
ព្រី	prii
របៀប	rɔbiəp
បង្ក	bɑŋkɑɑ
ហែលទឹក	haeltɨk
ទ្រាប់	troap
ដោះសោ	dɑhsao
កោង	kaoŋ
ង៉ៃក្រោយ	ŋaykraoy
កន្លែង	kɑnlaeŋ
ដឹកទំនិញ	dəktumnɨɲ
ព្រះមហាក្សត្រ	preahmɔhaaksat
ប្ដឹង	pdəŋ
លា	lie
ចង្អៀត	cɑŋʔiət
ភ្នែក	pnɛɛk
ហាត់ប្រាណ	hatpraan
ទូកចែវ	tuukcaev
បញ្ឈរជង្គង់	bɑɲcʰɔɔcʊəŋkʊəŋ
តូប	toup
ស្តុប	stop
តែពីសតែពាស	taepiihtaepieh
ឆ្ងាញ់	cŋaɲ
លួច	luəc
សន្ទនា	sɑnteaʔnie
ច្របាច់	crɑbac
ខ្លោង	klaoŋ
ត្រីដៀប	trəydiəp
អ្នកឌុប	neakdup
ស្មើ	smaə
ប្រភព	prɑpʰup
នាគ	niek
ចរិយា	caʔreʔyaa
ផ្ទាល់	ptoal
ទាស់ត្រង់	toahtrɑŋ
ម៉ោ	mao
ជះ	ceah
តារា	taaraa
លង់ទឹក	lʊəŋtɨk
ចាក់សោ	caksao
ផ្កា	pkaa
ប្រាក់អាប់	prakʔap
អាយុ	ʔaayuʔ
ស្រុកកំណើត	srokkɑmnaət
ចំពោះ	cɑmpʊəh
ពាក្យសុំ	pieksom
ស្អែក	sʔaek
ស្រាក្រហម	sraakrɑhɑɑm
នីមួយៗ	niimuəyniimuəy
ស្រូវប្រាំង	srǝvpraŋ
ក្រណាត់	krɑnat
ពលកម្ម	pʊəlleaʔkam
ពន្លឺ	pʊənlɨɨ
អាមេរិក	ʔaameerik
ភាយ	pʰiey
កន្សែងពោះគោ	kɑnsaeŋpʊəhkoo
ទំនង	tumnɔɔŋ
ល្អមើល	lʔɑɑməəl
ចុងក្រោយ	coŋkraoy
គេ	kee
បំបាត់	bɑmbat
កម្មវិធី	kamviʔtʰii,kammaʔviʔtʰii,kammeaʔviʔtʰii
ម្ជុលចាក់ថ្នាំ	mculcaktnam
រដូវវស្សា	rɔdəvvoahsaa
ខ្នុរ	knao,knol
រទេះ	rɔteh
នោះ	nuh
ល្បាប់	lbap
និយាយលេងសើច	niʔyieyleeŋsaǝc
ញឹកញាប់	ɲɨkɲoap
ទ្រើស	trəəh
ឡេវ	leev
ព្រះវិហារ	preahviʔhie
ភាសា	pʰiesaa
គ្រាំ	kroam
មានទៅស្អី	mientɨvsʔǝy
និយាយ	niʔyiey
ទូរស័ព្ទចល័ត	tuureaʔsapcaʔlat
ពឹង	pɨŋ
អុស	ʔoh
ត្រូវតែ	trəvtae
កម្រិត	kɑmrɨt
ណូ	nou
ឡានពេទ្យ	laanpɛɛt
មិនខ្វល់	mɨnkvɑl
មិនទាន់	mɨntoan
ស្រាប់	srap
ការទូត	kaatuut
ស្រងូតស្រងាត់	srɑŋoutsrɑŋat
ស្កប់ស្កល់	skɑpskɑl
បិទបាំង	bətbaŋ
តម្រូវឲ្យ	tɑmrəvʔaoy
នំ	num
អ៊ឹស	ʔɨh
ធ្វើ	tvəə
ដៃគូ	daykuu
លេងសើច	leeŋsaǝc
ចូលឆ្នាំខ្មែរ	coulcnamkmae
ឲ្យ	ʔaoy
អាជីព	ʔaaciip
ស្រាវជ្រាវ	sraavcriev
ខុសទំនង	kʰohtumnɔɔŋ
មនុស្សម្នាក់	meaʔnuhmneak
ជ័រកៅស៊ូ	coakavsuu
បុក	bok
ចេញដំណើរ	cəɲdɑmnaə
ជាទីបំផុត	cietiibɑmpʰot
ឈ្នួល	cnuəl
ផឹក	pʰək
ទល់មុខ	tʊəlmuk
ទីធ្លា	tiitlie
ឲ្យឈឹង	ʔaoycʰɨŋ
ក្រូចឆ្មារ	krouccmaa
ស្បែកជើងផ្ទាត់	sbaekcəəŋptoat
ចោរឆក់	caocʰɑk
តែង	taeŋ
ខ្សែ	ksae
ប៊ីដុង	biidoŋ
ទិស	tɨh
ទៅ	tɨv
ខាងក្រៅ	kʰaaŋkrav
ឆ្វេង	cveeŋ
ប្រអប់	prɑʔɑp
ស្រឡះ	srɑlah
សណ្ដែកកួរ	sɑndaekkuə
ហេតុការណ៍	haetkaa
រាប់	roap
ពន្ធ	pʊən
កែវ	kaev
មិនថា	mɨntʰaa
កាំបិត	kambət
សុភាព	soʔpʰiep
មួក	muək
ផ្អៀង	pʔiəŋ
ក្រែងលោ	kraeŋloo
បង្កាន់ដៃ	bɑŋkanday
ចង់	cɑŋ
សោកស្ដាយ	saoksdaay
ទេហ	teehɑɑ
ត្រូវនឹង	trəvnɨŋ
កន្ធន់	kɑntʰʊən
យកចិត្តទុកដាក់	yɔɔkcəttukdak
សិស្សានុសិស្ស	səhsaanuʔsəh
ទាំង	teaŋ
កុងតឺន័រ	koŋtəɨnoa
ផុង	pʰoŋ
សុវណ្ណ	soʔvan
ដេរ	dee
ដៃនាង	daynieŋ
ដោះ	dɑh
ពាក់ព័ន្ធ	peakpoan
ថែ	tʰae
ប៉ុក	pok
ដោយសេរី	daoyseerǝy
ទំនុកចិត្ត	tumnukcət
បញ្ញា	paɲɲaa
ធារ៉ា	tʰieraa
ជាង	cieŋ
ចាក់	cak
បម្រាម	bɑmraam
ទំនាក់ទំនង	tumneaktumnɔɔŋ
រំសាយ	rumsaay
ម៉ាស៊ីនលាងចាន	maasinlieŋcaan
ចម្អិន	cɑmʔən
បាវ	baav
គប់	kup
លាន់	loan
រយៈ	reaʔyeaʔ
មួយ	muəy
យល់ព្រម	yʊəlprɔɔm
ខ្វល់	kvɑl
ចំណាយ	cɑmnaay
សម្បជញ្ញៈ	sampaʔcʊəɲɲeaʔ
អាគ្នេយ៍	ʔaknee
ពួកម៉ាក	puəkmaak
ចម្ងល់	cɑmŋɑl
កាលសម័យ	kaalsaʔmay
បិទ	bət
វ៉ា	vaa
អេ៎	ʔee
កកើត	kɑɑkaət
ផ្លែឈើ	plaecʰəə
ចរន្ត	caʔrɑn
ម្ហូប	mhoup
ក្រអូប	krɑʔoup
ជាដាច់ខាត	ciedackʰaat
ដូចម្ដេច	doucmdəc
ចង្កា	cɑŋkaa
បដិមា	paʔdeʔmaa
ងាយ	ŋiey
លូ	luu
ហឹរ	haə,həl
ប្រឹង	prəŋ
វុទ្ធី	vutʰii
ចាបចៀន	caapciən
អស់រលីង	ʔɑhrɔliiŋ
រីកចំរើន	riikcɑmraən
លូក	luuk
ត្រូពិក	tropik
ជាប់លេខ	coapleek
ដទៃទៀត	dɑteytiət
ម្នាស់	mnoah
ចង្កៀង	cɑŋkiəŋ
អធ្រាត្រ	ʔaʔtriet
ភ្លឹង	plɨŋ
សុំ	som
ស្រែកហៅ	sraekhav
សិស្ស	səh
អរូបី	ʔaʔruupǝy
យ៉ាង	yaaŋ
ចត់	cɑt
ហ្នឹងអ៎	nɨŋʔɑɑ
បែកគុម្ព	baekkum
ថ្លើម	tlaəm
ស្មាអាវ	smaaʔaav
ច្រវា	crɑvaa
ជក់ចិត្ត	cʊəkcət
ស្នេហា	snaehaa
ហេវ	heev
នំប៉័ង	numpaŋ
ជង្គង់	cʊəŋkʊəŋ
ហោប៉ៅ	haopav
ខ្ញុំ	kɲom
ម៉េច	məc
ក្លិន	klən
ក្បង់	kbɑŋ
អានោះ	ʔaanuh
មោឃៈ	mookʰeaʔ
ខ្ទឹមបារាំង	ktɨmbaaraŋ
ផ្សេងទៀត	pseeŋtiət
ថង់យាម	tʰɑŋyiem
សំពត់	sɑmpʊət
ស្ម័គ្រចិត្ត	smakcət
ស្បង់	sbɑŋ
កណ្ដោរ	kɑndao
ហួស	huǝh
រំលឹក	rumlɨk
បែងចែក	baeŋcaek
ក្រិត	krət
ធ្នើរ	tnəə
ឆើត	cʰaət
ចោះ	cɑh
កូនសិស្ស	kounsəh
អញ្ចេះ	ʔɑɲceh
ទីទុយ	tiituy
ថ្ងៃផុតកំណត់	tŋaypʰotkɑmnɑt
ឆ្កែ	ckae
ឆ្លាស់	clah
អស់កម្លាំង	ʔɑhkɑmlaŋ
រីង	riiŋ
ឃ្លុប	klup
ចាំង	caŋ
សញ្ជឹង	sɑɲcɨŋ
ផុយ	pʰoy
ក្មួយ	kmuəy
រស់រាន	rʊəhrien
រូបភាព	ruuppʰiep
នាក់	neak
ព្រម	prɔɔm
បួន	buən
លែង	lɛɛŋ
ចងបូរ	cɑɑŋbou
បាំង	baŋ
ធ្លាប់តែ	tloap
ខ្ចាយ	kcaay
ដូចគ្នា	doucknie
ងុយដេក	ŋuydeek
ទេតើ	teetaə
កកិត	kɑkət
បី	bəy
ភេសជ្ជៈ	pʰeehsacceaʔ
ស្ដាប់ឮ	sdaplɨɨ
នរណា	nɔɔnaa
បង្ហូរ	bɑŋhou
ងើយមើល	ŋəəyməəl
ចរណៃ	cɑɑranay
លុបមុខ	lupmuk
ខុសឆ្គង	kʰohckɔɔŋ
ដំណេក	dɑmneek
វប្បធម៌	voappaʔtʰoa
កិច្ចការ	kəckaa
ស្ទើរ	stǝǝ
ម៉េចដែរ	məcdae
អុំទូក	ʔomtuuk
ខ្វះ	kvah
សុភាសិត	soʔpʰiesət
ជន	cʊən
ស្មោះ	smɑh
ផ្អែម	pʔaem
ចាស	caah
ឡេ	lee
ទោះ	tʊəh
រមាស់	rɔmoah
មាំ	moam
លេង	leeŋ
ផានិត	pʰaanɨt
ទន្ទឹម	tʊəntɨm
ក៏	kɑɑ
ក្រែង	kraeŋ
លើកក្រោយ	lǝǝkkraoy
សស្ងាច	sɑɑsŋaac
ណែន	naen
ភ្នំ	pnum
ជាប្រចាំ	cieprɑcam
ងងុយ	ŋɔŋuy
ពេក	peek
ធ្វើឲ្យ	tvəəʔaoy
សួរ	suə
ម៉ូត	mout
ខ្ទប់	ktup
ក្រចក	krɑcɑɑk
អ្នកដំណើរ	neakdɑmnaə
ចំណិត	cɑmnət
ការ៉ុត	kaarot
ដោះស្រាយ	dɑhsraay
ចំណងជើង	cɑmnɑɑŋcəəŋ
ពិតជា	pɨtcie
ប៉ាវ	paav
បើ	baə
រមួល	rɔmuəl
កញ្ចប់	kɑɲcɑp
ពែនភ្នែន	pɛɛnpnɛɛn
សាង	saaŋ
អា៎	ʔaa
នៅតែ	nɨvtae
ឌូយ	duuy
មន្ទិល	mʊəntɨl
គុយទាវ	kuytiev
ជម្រាបលា	cumrieplie
ចៅស្រី	cavsrǝy
បុគ្គល	bokkʊəl
ជួបជុំ	cuəpcum
ចៀន	ciən
គិលានុប្បដ្ឋាយិកា	kiʔlienuʔpattʰaayiʔkaa
ថ្លៃ	tlay
រៀងរាល់ថ្ងៃ	riəŋroaltŋay
លែងកើត	lɛɛŋkaət
ការចាយវាយ	kaacaayviey,kaacaayvay
ស៊ាំ	soam
កំពុង	kɑmpuŋ
ជិតខាង	cɨtkʰaaŋ
ខ្ជិល	kcɨl
ផ្តិល	ptəl
អបិយជំនឿ	ʔappəyyeaʔcumnɨə
ឆត្រ	cʰat
ខ្លាច	klaac
កណ្ដឹង	kɑndəŋ
ប្រដាប់	prɑdap
ចង្រៃយោ	cɑŋrayyoo
ភាគ	pʰiek
ជើង	cəəŋ
ចងចាំ	cɑɑŋcam
រុញ	ruɲ
ជើងពាន	cəəŋpien
វ៉ៃ	vay
អុជៗ	ʔocʔoc
ច្រឡំ	crɑlɑm
ចំណែកឯ	cɑmnaekʔae
បញ្ជ្រៀត	bɑɲcriət
រំពេចនោះ	rumpɨcnuh
វា	vie
ខ្វេះ	kveh
ប៊ិច	bic
គ្រូបង្រៀន	kruubɑŋriən
តាំង	taŋ
កង	kɑɑŋ
លីដា	liidaa
សម្ងាត់	sɑmŋat
សាយឡិន	saaylən
ស្មារតី	smaardəy
ប្រាក់	prak
សន្ធរម៉ុក	sɑntʰɔɔmok
តស់	tɑh
នាង	nieŋ
ប៊ីយេរ	biiyɛɛ
ចាស់	cah
វាយ	vay,viey
ប៉ាន់តែ	pantae
ដិត	dət
អ៊ំ	ʔum,ʔom
ផ្ទៃសមុទ្រ	pteysaʔmot
រើស	rəəh
ប្រណាំង	prɑnaŋ
ត	tɑɑ
ព្រឹក	prɨk
ប្រជុំជន	prɑcumcɔɔn
មុំ	mum
រោម	room
វៃ	vey
ស៊ុម	sum
ប្រុង	proŋ
អតិថិជន	ʔaʔteʔtʰeʔcɔɔn
ដែរ	dae
កំឡុង	kɑmloŋ
ខេត្ត	kʰaet
ស្រេចតែ	sractae
ខុសត្រូវ	kʰohtrəv
ពុះ	puh
ថ្ងូរ	tŋou
ស្លាប	slaap
ល្អប្រើ	lʔɑɑpraə
នានា	nienie
ខ្ពស់	kpʊəh
សំបុត្រឡាន	sɑmbotlaan
នឿយ	nɨəy
ស្កៀប	skiǝp
អាម៉ាហ្ស៉ូន	ʔaamaasɑn
អណ្ដែត	ʔɑndaet
កញ្ញា	kaɲɲaa
ប៉ង់	pɑŋ
ពាក្យស្លោក	piekslaok
គម្រប	kumrɔɔp
កកូរ	kɑkou
យាយ	yiey
ពេញ	pɨɲ
បោស	baoh
ហេឡូ	heelou
ប្លែក	plaek
អង្ករ	ʔɑŋkɑɑ
ប៉ាស់ស្ព័រ	pahspoa
ឱសថស្ថាន	ʔaosɑɑtʰɑɑstʰaan
ឃ្លាន	klien
លេខសម្ងាត់	leeksɑmŋat
ប្រៀប	priəp
បេះ	beh
ឱកាស	ʔaokaah
ពោរពេញ	poopɨɲ
ស៊ី	sii
អាក្រក់	ʔaakrɑk
សព្វ	sɑp
ស៊ីសាមុត	siisaamut
ប្រពៃណី	prɑpeynii
ចិញ្ចឹម	cəɲcəm
ផ្ទះបាយ	pteahbaay
អំពូលម៉ែត្រ	ʔɑmpuulmaet
ជាក់ជា	ceakcie
អត់ឃ្លាន	ʔɑtklien
តិចមើល	təcməəl
គ្រាំគ្រា	kroamkrie
ពូ	puu
ជាសះស្បើយ	ciesahsbaǝy
ចាប់កាន់	capkan
ម្ខាងទៀត	mkʰaaŋtiət
កើត	kaət
ពី	pii
បុរាណ	boʔraan
ឆ្នាំងសាក	cnaŋsaak
ជ្រក	crɔɔk
សុរិយគតិ	soʔreʔyaʔkeaʔteʔ
មួយវិញទៀត	muəyvɨɲtiət
ភ្លេងជាតិ	pleeŋciet
ស្នាម	snaam
បំពង់	bɑmpʊəŋ
ជំនឿ	cumnɨə
ក្រៀមក្រំ	kriəmkrɑm
ផ្ដាច់	pdac
អនុស្សាវរីយ៍	ʔaʔnuhsaavaʔrii
ការដ្ឋាន	kaarattʰaan
វីរៈ	viireaʔ
រើ	rəə
ក្លាយ	klaay
មូល	muul
ស្រោម	sraom
សូវ	səv
ស្វែងរក	svaeŋrɔɔk
ភា	pʰie
ចង្ក្រាន	cɑŋkraan
ទប់	tup
ពន្ធនាគារ	pʊəntʰeaʔniekie
ហ្នឹង	nɨŋ
ផ្លាក	plaak
អាប់	ʔap
តាមរយៈ	taamreaʔyeaʔ
ព្រះពុទ្ធ	preahput
ភ្លាម	pliem
ឈាម	cʰiem
រៀល	riəl
កែងដៃ	kaeŋday
កូរ	kou
ចាប់ផ្ដើម	cappdaəm
ឆ្លាក់	clak
សាក្សី	saaksəy
ហ្គែរ	kae
ម៉ាស៊ីនបូមធូលី	maasinboumtʰuulii
សួន	suən
ការេ	kaaree
ជួនជា	cuəncie
សេន	seen,saen
ទទេ	tɔtee
ជ្រែ	crɛɛ
ស្លាក់	slak
ជ័រព្នៅ	coapnɨv
ខាងក្នុង	kʰaaŋknoŋ
ជួល	cuəl
សឹងអី	səŋʔəy
ទិដ្ឋភាព	tittʰaʔpʰiep
បង្ការ	bɑŋkaa
សាលា	saalaa
ម៉េះ	meh
បរិយាកាស	paʔreʔyaakaah
ពោធិ៍សាត់	poosat
នឹកឃើញ	nɨkkʰəəɲ
រអៀសខ្លួន	rɔʔiəhkluən
សាកល្បង	saaklbɑɑŋ
និស្សិត	nihsət
សម្រុក	sɑmrok
ចុះឡើង	cohlaəŋ
ស្អាតបាត	sʔaatbaat
ស៊យ	sɔɔy
យក្ស	yeak
ផ្ដល់	pdɑl
លូន	luun
ដីល្បាប់	dəylbap
សឹងតែ	sǝŋtae
អត់ទោស	ʔɑttooh
សាក	saak
រសាត់	rɔsat
វេជ្ជបញ្ជា	vɨcceaʔbɑɲcie
និយាយលេង	niʔyieyleeŋ
ត្រឹមតែ	trəmtae
ល្បែង	lbaeŋ
ត្រូវចិត្ត	trəvcət
អាវរងា	ʔaavrɔŋie
សាច់ប្រាក់	sacprak
គ្រីនធី	kriintʰii
ល្មម	lmɔɔm
អំបោះ	ʔɑmbɑh
ទូទាំង	tuuteaŋ
ផ្ទៃមុខ	pteymuk
ខ្យល់គរ	kcɑlkɔɔ
ភ្ញាក់	pɲeak
ពាក់ឆៀង	peakcʰiəŋ
ជ្រែងហោប៉ៅ	crɛɛŋhaopav
អស់	ʔɑh
ណាំវ៉ា	namvaa
ពុំខាន	pumkʰaan
ហាក	haak
អូ៎	ʔou
ស្រឡាញ់	srɑlaɲ
ហ្គារ៉ាស់	gaarah
ក្រចកដៃ	krɑcɑɑkday
អឺ	ʔəɨ
កែង	kaeŋ
អំណោយផល	ʔɑmnaoypʰɑl
រវល់	rɔvʊəl
ជាជាង	ciecieŋ
ផ្សំ	psɑm
ជួរ	cuə
ឈ្នះ	cneah
ក្របី	krɑbəy
ស្មាន	smaan
ប្រគល់	prɑkʊəl
ប្រាកដ	prakɑt
ចូលចិត្ត	coulcət
ឡើង	laəŋ
ទង្គិច	tʊəŋkɨc
ស្និទ្ធស្នាល	snǝtsnaal
ទីតាំង	tiitaŋ
សិដ្ឋ	sət
ក្លាសេ	klaasee
វែង	vɛɛŋ
សក់	sɑk
ពេលថ្ងៃត្រង់	peeltŋaytrɑŋ
សន្តិសុខ	sɑnteʔsok
មូសខ្លា	muuhklaa
ភីហ្សា	piisaa
នង្គ័ល	ʔɑŋkoal,neaŋkoal,lʊəŋkoal
ទទួលរង	tɔtuəlrɔɔŋ
មួល	muəl
យប់	yup
ចង្កូម	cɑŋkoum
ថែម	tʰaem
