já	jauː
svartburkni	svar̥tpʏr̥knɪ
pensill	pʰɛnsɪtl
kapari	kʰaːparɪ
sverrína	svɛrːiːna
minnka	miŋ̊ka
dimmur	tɪmːʏr
gull	kʏtl
dömubindi	tœːmʏpɪntɪ
slésvík	stljɛːsviːk
miðnætti	mɪðnaihtɪ
matreiðsla	maːtreiðstla
fyrirtæki	fɪːrɪrtʰaiːcɪ
jakkaföt	jahkafœːt
kæra	cʰaiːra
nettóþyngd	nɛhtouːθiŋt
lofðungur	lɔvðuŋkʏr
kökukefli	kʰœːkʏcʰɛplɪ
plokka	pʰlɔhka
dís	tiːs
mjólkurferna	mjoul̥kʏrfɛrtna
strompur	strɔm̥pʏr
bik	pɪːk
notandi	nɔːtantɪ
efnaskipti	ɛpnascɪftɪ
anna	anːa
eldhús	ɛlthuːs
flærð	flairð
strokka	strɔhka
vissa	vɪsːa
hamborg	hampɔrk
þýfi	θiːvɪ
munnskol	mʏnːskɔːl
þýfður	θivðʏr
kvíga	kʰviːɣa
samvist	samvɪst
skræla	skraiːla
skima	scɪːma
aðgangur	aðkauŋkʏr
víður	viːðʏr
felix	fɛːlɪks
alvarlega	alvarlɛːɣa
áræðinn	auːraiːðɪnː
nýtt	niht
marxískur	mar̥ksiskʏr
sjálfsmynd	sjaulvsmɪnt
aðskilinn	aðscɪːlɪnː
háaloft	hauːalɔft
thoroddsen	tʰouːrɔtːsɛnː
þruma	θrʏːma
steinbrjótur	steinprjouːtʏr
skýra	sciːra
afturbatapíka	aftʰʏrpaːtʰapʰiːkʰa
manntal	manːtʰaːl
öfl	œpl
morð	mɔrð
hýrna	hirtna
skýr	sciːr
balsamedik	palsaːmɛːtik
mötun	mœːtʏn
olnbogi	ɔlnpɔːjɪ
taíland	tʰaiːlant
bakki	pahcɪ
nepal	nɛːpʰaːl
málmey	maulmeiː
stálull	stauːlʏtl
þíða	θiːða
prettvísi	pʰrɛhtviːsɪ
tónlist	tʰounlɪst
martröð	mar̥tʰrœːð
droplaug	trɔːpløyːɣ
verulegur	vɛːrʏlɛːɣʏr
jóakim	jouːacʰɪm
forréttur	fɔrrjɛhtʏr
mekka	mɛhka
þvarga	θvarka
sigríður	sɪɣriːðʏr
kjóll	cʰoutl
rómaborg	rouːmapɔrk
húm	huːm
dökkur	tœhkʏr
þorvaldína	θɔrvaltiːna
þögull	θœːɣʏtl
hárgreiðsla	haurkreiðstla
heimsyfirráð	heimsɪːvɪrrauːð
reykháfur	reiːkhauːvʏr
gamansemi	kaːmansɛːmɪ
búretta	puːrɛhta
brúsi	prusɪ
hrjóta	r̥jouːta
hrönn	r̥œnː
eldlilja	ɛltlɪlja
ragnar	raknaːr
dylgjur	tɪlcʏr
hangikjöt	hauŋcɪcʰœːt
hakakross	haːkakʰrɔsː
bóla	pouːla
gyðja	cɪðja
skrifstofa	skrɪfstɔːva
ætla	aihtla
ómögulegur	ouːmœːɣʏlɛːɣʏr
nafarsrauf	naːvar̥srøyːv
ei	eiː
veigra	veiɣra
samanburður	saːmanpʏrðʏr
ávallt	auːval̥t
silja	sɪlja
lófi	louːvɪ
boltaíþrótt	pɔl̥taiːθrouht
þynna	θɪnːa
útbreiðsla	uːtpreiðstla
ártíð	auːrtʰiːð
ei	ɛːɪ
aðeins	aːðeins
troða	tʰrɔːða
netla	nɛhtla
goti	kɔːtɪ
smyrsl	smɪr̥stl
flámæli	flauːmaiːlɪ
málafærslumaður	mauːlafair̥stlʏmaːðʏr
eldgos	ɛltkɔːs
notkun	nɔhtkʏn
stelpa	stɛl̥pa
blóðormur	plouːðɔrmʏr
forheimskun	fɔːrheimskʏn
útsaumur	uːtsøyːmʏr
karsi	kʰar̥sɪ
vera	vɛːra
jensína	jɛnsiːna
yrkja	ɪr̥ca
blæja	plaiːja
veikja	veiːca
finka	fiŋ̊ka
meðtaka	mɛːðtʰaːka
bleyða	pleiːða
garg	kark
menntastofnun	mɛn̥tastɔpnʏn
hafliðína	havlɪːðiːna
betla	pɛhtla
erla	ɛrtla
beiða	peiːða
fjallaljón	fjatlaljouːn
peðra	pʰɛðra
tálvon	tʰaulvɔːn
bjó	pjouː
dýna	tiːna
gjóður	couːðʏr
fita	fɪːta
bank	pauŋ̊k
fjórðapartsnóta	fjourðapʰar̥tsnouːta
kvöl	kʰvœːl
þess	θɛsː
atarna	atʰartna
joð	jɔːð
agúrka	aːkur̥ka
fingurbjargarblóm	fiŋkʏrpjarkarplouːm
forvitni	fɔrvɪhtnɪ
máltíð	maultʰiːð
öryggi	œːrɪcːɪ
prag	pʰraːɣ
kattardýr	kʰahtartiːr
perú	pʰɛːruː
ýta	iːta
vá	vauː
gerð	cɛrð
sími	siːmɪ
skiljanlega	scɪljanlɛːɣa
efli	ɛplɪ
mótherji	mouːthɛrjɪ
kverkar	kʰvɛr̥kar
líftími	liːvtʰiːmɪ
léttúðugur	ljɛhtuːðʏːɣʏr
riftun	rɪftʏn
minjagripur	mɪnjakrɪːpʏr
múta	muːta
davíð	taːviːð
vel	vɛːl
tilviljunarkenndur	tʰɪlvɪljʏnarcʰɛntʏr
lánsþýðing	launsθiːðiŋk
patríarki	pʰaːtʰrijar̥cɪ
barrfinka	parːfiŋ̊ka
gjalla	catla
formkaka	fɔrmkʰaːka
steikarhnífur	steiːkarn̥iːvʏr
borgari	pɔrkaːrɪ
gnýja	kniːja
kast	kʰast
reisa	reiːsa
fyrirliði	fɪːrɪrlɪːðɪ
krimmi	kʰrɪmːɪ
hæfni	haipnɪ
brenninetla	prɛnːɪnɛhtla
einir	eiːnɪr
venjur	vɛnjʏr
bakari	paːkaːrɪ
kóf	kʰouːv
slóvenska	stlouːvɛnska
þjófnaður	θjoupnaːðʏr
tillit	tʰɪllɪːt
hervör	hɛrvœːr
hirð	hɪrð
dyrgja	tɪrca
hrókur	r̥ouːkʏr
klæðaskápur	kʰlaiːðaskauːpʏr
tignarlegur	tʰɪknarlɛːɣʏr
sykurpúði	sɪːkʏrpʰuːðɪ
umbrot	ʏmprɔːt
hátalari	hauːtʰaːlarɪ
torfi	tʰɔrvɪ
frá	frauː
stjörnuspá	stjœrtnʏspauː
göltur	kœl̥tʏr
marbendill	marpɛntɪtl
jótland	jouːtlant
mas	maːs
fresta	frɛsta
vilhjálmía	vɪlçaulmiːja
hreyfill	r̥eiːvɪtl
kröggur	kʰrœkːʏr
leikmaður	leiːkmaːðʏr
tí	tʰiː
estragon	ɛstrakɔːn
skjaldburkni	scaltpʏr̥knɪ
greind	kreint
motta	mɔhta
hýði	hiːðɪ
telma	tʰɛlma
erill	ɛːrɪtl
múkki	muhcɪ
heyrn	heirtn
tegra	tʰɛɣra
jónína	jouːniːna
efnilegur	ɛpnɪlɛːɣʏr
kjörfursti	cʰœr̥fʏr̥stɪ
wathne	vahtnɛː
ver	vɛːr
trésmiður	tʰrjɛːsmɪːðʏr
hjörtur	çœr̥tʏr
kara	kʰaːra
nál	nauːl
sjón	sjouːn
pamfíll	pʰamfitl
flipi	flɪːpɪ
sníða	sniːða
túr	tʰuːr
slíta	stliːta
hanna	hanːa
hagsæld	haxsailt
svindl	svɪntl
pöntun	pʰœn̥tʏn
smurostur	smʏːrɔstʏr
aftursæti	aftʏrsaiːtɪ
skurðgröftur	skʏrðkrœftʏr
aðferðafræði	aðfɛrðafraiːðɪ
rósakál	rouːsakʰauːl
trésmiðja	tʰrjɛːsmɪðja
blygðun	plɪɣðʏn
malajíska	maːlaiːjiska
áskrifandi	auːskrɪːvantɪ
sófi	souːfɪ
melda	mɛlta
auga	øyːɣa
ábóti	auːpouːtɪ
gata	kaːta
þind	θɪnt
svæði	svaiːðɪ
kvenhatur	kʰvɛnhaːtʏr
áreiðanlegur	auːreiːðanlɛːɣʏr
bragliður	praɣlɪːðʏr
blóðappelsína	plouːðahpʰɛlsina
hávella	hauːvɛtla
guðmundína	kvʏðmʏntiːna
regnvatn	rɛknvahtn
pípetta	pʰiːpɛhta
innan	ɪnːan
sagreb	saːkrɛːp
passa	pʰasːa
rangur	rauŋkʏr
kría	kʰriːja
hress	r̥ɛsː
vitlaus	vɪhtløyːs
staður	staːðʏr
sinnuma	sɪnːʏma
ökuleyfi	œːkʏleiːvɪ
framreiða	framreiːða
menntaskóli	mɛn̥taskouːlɪ
forritari	fɔrːɪtaːrɪ
rífast	riːvast
tígull	tʰiːɣʏtl
gljá	kljauː
jólagjöf	jouːlacœːv
fokk	fɔhk
fræðimaður	fraiːðɪmaːðʏr
sannfærandi	sanːfaiːrantɪ
bú	puː
eyrugla	eiːrʏkla
smáorð	smauːɔrð
jöklasóley	jœhklasouːleiː
góðæri	kouːðaiːrɪ
koli	kʰɔːlɪ
gróf	krouːv
maggi	macːɪ
afmælisdagur	amːaiːlɪstaːɣʏr
samfélag	samfjɛːlaːɣ
drengur	treiŋkʏr
bretti	prɛhtɪ
mysu	mɪːsʏ
héla	çɛːla
bjarmi	pjarmɪ
ösp	œsp
knús	kʰnuːs
samtenging	samtʰeiɲciŋk
kólibrífugl	kʰouːlɪpriːfʏkl
haka	haːka
uppspretta	ʏhpsprɛhta
njáll	njautl
aðalfylking	aːðalfɪl̥ciŋk
sarí	saːriː
samningur	samniŋkʏr
björg	pjœrk
hrókera	r̥ouːkɛːra
hlekkur	l̥ɛhkʏr
opinberun	ɔːpɪnpɛːrʏn
feðraveldi	fɛðravɛltɪ
sykur	sɪːkʏr
leysigeisli	leiːsɪceistlɪ
heimsmet	heimsmɛːt
heimsálfa	heimsaulva
hver	xʷɛːr
hiti	hɪːtɪ
málsgrein	maulskreiːn
svarðmosi	svarðmɔːsɪ
lamb	lamp
sjóari	sjouːaːrɪ
regnbogi	rɛknpɔːjɪ
fíladelfía	fiːlatɛlfiːja
ertni	ɛr̥tnɪ
lævís	laiːviːs
púls	pʰuls
geil	ceiːl
ellingsen	ɛlːiŋksɛn
teygjustökk	tʰeiːjʏstœhk
dyr	tɪːr
klóna	kʰlouːna
ræðari	raiːðarɪ
ingólfur	iŋkoulvʏr
hvítá	kʰviːtauː
endir	ɛntɪr
andvarp	antvar̥p
kína	cʰiːna
nýlega	niːlɛːɣa
kaþólskur	kaːθoulskʏr
fasani	faːsaːnɪ
vélinda	vjɛːlɪnta
heimskaut	heimskøyːt
manna	manːa
hjá	çauː
kyrkingur	cʰɪr̥ciŋkʏr
svertingi	svɛr̥tiɲcɪ
nirfill	nɪrvɪtl
svefn	svɛpn
stimpill	stɪm̥pɪtl
dýrmundur	tirmʏntʏr
gimbur	cɪmpʏr
lómur	louːmʏr
hárbursti	haurpʏr̥stɪ
kalsít	kʰalsiːt
tyrkískur	tʰɪr̥ciskʏr
verpa	vɛr̥pa
þrisvar	θrɪːsvaːr
þrá	θrauː
sótt	souht
arða	arða
speki	spɛːcɪ
loftslag	lɔftslaːɣ
frakkneskur	frahknɛskʏr
man	man
pera	pʰɛːra
bárður	paurðʏr
geð	cɛːð
forsetning	fɔr̥sɛhtniŋk
þvættingur	θvaihtiŋkʏr
fær	faiːr
kynnir	cʰɪnːɪr
seiva	seiːva
íslenskur	iːslɛnskʏr
disketta	tɪskɛhta
dill	tɪlː
esóp	ɛːsouːp
lenda	lɛnta
aftaka	avtʰaːka
af	aːv
gleðikona	klɛːðɪkʰɔːna
fjallastör	fjatlastœːr
áflog	auːflɔːɣ
gleðja	klɛðja
læknir	laihknɪr
gulmaðra	kʏlmaðra
lengur	leiŋkʏr
síra	siːra
nafni	napnɪ
veski	vɛscɪ
dilkur	tɪl̥kʏr
fax	faxs
mótgerð	mouːtcɛrð
própan	pʰrouːpʰan
kvarki	kʰvar̥cɪ
þrakía	θraːcʰiːja
mýrastör	miːrastœːr
andrés	antrjɛːs
geit	ceiːt
jarðarbúi	jarðarpuːɪ
grýla	kriːla
eggleg	ɛkːlɛːɣ
opnun	ɔhpnʏn
lipur	lɪːpʏr
hreindýramosi	r̥eintiːramɔːsɪ
dóni	touːnɪ
ferskur	fɛr̥skʏr
hrafntinna	r̥apntʰɪnːa
pedall	pʰɛːtatl
útskolun	uːtskɔːlʏn
skoppa	skɔhpa
ólga	oulka
brauðrist	prøyðrɪst
þrunginn	θruɲcɪnː
sveipa	sveiːpa
hylur	hɪːlʏr
reiðubúinn	reiːðʏpuːɪnː
öl	œːl
gáleysi	kauːleiːsɪ
grænukorn	kraiːnʏkʰɔrtn
akrein	aːkreiːn
norðvestur	nɔrðvɛstʏr
heilaþvottur	heiːlaθvɔhtʏr
melding	mɛltiŋk
aðalsögn	aːðalsœkn
álandseyjar	auːlantseiːjar
bjáni	pjauːnɪ
fremja	frɛmja
átti	auhtɪ
beila	peiːla
klukkustund	kʰlʏhkʏstʏnt
hæfur	haiːvʏr
litháíska	lɪːthauːiska
líffræðilegur	liffraiːðɪlɛːɣʏr
söluskattur	sœːlʏskahtʏr
rín	riːn
klarínett	kʰlaːriːnɛht
linka	liŋ̊ka
miða	mɪːða
bergþrúður	pɛrkθruːðʏr
vé	vjɛː
mikilmenni	mɪːcɪlmɛnːɪ
skerða	scɛrða
pokadýr	pʰɔːkatiːr
kristþyrnir	kʰrɪstθɪrtnɪr
sporðdreki	spɔrðtrɛːcɪ
sút	suːt
afar	aːvar
par	pʰaːr
tefja	tʰɛvja
flak	flaːk
dama	taːma
verkefni	vɛr̥kɛpnɪ
þorskur	θɔr̥skʏr
heilalömun	heiːlalœːmʏn
tilfinning	tʰɪlfɪnːiŋk
kökkur	kʰœhkʏr
túba	tʰuːpa
refsing	rɛfsiŋk
smjörhnífur	smjœrn̥iːvʏr
göfuglyndur	kœːvʏɣlɪntʏr
yngja	iɲca
sonardóttir	sɔːnartouhtɪr
nauðgun	nøyðkʏn
staukur	støyːkʏr
stærð	stairð
vör	vœːr
ívar	iːvaːr
vilma	vɪlma
geldingalauf	cɛltiŋkaløyːv
bernharðína	pɛrnharðiːna
postulín	pʰɔstʏːliːn
kafa	kʰaːva
landnemi	lantnɛːmɪ
vigfúsína	vɪxfuːsiːna
lara	laːra
lóð	louːð
skjóða	scouːða
hurð	hʏrð
fagurblár	faːɣʏrplauːr
máta	mauːta
stika	stɪːka
aðskilnaður	aðscɪlnaːðʏr
rafgas	ravkaːs
spónn	spoutn
statistík	staːtɪstiːk
hemill	hɛːmɪtl
hlána	l̥auːna
sverfa	svɛrva
dreifilykill	treiːvɪlɪːcɪtl
hálfnóta	haulvnouːta
demba	tɛmpa
öreindafræði	œːreintafraiːðɪ
landráð	lantrauːð
messa	mɛsːa
grímur	kriːmʏr
mjálm	mjaulm
eþíópía	ɛːθjouːpʰiːja
pappír	pʰahpiːr
ræða	raiːða
kaffibrauð	kʰafːɪprøyːð
hlér	l̥jɛːr
hnupla	n̥ʏhpla
fes	fɛːs
kontrabassi	kʰɔn̥trapasːɪ
vasaorðabók	vaːsaɔrðapouːk
látbragðsleikur	lauːtpraɣðsleiːkʏr
mæri	maiːrɪ
stirðna	stɪrtna
akurarfi	aːkʏrarvɪ
klekkja	kʰlɛhca
gruna	krʏːna
gengismunur	ceiɲcɪsmʏːnʏr
ket	cʰɛːt
guðmunda	kvʏðmʏnta
keyta	cʰeiːta
raftur	raftʏr
laggóður	laɣkouːðʏr
namibía	naːmɪpiːja
negri	nɛɣrɪ
flói	flouːɪ
ninja	nɪnja
glanni	klanːɪ
handtaka	hanttʰaːka
hefill	hɛːvɪtl
prestastefna	pʰrɛstastɛpna
hvarmur	xʷarmʏr
hverflyndi	kʰvɛrvlɪntɪ
kössóttur	kʰœsːouhtʏr
tin	tʰɪːn
öryggisflokkur	œːrɪcːɪsflɔhkʏr
súld	sult
stofna	stɔpna
sálmabók	saulmapouːk
frestun	frɛstʏn
breskur	prɛskʏr
eftirlíking	ɛftɪrliːciŋk
týna	tʰiːna
yndi	ɪntɪ
seðja	sɛðja
kúla	kʰuːla
kalsín	kʰalsiːn
séní	sjɛːniː
bauja	pøyːja
bugt	pʏxt
ríkjafræði	riːcafraiːðɪ
þristur	θrɪstʏr
jafnaldri	japnaltrɪ
sól	souːl
hitamælir	hɪːtamaiːlɪr
vasadiskó	vaːsatɪskouː
minnisgóður	mɪnːɪskouːðʏr
naggrís	naɣkriːs
gráhvalur	krauːkʰvaːlʏr
fjárdráttur	fjaurtrauhtʏr
búr	puːr
villa	vɪlːa
þú	θu
skriðdreki	skrɪðtrɛːcɪ
dagbók	taɣpouːk
fíkill	fiːcɪtl
vís	viːs
spergill	spɛrcɪtl
hrynja	r̥ɪnja
lærdómur	lairtouːmʏr
norðaustur	nɔrðøystʏr
auðveldur	øyðvɛltʏr
durgur	tʏrkʏr
bekkur	pɛhkʏr
sjoppa	sjɔhpa
styrmir	stɪrmɪr
blár	plauːr
tívar	tʰiːvar
morgunn	mɔrkʏnː
klippur	kʰlɪhpʏr
bólstraberg	poulstrapɛrk
fjöldamorð	fjœltamɔrð
íhvolfur	iːkʰvɔlvʏr
föðurland	fœːðʏrlant
annáll	anːautl
hafa	haːva
slétta	stljɛhta
hrífa	r̥iːva
öðruvísi	œðrʏviːsɪ
tylla	tʰɪtla
hvirfilvindur	xʷɪrvɪlvɪntʏr
kalkúnn	kʰal̥kutn
höfgi	hœvcɪ
skapgerð	skaːpcɛrð
staðaratviksorð	staːðaraːtvɪksɔrð
gneggja	knɛcːa
kítti	cʰihtɪ
skjal	scaːl
griffill	krɪfːɪtl
beisla	peistla
kleina	kʰleiːna
heyrnartól	heirtnartʰouːl
hrækja	r̥aiːca
hugur	hʏːɣʏr
stækja	staiːca
spínat	spiːnaːt
bilun	pɪːlʏn
míga	miːɣa
banka	pauŋ̊ka
ánægður	auːnaiɣðʏr
tugabrot	tʰʏːɣaprɔːt
karen	kʰaːrɛːn
hallur	hatlʏr
gunnólfur	kʏnːoulvʏr
lest	lɛst
loga	lɔːɣa
fang	fauŋk
rein	reiːn
ögmundína	œɣmʏntiːna
karli	kʰartlɪ
sjöfn	sjœpn
persóna	pʰɛr̥souːna
ágætur	auːcaiːtʰʏr
hlaup	l̥øyːp
auglýsa	øyɣliːsa
lúta	luːta
skipaskurður	scɪːpaskʏrðʏr
kúlulega	kʰuːlʏlɛːɣa
prentduft	pʰrɛn̥ttʏft
eðja	ɛðja
biskupsdæmi	pɪskʏpstaiːmɪ
hiksti	hɪxstɪ
skoða	skɔːða
branda	pranta
skordýr	skɔrtiːr
h	hauː
heimsvísa	heimsviːsa
hrekja	r̥ɛːca
frímerkjasafnari	friːmɛr̥casapnaːrɪ
háttaratviksorð	hauhtaraːtvɪksɔrð
fulltingi	fʏtl̥tʰiɲcɪ
túnvingull	tʰunviŋkʏtl
nýting	niːtiŋk
tötralegur	tʰœːtralɛːɣʏr
þinur	θɪːnʏr
fjón	fjouːn
draumur	trøyːmʏr̥
fiskur	fɪskʏr
þakklæti	θahklaiːtɪ
hríðarbylur	r̥iːðar̥pɪːlʏr̥
þérun	θjɛːrʏn
rotnun	rɔhtnʏn
rot	rɔːt
pækill	pʰaiːcɪtl
laukur	løyːkʏr
geislabaugur	ceistlapøyːɣʏr
bossi	pɔsːɪ
fuglakjöt	fʏklacʰœːt
brýna	priːna
framleiðsla	framleiðstla
dyntur	tɪn̥tʏr
portúgalska	pɔr̥tuːkalska
rósmarín	rouːsmariːn
brugg	prʏkː
lífefnafræði	liːvɛpnafraiːðɪ
pakkhús	pʰahkhuːs
vernda	vɛrnta
blaðra	plaðra
kirja	cʰɪrja
veðurtungl	vɛːðʏrtʰuŋl
grynna	krɪnːa
gröftur	krœftʏr
særa	saiːra
fursti	fʏr̥stɪ
þroti	θrɔːtɪ
deigur	teiːɣʏr
bræði	praiːðɪ
kirkja	cʰɪr̥ca
bekkjarfélagi	pɛhcarfjɛːlaːjɪ
læra	laiːra
rokk	rɔhk
tíðni	tʰiðnɪ
fimma	fɪmːa
dregill	treiːjɪtl
svín	sviːn
óáreiðanleiki	ouːauːreiːðanleiːcɪ
svunta	svʏn̥ta
harma	harma
hamborgari	hampɔrkarɪ
þraut	θrøyːt
fegurð	fɛːɣʏrð
stinnastör	stɪnːastœːr
ákefð	auːcɛvð
giska	cɪska
spritt	sprɪht
kirkjubær	cʰɪr̥cʏpaiːr
viðar	vɪːðaːr
yppa	ɪhpa
færeyska	faiːreiska
fórn	fourtn
ildi	ɪltɪ
lygn	lɪkn
paxblað	pʰaxsplaːð
ekta	ɛxta
búkur	puːkʏr
forvöð	fɔrvœːð
sífelldur	siːfɛltʏr
saurugur	søyːrʏːɣʏr
eignarfornafn	eiknarfɔrnapn
kajak	kʰaiːjaːk
schram	skraːm
hellir	hɛtlɪr
áburður	auːpʏrðʏr
hrun	r̥ʏːn
þjóð	θjouːð
leirburður	leirpʏrðʏr
múrbrjótur	murprjouːtʏr
lausnarhraði	løystnarr̥aːðɪ
alvara	alvaːra
geldingahnappur	cɛltiŋkan̥ahpʏr
muldra	mʏltra
kyn	cʰɪːn
þegn	θɛkn
val	vaːl
hvítasunna	xʷiːtasʏnːa
dómpápi	toumpʰauːpɪ
frumskógur	frʏmskouːʏr
hamar	haːmar
járning	jaurtniŋk
hnútur	n̥uːtʏr
hraða	r̥aːða
afi	aːvɪ
lyst	lɪst
skelkur	scɛl̥kʏr
belti	pɛl̥tɪ
fagott	faːkɔht
börkur	pœr̥kʏr
gálgi	kaulcɪ
fágaður	fauːaðʏr
skiptavinur	skɪftavɪːnʏr
rúmföt	rumfœːt
brennsla	prɛnstla
fálma	faulma
anga	auŋka
ítalía	iːtʰaːliːja
kúld	kʰult
ingi	iɲcɪ
dvelja	tvɛlja
stofn	stɔpn
ól	ouːl
dvína	tviːna
kol	kʰɔːl
íkorni	iːkʰɔrtnɪ
skjaldbaka	scaltpaːka
mitti	mɪhtɪ
selkjöt	sɛlcʰœːt
lausn	lœistn
skunkur	skuŋ̊kʏr
kúlupenni	kʰuːlʏpʰɛnːɪ
mestur	mɛstʏr
hind	hɪnt
mylja	mɪlja
hvar	xʷaːr
hauskúpa	høyːskʰuːpa
vænta	vain̥ta
strit	strɪːt
samkennd	samcʰɛnt
dótturdóttir	touhtʏrtouhtɪr
sólarlag	souːlarlaːɣ
skulu	skʏːlʏ
fúga	fuːka
miðeyra	mɪːðeiːra
derringur	tɛrːiŋkʏr
þjark	θjar̥k
flygilhorn	flɪjɪlhɔrtn
hrynjandi	r̥ɪnjantɪ
dulargervi	tʏːlarcɛrvɪ
græðgi	kraiðcɪ
greiðslukort	kreiðstlʏkʰɔr̥t
akkur	ahkʏr
rönd	rœnt
títt	tʰiht
veiði	veiːðɪ
rjómaostur	rjouːmaɔstʏr
vatnalilja	vahtnalɪlja
kefla	cʰɛpla
jóskur	jouskʏr
fáviti	fauːvɪːtɪ
ræpa	raiːpa
kjötæta	cʰœːtaiːta
löngun	løyŋkʏn
þurrkur	θʏr̥kʏr
hróný	r̥ouːniː
niðji	nɪðjɪ
handleggur	hantlɛkːʏr
neita	neiːta
grúbba	krupːa
flinkur	fliŋ̊kʏr
írónía	iːrouːniːja
byssukúla	pɪsːʏkʰuːla
stytting	stɪhtiŋk
söl	sœːl
skita	scɪːta
aþeningur	aːθɛːniŋkʏr
kafald	kʰaːvalt
blók	plouːk
afklæða	avkʰlaiːða
múr	muːr
sinfóníuhljómsveit	sɪnfouːniːjʏl̥joumsveiːt
stjörnufræði	stjœrtnʏfraiːðɪ
gæludýr	caiːlʏtiːr
mýrdalína	mirtaːliːna
lauslátur	løyːslauːtʏr
fórnarlamb	fourtnarlamp
þak	θaːk
naumur	nøyːmʏr
mannvit	manːvɪːt
undirheiti	ʏntɪrheiːtɪ
birta	pɪr̥ta
lita	lɪːta
sulla	sʏtla
hlýðinn	l̥iːðɪnː
farði	farðɪ
lagður	laɣðʏr
neptúnus	nɛptʰuːnʏs
saltsýra	sal̥tsiːra
moskítófluga	mɔsciːtouːflʏːɣa
öfga	œvka
duttlungafullur	tʏhtluŋkafʏtlʏr
askur	askʏr
þumalputti	θʏːmalpʰʏhtɪ
grávíðir	krauːviːðɪr
uggur	ʏkːʏr
heill	heitl
borg	pɔrk
áreynsla	auːreinstla
hót	houːt
þrúður	θruːðʏr
guðvaldína	kvʏðvaltiːna
nefdýr	nɛvtiːr
unnar	ʏnːaːr
burst	pʏr̥st
ilmur	ɪlmʏr
hnýta	n̥iːta
hnerri	n̥ɛrːɪ
jensen	jɛnsɛnː
slanga	stlauŋka
stirður	stɪrðʏr
sif	sɪːv
latína	laːtʰiːna
eyrnapinni	eirtnapʰɪnːɪ
eignarhaldsfélag	eiknarhaltsfjɛːlaːɣ
prótín	pʰrouːtiːn
norska	nɔr̥ska
pýþagóras	pʰiːθakouːraːs
gróður	krouːðʏr
fága	fauːa
svaladrykkur	svaːlatrɪhkʏr
ingibjörg	iɲcɪpjœrk
romm	rɔmː
hraðbraut	r̥aðprøyːt
fugl	fʏkl
eldast	ɛltast
bóndabær	pountapaiːr
tannhvalur	tʰanːkʰvaːlʏr
flónskur	flounskʏr
tungumál	tʰuŋkʏmauːl
klumpur	kʰlʏm̥pʏr
ráðgáta	rauðkauːta
evrópa	ɛvrouːpa
teningur	tʰɛːniŋkʏr
eyra	eira
tölvuspil	tʰœlvʏspɪːl
