melandro	melandɾo̝
gralla	ɡɾaʎa̝
tato	tato̝
arzaña	aɾθaɲa̝
aguacil	aɰwasil
teta	teta̝
bousán	bowsaŋ
brinco	bɾiŋko̝
broeiro	bɾoejɾo̝
peto	peto̝
ledo	leðo̝
obrigar	oβɾiɣaɾ
orgulloso	ɔɾɣuʎoso̝
estarrecer	estareseɾ
randa	randa̝
pintar	pintaɾ
aguacil	aɡwaθil
quinteiro	kintejɾo̝
centola	θentola̝
viveiro	biβejɾo̝
becerro	besero̝
couza	kowθa̝
muíño	muiɲo̝
carallo	kaɾaʎo̝
chagorza	t͡ʃaɣɔɾθa̝
escochar	eskot͡ʃaɾ
xenro	ʃɛŋɾo̝
lábil	labiːl
riola	riɔla̝
bazar	baθaɾ
baamonde	bamonde̝
neada	niaða̝
botafumeiro	botafumejɾo̝
esterlino	esterlino̝
reira	rejɾa̝̝
arremedar	aremeðaɾ
freán	fɾeaŋ
zucho	θut͡ʃo̝
cheirento	t͡ʃejɾɛnto̝
afastar	afastaɾ
bicar	bikaɾ
diante	diante̝
abrótea	aβɾɔte̯a̝
estrondo	estɾondo̝
chupeta	t͡ʃupeta̝
planta	planta̝
recuncho	rekunt͡ʃo̝
garimar	ɡaɾimaɾ
milgrandeira	milɣɾandejɾa̝
bater	bateɾ
landeira	landejɾa̝
esmechar	esmet͡ʃaɾ
pouco	powko̝
formal	foɾmal
xoaniña	ʃo̯aniɲa̝
medeiro	meðejɾo̝
esparto	espaɾto̝
morte	mɔɾte̝
coto	kɔto̝
escada	eskaða̝
matanza	matanθa̝
zarangallo	θaɾaŋɡaʎo̝
bance	banse̝
saloucar	salowkaɾ
antártida	antaɾtiða
traballo	tɾaβaʎo̝
breu	bɾɛw
abeto	aβeto̝
gurgulla	ɡuɾɣuʎa̝
leira	lejɾa̝
forca	fɔɾka̝
coiote	kojɔte
montar	montaɾ
arneiro	aɾnejɾo̝
cerponzóns	θeɾponθoŋs
escarva	eskaɾβa̝
xostra	ʃostɾa̝
engadir	eŋɡaðiɾ
galdrapa	ɡaldɾapa̝
bourear	bowɾeaɾ
estampar	estampaɾ
lemos	lɛmo̝s
apeiro	apejɾo̝
dentabrún	dɛntaβɾuŋ
chapar	t͡ʃapaɾ
escoler	eskɔlɛɾ
roxo	roʃo̝
guilfrei	ɡilfɾej
choio	t͡ʃɔjo̝
daquela	dakela
focha	fot͡ʃa̝
chacina	t͡ʃaθina̝
angazo	aŋɡaθo̝
estantiga	estantiɣa̝
calafatear	kalafateaɾ
cillobre	siʎɔβɾe̝
faio	fajo̝
obreiro	oβɾejɾo
frauga	fɾawɣa̝
nabiza	naβisa̝
guillo	ɡiʎo̝
miar	miaɾ
osca	ɔska̝
menciñeiro	menθiɲejɾo̝
esvaír	ez̺β̞ɐiɾ
avinza	aβinθa̝
targa	taɾɣa̝
pobre	pɔβɾe̝
peito	pejto̝
pico	piko̝
alfiestra	alfiɛstɾa̝
pascua	paskwa̝
trabe	tɾaβe̝
forxás	foɾʃas
pescozo	peskoso̝
serán	seɾaŋ
espetada	espeto̝
quenda	kɛnda̝
cruceiro	kɾusejɾo̝
pioga	piɔɣa̝
lestrobe	lestɾɔβe̝
cismar	sismaɾ
depenar	depenaɾ
rapariga	rapaɾiɣa̝
almorzar	almoɾθaɾ
reloxo	relɔ
finamento	finamento̝
mexamorno	meʃa̝mɔɾno̝
arpeo	aɾpeo̯
agoiro	aɣojɾo̝
belota	belɔta̝
mouta	mowta̝
tobo	toβo̝
gramalleira	ɡɾamaʎejɾa̝
bolboreta	bolβoɾeta
carraxe	karaʃe̝
temporal	tɛmpoɾal
moucho	mowt͡ʃo̝
azo	aso̝
reboreda	reβoɾeða̝
envurullar	embɾuʎaɾ
loro	loɾo̝
alor	alɔɾ
xógara	ʃɔɣa̝ɾa̝
merlán	merlaŋ
mosteirón	mostejɾɔŋ
mudo	muðo̝
carroucha	karowt͡ʃa̝
cordeiro	koɾðejɾo̝
anazar	anaθaɾ
tósego	tos̺eɣo̝
enchenta	ent͡ʃenta̝
papoia	papɔja̝
cepa	sepa̝
brañento	bɾaɲento̝
chiscar	t͡ʃiskaɾ
corte	koɾte̝
salgar	salɣaɾ
pasamento	pasamento̝
tufeira	tufejɾa̝
cairo	kajɾo̝
enredar	enreðaɾ
garrocha	ɡarɔt͡ʃa̝
pipa	pipa̝
gorgolo	ɡoɾɣolo̝
capón	kapoŋ
canizo	kaniθo̝
carpir	kaɾpiɾ
boquexar	bokeʃaɾ
esfollar	eɾfoʎaɾ
gondulfes	ɡondulfe̝s
brosa	bɾɔsa̝
corre	kore̝
rechán	ret͡ʃaŋ
cerollo	θeɾoʎo̝
estala	estala̝
chacina	t͡ʃasina̝
angueira	aŋɡejɾa̝
espichar	espit͡ʃaɾ
gondollín	ɡondoʎiŋ
segorella	seɣoɾeʎa̝
sangaño	saŋɡaɲo̝
cristián	kɾistjaŋ
chorar	t͡ʃoɾaɾ
latricar	latɾikaɾ
raro	raɾo̝
abruño	aβɾuɲo̝
achandar	at͡ʃandaɾ
escolleito	eskoʎejto̝
esmagar	esmaɣaɾ
esterco	esteɾko̝
bancal	baŋkal
anoxar	anoʃaɾ
peirao	pejɾaʊ
rastro	rastɾo̝
fermento	feɾmɛnto̝
gaita	ɡajta̝
malado	malaðo̝
beleguín	beleɣiŋ
graxa	ɡɾaʃa̝
marzapán	marθapaŋ
faia	faja̝
fío	fio̝
aninovo	aninɔβo̝
testeira	tɛstejɾa̝
tuimil	tujmil
mestura	mestuɾa̝
cálice	kalise
correa	korea̝
cabazo	kaβaθo̝
ciringallo	θiɾiŋɡaʎo̝
feal	feal
óso	ɔso̝
requián	rekiaŋ
robra	rɔβɾa̝
xaxún	ʃaʃuŋ
míllaras	miʎa̝ɾa̝s
espicho	espit͡ʃo̝
ladeira	laðejɾa̝
bébedo	beβe̝ðo̝
xiao	ʃiao̯
golpe	ɡɔlpe̝
reinar	rejnaɾ
orzón	oɾsoŋ
corte	kɔɾte̝
balvís	balβis
apalpar	apalpaɾ
trasnada	tɾasnaða̝
libraría	liβɾaɾia̝
ribada	riβaða̝
reguengo	reɣɛŋɡo̝
poleiro	pulejɾo̝
morado	moɾaðo̝
píntega	pinte̝ɣa̝
arcipreste	aɾθipɾɛste̝
acougar	akowɣaɾ
varcia	baɾsja̝
lobishome	loβisɔme̝
picheleiro	pit͡ʃɛlejɾo̝
pechadura	pet͡ʃaðuɾa̝
cántara	kanta̝ɾa̝
mexer	meʃeɾ
marouba	maɾowβa̝
farrapo	farapo̝
pixa	piʃa̝
charamusca	t͡ʃaɾamuska̝
isqueiro	iskejɾo̝
cavorco	kaβɔɾko̝
acaer	akaeɾ
recudir	rekuðiɾ
rebordelo	reβoɾðɛlo̝
ferrado	feraðo̝
frouma	fɾowma̝
tronco	tɾoŋko̝
montecelo	monteselo̝
buxardo	buʃaɾð̝o
arroutado	arowtaðo̝
alxofre	alʃofɾe̝
monteiro	montejɾo̝
navío	naβio̝
tríscele	tɾisθe̝le̝
anga	aŋka̝
mantenza	mantɛnθa̝
abeaca	aβeaka̝
arteiro	aɾtejɾo̝
pallote	paʎɔte̝
baixel	bajʃɛl
teixugo	tejʃuɣo̝
rego	rɛɣo̝
barreira	barejɾa̝
riscar	riskaɾ
tesouro	tesowɾo̝
garrote	ɡarɔte̝
pequeno	pekeno̝
desalgar	desalɣaɾ
martelo	maɾtɛlo̝
tasca	taska̝
entrefollo	entɾefoʎo̝
guiar	ɡiaɾ
ledo	lɛðo̝
irmá	iɾma
mallada	maʎaða̝
carreto	kareto̝
fouce	fowθe̝
lercha	lɛɾt͡ʃa̝
seixebra	sejʃeβɾa̝
prea	pɾea̝
almallo	almaʎo̝
roer	roeɾ
galar	ɡalaɾ
patín	patiŋ
amolentar	amolentaɾ
cumial	kumial
cisco	θisko̝
mollar	moʎaɾ
tomar	tomaɾ
pemento	pemento̝
banzo	banso̝
orballar	oɾβaʎaɾ
cascón	kaskoŋ
sombreiro	sombɾejɾo̝
napia	napja̝
castromaior	kastɾomajoɾ
lucenza	luθɛnθa̝
estarricar	estarikaɾ
faceira	fasejɾa̝
escarolar	eskaɾolaɾ
muiñeiro	muiɲejɾo̝
rosmar	rɔsmaɾ
xear	ʃeaɾ
mariz	maɾiθ
chimpo	t͡ʃimpo̝
aliviar	aliβjaɾ
franqueza	fɾaŋkeθa̝
afalar	afalaɾ
tear	teaɾ
toar	toaɾ
taboada	taβo̯aða̝
corenta	kɔrɛnta̝
seca	seka̝
egua	ɛɣwɐ
rebulir	rebuliɾ
xuízo	ʃwiθʊ
bradar	bɾaðaɾ
estrar	estɾaɾ
beleguín	beleɰiŋ
peneireiro	penejɾejɾo̝
golfe	ɡɔlfe̝
badalo	baðalo̝
birollo	biɾɔʎo̝
carpaza	kaɾpaθa̝
escambrón	eskambɾoŋ
marco	maɾko̝
arrefecer	arefeθeɾ
lenzo	lɛnθo̝
xogo	ʃɔɣo̝
arnal	aɾnaʊ̯
breixo	bɾejʃo̝
ganzo	ɡanθo̝
desleixar	deslejʃaɾ
vindima	bindima̝
denociña	denoθiɲa̝̝
axear	aʃeaɾ
ganir	ɡaniɾ
hucha	ut͡ʃa̝
oliva	oliba
cabaneiro	kaβanejɾo̝
bertamil	beɾtamil
machucar	mat͡ʃukaɾ
gorgoiro	ɡoɾɣojɾo̝
bouza	bowθa̝
entregar	entɾeɡaɾ
ceibo	θejβo̝
seimeira	sejmejɾa̝
leirón	lejɾoŋ
tabuela	taβuɛla̝
mandar	mandaɾ
touzo	towθo̝
gabear	ɡaβeaɾ
rabaño	raβaɲo
remol	remɔl
candeeiro	kandiejɾo̝
da	d̪ɐ
lareira	laɾejɾa̝
galdaripo	ħaldaɾipʊ
penca	peŋka̝
atufado	atufaðo̝
alvariza	alβaɾiθa̝
broa	bɾoa̝
vexiga	biʃiɣa̝
demoucar	demowkaɾ
boirao	bɔjɾaw
preguiceiro	pɾeɣisejɾo̝
xogral	ʃoɣɾal
próximo	pɾɔksimʊ
vincha	bint͡ʃa̝
vaxina	baʃina
soer	soeɾ
fozar	foθaɾ
choqueiro	t͡ʃɔkejɾo̝
tapada	tapaða̝
billarda	biʎaɾða̝
avea	aβea̝
ardora	aɾðoɾa̝
trincheira	tɾint͡ʃaɾ
avoengo	aβoeŋɡo̝
debandar	deβandaɾ
cacheira	kat͡ʃejɾa̝
convidar	kombiðaɾ
machada	mat͡ʃaða̝
cómaro	koma̝ɾo̝
cavaxe	kaβaʃe̝
castizal	kastisal
pabea	paβea̝
furón	fuɾoŋ
casanova	kasanɔβa̝
cagar	kaɣaɾ
crica	kɾika̝
fochanca	fot͡ʃaŋka̝
descascar	deskaskaɾ
terrón	teroŋ
atuír	atuiɾ
beberaxe	beβeɾaʃe̝
tecelán	teselaŋ
carnocho	kaɾnot͡ʃo̝
nai	naj
rechumir	ret͡ʃumiɾ
coriscada	koɾiskaða̝
fornir	foɾniɾ
acivro	aθiβɾo̝
lareto	laɾeto̝
bullo	buʎo̝
xofre	ʃɔfɾɪ
costal	kostal
pabío	paβio̝
tomé	tomɛ
xurelo	ʃuɾɛlo̝
couto	kowto̝
enganido	eŋɡaniðo̝
toneleiro	tonelejɾo̝
reburdiar	reβuɾðeaɾ
nana	nana̝
carrizo	kariθo̝
molete	molete̝
noiteboa	nojteβoa̝
gradar	ɡɾaðaɾ
castelo	kastɛlo̝
prol	pɾɔl
tomada	tomaða̝
abruñeiro	aβɾuɲejɾo̝
achantar	at͡ʃantaɾ
relinga	reliŋɡa̝
celme	sɛlme̝
chafariz	t͡ʃafaɾiθ
miga	miɣa̝
esquío	eskio̝
oso	oso̝
tacha	tat͡ʃa̝
cora	kɔɾa̝
costeiro	kɔstejɾo̝
estragar	estɾaɣaɾ
fornecer	fɔɾnɛseɾ
cagalleta	kaɣaʎeta̝
riazón	riaθoŋ
moza	moθa̝
carro	karo̝
corredoira	koreðojɾa̝
prado	pɾaðo̝
ariño	aɾiɲo̝
abrigar	aβɾiɣaɾ
zorro	soro̝
bagulla	baɣuʎa̝
esbullar	esβuʎaɾ
murcho	muɾt͡ʃo̝
angarellas	aŋɡaɾeʎa̝s
cadea	kaðea̝
esfolar	esfolaɾ
parada	paɾaða̝
cerca	θeɾka̝
monifate	monifate̝
carrasco	karasko̝
con	ko̝ŋ
alcalde	alkalðe̝
sequeiro	sekejɾo̝
coco	koko̝
cirurxián	θiɾuɾʃjaŋ
cobiza	koβisa̝̝
livián	liβiaŋ
requesende	rekesende̝
porta	pɔɾta̝
roxón	roʃoŋ
cueiro	kuejɾo
banqueta	baŋketa̝
alcuñar	alkuɲaɾ
cumprir	kumpɾiɾ
palleiro	paʎejɾo̝
sarro	saro̝
tormento	toɾmento̝
rancio	ranθjo̝
mentir	mintiɾ
catorce	katoɾθɪ
papuxas	papuʃa̝s
esbellar	esβeʎaɾ
sen	sɛŋ
pexa	peʃa̝
irixoa	iɾiʃɔa̝
osa	ɔsa̝
voitre	bojtɾe̝
poial	pojal
asinar	asinaɾ
petouco	petowko̝
compaña	kompaɲa̝
beiramar	bejɾamaɾ
fondal	fondal
cheda	t͡ʃeða̝
amieiro	amiejɾo̝
medio	meðio̝
folgueira	folɣejɾa̝
bosque	bɔske
marís	maːɾis
cereixa	θɾɛjʃa̝
peniz	peniθ
voitirón	bojtiɾo̝ŋ
refugallo	refuɣaʎo̝
cárdeo	kaɾðeo̝
cristo	kɾisto̝
preada	pɾeaða̝
unlla	unʎa̝
bermún	beɾmuŋ
trouso	tɾowso̝
muiñeira	muiɲejɾa
cimbro	θimbɾo̝
solda	solda̝
choutar	t͡ʃowtaɾ
gota	ɡota̝
anta	anta̝
anaco	anako̝
fraixolé	fɾajʃʊlɛ
carmear	kaɾmeaɾ
céltigos	sɛltiɣo̝s
estivada	estiβaða̝
brandariz	bɾandaɾiθ
morriñento	moriɲɛnto̝
zorra	sora̝
canafrecha	kanafɾet͡ʃa̝
mallante	maʎante̝
derrego	derɛɣo̝
cruceiro	kɾuθejɾo̝
fiollo	fioʎo̝
ervellaca	eɾβeʎaka̝
rodrigo	rodɾiɣo̝
ferraña	feraɲa̝
sino	sino̝
matadoiro	mataðojɾo̝
baiuca	bajuka̝
merda	mɛɾða̝
garela	ħaɾɛla̝
topar	topaɾ
boeta	boeta̝
entullo	entuʎo̝
angumil	aŋɡumil
bacorelo	bakoɾɛlo̝
acibeche	aθiβɛt͡ʃe̝
faca	faka̝
banir	baniɾ
sabelo	saβɛlo̝
cregaxe	kɾɛɣaʃe̝
viturón	bituɾo̝ŋ
grelo	ɡɾilo̝
beresmo	beɾesmo̝
esfrangullar	esfɾaŋɡuʎaɾ
poalla	poaʎa̝
ruxidoiro	ruʃiðojɾo̝
morcego	moɾθɛɣo̝
golmar	ɡolmaɾ
galgar	ɡalɣaɾ
volta	bɔlta̝
treina	trejna̝
area	aɾea̝
rebisaco	rɛβiz̺ako̝
troita	tɾuta̝
tallar	taʎaɾ
couzón	kowsoŋ
tolosa	tolosa
lighó	liħoŋ
espora	espɔɾa̝
xente	ʃente̝
albó	alβo̝
cabo	kaβo̝
caetano	kaetano̝
avesedo	aβeseðo̝
enxebre	enʃeβɾe̝
funil	funil
esfollar	esfoʎaɾ
cismar	θismaɾ
gorentar	ɡoɾɛntaɾ
bici	biθi
niñeiro	niɲejɾo̝
espádoa	espado̯a
estiar	estiaɾ
beliscar	beliskaɾ
moeche	moet͡ʃe̝
miañar	miaɲaɾ
pazó	paθɔ
soro	soɾo̝̝
morea	moɾea̝
corpiño	koɾpiɲo̝
envurullar	embuɾuʎaɾ
feila	fejla̝
capelo	kapelo̝
capa	kapa̝
borralla	boraʎa̝
gaio	ɡajo̝
orfo	ɔɾfo̝
enfeitizar	eɱfejtisaɾ
filloa	fiʎɔa̝
voleibol	bo̞le̞iβ̞o̞l
moio	mojo̝
buxeu	buʃɛw
orxo	ɔɾʃo̝
diñeiro	diɲejɾo̝
escorrentar	eskorentaɾ
decepar	deθepaɾ
prezo	pɾeθo̝
amizade	amiθaðe̝
tanza	tansa
tarabela	taɾaβɛla̝
alpendre	alpendɾe̝
verza	beɾθa̝
pezuño	pɛsuɲo̝
liñaxe	liɲaʃe
bedulo	beðulo̝
peluxe	peluʃe̝
noxento	noʃɛnto̝
mazarico	masaɾiko̝
carbón	kaɾβoŋ
pouta	powta̝
entullar	entuʎaɾ
campo	kãmpo̝
chozo	t͡ʃɔso̝
paes	paes
orneón	oɾneoŋ
ceibe	θejβe̝
adiviñar	aðiβiɲaɾ
encetar	ensetaɾ
bascullo	baskuʎo̝
serantes	seɾante̝s
vacina	basina̝
tiro	tiɾo̝
zoscar	θoskaɾ
apio	apjo̝
monteira	montejɾa̝
babuxa	baβuʃa̝
xilbarbeira	ʃilβaɾβejɾa̝
felgo	fɛlɣo̝
xardineiro	ʃaɾðinejɾo
afungar	afuŋɡaɾ
veiga	bejɣa̝
pagar	paɣaɾ
zoca	sɔka̝
vilar	bilaɾ
bourar	bowɾaɾ
devagar	deβaɣaɾ
pousa	powsa̝
avia	aβja̝
mormenta	moɾmenta̝
prego	pɾɛɣo̝
pía	pia̝
menta	mɛnta̝
baladrón	balaðɾo̝n
ceba	seβa̝
cubeta	kuβeta̝
amencer	amenθeɾ
barbanza	baɾβansa̝
caneiro	kanejɾo̝
país	pais
cozo	kɔθo̝
miguéns	miɣɛŋs
fervenza	feɾβɛnsa̝
chumbada	t͡ʃumbaða̝
campa	kampa
pedregullo	peðɾeɣuʎo̝
espadeleiro	espaðelejɾo̝
billardo	biʎaɾðo̝
alporizar	alpoɾisaɾ
chá	t͡ʃa
liaza	liaθa̝
cinto	sinto̝
pano	pano
paa	paː
tranca	tɾaŋka̝
arroto	aroto̝
vagalume	baɣalume̝
cuspe	kuspe̝
incenso	inθɛnso̝
dependurar	dependuɾaɾ
rapaz	rapaθ
cuspido	kuspiðo̝
abelurio	aβeluɾio̝
sapoconcho	sapokont͡ʃo̝
estada	estaða̝
croque	kɾɔke̝
freáns	fɾeaŋs
eiré	ejɾe
escádea	eskaðe̯a̝
combarro	kombaro̝
argana	aɾɣana̝
guindar	ɡindaɾ
avesar	aβesaɾ
limiar	limjaɾ
atián	atiaŋ
aguilloar	aɣiʎoaɾ
mincha	mint͡ʃa̝
cadaleito	kaðalejtʊ
galiza	ɡaliθɐ
cárcere	kaɾθe̝ɾe̝
arzán	aɾθaŋ
rebuldar	reβuldaɾ
cillobre	θiʎɔβɾe̝
cádavo	kaða̝βo̝
chorón	t͡ʃoɾoŋ
ceifa	sɛjfɐ
che	t͡ʃe
aguisar	aɣisaɾ
vilargondurfe	bilaɾɡonduɾfe̝
manle	manle̝
bocha	bɔt͡ʃa̝
chamuscar	t͡ʃamuskaɾ
poseiro	posejɾo̝
zoqueiro	θɔkejɾo̝
taxa	taʃa̝
mesto	mesto̝
cedo	seðo̝
embude	embuðe̝
faiado	fajaðo̝
almorzo	almoɾso̝
forqueta	foɾketa̝
sacar	sakaɾ
moina	mɔjna̝
meiga	mejɣa̝
buraco	buɾako̝
francada	fɾaŋkaða̝
cepo	θepo̝
miguel	miɣɛl
rostro	rostɾo̝
chisca	t͡ʃiska̝
cerne	sɛɾne̝
sola	sɔla̝
bordón	boɾðoŋ
xeada	ʃeaða̝
lobio	loβjo̝
armadura	aɾmaduɾa
viso	biso̝
faiar	fajaɾ
