naabritega	nˈaːbritˌeɡa
kõrgtehnoloogiline	kˌɵrɡtehnolˈoːɡilˌine
riigipeale	rˈiːɡipˌeale
klassikaks	klˈas^s^ikaks
taastamisega	tˈaːstamˌiseɡa
maavalitsustele	mˈaːvalˌitsustˌele
ajalooliselt	ˌajɑlˈoːliselt
kuritegude	kˈurɪtˌeɡude
piirneva	pˈiːrneva
Saatan	sˈaːtːan
ETVle	ˈetvlˈe
kordaks	kˈordaks
sõjaväelist	sˈɵjɑvˌæelist
paranemist	pˈarɑnemist
Viimasel	vˈiːmasel
kütuseaktsiis	kˌytuseaktsˈiːs
ajast	ˈajɑst
LOLL	lˈoiʎʎ
ametilt	ˈamɛtilt
Pilv	pˈilv
narkootikume	narkːˈoːtːikˌume
murettekitav	mˈurɛtːˌekitav
hooldajaid	hˈoːldajaid
taandusid	tˈaːndusid
põhimõtete	pˈɵhɪmˌɵtete
miinuse	mˈiːnuse
jalavigastuse	jˈalɑviɡˌastuse
väljaandmist	væʎjˈaːndmist
usaldanud	ˈusɑldanud
vabastiilis	vˌabɑs^tˈiːlis
rahvakiriku	rˈahvakˌiriku
Valk	vˈalk
Hukkunu	hˈukːunu
jõupingutused	jˈɵupːˌiŋɡutused
kõrvaltoas	kˌɵrvaltˈoaːs
tähtsusetu	tˈæhtsusˌetu
oksjonil	ˈoksjonil
peretöö	pˌerɛtˈøː
osariik	ˌosɑrˈiːk
Keskusesse	kˈeskusˌesse
Peter	pˈeter
karikat	kˈarɪkat
tabada	tˈabɑda
Mereinstituudi	mˌereˌinstitˈuːdi
mõjuva	mˈɵjʊva
pudenes	pˈudɛnes
vabalt	vˈabɑlt
aldis	ˈaʎdis
rööbastel	rˈøːbastel
neljandad	nˈeʎjandad
kindlamini	kˈindlamˌini
loeksid	lˈoeksid
Müüdud	mˈyːdud
saadav	sˈaːdav
budistid	pˈud^ɪs^tid
rahvakultuuri	rˌahvakultˈuːri
Kümmel	kˈymmel
tehnilise	tˈehnilˌise
Käibemaksu	kˈæ͡ibemˌaksu
Smirnov	smˈirnov
paelu	pˈaelu
sotsiaaltoetuste	sˌoit^siˈaːltoˌetːuste
kott	kˈoit^ː
lõkkesse	lˈɵkːesse
laagrite	lˈaːɡrite
teatriauhindade	tˈeatːriauhˌindade
mitmekümne	mˈitːmekˌymne
Leigeri	lˈeiɡˌeri
kolmikhüppaja	kˈolmikhˌypːaja
kasv	kˈasv
uraani	urˈaːni
arusaamadega	ˌarʊsˈaːmadˌeɡa
tootega	tˈoːtːeɡa
Aare	ˈaːre
traagilisi	trˈaːɡilˌisi
eelarvekärped	ˈeːlarvekˌærped
halvustab	hˈalvustab
Kaitseväes	kˈaitsˌevæes
vähemusse	vˈæhɛmˌusse
Mõista	mˈɵista
vöötrajal	vˈøːtːrajal
viitsiks	vˈiːit^siks
Hollandiga	hˈollaɲdˌiɡa
Jeesusel	jˈeːsusel
kainestusmaja	kˈainˌestusmˌaja
Muusik	mˈuːs^ik
tsikkel	tsˈikːel
kontrollimas	kˈontrollimas
müra	mˈyrɑ
Hummeri	hˈummeri
riidu	rˈiːdu
vastne	vˈastne
tööandjatel	tˈøːaɲdjatel
saatuslikuks	sˈaːtːuslikuks
süütust	sˈyːtːust
kirjaoskamatu	kirjˈaoːskˌamatu
selgelt	sˈelɡelt
Helene	hˈelɛne
Lätimaa	lˌæt^imˈaː
põgenemist	pˈɵɡɛnemist
tähistame	tˈæhɪstˌame
jõusaali	jˌɵusˈaːli
juhtideks	jˈuhtideks
Rakveret	rˈakveret
laevadelt	lˈaevadelt
Toris	tˈorɪs
X	ˈikːs
Purge	pˈurɡe
kala	kˈalɑ
mõnel	mˈɵnɛl
kasutajaid	kˈasʊtˌajaid
Ülevaate	ˌylɛvˈaːtːe
õpetatakse	ˈɵpetatˌakse
esinemisel	ˈes^ɪnˌemisel
liiatigi	lˈiːjatːˌiɡi
Keskkonnaministeeriumi	kˌeskːonnaministˈeːriˌumi
Sündmust	sˈyndmust
Saadjärve	sˈaːd^jærve
juhtu	jˈuhtu
keldritesse	kˈeldritˌesse
selgitamise	sˈeʎɡitˌamise
palgatööl	pˌalɡatˈøːl
panevad	pˈanɛvad
Heidy	hˈeidi
Mesi	mˈes^ɪ
Maratoni	mˈarɑtˌoni
Sääsk	sˈæːsk
assistendina	ˈas^s^istˌeɲdina
kaaluvad	kˈaːluvad
toimetatakse	tˈoimetatˌakse
pääsemisest	pˈæːsemisest
neljakümne	nˈeʎjakˌymne
Aleksandra	ˈalɛksˌandra
nimetavad	nˈimɛtavad
LM	ˈellˌemm
metoodikaga	metˈoːdikˌaɡa
Palkade	pˈalkːade
valite	vˈaʎɪte
puit	pˈuit
kvoodi	kvˈoːd^i
tütreke	tˈytːreke
Taolisi	tˈaoːlˌisi
Veebruar	vˈeːbruar
kalmistu	kˈalmistu
päästmisega	pˈæːstmisˌeɡa
kahetsusväärsed	kˌahɛtsusvˈæːrsed
solvava	sˈolvava
keskraamatukogu	keskrˈaːmatˌukoɡu
rahunema	rˈahʊnˌema
marke	mˈarkːe
ihule	ˈihʊle
Sellises	sˈeʎʎises
õpilastega	ˈɵpilˌasteɡa
kunstimuuseumi	kˌunstimˈuːseˌumi
Raba	rˈabɑ
Grünthal	krˈynthal
juurdeehitust	jˈuːrdˈeːhitust
Jälgida	jˈæʎɡida
tõlgendavad	tˈɵlɡendavad
lahkunute	lˈahkunˌute
riigijuhid	rˈiːɡijuhid
Turetski	tˈurɛtski
soovunelm	sˈoːvunelm
Aruküla	ˈarʊkˌyla
tõite	tˈɵitːe
nuppudega	nˈupːudˌeɡa
heastamiseks	hˈeastˌamiseks
vabrikus	vˈabrikus
vahelisel	vˈahɛlisel
tuhandetel	tˈuhɑndetel
Prosa	prˈosa
jõhkra	jˈɵhkra
koondisele	kˈoːɲdisˌele
põlde	pˈɵlde
loovaid	lˈoːvaid
põimitud	pˈɵimitud
lageda	lˈaɡɛda
Nõrk	nˈɵrk
kokkuvõtet	kˈokːuvɵtet
vedelesid	vˈedɛlesid
traditsioonilistes	trˌad^iˌit^siˈoːnilˌistes
Heliga	hˈeʎɪɡa
kergemate	kˈerrɡemˌate
Siimann	sˈiːmann
astuv	ˈastuv
kütus	kˈytus
koolijuhi	kˈoːʎijˌuhi
sangpommi	sˈaŋɡpommi
linnakus	lˈinnakus
Takso	tˈakso
Kaitsejõudude	kˈaitsˌejɵˌudude
ETAle	ˈetˈalɛ
tagades	tˈaɡɑdes
ühekordse	ˈyhɛkˌordse
pöördumine	pˈøːrdumˌine
omaseks	ˈomɑseks
mälestusmärgi	mˈælɛstˌusmærɡi
jätkasime	jˈætkasˌime
järjekindlus	jˈærjekˌindlus
kuriteod	kˌurɪtˈeoːd
loomuliku	lˈoːmulˌiku
häbeneda	hˈæbɛnˌeda
kuulekad	kˈuːlekad
kahanes	kˈahɑnes
sellid	sˈeʎʎid
peresse	pˈerɛsse
Sauel	sˈauwel
avastama	ˈavɑstˌama
viimseks	vˈiːmseks
tellime	tˈeʎʎime
operatsioonisüsteemi	ˌoperaˌit^siˈoːnisystˈeːmi
rahulikumaks	rˈahʊlˌikumaks
liikumiste	lˈiːkːumˌiste
Kruudaga	krˈuːdaɡa
järske	jˈærske
Siimanni	sˈiːmanni
tiirutas	tˈiːrutas
reas	rˈeas
kindralite	kˈindralˌite
vastremonditud	vˈastremˌoɲditud
aiaga	ˈaijˌaɡa
koolitööd	kˈoːʎitˈøːd
hommikul	hˈommikul
pimestatud	pˈimɛstatud
omakseid	ˈomɑkseid
valimistulemused	vˈaʎɪmˌistulˌemused
piirdeaia	pˈiːrdeˌaija
Paltsu	pˈaltsu
Nõuame	nˈɵuwˌame
otsing	ˈoit^siŋɡ
eelnes	ˈeːlnes
tänasid	tˈænɑsid
eksitavat	ˈeksitavat
lauses	lˈauses
Tšiili	tʃˈiːʎi
mugavalt	mˈuɡɑvalt
varjamise	vˈarjamˌise
riis	rˈiiːs
Mõned	mˈɵnɛd
Presidendivalimiste	prˈes^idˌeɲdivalimˌiste
Parimaks	pˈarɪmaks
telemaja	tˈelɛmˌaja
Extra	ˈekstra
lõigu	lˈɵiɡu
käivitati	kˈæ͡ivitˌati
langetatud	lˈaŋɡetatud
veemajanduse	vˈeːmajˌanduse
paljukiidetud	pˌaʎjukˈiːdetud
parteisse	pˈarteˌisse
takistust	tˈakistust
kuulajad	kˈuːlajad
eriasjade	ˈeriˌasjade
võimud	vˈɵimud
veteranide	vˈeterˌanide
elutarkust	ˈelʊtˌarkːust
uudistesaatele	ˈuːd^istesˈaːtːele
vabastatud	vˈabɑstatud
Kohtunik	kˈohtunik
lähevadki	lˈæhɛvˌadki
hoides	hˈoides
õppused	ˈɵpːused
AUS	ˈaus
parklate	pˈarkːlate
karistusseadustikku	kˈarɪstˌusseadˌus^tikːu
Rick	rˈikk
Louis	lˈouis
ainulaadse	ˌainulˈaːdse
Riigikantselei	rˈiːɡikˌantselˈeiː
õitsele	ˈɵitsˌele
Küüt	kˈyːt
LTK	ˈelltˌeeːkˌaaː
Arendamise	ˈarɛndˌamise
laienevad	lˈaijˌenevad
poola	pˈoːla
tagasimakset	tˈaɡɑsimˌakset
Arutatakse	ˈarʊtatˌakse
Savisaarelt	sˌavɪsˈaːrelt
valitsustele	vˈaʎɪtsˌustele
okupandiks	ˈokupˌaɲdiks
agentuuri	ˌaɡɛntˈuːri
omal	ˈomɑl
korraldamisele	kˈorraldˌamisˌele
Traagel	trˈaːɡel
loomaaias	lˈoːmˈaːijas
vanausulised	vˈanaˌusulised
hiigelsuure	hˈiːɡelsˈuːre
vanemahüvitis	vˈanɛmˌahyvitis
käesoleva	kˈæesˌoleva
seeläbi	sˈeːlæbi
delegeeritud	tˌelɛɡˈeːritud
Phelps	phˈelps
Mavericksi	mˈavɛrˌikksi
tundlik	tˈundlik
Pulmablogi	pˈulmablˌoɡi
lubatust	lˈubɑtust
põhiturniiri	pˌɵhɪturnˈiːri
Ehho	ˈehho
keskpäevast	kˈeskpæevast
toonitada	tˈoːɲitˌada
Suarez	sˈuarez
kultuurikomisjoni	kultˈuːrikomˌisjoni
jooksmisega	jˈoːksmisˌeɡa
ERI	ˈerɪ
Kams	kˈams
Mingite	mˈiŋɡite
lisatakse	lˈisɑtˌakse
motivaatoriks	mˌot^ivˈaːtːoriks
meeletult	mˈeːletult
vaesed	vˈaesed
armastavad	ˈarmastavad
õnnistamist	ˈɵɲɲistamist
teisipäeval	tˈeisˌipæeval
Aruandes	ˈaruˌandes
sarikad	sˈarɪkad
vaimulikest	vˈaimˌulikest
rahutu	rˈahʊtu
liiklust	lˈiːkːlust
Korraldajate	kˈorraldˌajate
hullumeelse	hˌullumˈeːlse
EEK	ˈeːk
sissetulekuallikas	sˈissetulekuˌallikas
müügimahud	mˈyːɡimahud
igasugu	ˈiɡɑsˌuɡu
keskpolügooni	kˌeskpolyɡˈoːni
risk	rˈisk
asjaga	ˈas^jaɡa
sobivusest	sˈobɪvusest
Lillo	lˈillo
liikluseeskirja	lˈiːkːlusˈeːskirja
tarkusi	tˈarkːusi
eelnevatele	ˈeːlnevˌatele
liiklusõnnetus	lˈiːkːlusˌɵnnetus
eeldas	ˈeːldas
kohtualuse	kˈohtuˌaluse
rannavõrkpalli	rˈannavˌɵrkpalli
tingituna	tˈiŋɡitˌuna
SuperBus	sˈuperpˈus
suuremale	sˈuːremˌale
suurettevõtte	sˈuːretːevˌɵtːe
tegemas	tˈeɡɛmas
tuues	tˈuːwes
Julija	jˈuʎɪja
raputanud	rˈaputanud
karva	kˈarva
keskaegne	kˈeskaˌeɡne
Poliitiliselt	poʎˈiːtːiliselt
kriminaalkuriteos	krˌiminˈaːlkːuritˈeoːs
reisikindlustuse	rˈeisikˌindlustˌuse
Kustu	kˈustu
Muhu	mˈuhʊ
lahtiseid	lˈahhtiseid
Paas	pˈaaːs
tegeletud	tˈeɡɛletud
hilisemate	hˈiʎɪsˌemate
parteikongressil	pˈarteˌikːoŋɡrˌessil
segadust	sˈeɡɑdust
võrdväärsed	vɵrdvˈæːrsed
kursused	kˈursused
kreeklased	krˈeːkːlased
Joonatan	jˈoːnatan
Vichmanni	vˈikhmanni
fantaasial	fantˈaːsial
sportlaste	spˈortlaste
närv	nˈærv
Solberg	sˈolberɡ
saatja	sˈaːt^ja
Metsma	mˈetsma
Jeemenis	jˈeːmenis
sajandiks	sˈajɑɲdiks
sellal	sˈellal
vähendama	vˈæhɛndˌama
ettevõtetesse	ˈetːevɵtetˌesse
märkimata	mˈærkːimˌatːa
vabandusi	vˈabɑndˌusi
võimuparteide	vˈɵimupˌarteˌide
valdkonda	vˈaldkonda
võimetu	vˈɵimˌetu
vastupidist	vˈastupidist
diivan	dˈiːvan
nälga	nˈælɡa
usutunnistust	ˈusʊtˌunnistust
nõuandja	nˈɵuwˌaɲdja
Õunap	ˈɵunap
silmapaari	sˌilmapˈaːri
viiskümmend	vˈiːskymmend
suhtlemisel	sˈuhtlemisel
Iisaku	ˈiːsaku
kuulsaid	kˈuːlsaid
seltsiks	sˈeltsiks
Erametsaliidu	ˌerɑmˌetsalˈiːdu
sünnitusmajas	sˈyɲɲitˌusmajas
kõrgeimad	kˈɵrrɡeimad
üldvalimised	ˈyldvalˌimised
messikeskuse	mˈes^s^ikˌeskuse
halvenes	hˈalvenes
Strandberg	strˈandberɡ
kaubale	kˈaubˌale
sajandikuga	sˈajɑɲdˌikuɡa
Usin	ˈus^ɪn
majanduskomisjoni	mˈajɑndˌuskomˌisjoni
vanaemasid	vˈanaˌemasid
kuulujutud	kˈuːlujutud
juunini	jˈuːɲini
Petti	pˈet^ːi
tõsisemalt	tˈɵs^ɪsemalt
selgitatud	sˈeʎɡitatud
SA	sa
ksenofoobia	ksˌenofˈoːbia
olenemata	ˈolɛnemˌatːa
ärgates	ˈærɡates
Meeleavaldajad	mˈeːleavˌaldajad
pudrumäed	pˈudrumæed
Autojuhi	ˈautːˌojuhi
üldjuhul	ˈyʎdjuhul
tööstusharu	tˈøːstushˌaru
peakokk	pˈeakːokː
hoolega	hˈoːleɡa
annetama	ˈannetˌama
laulukooris	lˌaulukˈoːris
aprilli	ˈaprilli
disaini	dˈisaˌini
maksta	mˈaksta
Nõos	nˈɵoːs
kohtumine	kˈohtumˌine
Iirimaale	ˈiːrimˈaːle
Suva	sˈuvɑ
õnnest	ˈɵnnest
tootja	tˈoːt^ja
rahaasjades	rahˈaːsjades
juristide	jˈurɪs^tˌide
tagaistmel	tˈaɡaˌistmel
mängureeglite	mˌæŋɡurˈeːɡlite
Lippmaa	lipːmˈaː
kaevas	kˈaevas
ohtlikest	ˈoht^likest
olemuselt	ˈolɛmuselt
vanusevahe	vˈanʊsˌevahe
kaabeltelevisiooni	kˈaːbeltˌelevˌisiˈoːni
kaptenid	kˈaptenid
detail	tˈetail
ülekäigurajale	ˈylɛkˌæ͡iɡurˌajale
toodetavast	tˈoːdetavast
rikkujad	rˈikːujad
jõhkrate	jˈɵhkrate
suhtus	sˈuhtus
lippe	lˈipːe
sedel	sˈedɛl
intervjuude	ˌintervjˈuːde
esimehel	ˈes^ɪmehel
Boliivia	poʎˈiːvia
veerandi	vˈeːraɲdi
vanemalt	vˈanɛmalt
kõnnin	kˈɵɲɲin
külaselts	kˈylɑselts
kuuelt	kˈuːwelt
audit	ˈaudit
korrati	kˈorrati
Alvin	ˈalvin
Kaukaasia	kˌaukːˈaːsia
tegeleme	tˈeɡɛlˌeme
koolimajas	kˈoːʎimajas
üksikasju	ˈyksikˌasju
heliga	hˈeʎɪɡa
rasvu	rˈasvu
seina	sˈeina
piirkiiruse	pˈiːrkːˈiːruse
paigutuse	pˈaiɡˌutuse
vanapaberit	vˈanɑpˌaberit
rusikat	rˈus^ɪkat
igavesed	ˈiɡɑvesed
tehase	tˈehɑse
jõutakse	jˈɵutːˌakse
kosmoseagentuur	kˌosmoseaɡentˈuːr
