bekerjasama	bəkərdʒasama
buah	buah
détaséring	detaseriŋ
tinjunya	tindʒuɲa
terselap	tərsəlap
menolong	mənoloŋ
dekatnya	dəkatɲa
berwisata	bərwisata
cangkuk	tʃaŋkuʔ
kepesatan	kəpəsatan
démokrat	demoʔrat
selongkar	səloŋkar
temantén	təmanten
mencambuki	məntʃambuki
kealahan	kəalahan
memperkembangkan	məmpərkəmbaŋkan
melamin	məlamin
cerap	tʃərap
seli	səli
disapa	disapa
conténg	tʃonteŋ
ancar	antʃar
berbelulang	bərbəlulaŋ
berlari	bərlari
bajuku	badʒuku
daunan	daunan
perindu	pərindu
tabal	tabal
parleméntér	parləmenter
meledak	mələdaʔ
dolfin	dolfin
hubungan	hubuŋan
membélék	məmbeleʔ
melucut	məlutʃut
bungkalan	buŋkalan
akadémikus	akademikus
berbahaya	bərbahaja
tentangan	təntaŋan
menyejahterakan	məɲədʒahtərakan
senohong	sənohoŋ
penyebutan	pəɲəbutan
keharusan	kəharusan
membandingkan	məmbandiŋkan
menyerapkan	məɲərapkan
selédér	səleder
tol	tol
berkélong	bərkeloŋ
buntek	buntəʔ
kuburnya	kuburɲa
membelinya	məmbəliɲa
terlelap	tərləlap
memaki	məmaki
keturunan	kəturunan
dianjung	diandʒuŋ
akuisisi	akuisisi
nanah	nanah
terburuk	tərburuʔ
batung	batuŋ
sulfat	sulfat
ambéien	ambeiən
menyembur	məɲəmbur
lucut	lutʃut
berpotongan	bərpotoŋan
jika	dʒika
ketersediaan	kətərsədiaʔan
gélang	gelaŋ
penaram	pənaram
walhal	walhal
sengut	səŋut
gagap	gagap
faksimili	faʔsimili
sekrétin	səʔretin
kenabian	kənabian
celutuk	tʃəlutuʔ
mencangak	məntʃaŋaʔ
dipanggang	dipaŋgaŋ
kelanjutan	kəlandʒutan
memperlakukannya	məmpərlakukanɲa
setiausaha	sətiausaha
menggembala	məŋgəmbala
bilateral	bilatəral
éksténsi	eʔstensi
berdomisili	bərdomisili
lontar	lontar
biro	biro
menyemburi	məɲəmburi
bangat	baŋat
bersemburit	bərsəmburit
pedal	pədal
mahoni	mahoni
katil	katil
tonase	tonasə
sukun	sukun
dahlia	dahlia
kelenting	kələntiŋ
menyelonong	məɲəlonoŋ
berkantor	bərkantor
keplak	kəplaʔ
kobaran	kobaran
lumat	lumat
has	has
angkatan	aŋkatan
membusur	məmbusur
penenun	pənənun
kantong	kantoŋ
jemput	dʒəmput
menyidik	məɲidiʔ
peronyok	pəroɲoʔ
penjurian	pəndʒurian
resep	rəsəp
teror	təror
héran	heran
khazanah	ʔhazanah
purut	purut
kercit	kərtʃit
hanyutkan	haɲutkan
énsiklik	ensiʔliʔ
teranjur	tərandʒur
babé	babe
memperdéwa	məmpərdewa
kerung	kəruŋ
daki	daki
memperagakan	məmpəragakan
berdalih	bərdalih
kemerdékaannya	kəmərdekaʔanɲa
téosofi	teosofi
mengelitkan	məŋəlitkan
dubés	dubes
menceku	məntʃəku
mengasa	məŋasa
tekerjakan	təkərdʒakan
bunjai	bundʒai
ganjar	gandʒar
firman	firman
dengap	dəŋap
perus	pərus
dupléks	dupleʔs
coklat	tʃoʔlat
ayut	ajut
dibalik	dibaliʔ
ditukarkan	ditukarkan
monogami	monogami
dolanan	dolanan
rémbatan	rembatan
penceriaan	pəntʃəriaʔan
menyelang	məɲəlaŋ
dékoratif	dekoratif
binara	binara
terétét	təretet
diminyaki	dimiɲaki
capai	tʃapai
menjelimet	məndʒəlimət
mengepul	məŋəpul
kenang	kənaŋ
majikan	madʒikan
mempersoalkan	məmpərsoalkan
menepati	mənəpati
temoléh	təmoleh
peréka	pəreka
cekokan	tʃəkokan
pencairan	pəntʃairan
penerkam	pənərkam
mendandani	məndandani
téologis	teologis
ambet	ambət
perbabilan	pərbabilan
pelalian	pəlalian
berseri	bərsəri
melacak	məlatʃaʔ
mengabukan	məŋabukan
manfaatnya	manfaʔatɲa
merabut	mərabut
komédi	komedi
réban	reban
dakocan	dakotʃan
belibas	bəlibas
transmigran	transmigran
dihidupkannya	dihidupkanɲa
sedompol	sədompol
sajalah	sadʒalah
dékor	dekor
kecér	kətʃer
kubus	kubus
saléh	saleh
burut	burut
klip	ʔlip
cuping	tʃupiŋ
penggilas	pəŋgilas
pengatur	pəŋatur
kerkau	kərkau
suka	suka
menulikan	mənulikan
peluru	pəluru
dekap	dəkap
kénsél	kensel
daratan	daratan
danguk	daŋuʔ
rana	rana
renungan	rənuŋan
tompok	tompoʔ
menertibkan	mənərtibkan
mencahayai	məntʃahajai
menelédorkan	mənəledorkan
bakik	bakiʔ
membisu	məmbisu
mengelik	məŋəliʔ
tali	tali
merogol	mərogol
kafilah	kafilah
anca	antʃa
bikang	bikaŋ
mendesis	məndəsis
jalanya	dʒalaɲa
mingguan	miŋguan
kerakah	kərakah
rayap	rajap
perlit	pərlit
memantau	məmantau
kerikit	kərikit
tayang	tajaŋ
memilih	məmilih
bakup	bakup
disjoki	disdʒoki
kalui	kalui
teramputasi	təramputasi
menaga	mənaga
seliweran	səliwəran
kelopak	kəlopaʔ
mengantré	məŋantre
menakjubkan	mənaʔdʒubkan
ufti	ufti
boro	boro
persundalan	pərsundalan
vikaris	vikaris
garansi	garansi
kubeli	kubəli
bergabung	bərgabuŋ
menyérakkan	məɲeraʔkan
kalung	kaluŋ
lédang	ledaŋ
bangkut	baŋkut
alu	alu
menyanyikan	məɲaɲikan
keserémpét	kəsərempet
sepenggal	səpəŋgal
bébéran	beberan
selara	səlara
bertiga	bərtiga
membebankan	məmbəbankan
mengerutkan	məŋərutkan
dogma	dogma
hendaknya	həndaʔɲa
sampai	sampai
berpulang	bərpulaŋ
isak	isaʔ
tiong	tioŋ
memestikan	məməstikan
berselékéh	bərsəlekeh
disingkat	disiŋkat
dirampas	dirampas
kronologi	ʔronologi
angkringan	aŋʔriŋan
gurat	gurat
perkakasan	pərkakasan
ayom	ajom
cokar	tʃokar
seusai	səusai
kelumpang	kəlumpaŋ
pénsiunan	pensiunan
fonémik	fonemiʔ
menganggotai	məŋaŋgotai
pementasan	pəməntasan
anaknya	anaʔɲa
pengrusakan	pəŋrusakan
terbawah	tərbawah
terpenting	tərpəntiŋ
muktazilah	muʔtazilah
pemijat	pəmidʒat
menumbangkan	mənumbaŋkan
terlatih	tərlatih
simpang	simpaŋ
dwifungsi	dwifuŋsi
adiktif	adiʔtif
kekufuran	kəkufuran
penzina	pənzina
cerminan	tʃərminan
bersolék	bərsoleʔ
tablo	tablo
membengkak	məmbəŋkaʔ
mentigi	məntigi
bulevar	buləvar
kép	kep
operandi	opərandi
belongkang	bəloŋkaŋ
berkemban	bərkəmban
khayal	ʔhajal
mengharamkan	məŋharamkan
séntralistis	sentralistis
penugasan	pənugasan
tulangnya	tulaŋɲa
métodologi	metodologi
sidik	sidiʔ
medang	mədaŋ
penganggaran	pəŋaŋgaran
paraméter	parametər
berkurung	bərkuruŋ
pencipta	pəntʃipta
-baur	-baur
kelétak	kəletaʔ
téntir	tentir
spékulan	spekulan
membual	məmbual
héwan	hewan
pangsapuri	paŋsapuri
sagai	sagai
hasad	hasad
berdatangan	bərdataŋan
dilélang	dilelaŋ
pembubuhan	pəmbubuhan
adhésif	adhesif
kubik	kubiʔ
keletak	kələtaʔ
menyelamatkan	məɲəlamatkan
berékspansi	bəreʔspansi
mengemis	məŋəmis
berhubungan	bərhubuŋan
mampan	mampan
rénta	renta
penyap	pəɲap
diréktris	direʔtris
hatinya	hatiɲa
membasut	məmbasut
membilangi	məmbilaŋi
beliung	bəliuŋ
keselak	kəsəlaʔ
dén	den
bertatahkan	bərtatahkan
keberatan	kəbəratan
biak	biaʔ
indung	induŋ
gol	gol
akhlak	aʔhlaʔ
masin	masin
mencacak	məntʃatʃaʔ
sebun	səbun
mencarah	məntʃarah
awas	awas
menelikung	mənəlikuŋ
cabutan	tʃabutan
memelaspas	məməlaspas
derajat	dəradʒat
diterima	ditərima
kupu	kupu
jangka	dʒaŋka
menyalah	məɲalah
bajan	badʒan
memeremkan	məmərəmkan
délusif	delusif
amorf	amorf
istrimu	istrimu
angkuh	aŋkuh
séktarian	seʔtarian
menekuri	mənəkuri
pengimbang	pəŋimbaŋ
berdesar	bərdəsar
pendiri	pəndiri
énak	enaʔ
artistik	artistiʔ
menyembuhkan	məɲəmbuhkan
mantera	mantəra
takuti	takuti
umur	umur
celotéh	tʃəloteh
mengungkapkan	məŋuŋkapkan
ambruk	ambruʔ
uncang	untʃaŋ
mencangkok	məntʃaŋkoʔ
padan	padan
rekurs	rəkurs
tercupai	tərtʃupai
meluluskan	məluluskan
mematangkan	məmataŋkan
berdenyar	bərdəɲar
rumbai	rumbai
angkur	aŋkur
setahu	sətahu
menggeletar	məŋgələtar
ketentuan	kətəntuan
merajut	məradʒut
halimun	halimun
mengaktualkan	məŋaʔtualkan
aglutinasi	aglutinasi
terkékéh	tərkekeh
pemungut	pəmuŋut
terbunuhnya	tərbunuhɲa
drip	drip
gedebuk	gədəbuʔ
obésitas	obesitas
déparpolisasi	deparpolisasi
gabah	gabah
tante	tantə
hérder	herdər
cepiau	tʃəpiau
martabat	martabat
kelendara	kələndara
menjangan	məndʒaŋan
bagat	bagat
cepéngan	tʃəpeŋan
memerun	məmərun
diperbanyakkan	dipərbaɲaʔkan
tongkang	toŋkaŋ
hakikat	hakikat
sambar	sambar
diadili	diadili
penekanan	pənəkanan
rémpah	rempah
membodohkan	məmbodohkan
menaksir	mənaʔsir
koréng	koreŋ
dompolan	dompolan
hinggap	hiŋgap
fédérasi	federasi
terpengaruh	tərpəŋaruh
pemetaan	pəmətaʔan
memalukan	məmalukan
peribadatan	pəribadatan
opname	opnamə
kunjung	kundʒuŋ
bura	bura
mengécu	məŋetʃu
mencemuk	məntʃəmuʔ
kecilan	kətʃilan
kapuk	kapuʔ
peralihan	pəralihan
beragak	bəragaʔ
latif	latif
digraf	digraf
tamparan	tamparan
membongkahi	məmboŋkahi
novisiat	novisiat
kerén	kəren
dik	diʔ
pendongkok	pəndoŋkoʔ
penyerobot	pəɲərobot
menagih	mənagih
menggariskan	məŋgariskan
ugama	ugama
atas	atas
sebak	səbaʔ
harpa	harpa
pembenihan	pəmbənihan
bancakan	bantʃakan
bertanding	bərtandiŋ
berharap	bərharap
teklék	təʔleʔ
tersirat	tərsirat
céngéng	tʃeŋeŋ
pengusir	pəŋusir
halau	halau
rotan	rotan
pemisah	pəmisah
warganya	wargaɲa
setéla	sətela
memerosotkan	məmərosotkan
skil	skil
tempa	təmpa
ngéong	ŋeoŋ
utamanya	utamaɲa
wajah	wadʒah
patogén	patogen
dinamo	dinamo
maulana	maulana
zirafah	zirafah
a’du	aʔdu
sahsiah	sahsiah
angkup	aŋkup
keranjang	kərandʒaŋ
kekikiran	kəkikiran
pengilang	pəŋilaŋ
berkenaan	bərkənaʔan
asrama	asrama
makruf	maʔruf
segi	səgi
aritmétika	aritmetika
kebalikan	kəbalikan
dipercepat	dipərtʃəpat
sandar	sandar
oman	oman
cacatnya	tʃatʃatɲa
mendoakan	məndoakan
berpagar	bərpagar
pankréas	panʔreas
kelebut	kələbut
bersedekap	bərsədəkap
gumpalan	gumpalan
dikarenakan	dikarənakan
keluasan	kəluasan
artefak	artəfaʔ
sejat	sədʒat
dangka	daŋka
menentang	mənəntaŋ
keluar-biasaan	kəluar-biasaʔan
anis	anis
para	para
siarkan	siarkan
tuangan	tuaŋan
ditebak	ditəbaʔ
dorang	doraŋ
nibung	nibuŋ
pangkuan	paŋkuan
dihapus	dihapus
sénsasional	sensasional
sémikonduktor	semikonduʔtor
kecanggihan	kətʃaŋgihan
peristilahan	pəristilahan
fundaméntal	fundamental
pengulas	pəŋulas
keratan	kəratan
usik	usiʔ
musyrikin	musjrikin
berlégar	bərlegar
sejatinya	sədʒatiɲa
menjauhkan	məndʒauhkan
bekil	bəkil
mencinta	məntʃinta
berdengar	bərdəŋar
perasukan	pərasukan
andalkan	andalkan
rampok	rampoʔ
mengampelas	məŋampəlas
perékayasaan	pərekajasaʔan
éksogami	eʔsogami
celup	tʃəlup
perencah	pərəntʃah
tawan	tawan
mempertikaikan	məmpərtikaikan
tengkaras	təŋkaras
membantah	məmbantah
barium	barium
menderang	məndəraŋ
terpeta	tərpəta
rahasianya	rahasiaɲa
gombak	gombaʔ
sélak	selaʔ
meterai	mətərai
berkeroncongan	bərkərontʃoŋan
pemijak	pəmidʒaʔ
jin	dʒin
antar	antar
pola	pola
membandar	məmbandar
ambaian	ambaian
umumkan	umumkan
seladang	səladaŋ
biblioték	biblioteʔ
sénggét	seŋget
ketampi	kətampi
mendiruskan	məndiruskan
terkenal	tərkənal
dikawal	dikawal
dibiarkan	dibiarkan
bersinar	bərsinar
birai	birai
putrinya	putriɲa
dogdog	dogdog
bar	bar
terperuk	tərpəruʔ
mengécék	məŋetʃeʔ
selip	səlip
mendukunkan	məndukunkan
jadah	dʒadah
dirakit	dirakit
membandit	məmbandit
tetap	tətap
penumpangan	pənumpaŋan
membakat	məmbakat
agrésif	agresif
betina.	bətina.
pesawat	pəsawat
berselibut	bərsəlibut
sedang	sədaŋ
péyék	pejeʔ
begituan	bəgituan
konséntrasi	konsentrasi
sifatnya	sifatɲa
rona	rona
kelun	kəlun
menyerah	məɲərah
sabuk	sabuʔ
talak	talaʔ
senapan	sənapan
hembusan	həmbusan
mewasiatkan	məwasiatkan
berkaki	bərkaki
kemput	kəmput
kesuntukan	kəsuntukan
ajang	adʒaŋ
ékspansionis	eʔspansionis
dualistis	dualistis
basut	basut
letih	lətih
berdinas	bərdinas
bangau	baŋau
musykil	musjkil
menghambakan	məŋhambakan
antihistamin	antihistamin
berkelana	bərkəlana
bacak	batʃaʔ
barkas	barkas
girang	giraŋ
dengungan	dəŋuŋan
ketarap	kətarap
bedaru	bədaru
mengambung	məŋambuŋ
dibayar	dibajar
ramal	ramal
himpunan	himpunan
menyekutukan	məɲəkutukan
otak	otaʔ
menganyam	məŋaɲam
hitungannya	hituŋanɲa
étsa	etsa
acuh	atʃuh
assalamualaikum	assalamualaikum
tiadanya	tiadaɲa
céngcong	tʃeŋtʃoŋ
lokakarya	lokakarja
meneladani	mənəladani
bertimbang	bərtimbaŋ
menembérang	mənəmberaŋ
membekap	məmbəkap
bersekongkol	bərsəkoŋkol
kikik	kikiʔ
ésa	esa
tersandung	tərsanduŋ
menggelar	məŋgəlar
berkelétah	bərkəletah
pasok	pasoʔ
debu	dəbu
kepulangan	kəpulaŋan
nantilah	nantilah
beralur	bəralur
bergula	bərgula
panggil	paŋgil
bujangnya	budʒaŋɲa
féstival	festival
ludahnya	ludahɲa
membelalang	məmbəlalaŋ
kepalanya.	kəpalaɲa.
muram	muram
kemerduan	kəmərduan
terpecah	tərpətʃah
berdekut	bərdəkut
timbal	timbal
bertindih	bərtindih
mencegah	məntʃəgah
aluminium	aluminium
penyentuhan	pəɲəntuhan
mantel	mantəl
baring	bariŋ
dibubarkan	dibubarkan
ketidak-sériusan	kətidak-seriusan
kanda	kanda
penengah	pənəŋah
meléngah	məleŋah
tersedia	tərsədia
pembelokan	pəmbəlokan
sangkut	saŋkut
kendung	kənduŋ
sémbai	sembai
interim	intərim
giling	giliŋ
penunjuk	pənundʒuʔ
benang	bənaŋ
berwarganegara	bərwarganəgara
sekalor	səkalor
pembedahan	pəmbədahan
rebab	rəbab
mangga	maŋga
macan	matʃan
sonata	sonata
bengis	bəŋis
dipidana	dipidana
mempertahan	məmpərtahan
membeléngkok	məmbəleŋkoʔ
segar	səgar
dibuang	dibuaŋ
réplika	replika
disembur	disəmbur
persén	pərsen
ayun	ajun
és	es
dupa	dupa
cambukan	tʃambukan
ditunjuk	ditundʒuʔ
keceplosan	kətʃəplosan
éksprésionisme	eʔspresionismə
penyandang	pəɲandaŋ
selilit	səlilit
cemburuan	tʃəmburuan
kecai	kətʃai
keindonésiaan	kəindonesiaʔan
wazir	wazir
payudara	pajudara
alas	alas
langgeng	laŋgəŋ
mencatut	məntʃatut
homoséksualitas	homoseʔsualitas
junjungan	dʒundʒuŋan
dogmatik	dogmatiʔ
bengkelai	bəŋkəlai
bergaul	bərgaul
perbédaan	pərbedaʔan
pebisnis	pəbisnis
léhérnya	leherɲa
menimbun	mənimbun
meraung	mərauŋ
ingatanku	iŋatanku
terdapat	tərdapat
gamis	gamis
berdengung	bərdəŋuŋ
anus	anus
terdayuh	tərdajuh
belon	bəlon
bayung	bajuŋ
membérang	məmberaŋ
campakkan	tʃampaʔkan
tahui	tahui
beraku	bəraku
cura	tʃura
médiator	mediator
jadwal	dʒadwal
pasungan	pasuŋan
menyumbat	məɲumbat
kebentok	kəbəntoʔ
pengapuh	pəŋapuh
paléografi	paleografi
kelayakan	kəlajakan
dadung	daduŋ
mengodol	məŋodol
diderita	didərita
mengawasi	məŋawasi
gempur	gəmpur
téraso	teraso
suluk	suluʔ
palung	paluŋ
tengking	təŋkiŋ
pakal	pakal
cuar	tʃuar
kamil	kamil
memprogramkan	məmprogramkan
sépakan	sepakan
baduyut	badujut
mengernyitkan	məŋərɲitkan
terpilih	tərpilih
masala	masala
bersalam	bərsalam
arguméntasi	argumentasi
berkeliaran	bərkəliaran
semampu	səmampu
seumpama	səumpama
calung	tʃaluŋ
mengandungkan	məŋanduŋkan
mempersengkétakan	məmpərsəŋketakan
memuat	məmuat
paras	paras
lampin	lampin
sepuit	səpuit
mericau	məritʃau
mengéféktifkan	məŋefeʔtifkan
élastomér	elastomer
pujaan	pudʒaʔan
minatnya	minatɲa
lamunan	lamunan
derma	dərma
terowongan	tərowoŋan
sistématika	sistematika
polémik	polemiʔ
agama	agama
angpau	aŋpau
tangkas	taŋkas
menanggulangi	mənaŋgulaŋi
mengelam	məŋəlam
pedar	pədar
seléndang	səlendaŋ
melihatnya	məlihatɲa
beremban	bərəmban
penghadapan	pəŋhadapan
pepundén	pəpunden
sepandri	səpandri
ékornia	ekornia
memanjati	məmandʒati
mengkritik	məŋʔritiʔ
dékomposisi	dekomposisi
kepulaga	kəpulaga
pesantrén	pəsantren
menyedapkan	məɲədapkan
diftéri	difteri
beralun	bəralun
bertuah	bərtuah
ékstraktif	eʔstraʔtif
memperkelahikan	məmpərkəlahikan
kegiatan	kəgiatan
mencengkeram	məntʃəŋkəram
dawet	dawət
bekuku	bəkuku
peluit	pəluit
mengiklankan	məŋiʔlankan
singkatan	siŋkatan
percobaan	pərtʃobaʔan
diletan	dilətan
lauk	lauʔ
invéntarisasi	inventarisasi
berkelim	bərkəlim
kangsar	kaŋsar
aja	adʒa
kuntul	kuntul
mengancaikan	məŋantʃaikan
belékan	bəlekan
selama	səlama
mengertangkan	məŋərtaŋkan
cowokan	tʃowokan
kibas	kibas
berdekam	bərdəkam
kesedakan	kəsədakan
kesembilan	kəsəmbilan
séksmaniak	seʔsmaniaʔ
diapositif	diapositif
rédaksi	redaʔsi
memperdaya	məmpərdaja
mengampuhkan	məŋampuhkan
ténor	tenor
buih	buih
danawa	danawa
arungan	aruŋan
jirus	dʒirus
sehébat	səhebat
akumulasi	akumulasi
bercaran	bərtʃaran
berangguk	bəraŋguʔ
mengétéki	məŋeteki
péréstroika	perestroika
kencangnya	kəntʃaŋɲa
widuri	widuri
sénapati	senapati
merayu	məraju
bahrulhayat	bahrulhajat
banget	baŋət
égois	egois
kehidupan	kəhidupan
pengecaman	pəŋətʃaman
memertal	məmərtal
gemala	gəmala
bayati	bajati
mendesak	məndəsaʔ
mencucuh	məntʃutʃuh
indikatif	indikatif
angga	aŋga
manajér	manadʒer
bersémpang	bərsempaŋ
insinuasi	insinuasi
hindar	hindar
menyembelih	məɲəmbəlih
kemelut	kəməlut
membiayakan	məmbiajakan
terpinga-pinga	tərpiŋa-piŋa
lumayan	lumajan
kadas	kadas
serbi	sərbi
artikulasi	artikulasi
membangkitkan	məmbaŋkitkan
citraan	tʃitraʔan
menggabungkan	məŋgabuŋkan
léka	leka
penggalak	pəŋgalaʔ
déwata	dewata
kirim	kirim
baya	baja
hamil	hamil
pencampuran	pəntʃampuran
aspék	aspeʔ
kesaktian	kəsaʔtian
cucuran	tʃutʃuran
kesialan	kəsialan
penyelinap	pəɲəlinap
péstisida	pestisida
ambingkan	ambiŋkan
percumbuan	pərtʃumbuan
pemutusan	pəmutusan
direncanakan	dirəntʃanakan
tadah	tadah
réla	rela
palem	paləm
cengir	tʃəŋir
tersembunyi	tərsəmbuɲi
bercacat	bərtʃatʃat
pembabakan	pəmbabakan
membaris	məmbaris
dangkalan	daŋkalan
berjauhan	bərdʒauhan
keputrén	kəputren
coplok	tʃoploʔ
ikut	ikut
tidur.	tidur.
semau	səmau
perimbangan	pərimbaŋan
teraling	təraliŋ
sembunyi	səmbuɲi
adidaya	adidaja
luwes	luwəs
kifayah	kifajah
mengasari	məŋasari
bésék	beseʔ
geliga	gəliga
kesabaran	kəsabaran
kéder	kedər
pétah	petah
bomber	bombər
badi	badi
merangka	məraŋka
persenjataan	pərsəndʒataʔan
keriput	kəriput
menghadapi	məŋhadapi
gelang	gəlaŋ
brétél	bretel
déprok	deproʔ
ceding	tʃədiŋ
leluasa	ləluasa
ramai	ramai
berdurhaka	bərdurhaka
menébar	mənebar
masyarakatnya	masjarakatɲa
penanggah	pənaŋgah
ketahui	kətahui
ketombé	kətombe
engah	əŋah
mengampuh	məŋampuh
circir	tʃirtʃir
kardus	kardus
alaika	alaika
sandaran	sandaran
ketidaksenonohan	kətidaʔsənonohan
utara	utara
pépé	pepe
sekolah.	səkolah.
bersalaman	bərsalaman
kumbang	kumbaŋ
culiah	tʃuliah
berencana	bərəntʃana
keramboja	kərambodʒa
mendura	məndura
résipién	resipien
merepotkan	mərəpotkan
seganda	səganda
komuniti	komuniti
aplusan	aplusan
congklang	tʃoŋʔlaŋ
aliran	aliran
kefasikan	kəfasikan
tempaus	təmpaus
pedoman	pədoman
dunah	dunah
mandor	mandor
sarat	sarat
keropok	kəropoʔ
dijerat	didʒərat
tanaman	tanaman
ini	ini
wahid	wahid
pengusiran	pəŋusiran
sengir	səŋir
tangkai	taŋkai
penyunting	pəɲuntiŋ
bersela	bərsəla
sengon	səŋon
ala	ala
buntet	buntət
rengas	rəŋas
bersepatu	bərsəpatu
suar	suar
menyénggét	məɲeŋget
rolét	rolet
capé	tʃape
dirgantara	dirgantara
tersohor	tərsohor
borong	boroŋ
berdempok	bərdəmpoʔ
tésaurus	tesaurus
dwiperan	dwipəran
ketiadaan	kətiadaʔan
seharusnya	səharusɲa
cerabut	tʃərabut
suntik	suntiʔ
mengerbat	məŋərbat
nilainya	nilaiɲa
membabat	məmbabat
mencekih	məntʃəkih
blustru	blustru
obral	obral
pacu	patʃu
terpesona	tərpəsona
gonggong	goŋgoŋ
menyembah	məɲəmbah
cucur	tʃutʃur
pemabuk	pəmabuʔ
teramung	təramuŋ
sérius	serius
candala	tʃandala
pencekalan	pəntʃəkalan
takkan	taʔkan
mengékor	məŋekor
hikayat	hikajat
pelajarannya	pəladʒaranɲa
métabolisme	metabolismə
fonologi	fonologi
koréspondén	koresponden
tekam	təkam
empunya	əmpuɲa
atéis	ateis
mengapai	məŋapai
keberuntungan	kəbəruntuŋan
sedapan	sədapan
berselit	bərsəlit
gilang	gilaŋ
madya	madja
berijazah	bəridʒazah
plonco	plontʃo
hilir	hilir
berdanguk	bərdaŋuʔ
kungfu	kuŋfu
menyengam	məɲəŋam
mémoar	memoar
bercericau	bərtʃəritʃau
ningrat	niŋrat
selédri	səledri
tuanku	tuanku
membalun	məmbalun
lonta	lonta
berteduh	bərtəduh
pra	pra
teperlus	təpərlus
mengesankan	məŋəsankan
perusa	pərusa
keayapan	kəajapan
laluan	laluan
bélasungkawa	belasuŋkawa
berdérét	bərderet
musim	musim
mengecup	məŋətʃup
mendasun	məndasun
dipuji	dipudʒi
flamboyan	flambojan
bordu	bordu
pendapatannya	pəndapatanɲa
menyelapi	məɲəlapi
proporsi	proporsi
pilek	piləʔ
memencilkan	məməntʃilkan
perumpung	pərumpuŋ
mempersenjatai	məmpərsəndʒatai
menunggui	mənuŋgui
pengaman	pəŋaman
dadaku	dadaku
sintétik	sintetiʔ
dah	dah
peputut	pəputut
bébék	bebeʔ
pengampuh	pəŋampuh
menemani	mənəmani
téater	teatər
merambai	mərambai
kejai	kədʒai
aérob	aerob
géséran	geseran
mukim	mukim
ketikan	kətikan
éfék	efeʔ
memperduakan	məmpərduakan
bacang	batʃaŋ
kancing	kantʃiŋ
cumil	tʃumil
tésis	tesis
pinjamkan	pindʒamkan
loak	loaʔ
mencoaki	məntʃoaki
képrét	kepret
mengégos	məŋegos
dikikis	dikikis
tembus	təmbus
menikam	mənikam
ahlulkubur	ahlulkubur
trén	tren
berubah	bərubah
tercela	tərtʃəla
mengung	məŋuŋ
hipotérmia	hipotermia
digigit	digigit
arbiter	arbitər
pengacau	pəŋatʃau
révisi	revisi
bersisir	bərsisir
suplai	suplai
membelalak	məmbəlalaʔ
pacal	patʃal
hadrat	hadrat
merém	mərem
kesediaan	kəsədiaʔan
cabar	tʃabar
dinilai	dinilai
takbir	taʔbir
méjéng	medʒeŋ
bocok	botʃoʔ
hajim	hadʒim
ékuilibrium	ekuilibrium
meredam	mərədam
