tříštěn	tr̝̊iːʃcɛn
kapřík	kapr̝̊iːk
odpírat	otpiːrat
ramínko	ramiːŋko
přívětivý	pr̝̊iːvjɛcɪviː
osikový	osɪkoviː
účinný	uːt͡ʃɪniː
vysokotlaký	vɪsokotlakiː
zažít	zaʒiːt
tragédie	traɡɛːdɪjɛ
podcenit	pot͡sɛɲɪt
poselství	posɛlstviː
teriér	tɛrɪɛːr
zemánek	zɛmaːnɛk
radikální	radɪkaːlɲiː
pružina	pruʒɪna
čítat	t͡ʃiːtat
pamudrc	pamudr̩t͡s
parnu	parnu
vepří	vɛpr̝̊iː
vyjednat	vɪjɛdnat
malicherný	malɪxɛrniː
vokalický	vokalɪt͡skiː
natálie	nataːlɪjɛ
zuzka	zuska
čep	t͡ʃɛp
dauphine	dofɛːnɛ
najemno	najɛmno
kartézský	kartɛːskiː
mývalí	miːvaliː
vyšetřovatel	vɪʃɛtr̝̊ovatɛl
zdivo	zɟɪvo
rodák	rodaːk
višně	vɪʃɲɛ
kukátko	kukaːtko
rejstřík	rɛjstr̝̊iːk
ježiš	jɛʒɪʃ
velšanka	vɛlʃaŋka
letadélko	lɛtadɛːlko
čechu	t͡ʃɛxu
neplout	nɛplou̯t
savec	savɛt͡s
hodům	ɦoduːm
podařit	podar̝ɪt
hořčice	ɦor̝̊t͡ʃɪt͡sɛ
švábsko	ʃvaːpsko
osmanský	osmanskiː
zná	znaː
žíravý	ʒiːraviː
posuvník	posuvɲiːk
mnohostěn	mnoɦoscɛn
parní	parɲiː
vekou	vɛkou̯
procentní	prot͡sɛntɲiː
prozíravost	proziːravost
chudí	xuɟiː
féničtina	fɛːɲɪt͡ʃcɪna
šimek	ʃɪmɛk
udili	uɟɪlɪ
nejnižší	nɛjɲɪʃiː
zemanův	zɛmanuːf
hraničář	ɦraɲɪt͡ʃaːr̝̊
zima	zɪma
klendra	klɛndra
hrst	ɦr̩st
izabela	ɪzabɛla
baziliščí	bazɪlɪʃt͡ʃiː
kontakt	kontakt
nihilismus	nɪɦɪlɪzmus
kosila	kosɪla
bezohledný	bɛzoɦlɛdniː
vyvrtat	vɪvr̩tat
hezká	ɦɛskaː
buřňáček	bur̝ɲaːtʃɛk
víře	viːr̝ɛ
řídký	r̝iːtkiː
chuť	xuc
divočina	ɟɪvot͡ʃɪna
dílo	ɟiːlo
mnohostěnný	mnoɦoscɛniː
vydá	vɪdaː
nejhezčí	nɛjɦɛst͡ʃiː
kristýnka	krɪstiːŋka
losům	losuːm
konfrontační	konfrontat͡ʃɲiː
jihoslovan	jɪɦoslovan
plynuleji	plɪnulɛjɪ
amnestovat	amnɛstovat
kojen	kojɛn
ostružina	ostruʒɪna
hydrid	ɦɪdrɪt
tlumeně	tlumɛɲɛ
maník	maɲiːk
průjem	pruːjɛm
beroun	bɛrou̯n
deci	dɛt͡sɪ
empatický	ɛmpatɪt͡skiː
pesa	pɛsa
záložka	zaːloʃka
praní	praɲiː
bublifuk	bublɪfuk
farizejství	farɪzɛjstviː
strž	str̩ʃ
zubři	zubr̝ɪ
připoutávat	pr̝̊ɪpou̯taːvat
cyril	t͡sɪrɪl
infračervený	ɪnfrat͡ʃɛrvɛniː
vybreptat	vɪbrɛptat
tupé	tupɛː
heršoft	ɦɛrʃoft
odvážný	odvaːʒniː
soutěžící	sou̯cɛʒiːt͡siː
jednoduše	jɛdnoduʃɛ
svatozář	svatozaːr̝̊
brada	brada
rituální	rɪtuaːlɲiː
rostlinný	rostlɪniː
kupec	kupɛt͡s
ukrytý	ukrɪtiː
středník	str̝̊ɛdɲiːk
středohornoněmčina	str̝̊ɛdoɦornoɲɛmt͡ʃɪna
konvence	konvɛnt͡sɛ
smějou	sm̩ɲɛjou̯
roland	rolant
usňový	usɲoviː
míníc	miːɲiːt͡s
zkurvenec	skurvɛnɛt͡s
zrcadlovka	zr̩t͡sadlofka
haste	ɦastɛ
ztrojnásobit	strojnaːsobɪt
sotva	sotva
živec	ʒɪvɛt͡s
ustlat	ustlat
příčetný	pr̝̊iːt͡ʃɛtniː
obtížnost	opciːʒnost
sani	saɲɪ
rojů	rojuː
podepisovat	podɛpɪsovat
podprogram	potproɡram
turismus	turɪzmus
matikář	macɪkaːr̝̊
běhat	bjɛɦat
slitování	slɪtovaːɲiː
opál	opaːl
granát	ɡranaːt
relevance	rɛlɛvant͡sɛ
dřevech	dr̝ɛvɛx
námi	naːmɪ
boženčin	boʒɛnt͡ʃɪn
sledy	slɛdɪ
loríček	loriːtʃɛk
malvínin	malviːɲɪn
jednání	jɛdnaːɲiː
zpěvník	spjɛvɲiːk
zájem	zaːjɛm
středohruď	str̝̊ɛdoɦruc
mastný	mastniː
smrkat	smr̩kat
cite	t͡sɪtɛ
kapavka	kapafka
odpis	otpɪs
rysice	rɪsɪt͡sɛ
nechutný	nɛxutniː
jaka	jaka
luněc	luɲɛt͡s
tetě	tɛcɛ
metamfetamin	mɛtamfɛtamɪn
slimák	slɪmaːk
šlompácký	ʃlompaːt͡skiː
záchodek	zaːxodɛk
hadem	ɦadɛm
pizze	pɪt͡sɛ
nes	nɛs
politická	polɪtɪt͡skaː
kamikaze	kamɪkazɛ
kredit	krɛdɪt
obul	obul
malina	malɪna
písku	piːsku
otku	otku
čurbes	t͡ʃurbɛs
mlok	mlok
velikáš	vɛlɪkaːʃ
podepsat	podɛpsat
kle	klɛ
domech	domɛx
kateřinin	katɛr̝ɪɲɪn
sípat	siːpat
košilka	koʃɪlka
sáta	saːta
kousíček	kou̯siːt͡ʃɛk
pospíchat	pospiːxat
vdechnout	vdɛxnou̯t
plošina	ploʃɪna
cibulka	t͡sɪbulka
charon	xaron
povykovat	povɪkovat
lebka	lɛpka
dravci	draft͡sɪ
mizme	mɪzmɛ
štět	ʃcɛt
kolektivní	kolɛktɪvɲiː
nechť	nɛxc
vápnu	vaːpnu
kusů	kusuː
potrhat	potr̩ɦat
příkazový	pr̝̊iːkazoviː
nohách	noɦaːx
akropolis	akropolɪs
živit	ʒɪvɪt
královnin	kraːlovɲɪn
dušený	duʃɛniː
prut	prut
minonoska	mɪnonoska
skleněný	sklɛɲɛniː
trubice	trubɪt͡sɛ
brunej	brunɛj
morušový	moruʃoviː
slibný	slɪbniː
hubert	ɦubɛrt
poslech	poslɛx
ďasy	ɟasɪ
hrot	ɦrot
veselka	vɛsɛlka
můrám	muːraːm
rasistický	rasɪstɪt͡skiː
proužek	prou̯ʒɛk
pěkné	pjɛknɛː
přehlušit	pr̝̊ɛɦluʃɪt
propisovačka	propɪsovat͡ʃka
lublaňan	lublaɲan
snížen	sɲiːʒɛn
měsíčně	mɲɛsiːt͡ʃɲɛ
platili	placɪlɪ
kurdský	kurtskiː
veselý	vɛsɛliː
holou	ɦolou̯
relativistický	rɛlatɪvɪstɪt͡skiː
posoudit	posou̯ɟɪt
hatí	ɦaciː
pivo	pɪvo
dílům	ɟiːluːm
pánevní	paːnɛvɲiː
romština	romʃcɪna
nahoru	naɦoru
pasti	pascɪ
trpký	tr̩pkiː
švihadlo	ʃvɪɦadlo
klikat	klɪkat
bobům	bobuːm
převrat	pr̝̊ɛvrat
egyptolog	ɛɡɪptolok
břichomluvec	br̝ɪxomluvɛt͡s
zují	zujiː
plel	plɛl
vysvětlení	vɪsvjɛtlɛɲiː
předurčení	pr̝̊ɛdurt͡ʃɛɲiː
lokál	lokaːl
sát	saːt
rode	rodɛ
mordýř	mordiːr̝̊
lemmatizovat	lɛmatɪzovat
redaktorka	rɛdaktorka
muška	muʃka
přehnat	pr̝̊ɛɦnat
kadeřávek	kadɛr̝aːvɛk
bohužel	boɦuʒɛl
autoritářství	au̯torɪtaːr̝̊stviː
rodičovství	roɟɪt͡ʃofstviː
říkáme	r̝iːkaːmɛ
snědolící	sɲɛdoliːt͡siː
desetistěn	dɛsɛcɪscɛn
řiť	r̝ɪc
kvasnice	kvasɲɪt͡sɛ
dogmatický	doɡmatɪt͡skiː
rušena	ruʃɛna
argentinec	arɡɛntɪnɛt͡s
prokletý	proklɛtiː
argentina	arɡɛntɪna
sarkasmus	sarkazmus
angličan	aŋɡlɪt͡ʃan
zakopnout	zakopnou̯t
válek	vaːlɛk
štičí	ʃcɪt͡ʃiː
zjednodušující	zjɛdnoduʃujiːt͡siː
hospodářství	ɦospodaːr̝̊stviː
studená	studɛnaː
dedukce	dɛdukt͡sɛ
nejistý	nɛjɪstiː
chyták	xɪtaːk
neprázdný	nɛpraːzdniː
srbsko	sr̩psko
milník	mɪlɲiːk
liduška	lɪduʃka
koštovat	koʃtovat
protahovat	protaɦovat
ambrož	ambroʃ
především	pr̝̊ɛdɛfʃiːm
kopecký	kopɛt͡skiː
pihám	pɪɦaːm
schovanec	sxovanɛt͡s
slinný	slɪniː
čtvero	t͡ʃtvɛro
lysek	lɪsɛk
bezvýznamný	bɛzviːznamniː
tříhlavý	tr̝̊iːɦlaviː
malta	malta
hrudí	ɦruɟiː
kalkulačka	kalkulat͡ʃka
splnit	spl̩ɲɪt
maximalizace	maksɪmalɪzat͡sɛ
dlabat	dlabat
ošklivost	oʃklɪvost
proudě	prou̯ɟɛ
clona	t͡slona
rákos	raːkos
ošetřovat	oʃɛtr̝̊ovat
sponu	sponu
singapuřan	sɪŋɡapur̝an
nyješ	nɪjɛʃ
mocnit	mot͡sɲɪt
začlenit	zat͡ʃlɛɲɪt
aritmetický	arɪtmɛtɪt͡skiː
bílkovina	biːlkovɪna
adolescence	adolɛst͡sɛnt͡sɛ
rabiát	rabɪaːt
emfatický	ɛmfatɪt͡skiː
pěn	pjɛn
hexan	ɦɛksan
argumentovat	arɡumɛntovat
stínit	sciːɲɪt
uvězněný	uvjɛzɲɛniː
heřmanův	ɦɛr̝manuːf
ryp	rɪp
mocichtivý	mot͡sɪxcɪviː
paragon	paraɡon
pranostika	pranostɪka
komplexita	komplɛksɪta
evangelický	ɛvaŋɡɛlɪt͡skiː
bradám	bradaːm
vytrvat	vɪtr̩vat
očividný	ot͡ʃɪvɪdniː
škvrně	ʃkvr̩ɲɛ
upřímnost	upr̝̊iːmnost
péče	pɛːt͡ʃɛ
nadvláda	nadvlaːda
servu	sɛrvu
robovy	robovɪ
jamkoviště	jamkovɪʃcɛ
imunolog	ɪmunolok
plavě	plavjɛ
uzeno	uzɛno
kýla	kiːla
nikolka	ɲɪkolka
rodí	roɟiː
rozpinkat	rospɪŋkat
zákonný	zaːkoniː
kyperský	kɪpɛrskiː
buzerant	buzɛrant
lupa	lupa
pilnější	pɪlɲɛjʃiː
bohdanin	boɦdaɲɪn
pochmurný	poxmurniː
otík	ociːk
bezmocnost	bɛzmot͡snost
saji	sajɪ
sklovina	sklovɪna
čísle	t͡ʃiːslɛ
chrchel	xr̩xɛl
arteriola	artɛrɪola
vzpomínat	fspomiːnat
šedé	ʃɛdɛː
jednotvárný	jɛdnotvaːrniː
opilý	opɪliː
želví	ʒɛlviː
kýta	kiːta
zfalšovat	sfalʃovat
kaplička	kaplɪt͡ʃka
podlitina	podlɪcɪna
zdárně	zdaːrɲɛ
hlodat	ɦlodat
zdeněček	zdɛɲɛt͡ʃɛk
cajk	t͡sajk
oponovat	oponovat
sedlák	sɛdlaːk
vícezrnný	viːt͡sɛzr̩niː
kolejnička	kolɛjɲɪt͡ʃka
kromaňonec	kromaɲonɛt͡s
chlebem	xlɛbɛm
překvapivý	pr̝̊ɛkvapɪviː
vítek	viːtɛk
los	los
kacířský	kat͡siːr̝̊skiː
patogen	patoɡɛn
vzlet	vzlɛt
rubech	rubɛx
etiopie	ɛtɪopɪjɛ
agresivní	aɡrɛsɪvɲiː
výra	viːra
cech	t͡sɛx
černou	t͡ʃɛrnou̯
medovina	mɛdovɪna
slovotvorba	slovotvorba
braň	braɲ
acidóza	at͡sɪdoːza
přeměna	pr̝̊ɛmɲɛna
lží	lʒiː
kazaň	kazaɲ
hedvábník	ɦɛdvaːbɲiːk
hihňat	ɦɪɦɲat
záloha	zaːloɦa
katar	katar
nepodložený	nɛpodloʒɛniː
lynčovat	lɪnt͡ʃovat
babka	bapka
bráni	braːɲɪ
lukášek	lukaːʃɛk
poť	poc
lucka	lut͡ska
pitva	pɪtva
kropě	kropjɛ
soudobý	sou̯dobiː
zvýrazňovat	zviːrazɲovat
rušte	ruʃtɛ
nezapomenutelný	nɛzapomɛnutɛlniː
kyberšikana	kɪbɛrʃɪkana
selech	sɛlɛx
hokyně	ɦokɪɲɛ
oftalmologie	oftalmoloɡɪjɛ
podědit	poɟɛɟɪt
či	t͡ʃɪ
peň	pɛɲ
trpí	tr̩piː
klečet	klɛt͡ʃɛt
myš	mɪʃ
dávají	daːvajiː
rubů	rubuː
řezá	r̝ɛzaː
hrobeček	ɦrobɛt͡ʃɛk
marka	marka
kalibrovat	kalɪbrovat
sakra	sakra
normalita	normalɪta
posilka	posɪlka
palankýn	palaŋkiːn
léčit	lɛːt͡ʃɪt
letce	lɛt͡sɛ
bagrovat	baɡrovat
troubit	trou̯bɪt
holdujíc	ɦoldujiːt͡s
radnice	radɲɪt͡sɛ
vztek	fstɛk
báje	baːjɛ
rodili	roɟɪlɪ
jaromír	jaromiːr
zabíjať	zabiːjac
usnout	usnou̯t
uspěchat	uspjɛxat
vekami	vɛkamɪ
exorcista	ɛksort͡sɪsta
plyny	plɪnɪ
akrylát	akrɪlaːt
gój	ɡoːj
čekáš	t͡ʃɛkaːʃ
sýrů	siːruː
proruský	proruskiː
sílena	siːlɛna
světelný	svjɛtɛlniː
luční	lut͡ʃɲiː
pykat	pɪkat
vítala	viːtala
evakuovat	ɛvakuovat
páter	paːtɛr
jablíčko	jabliːt͡ʃko
brašna	braʃna
pardálice	pardaːlɪt͡sɛ
pachu	paxu
tunis	tunɪs
čočka	t͡ʃot͡ʃka
skácet	skaːt͡sɛt
dím	ɟiːm
sítím	siːciːm
nůšemi	nuːʃɛmɪ
lůnu	luːnu
bojíš	bojiːʃ
biografický	bɪoɡrafɪt͡skiː
bublina	bublɪna
vouse	vou̯sɛ
hůř	ɦuːr̝̊
příčestí	pr̝̊iːt͡ʃɛsciː
členění	t͡ʃlɛɲɛɲiː
plodnice	plodɲɪt͡sɛ
procento	prot͡sɛnto
význam	viːznam
snižovat	sɲɪʒovat
dalo	dalo
zředit	zr̝ɛɟɪt
dagmarka	daɡmarka
integrita	ɪntɛɡrɪta
načechrat	nat͡ʃɛxrat
devadesátina	dɛvadɛsaːcɪna
lumbální	lumbaːlɲiː
civět	t͡sɪvjɛt
radíš	raɟiːʃ
příkaz	pr̝̊iːkas
nice	nɪt͡sɛ
těšín	cɛʃiːn
hrouda	ɦrou̯da
komparativ	komparatɪf
kýtu	kiːtu
kontinent	kontɪnɛnt
cenzura	t͡sɛnzura
sáně	saːɲɛ
vece	vɛt͡sɛ
doktora	doktora
coul	t͡sou̯l
výtrus	viːtrus
jistí	jɪsciː
stupňování	stupɲovaːɲiː
ochmelka	oxmɛlka
černoch	t͡ʃɛrnox
zahřát	zaɦr̝aːt
tiché	cɪxɛː
zmastit	zmascɪt
bojíte	bojiːtɛ
hoň	ɦoɲ
sliznice	slɪzɲɪt͡sɛ
němota	ɲɛmota
punitivní	punɪtɪvɲiː
mononukleární	mononuklɛaːrɲiː
erektilní	ɛrɛktɪlɲiː
dílna	ɟiːlna
dí	ɟiː
smažíš	smaʒiːʃ
drzá	dr̩zaː
egyptština	ɛɡɪptʃcɪna
lízat	liːzat
kopírovací	kopiːrovat͡siː
jilmový	jɪlmoviː
antiseptický	antɪsɛptɪt͡skiː
ploch	plox
visme	vɪsmɛ
naděnka	naɟɛŋka
rozích	roziːx
kloktadlo	kloktadlo
klepítko	klɛpiːtko
vezmete	vɛzmɛtɛ
ministryně	mɪɲɪstrɪɲɛ
lihovar	lɪɦovar
rovnoramenný	rovnoramɛniː
archeologicky	arxɛoloɡɪt͡skɪ
dokument	dokumɛnt
kolík	koliːk
kůže	kuːʒɛ
ionizující	jonɪzujiːt͡siː
obyčej	obɪt͡ʃɛj
úspěšnost	uːspjɛʃnost
povětrnostní	povjɛtr̩nostɲiː
emesa	ɛmɛsa
lano	lano
hovínko	ɦoviːŋko
pošlu	poʃlu
antologie	antoloɡɪjɛ
obávat	obaːvat
přechodně	pr̝̊ɛxodɲɛ
specifikace	spɛt͡sɪfɪkat͡sɛ
sjezd	sjɛst
báchorka	baːxorka
sbohem	zboɦɛm
kafemlejnek	kafɛmlɛjnɛk
čáru	t͡ʃaːru
viněna	vɪɲɛna
povrchní	povr̩xɲiː
třešeň	tr̝̊ɛʃɛɲ
trafika	trafɪka
alegorický	alɛɡorɪt͡skiː
lékař	lɛːkar̝̊
vařena	var̝ɛna
sponě	spoɲɛ
namítnout	namiːtnou̯t
operní	opɛrɲiː
koles	kolɛs
ošetřit	oʃɛtr̝̊ɪt
městech	mɲɛstɛx
květákový	kvjɛtaːkoviː
bobře	bobr̝ɛ
rozzuřit	rozur̝ɪt
nebýt	nɛbiːt
stelo	stɛlo
šetři	ʃɛtr̝̊ɪ
protiústavní	procɪuːstavɲiː
vydání	vɪdaːɲiː
indexování	ɪndɛksovaːɲiː
azory	azorɪ
křižník	kr̝̊ɪʒɲiːk
pascal	paskal
tvůj	tvuːj
pokřovník	pokr̝ovɲiːk
ohleduplný	oɦlɛdupl̩niː
bili	bɪlɪ
úzu	uːzu
jitrnice	jɪtr̩ɲɪt͡sɛ
spotřebič	spotr̝̊ɛbɪt͡ʃ
chutě	xucɛ
kakat	kakat
sekáč	sɛkaːt͡ʃ
jehle	jɛɦlɛ
urna	urna
šalomoun	ʃalomou̯n
bulharština	bulɦarʃcɪna
strašpytel	straʃpɪtɛl
bohatýrský	boɦatiːrskiː
díry	ɟiːrɪ
mízu	miːzu
révy	rɛːvɪ
lig	lɪk
polibek	polɪbɛk
myšák	mɪʃaːk
exploze	ɛksplozɛ
anatomický	anatomɪt͡skiː
vzhled	vzɦlɛt
nejneúnavnější	nɛjnɛuːnavɲɛjʃiː
kazatelna	kazatɛlna
misidentifikace	mɪsɪdɛntɪfɪkat͡sɛ
defragmentovat	dɛfraɡmɛntovat
germanizace	ɡɛrmanɪzat͡sɛ
koudel	kou̯dɛl
strážný	straːʒniː
býlí	biːliː
pulec	pulɛt͡s
divům	ɟɪvuːm
jasnější	jasɲɛjʃiː
přisvojit	pr̝̊ɪsvojɪt
bledý	blɛdiː
zemička	zɛmɪt͡ʃka
kuráž	kuraːʃ
blaho	blaɦo
vilma	vɪlma
klika	klɪka
vinilo	vɪɲɪlo
ženitba	ʒɛɲɪdba
kaženy	kaʒɛnɪ
křepelčí	kr̝̊ɛpɛlt͡ʃiː
vymaštěný	vɪmaʃcɛniː
čenich	t͡ʃɛɲɪx
posel	posɛl
napínavý	napiːnaviː
defragmentace	dɛfraɡmɛntat͡sɛ
pořadový	por̝adoviː
introspektivní	ɪntrospɛktɪvɲiː
chomoutovský	xomou̯tofskiː
čača	t͡ʃat͡ʃa
zlost	zlost
teslice	tɛslɪt͡sɛ
ekvádorec	ɛkvaːdorɛt͡s
kosové	kosovɛː
hnát	ɦnaːt
sklenář	sklɛnaːr̝̊
vrouc	vrou̯t͡s
tatínkův	taciːŋkuːf
řadím	r̝aɟiːm
autorství	au̯torstviː
topinka	topɪŋka
košatá	koʃataː
netrpělivost	nɛtr̩pjɛlɪvost
novota	novota
ditunka	ɟɪtuŋka
rév	rɛːf
nechala	nɛxala
touš	tou̯ʃ
naplnění	napl̩ɲɛɲiː
vítalo	viːtalo
risk	rɪsk
nástupkyně	naːstupkɪɲɛ
meteorit	mɛtɛorɪt
schovaný	sxovaniː
plachetnice	plaxɛtɲɪt͡sɛ
skalpovat	skalpovat
kormorán	kormoraːn
žilám	ʒɪlaːm
sportovec	sportovɛt͡s
krčmařík	kr̩t͡ʃmar̝iːk
kožich	koʒɪx
bodnout	bodnou̯t
panovník	panovɲiːk
ustoupit	ustou̯pɪt
odpuzovat	otpuzovat
bdí	bɟiː
brůně	bruːɲɛ
skot	skot
herbert	ɦɛrbɛrt
hrade	ɦradɛ
vokativ	vokatɪf
nohám	noɦaːm
vazák	vazaːk
hrom	ɦrom
berlínský	bɛrliːnskiː
dohodnutém	doɦodnutɛːm
podchod	potxot
protiargument	procɪʔarɡumɛnt
reagens	rɛaɡɛns
věruška	vjɛruʃka
hlučný	ɦlut͡ʃniː
káhira	kaːɦɪra
komutativní	komutatɪvɲiː
potentovat	potɛntovat
slibotechna	slɪbotɛxna
vzpírat	fspiːrat
tóna	toːna
páčce	paːt͡ʃt͡sɛ
pyje	pɪjɛ
knírač	kɲiːrat͡ʃ
poliklinika	polɪklɪnɪka
kabát	kabaːt
kluzký	kluskiː
