experimentar	iʃpɨɾimẽtaɾ
feita	fɐjtɐ
carreira	kɐʁɐjɾɐ
relação	ʁɨlɐsɐ̃w
iluminar	iluminaɾ
nossos	nɔsuʃ
coros	kɔɾuʃ
banho	bɐɲu
chuveiro	ʃuvɐjɾu
sobretudo	soβɾɨtuðu
invisível	ĩvizivɛɫ
adeus	ɐðewʃ
pulha	puʎɐ
nora	nɔɾɐ
vácuo	vakwo
angola	ɐ̃ɡɔlɐ
veias	vɐjɐʃ
larica	lɐɾikɐ
comadre	kumaðɾɨ
viesse	vjɛsɨ
incómodo	ĩkɔmuðu
género	ʒɛnɨɾu
triste	tɾiʃtɨ
acessar	ɐsɨsaɾ
patrazana	patɾazɐ̃na
federação	fɨðɨɾɐsɐ̃w̃
simplesmente	sĩplɨʒmẽtɨ
escadaria	iʃkadaɾiɐ
experto	ɨʃpɛɾtu
irmã	iɾmɐ̃
informação	ĩfuɾmɐsɐ̃w̃
cisto	siʃtu
cópia	kɔpjɐ
conjuro	kõʒuɾu
abrir	ɐβɾiɾ
começou	kumɨsow
inerência	ineɾẽsja
aguadeiro	aɡwɐdɐjɾu
frente	fɾẽtɨ
aragem	ɐɾaʒɐ̃j̃
eles	elɨʃ
lábios	laβjuʃ
precisa	pɾɨsizɐ
abençoado	ɐβẽswaðu
abrunho	ɐβɾuɲu
vietname	viɛtnɐmɨ
ilegível	ilɨʒivɛɫ
afã	ɐfɐ̃
conceção	kõsɛsɐ̃w̃
sertã	sɨɾtɐ̃
desejar	dɨzɨʒaɾ
bolsominion	bowsominiõ
célere	sɛlɨɾɨ
nisto	niʃtu
privação	pɾivɐsɐ̃w̃
saragoça	sɐɾɐɣɔsɐ
piolho	pjoʎu
favoravelmente	fɐvuɾavɛɫmẽtɨ
gamo	ɡɐmu
fada	faðɐ
beco	beku
encantado	ẽkɐ̃tadu
aceder	ɐsɨðeɾ
virgem	viɾʒɐ̃j̃
possível	pusivɛɫ
valente	vɐlẽtɨ
capoeira	kɐpwejɾɐ
loa	loɐ
ponta	põtɐ
alar	ɐlaɾ
bravura	bɾɐvuɾɐ
reativação	rɨativɐsɐ̃w
gato	ɡatu
tribal	tɾiβaɫ
saborear	sɐbuɾjaɾ
nunca	nũkɐ
ambos	ɐ̃buʃ
campestre	kɐ̃pɛʃtɾɨ
loiro	lojɾu
armação	ɐɾmɐsɐ̃w̃
modos	mɔðuʃ
liso	lizu
confidência	kõfiðẽsjɐ
raciocínio	ʁɐsiusiniu
resumir	ʁɨzumiɾ
escravização	iʃkɾɐvizɐsɐ̃w̃
cenrada	sẽʁaðɐ
terno	tɛɾnu
poliandria	poliɐ̃dɾia
contagem	kõtaʒɐ̃j̃
conduzir	kõduziɾ
seleção	sɨlɛsɐ̃w̃
honra	õʁɐ
lagos	laɣuʃ
reativação	ʁiativɐsɐ̃w
cómoda	kɔmuðɐ
grémio	ɡɾɛmju
companheiro	kõpɐ̃j̃ejɾu
suaíli	swaili
sobrecasaca	soβɾɨkɐzakɐ
tolete	tuletɨ
africano	ɐfɾikɐnu
polivalente	polivalẽtʃi
dirigir	diɾiʒiɾ
sangue	sɐ̃ɡɨ
tabela	tɐβɛlɐ
outono	owtonu
matamatá	matamata
visom	vizõ
sereia	sɨɾejɐ
bala	balɐ
doméstico	dumɛʃtiku
tato	tatu
bandolim	bɐ̃dulĩ
égua	ɛɣwɐ
vaticano	vɐtikɐnu
agradara	ɐɣɾɐðaɾɐ
bonachão	bonaʃɐ̃w̃
deixa	dɐjʃɐ
pueril	pwɛɾiɫ
uivo	ujvu
mui	mũj̃
bulhufas	buʎufas
mental	mẽtaɫ
galopeado	ɡalopiadu
consigo	kõsiɣu
kilobit	kilobiti
bastardo	bɐʃtaɾðu
perder	pɨɾðeɾ
têm	tẽj̃
debruçou	debɾusow
descalço	dɨʃkaɫsu
paisagem	pajzaʒɐ̃j̃
sopesar	sopezaʁ
sobre	sobɾɨ
alívio	ɐlivju
estourar	iʃtowɾaɾ
poente	pwẽtɨ
elasticidade	ilɐʃtɨsiðaðɨ
judaísmo	ʒuðɐiʃmu
tímida	timiðɐ
rutilo	ʁutilɐ
for	foɾ
dono	donu
alugado	ɐluɣaðu
dígito	diʒitu
beringela	bɨɾĩʒɛlɐ
texugo	tɨʃuɣu
perentoriamente	pɨɾẽtɔɾjɐmẽtɨ
jardim	ʒɐɾðĩ
galho	ɡaʎu
nascimento	nɐʃsimẽtu
palavra	pɐlavɾɐ
ganhão	ɡɐɲɐ̃w̃
núbil	nuβiɫ
anoitecer	ɐnojtɨseɾ
oeste	wɛʃtɨ
muro	muɾu
socar	sokaʁ
magreza	mɐɣɾezɐ
mesa	mezɐ
campanário	kɐ̃pɐnaɾju
perfeito	pɨɾfɐjtu
mafra	mafɾɐ
rom	ʁɔm
experiência	ɐjʃpɨɾjẽsjɐ
perca	peɾkɐ
danbo	dɐ̃bu
empréstimo	ẽpɾɛʃtimu
seta	sɛtɐ
balázio	balazju
ferir	fɨɾiɾ
corisco	kuɾiʃku
estranha	ʃtɾɐɲɐ
ambíguo	ɐ̃biɣwu
fauno	fawnu
inflexível	ĩflɛksivɛɫ
cebolinha	sɨβuliɲɐ
bienal	bienaɫ
polícia	pulisjɐ
explicação	ɐjʃplikɐsɐ̃w̃
acolhimento	ɐkuʎimẽtu
bagatela	baɡatɛla
almofada	aɫmufaðɐ
piorar	pjuɾaɾ
representante	ʁɨpɾɨzẽtɐ̃tɨ
tremia	tɾɨmiɐ
manhãs	mɐɲɐ̃ʃ
normalmente	nuɾmalmẽtɨ
chinelos	ʃinɛluʃ
verso	vɛɾsu
ímpar	ĩpaɾ
ardina	ɐɾðinɐ
consentir	kõsẽtiɾ
emoldurar	imoɫduɾaɾ
exigir	iziʒiɾ
marinheiro	mɐɾiɲɐjɾu
propósito	pɾupɔzitu
inteiro	ĩtɐjɾu
testa	tɛʃtɐ
cuzão	kuzɐ̃w̃
alfinete	aɫfinɛti
reflexão	ʁɨflɛksɐ̃w̃
odor	uðoɾ
filosofia	filuzufiɐ
alcatrão	aɫkɐtɾɐ̃w
pobres	pɔβɾɨʃ
magro	maɣɾu
felicidade	fɨlisiðaðɨ
salgueiro	saɫɡɐjɾu
preservação	pɾɨzɨɾvɐsɐ̃w̃
tomou	tumow
sevilha	sɨviʎɐ
civilização	sivilizɐsɐ̃w̃
poliginia	poliʒinia
êxodo	ezudu
anchova	ɐ̃ʃovɐ
eloquência	elukwẽsjɐ
disto	diʃtu
carnificina	kɐɾnifisinɐ
claridade	klɐɾiðaðɨ
boa	boɐ
candil	kɐ̃diɫ
parando	pɐɾɐ̃du
horizonte	ɔɾizõtɨ
alegres	ɐlɛɣɾɨʃ
achaparrar	aʃapaʁaɾ
capítulo	kɐpitulu
branca	bɾɐ̃kɐ
aplauso	ɐplawzu
salva	saɫvɐ
urano	uɾɐnu
patas	patɐʃ
carrilhão	kɐʁiʎɐ̃w̃
sirgo	siɾɣu
ameno	ɐmenu
defeso	dɨfezu
ombro	õbɾu
amassar	ɐmɐsaɾ
andas	ɐ̃dɐʃ
prescritível	pɾeskritʃivew
anos	ɐnuʃ
faltar	faɫtaɾ
entretanto	ẽtɾɨtɐ̃tu
epopeia	epopɛjɐ
agosto	ɐɡoʃtu
fuxicar	fuʃika
excelente	iʃslẽt
pelar	pɨlaɾ
vegete	veʒɛtʃi
injete	ĩʒɛtʃi
viver	viveɾ
punha	puɲɐ
velhaco	vɨʎaku
creu	kɾew
bordar	buɾðaɾ
cabelo	kɐβelu
visitar	vizitaɾ
aguardente	aɣwaɾðẽtɨ
destro	dɛʃtɾu
sustentável	suʃtẽtavɛɫ
fueguino	fwɨɣinu
sábio	saβiu
erva	ɛɾvɐ
fá	fa
cordas	kɔɾdɐʃ
duende	dwẽdɨ
vazias	vɐziɐʃ
arrazoar	ɐʁɐzwaɾ
brandamente	bɾɐ̃dɐmẽtɨ
vero	vɛɾu
paparazzo	papaɾatsu
brusqueta	bɾuʃketɐ
chamuscar	ʃɐmuʃkaɾ
tucuxi	tukuʃi
juntos	ʒũtuʃ
arrozal	ɐʁuzaɫ
chuva	ʃuvɐ
trançar	tɾɐ̃saɾ
donaire	dunajɾɨ
verás	vɨɾaʃ
absonância	absonɐ̃sja
anedótico	ɐnɨðɔtiku
solitário	sulitaɾju
estatal	ɨʃtɐtal
encolher	ẽkuʎeɾ
caroço	kɐɾosu
voluptuoso	vuluptwozu
aprontar	ɐpɾõtaɾ
carola	kaɾɔla
menos	menuʃ
divindade	divĩdaðɨ
corpo	koɾpu
civilizado	sɨvɨlizaðu
andou	ɐ̃dow
voluntário	vulũtaɾiu
ângulo	ɐ̃ɡulu
tenho	tɐɲu
couraçado	kowɾɐsaðu
grândola	ɡɾɐ̃dulɐ
envelhecimento	ẽvɨʎɨsimẽtu
sarado	saɾadu
travessa	tɾɐvɛsɐ
conhecia	kuɲɨsiɐ
armador	ɐɾmɐðoɾ
ás	aʃ
vivalma	vivaɫmɐ
físico	fiziku
quina	kinɐ
flamengo	flɐmẽɡu
pertencer	pɨɾtẽseɾ
ventos	vẽtuʃ
branco	bɾɐ̃ku
abolição	ɐβulisɐ̃w̃
trampolim	tɾɐ̃pulĩ
arritmia	ɐʁitmiɐ
declive	dɨklivɨ
retirar	rɨtiɾaɾ
confuso	kõfuzu
nobreza	nuβɾezɐ
ave	avɛ
lhos	ʎuʃ
dormir	duɾmiɾ
gelosia	ʒɨluziɐ
morro	moʁu
experiência	iʃpɨɾjẽsjɐ
medrincas	medɾĩkas
sina	sinɐ
dólar	dɔlaɾ
grau	ɡɾaw
clínica	klinikɐ
escada	iʃkaðɐ
corrupção	kuʁupsɐ̃w̃
montenegro	mõtineɡɾu
tríptico	tɾiptiku
ribeira	ʁiβɐjɾɐ
fronte	fɾõtɨ
droga	dɾɔɣɐ
sentiu	sẽtiw
sítio	sitju
peão	pjɐ̃w̃
jornalístico	ʒuɾnɐliʃtiku
céus	sɛwʃ
náiade	najɐðɨ
leste	lɛʃtɨ
guardanapo	ɡwɐɾðɐnapu
próclise	pɾɔklizi
descobridor	dɨʃkuβɾiðoɾ
desentendimento	dezẽtẽdʒimẽtu
deitar	dɐjtaɾ
novidade	nuviðaðɨ
pousando	powzɐ̃du
graças	ɡɾasɐʃ
funk	fɐ̃k
passava	pɐsavɐ
baraço	baɾasu
frase	fɾazɨ
tá	ta
papel	pɐpɛɫ
esforço	ɨʃfoɾsu
científico	sjẽtifiku
pele	pɛlɨ
rodrigo	ʁudɾiɡu
papar	pɐpaɾ
aparecimento	ɐpɐɾɨsimẽtu
sim	sĩj̃
seguirá	sɨɣiɾa
buda	buðɐ
virgindade	viɾʒĩdaðɨ
rola	ʁola
paragem	pɐɾaʒɐ̃j̃
ronrons	ʁõʁõjʃ
perguntou	pɨɾɣũtow
miasma	miaʒmɐ
repouso	ʁɨpowzu
ostra	oʃtɾɐ
â	ɐ̃
única	unikɐ
tâmara	tɐmɐɾɐ
fragilidade	fɾɐʒɨliðaðɨ
processar	pɾusɨsaɾ
lição	lisɐ̃w̃
arrepiado	ɐʁɨpjaðu
moído	mwiðu
buscar	buʃkaɾ
creolina	kɾewlinɐ
só	sɔ
ínsua	ĩswɐ
elegante	ilɨɣɐ̃tɨ
sem	sɐ̃j̃
assustar	ɐsuʃtaɾ
comido	kumiðu
rendas	ʁẽdɐʃ
expectativa	ɨʃpɛtɐtivɐ
fémur	fɛmuɾ
continuamente	kõtinwɐmẽtɨ
premente	pɾemẽtʃi
enterrado	ẽtɨʁaðu
sósia	sɔzjɐ
soluço	sulusu
trenó	tɾenɔ
tolo	tolu
engordar	ẽɡuɾðaɾ
pretinho	pɾɨtiɲu
competência	kõpɨtẽsjɐ
estimulante	ɨʃtimulɐ̃tɨ
tenha	teɲɐ
viseu	vizew
sair	sɐiɾ
honestidade	unɛʃtiðaðɨ
fi	fi
retalho	ʁɨtaʎu
feliz	fɨliʃ
estacionar	iʃtɐsjunaɾ
quero	kɛɾu
bolsos	bɔɫsuʃ
mola	mɔlɐ
escabelo	iʃkɐβelu
amanhecer	ɐmɐɲɨseɾ
maneiro	mɐnɐjɾu
colonização	kulunizɐsɐ̃w̃
encarnação	ẽkɐɾnɐsɐ̃w̃
pito	pitu
espantoso	ɨʃpɐ̃tozu
vidreiro	viðɾɐjɾu
feijão	fɐjʒɐ̃w̃
testículo	tɨʃtikuɫu
versos	vɛɾsuʃ
holofote	ɔlɔfɔtɨ
euro	ewɾu
cais	kajʃ
ventre	vẽtɾɨ
diferir	difɨɾiɾ
sendo	sẽdu
leão	ljɐ̃w̃
serão	sɨɾɐ̃w̃
beijo	bejʒu
espinhaço	espiɲasu
endoscopia	ĩdoʃkopia
lógica	lɔʒikɐ
riqueza	ʁikezɐ
usado	uzaðu
afável	ɐfavɛɫ
ornamentar	ɔɾnɐmẽtaɾ
não	nɐ̃w̃
vezes	vezɨʃ
bambu	bɐ̃bu
suflê	sufle
meação	mjɐsɐ̃w̃
chus	ʃuʃ
chave	ʃavɨ
alpestre	aɫpɛʃtɾi
segundo	sɨɣũdu
correto	kuʁɛtu
haveria	ɐvɨɾiɐ
marmelo	mɐɾmɛlu
oportunista	ɔpuɾtuniʃtɐ
ferreira	fɨʁɐjɾɐ
arrebentar	ɐʁɨβẽtaɾ
pirata	piɾatɐ
visita	vizitɐ
nenhures	nɨɲuɾɨʃ
erradamente	iʁɐðɐmẽtɨ
termo	teɾmu
lhes	ʎɨʃ
escudo	iʃkudu
barba	baɾβɐ
honesto	onɛʃtu
áureo	awɾju
subúrbio	suβuɾβju
temporão	tẽpoɾɐ̃w̃
portugal	puɾtuɣaɫ
frufru	fɾufɾu
besouro	bɨzowɾu
beja	bɛʒɐ
dona	donɐ
boda	boðɐ
reduzir	ʁɨðuziɾ
berço	beɾsu
sestro	sɛʃtɾu
belga	bɛɫɣɐ
chinês	ʃineʃ
deixará	dɐjʃɐɾa
magistério	maʒijʃtɛɾju
ergueu	eɾɣew
outrora	owtɾɔɾɐ
gritar	ɡɾitaɾ
monja	mõʒɐ
isenção	izẽsɐ̃w̃
outubro	owtuβɾu
casino	kɐzinu
castigo	kɐʃtiɣu
tático	tatiku
manifestante	mɐnifɨstɐ̃tɨ
achanar	ɐʃɐnar
exegese	ezeʒɛzi
voltar	vɔɫtaɾ
candango	kɐ̃dɐ̃ɡu
feixe	fejʃɨ
mortal	muɾtaɫ
eu	ew
parcialmente	pɐɾsiaɫmẽtɨ
levantar	lɨvɐ̃taɾ
congregação	kõɡɾɨɣɐsɐ̃w̃
fita	fitɐ
assunto	ɐsũtu
senha	sɐjɲɐ
palavras	pɐlavɾɐʃ
barro	baʁu
chipre	ʃipɾɨ
oeiras	oɐjɾɐʃ
olhava	ɔʎavɐ
planeta	plɐnetɐ
tripa	tɾipɐ
ricamente	ʁikɐmẽtɨ
futicar	futʃikaʁ
pai	paj
sorriu	suʁiw
estrela	iʃtɾelɐ
juntar	ʒũtaɾ
horário	oɾaɾju
mangas	mɐ̃ɡɐʃ
fechar	fɨʃaɾ
psicologia	psikoloʒia
aonde	ɐõdɨ
jaez	ʒɐeʃ
mugir	muʒiɾ
cipreste	sipɾɛʃtɨ
académico	ɐkɐdɛmiku
google	ɡuɡow
houvesse	owvɛsɨ
amuleto	ɐmuletu
detalhe	dɨtaʎɨ
vagante	vɐɣɐ̃tɨ
coitar	kojtaɾ
américa	ɐmɛɾikɐ
veludo	vɨluðu
área	aɾjɐ
style	istajli
ponteiro	põtɐjɾu
plataforma	plɐtɐfɔɾmɐ
ladainha	lɐðɐiɲɐ
noventa	nuvẽtɐ
árvore	aɾvuɾɨ
chantagem	ʃɐ̃taʒɐ̃j̃
malho	maʎu
profe	pɾɔfɨ
pescoço	pɨʃkosu
fruição	fɾujsɐ̃w̃
uzbeque	uʒbɛki
catraio	kɐtɾaju
chiclete	ʃiklɛtɨ
intromete	ĩtɾomɛtʃi
atualmente	ɐtwaɫmẽtɨ
destes	dɛʃtɨʃ
distribuir	dɨʃtɾiβwiɾ
decidirá	dɨsiðiɾa
fortes	fɔɾtɨʃ
aproximou	ɐpɾɔsimow
vêm	vɐ̃j̃ɐ̃j̃
tirou	tiɾow
doca	dɔkɐ
caia	kajɐ
instrução	ĩʃtɾusɐ̃w̃
tristonha	tɾiʃtoɲɐ
fornecimento	fuɾnɨsimẽtu
sustento	suʃtẽtu
otaku	otaku
balança	bɐlɐ̃sɐ
esponsal	iʃpõsaɫ
copiar	kupjaɾ
coveiro	kɔvɐjɾu
comunista	kumuniʃtɐ
bocó	bokɔ
origem	oɾiʒɐ̃j̃
saudades	sawðaðɨʃ
cruz	kɾuʃ
deficitário	defisitarju
exiguidade	iziɣwiðaðɨ
coitada	kojtaðɐ
gente	ʒẽtɨ
domingo	dumĩɡu
revisão	ʁɨvizɐ̃w̃
fico	fiku
asilo	ɐzilu
provável	pɾuvavɛɫ
funcionar	fũsjunaɾ
aperto	ɐpɛɾtu
comover	kumuveɾ
juramento	ʒuɾɐmẽtu
vagamente	vaɣɐmẽtɨ
remover	ʁɨmuveɾ
abafar	ɐbɐfaɾ
arca	aɾkɐ
compatriota	kõpɐtɾjɔtɐ
rapto	ʁaptu
uns	ũʃ
traíra	tɾɐiɾɐ
manada	manadɐ
escuridão	iʃkuɾiðɐ̃w̃
fogaça	foɡasa
escaravelho	iʃkɐɾɐvɐjʎu
decente	dɨsẽtɨ
santo	sɐ̃tu
preocupação	pɾjɔkupɐsɐ̃w̃
partir	pɐɾtiɾ
torpe	toɾpi
boticas	butikɐʃ
basco	baʃku
saudar	sɐwðaɾ
exclamava	ɐjʃklɐmavɐ
imperador	ĩpɨɾɐðoɾ
perdida	pɨɾðiðɐ
neblina	nɨβlinɐ
enervar	inɨɾvaɾ
desconexo	dʒijʃkonɛksu
despender	dɨʃpẽdeɾ
terrivelmente	tɨʁivɛɫmẽtɨ
cavalo	kɐvalu
vencido	vẽsiðu
régua	ʁɛɣwɐ
dama	dɐmɐ
feixe	fɐjʃɨ
colocado	kulukaðu
terror	tɨʁoɾ
asa	azɐ
vermelho	vɨɾmejʎu
passarinheiro	pɐsɐɾiɲɐjɾu
chuço	ʃusu
confessar	kõfɨsaɾ
mentalmente	mẽtaɫmẽtɨ
chocalho	ʃukaʎu
praia	pɾajɐ
moçambique	musɐ̃bikɨ
funchal	fũʃaɫ
consertar	kõsɨɾtaɾ
mostrando	muʃtɾɐ̃du
musicista	muzisiʃtɐ
prepotência	pɾɛpotẽsja
sossegar	susɨɣaɾ
reportagem	ʁɨpuɾtaʒɐ̃j̃
setim	setʃĩ
adrede	ɐðɾeðɨ
x	ʃiʃ
semáforo	sɨmafuɾu
arminho	ɐɾmiɲu
queda	kɛðɐ
lancha	lɐ̃ʃɐ
bada	badɐ
adoecer	ɐðwɨseɾ
gravata	ɡɾɐvatɐ
rajada	ʁɐʒaðɐ
inimizade	inimizaðɨ
ornamento	ɔɾnɐmẽtu
aquelas	ɐkɛlɐʃ
compadre	kõpaðɾɨ
inconveniente	ĩkõvɨnjẽtɨ
revestir	ʁɨvɨʃtiɾ
tudo	tuðu
beliscar	bɨliʃkaɾ
gota	ɡotɐ
baboseira	babozejɾa
joguetar	ʒoɡetaɾ
encomendar	ẽkumẽdaɾ
ouros	owɾuʃ
divina	divinɐ
degrau	dɨɣɾaw
nono	nonu
nágua	naɡwa
limpando	lĩpɐ̃du
processo	pɾusɛsu
chinfrim	ʃĩfɾĩ
burgo	buɾɣu
mosaico	muzajku
exceto	ɐjʃsɛtu
fofoca	fɔfɔka
pipi	pipi
frei	fɾej
deveres	dɨveɾɨʃ
ampulheta	ɐ̃puʎetɐ
toro	tɔɾu
madrasta	mɐðɾaʃtɐ
anticultural	ɐ̃tikuɫtuɾaɫ
cumprir	kũprir
jumento	ʒumẽtu
competidor	kõpɨtiðoɾ
vil	viɫ
tourada	towɾaðɐ
chegar	ʃɨɡaɾ
racional	ʁɐsjunal
trémulo	tɾɛmulu
coro	kɔɾu
haverá	ɐvɨɾa
volto	vɔɫtu
gola	ɡɔlɐ
arbitramento	ɐɾβitɾɐmẽtu
jovem	ʒɔvɐ̃j̃
agrupar	ɐɣɾupaɾ
ranger	ʁɐ̃ʒeɾ
hino	inu
obreiro	ɔβɾejɾu
distraído	diʃtɾɐiðu
fabricar	fɐβɾikaɾ
do	du
vagarosamente	vɐɣɐɾɔzɐmẽtɨ
informações	ĩfuɾmɐsõj̃ʃ
séculos	sɛkuluʃ
passeando	pɐsjɐ̃du
rir	ʁiɾ
alargar	ɐlɐɾɣaɾ
criptobiótico	kɾiptobiɔtʃiku
bucólico	bukɔliku
queirós	kɐjɾɔʃ
parecido	pɐɾɨsiðu
guarulhense	ɡwaɾuʎẽsi
trancoso	tɾɐ̃kozu
alicerce	ɐlisɛɾsɨ
andor	ɐ̃dor
sabem	saβɐ̃j̃
turno	tuɾnu
plateia	plɐtɛjɐ
afta	afitɐ
destras	dɛʃtɾɐʃ
jovem	ʒɔvẽj̃
azuis	ɐzujʃ
zincografia	zĩkoɡɾafia
unir	uniɾ
universo	univɛɾsu
infinito	ĩfinitu
cueiro	kwejɾu
desporto	dɨʃpoɾtu
luso	luzu
vinagre	vinaɣɾɨ
vais	vajʃ
prevenção	pɾɨvẽsɐ̃w̃
incolumidade	ĩkolumidadʒi
jacarandá	ʒɐkɐɾɐ̃da
descarregar	dɨʃkɐʁɨɣaɾ
sede	sɛðɨ
chicotear	ʃikutjaɾ
urgente	uɾʒẽtɨ
prejuízo	pɾɨʒwizu
calheta	kɐʎetɐ
internacional	ĩtɨɾnɐsjunaɫ
conquistas	kõkiʃtɐʃ
morder	muɾðeɾ
ufa	ufɐ
soar	suaɾ
freguês	fɾɛɣeʃ
valsa	vaɫsɐ
mãos	mɐ̃w̃ʃ
aleijar	ɐlejʒaɾ
ilha	iʎɐ
mandorla	mɐ̃dɔɾlɐ
absurdo	ɐbsuɾðu
florista	fluɾiʃtɐ
feder	fɨðeɾ
terras	tɛʁɐʃ
tomate	tumatɨ
espectro	iʃpɛktɾu
abdicar	ɐβðikaɾ
homossexual	omoseksuaɫ
abrigo	ɐβɾiɣu
argila	ɐɾʒilɐ
lengalenga	lẽɡɐlẽɡɐ
quotidiano	kɔtiðjɐnu
memorizar	mɨmuɾizaɾ
geórgia	ʒjɔɾʒjɐ
regra	ʁɛɣɾɐ
relógio	ʁɨlɔʒju
convento	kõvẽtu
vinhos	viɲuʃ
conta	kõtɐ
venoso	vɨnozu
profissional	pɾufisjunaɫ
leitura	lɐjtuɾɐ
medicina	mɨðɨsinɐ
farejar	fɐɾɨʒaɾ
interessar	ĩtɨɾɨsaɾ
jornais	ʒuɾnajʃ
apressar	ɐpɾɨsaɾ
rígido	ʁiʒiðu
auto	awtu
fígado	fiɡɐdu
hangul	ɐ̃ɡul
ativista	ativiʃtɐ
bretão	bɾɨtɐ̃w̃
abraçar	ɐbɾɐsaɾ
sentir	sẽtiɾ
maldito	maɫditu
antigos	ɐ̃tiɣuʃ
cerimónia	sɨɾimɔnjɐ
montijo	mõtiʒu
samba	sɐ̃bɐ
ancinho	ɐ̃siɲu
viste	viʃtɨ
ofender	ɔfẽdeɾ
reino	ʁejnu
desaforamento	dʒizafoɾamẽtu
desolação	dezolasɐ̃w̃
preparado	pɾɨpɐɾaðu
lintel	lĩtɛw
prima	pɾimɐ
trotskismo	tɾɔtskiʒmu
sobre	sɔbɾɨ
tira	tiɾɐ
pentelho	pẽtɐjʎu
búlgaro	buɫɡɐɾu
