organizatora	ˈorɡænˌɪzætˌoræ
osjetljivi	ˈosjetʎˌɪvɪ
subjektivne	sˈubjektˌɪvnɛ
miješane	mˈijeʃˌænɛ
Narednih	nˈɑrɛdnɪh
sukobe	sˈukobɛ
stalnom	stˈalnom
Girls	ɡˈirls
majka	mˈɑjkæ
autohtonog	ˈaʊtˌohtonoɡ
Hemijski	xˈɛmɪjskɪ
crta	t͡srtˈa
poštovanja	pˈoʃtovˌæɲæ
razlike	ɾˈazlɪkɛ
jajna	jˈɑjnæ
Desetak	dˈɛsɛtæk
direktnu	dˈirɛktnʊ
prodaju	pɾˈodɑjʊ
umnožavanja	ˈumnoʒˌævæɲæ
datirati	dˈatɪrˌætɪ
Sjedište	sjˈedɪʃtɛ
grafa	ɡɾˈafæ
obradu	ˈobɾædʊ
Ričard	ɾˈit͡ʃɑrd
nebeska	nˈɛbɛskæ
izvjesno	ˈizvjesno
izdata	ˈizdætæ
sportske	spˈortskɛ
kvota	kvˈotæ
Nathan	nˈathæn
trajali	tɾˈɑjælɪ
kipova	kˈipovæ
izrazu	ˈizɾæzʊ
mađarski	mˈad͡ʑɑrskɪ
Goebbels	ɡˈoɛbbɛls
stavovi	stˈavovɪ
plovili	plˈovɪlɪ
upravnim	ˈupɾævnɪm
Muhamed	mˈuhæmɛd
pograničnim	pˈoɡɾænˌɪt͡ʃnɪm
žestok	ʒˈɛstok
trčati	trt͡ʃˈatɪ
nejasni	nˈejæsnɪ
muslimanskih	mˈuslɪmˌænskɪh
postupcima	pˈostʊpt͡sˌɪmæ
Španiju	ʃpˈanɪjʊ
nazvana	nˈazvænæ
rodbina	ɾˈodbɪnæ
Banja	bˈaɲæ
keramičkih	kˈɛræmˌɪt͡ʃkɪh
površinska	pˈovrʃɪnskæ
parove	pˈɑrovɛ
signalizacija	sˈiɡnælˌɪzæt͡sˌɪjæ
ekspediciju	ˈɛkspɛdˌɪt͡sɪjʊ
Dragana	dɾˈaɡænæ
prikupljenih	pɾˈikʊpʎˌenɪh
nebodera	nˈɛbodˌɛræ
zadržati	zˈadrʒætɪ
priznanja	pɾˈiznæɲæ
Mešić	mˈɛʃɪt͡ɕ
sredinama	sɾˈɛdɪnˌæmæ
rogova	ɾˈoɡovæ
spisa	spˈisæ
Azerbejdžanske	ˈazɛrbˌejd͡ʒænskɛ
membranama	mˈɛmbɾænˌæmæ
promjenljivih	pɾˈomjenʎˌɪvɪh
atletičara	ˈatlɛtˌɪt͡ʃɑræ
dokumentarac	dˈokʊmˌɛntɑræt͡s
neprijatelju	nˈɛpɾɪjˌætɛʎʊ
dodirnu	dˈodɪrnʊ
Svoje	svˈoje
trupaca	tɾˈupæt͡sæ
kontroverzna	kˈontɾovˌɛrznæ
radničkom	ɾˈadnɪt͡ʃkom
lansiran	lˈansɪræn
sadržani	sˈadrʒænɪ
komediji	kˈomɛdˌɪjɪ
zatvaračem	zˈatvɑrˌæt͡ʃɛm
brade	bɾˈadɛ
orkestrima	ˈorkɛstɾˌɪmæ
Joel	jˈoɛl
rukometa	ɾˈukomˌɛtæ
udarne	ˈudɑrnɛ
rješavanjem	rjˈeʃævˌæɲem
muškarce	mˈuʃkɑrt͡sɛ
najgušće	nˈɑjɡʊʃt͡ɕɛ
pogođene	pˈoɡod͡ʑˌɛnɛ
sjever	sjˈevɛr
učitelja	ˈut͡ʃɪtˌɛʎæ
piti	pˈitɪ
kompaktne	kˈompæktnɛ
kontrolisali	kˈontɾolˌɪsælɪ
Roberto	ɾˈobɛrto
kojeg	kˈojeɡ
plastidi	plˈastɪdɪ
ruralnog	ɾˈurælnoɡ
topove	tˈopovɛ
rastuću	ɾˈastʊt͡ɕʊ
sudstvo	sˈutstvo
stupi	stˈupɪ
Mjeseca	mjˈesɛt͡sæ
nogometna	nˈoɡomˌɛtnæ
Rapid	ɾˈapɪd
neispravan	nˈɛɪspɾˌævæn
Start	stˈart
fluid	flˈuɪd
Mađarsku	mˈad͡ʑɑrskʊ
gustim	ɡˈustɪm
šefom	ʃˈɛfom
predstavljala	pɾˈɛtstævljˌælæ
atentata	ˈatɛntˌætæ
učenjak	ˈut͡ʃɛɲæk
motivima	mˈotɪvˌɪmæ
vili	vˈilɪ
centimetra	t͡sˈɛntɪmˌɛtɾæ
dočekao	dˈot͡ʃɛkˌæo
Katarinom	kˈatɑrˌɪnom
radijalne	ɾˈadɪjˌælnɛ
Britanska	bɾˈitænskæ
dana	dˈanæ
novčanicama	nˈoft͡ʃænˌɪt͡sæmæ
gutanja	ɡˈutæɲæ
građom	ɡɾˈad͡ʑom
Monk	mˈoŋk
dvoraca	dvˈoræt͡sæ
prebacili	pɾˈɛbæt͡sˌɪlɪ
ishode	ˈishodɛ
dentis	dˈɛntɪs
studio	stˈudɪo
Sirije	sˈirɪje
Silver	sˈilvɛr
Venere	vˈɛnɛrɛ
australijski	ˈaʊstɾˌælɪjskɪ
brakom	bɾˈakom
kapetanije	kˈapɛtˌænɪje
Sun	sˈun
direktne	dˈirɛktnɛ
promatra	pɾˈomætɾæ
elastičnost	ˈɛlæstˌɪt͡ʃnost
najvažnijih	nˈɑjvæʒnˌɪjɪh
okupirane	ˈokʊpˌɪrænɛ
ubrzani	ˈubrzænɪ
odredio	ˈodɾɛdˌɪo
igrale	ˈiɡɾælɛ
zajedničkom	zˈɑjednˌɪt͡ʃkom
Zakonodavna	zˈakonˌodævnæ
metabolizira	mˈɛtæbˌolɪzˌɪræ
padavina	pˈadævˌɪnæ
žrtvovanja	ʒrtvˈovæɲæ
Kanjon	kˈaɲon
masama	mˈasæmæ
postojanje	pˈostojˌæɲe
produžava	pɾˈodʊʒˌævæ
naseljava	nˈasɛʎˌævæ
Premijer	pɾˈɛmɪjer
zborniku	zbˈornɪkʊ
zlostavlja	zlˈostævljæ
dizajner	dˈizɑjnɛr
izliječi	ˈizlɪjˌet͡ʃɪ
pećinama	pˈɛt͡ɕɪnˌæmæ
drugog	dɾˈuɡoɡ
biskup	bˈiskʊp
Završni	zˈavrʃnɪ
Tiraž	tˈiræʒ
Gustav	ɡˈustæv
saradnik	sˈɑrædnɪk
napadala	nˈapædˌælæ
pehar	pˈɛhɑr
zadacima	zˈadæt͡sˌɪmæ
tijelom	tˈijelom
uvozi	ˈuvozɪ
Steven	stˈɛvɛn
detalj	dˈɛtæʎ
mit	mˈit
uvjerila	ˈuvjerˌɪlæ
ikonostasa	ˈikonˌostæsæ
bojama	bˈojæmæ
Osmansko	ˈosmænsko
imanju	ˈimæɲʊ
Hendry	xˈɛndɾj
okrenute	ˈokɾɛnˌʊtɛ
islamski	ˈislæmskɪ
disku	dˈiskʊ
Art	ˈɑrt
uzvratni	ˈuzvɾætnɪ
tehnici	tˈɛhnɪt͡sɪ
ulazom	ˈulæzom
Party	pˈɑrtɪ
ostvarivši	ˈostvɑrˌɪfʃɪ
Biće	bˈit͡ɕɛ
povratne	pˈovɾætnɛ
voz	vˈoz
praska	pɾˈaskæ
majica	mˈɑjɪt͡sæ
jajovoda	jˈɑjovˌodæ
potvrde	pˈotvrdɛ
dao	dˈao
suverene	sˈuvɛrˌɛnɛ
obalom	ˈobælom
holandske	xˈolæntskɛ
borce	bˈort͡sɛ
efikasan	ˈɛfɪkˌæsæn
papiri	pˈapɪrɪ
zubima	zˈubɪmæ
podržavati	pˈodrʒævˌætɪ
artiljerijom	ˈɑrtɪʎˌerɪjom
antičkih	ˈantɪt͡ʃkɪh
Rocky	ɾˈot͡skɪ
upoznali	ˈupoznˌælɪ
drugoga	dɾˈuɡoɡæ
Nastupao	nˈastʊpˌæo
paralelno	pˈɑrælˌɛlno
don	dˈon
Temelji	tˈɛmɛʎɪ
Francisco	fɾˈant͡sɪst͡so
obližnjem	ˈoblɪʒɲem
morskoj	mˈorskoj
vođenju	vˈod͡ʑɛɲʊ
preostalo	pɾˈɛostˌælo
Slova	slˈovæ
sinonim	sˈinonɪm
densa	dˈɛnsæ
vojne	vˈojnɛ
profesionalaca	pɾˈofɛsˌɪonˌælæt͡sæ
Asylum	ˈasɪlʊm
pokrene	pˈokɾɛnɛ
odabrao	ˈodæbɾˌæo
današnjoj	dˈanæʃɲoj
dominantnim	dˈomɪnˌæntnɪm
imunološkog	ˈimʊnˌoloʃkoɡ
ljeto	ʎˈeto
prostorne	pɾˈostornɛ
djed	djˈed
Najveća	nˈɑjvɛt͡ɕæ
nagli	nˈaɡlɪ
čudom	t͡ʃˈudom
šarm	ʃˈɑrm
brzom	brzˈom
kopanje	kˈopæɲe
Hello	xˈɛllo
André	ˈandɾeː
park	pˈɑrk
Radnički	ɾˈadnɪt͡ʃkɪ
pukotina	pˈukotˌɪnæ
biljnog	bˈiʎnoɡ
kršćanskim	krʃt͡ɕˈanskɪm
masivnog	mˈasɪvnoɡ
dokumentacije	dˈokʊmˌɛntæt͡sˌɪje
najrazvijeniji	nˈɑjɾæzvˌɪjenˌɪjɪ
cijevima	t͡sˈijevˌɪmæ
plin	plˈin
čitavoj	t͡ʃˈitævoj
González	ɡˈonzaːlɛz
državnog	drʒˈavnoɡ
muškarci	mˈuʃkɑrt͡sɪ
harmoniji	xˈɑrmonˌɪjɪ
stopala	stˈopælæ
mašini	mˈaʃɪnɪ
Hannah	xˈannæh
Douglas	dˈo͡ʊɡlæs
učinjeni	ˈut͡ʃɪɲˌenɪ
tok	tˈok
deo	dˈɛo
efikasno	ˈɛfɪkˌæsno
izloži	ˈizloʒɪ
bugarski	bˈuɡɑrskɪ
Hoffman	xˈoffmæn
proguta	pɾˈoɡʊtæ
cilja	t͡sˈiʎæ
Houseov	xˈo͡ʊsɛov
objektom	ˈobjektom
uzimajući	ˈuzɪmˌɑjʊt͡ɕɪ
birano	bˈiræno
imenima	ˈimɛnˌɪmæ
upotrijebiti	ˈupotɾˌɪjebˌɪtɪ
autom	ˈaʊtom
nakit	nˈakɪt
odrasta	ˈodɾæstæ
uništiti	ˈunɪʃtˌɪtɪ
držan	drʒˈan
žanr	ʒˈanr
remijem	ɾˈɛmɪjem
prešli	pɾˈɛʃlɪ
ključni	kʎˈut͡ʃnɪ
genija	ɡˈɛnɪjæ
ženi	ʒˈɛnɪ
išli	ˈiʃlɪ
granula	ɡɾˈanʊlæ
rudari	ɾˈudɑrɪ
zamjenik	zˈamjenɪk
poručnik	pˈorʊt͡ʃnɪk
jugoslavenskoj	jˈuɡoslˌævɛnskoj
smještena	smjˈeʃtɛnæ
Najpopularniji	nˈɑjpopˌʊlɑrnˌɪjɪ
Exley	ˈɛkslɛj
Rocketsi	ɾˈot͡skɛtsɪ
inhibitora	ˈinhɪbˌɪtoræ
Mletačke	mlˈɛtæt͡ʃkɛ
porazivši	pˈoræzˌɪfʃɪ
enterijera	ˈɛntɛrˌɪjeræ
rođene	ɾˈod͡ʑɛnɛ
bazilike	bˈazɪlˌɪkɛ
Popovo	pˈopovo
mobilnost	mˈobɪlnost
većine	vˈɛt͡ɕɪnɛ
pogodak	pˈoɡodæk
pristanka	pɾˈistæŋkæ
LH	lˈəxˌə
pisci	pˈist͡sɪ
sahranjen	sˈahɾæɲen
periskop	pˈɛrɪskop
širim	ʃˈirɪm
enzima	ˈɛnzɪmæ
uzroka	ˈuzɾokæ
Rhode	rhˈodɛ
Knez	knˈɛz
neograničen	nˈɛoɡɾˌænɪt͡ʃɛn
se	sˈɛ
minuti	mˈinʊtɪ
školovanja	ʃkˈolovˌæɲæ
renija	ɾˈɛnɪjæ
Takozvani	tˈakozvˌænɪ
viteške	vˈitɛʃkɛ
izvanredan	ˈizvænɾˌɛdæn
povući	pˈovʊt͡ɕɪ
Postojalo	pˈostojˌælo
sugerirao	sˈuɡɛrˌɪræo
tetive	tˈɛtɪvɛ
crteže	t͡srtˈɛʒɛ
otvaraju	ˈotvɑrˌɑjʊ
pozitivnom	pˈozɪtˌɪvnom
početka	pˈot͡ʃɛtkæ
željenu	ʒˈɛʎenʊ
rastućeg	ɾˈastʊt͡ɕɛɡ
šumski	ʃˈumskɪ
industrijska	ˈindʊstɾˌɪjskæ
zapaljena	zˈapæʎˌenæ
praksa	pɾˈaksæ
daljinu	dˈaʎɪnʊ
stavak	stˈavæk
oficirom	ˈofɪt͡sˌɪrom
trenutke	tɾˈɛnʊtkɛ
Wing	vˈiŋɡ
Dosad	dˈosæd
FIDE	fˈidɛ
krilom	kɾˈilom
obuku	ˈobʊkʊ
keramici	kˈɛræmˌɪt͡sɪ
kolokvijalno	kˈolokvˌɪjælno
četverovodnim	t͡ʃˈɛtvɛrˌovodnɪm
kapetana	kˈapɛtˌænæ
eksplozivnih	ˈɛksplozˌɪvnɪh
činilo	t͡ʃˈinɪlo
ozbiljnosti	ˈozbɪʎnˌostɪ
namjere	nˈamjerɛ
obrazuje	ˈobɾæzˌʊje
odlazio	ˈodlæzˌɪo
godinama	ɡˈodɪnˌæmæ
prijavljeno	pɾˈijævljˌeno
ma	mˈa
srušio	sɾˈuʃɪo
primjeru	pɾˈimjerʊ
mirne	mˈirnɛ
SFRJ	sfrj
obora	ˈoboræ
buku	bˈukʊ
Kijevske	kˈijefskɛ
standardnu	stˈandɑrdnʊ
rangovima	ɾˈaŋɡovˌɪmæ
softver	sˈoftvɛr
Scipion	st͡sˈipɪon
promijenio	pɾˈomɪjˌenɪo
ljetnim	ʎˈetnɪm
propadanja	pɾˈopædˌæɲæ
sastavlja	sˈastævljæ
septembru	sˈɛptɛmbɾʊ
protezala	pɾˈotɛzˌælæ
uklanjanja	ˈuklæɲˌæɲæ
inhibiciju	ˈinhɪbˌɪt͡sɪjʊ
navodno	nˈavodno
doživljaj	dˈoʒɪvljɑj
Bilbao	bˈilbæo
operona	ˈopɛrˌonæ
zadnjim	zˈadɲɪm
duža	dˈuʒæ
Tupac	tˈupæt͡s
Henderson	xˈɛndɛrson
Važna	vˈaʒnæ
duhovnu	dˈuhovnʊ
razveo	ɾˈazvɛo
srednjeg	sɾˈɛdɲeɡ
Garfield	ɡˈɑrfɪɛld
bivšim	bˈifʃɪm
Moderne	mˈodɛrnɛ
Festival	fˈɛstɪvæl
impulsi	ˈimpʊlsɪ
koštanih	kˈoʃtænɪh
kasni	kˈasnɪ
nepovjerenja	nˈɛpovjˌerɛɲæ
razlikovanju	ɾˈazlɪkˌovæɲʊ
Državne	drʒˈavnɛ
skali	skˈalɪ
igrati	ˈiɡɾætɪ
Uvod	ˈuvod
Hrvati	xrvˈaːtɪ
pjesama	pjˈesæmæ
RTV	rˈətˌəvˌə
Ivana	ˈivænæ
čist	t͡ʃˈist
Kalesije	kˈalɛsˌɪje
Bonnie	bˈonnɪɛ
šampionatu	ʃˈampɪˌonætʊ
naglo	nˈaɡlo
okreću	ˈokɾɛt͡ɕʊ
diploma	dˈiplomæ
grupi	ɡɾˈupɪ
rampe	ɾˈampɛ
Apple	ˈapplɛ
potopljen	pˈotopʎen
Gabin	ɡˈabɪn
Oleg	ˈolɛɡ
bogatstvom	bˈoɡætstvom
propadanje	pɾˈopædˌæɲe
Cuddy	t͡sˈuddɪ
Ministar	mˈinɪstɑr
prošlosti	pɾˈoʃlostɪ
srčanim	srt͡ʃˈanɪm
puši	pˈuʃɪ
zadatak	zˈadætæk
trodimenzionalni	tɾˈodɪmˌɛnzɪˌonælnɪ
pravda	pɾˈavdæ
vlastita	vlˈastɪtæ
rođenju	ɾˈod͡ʑɛɲʊ
objekte	ˈobjektɛ
Odin	ˈodɪn
mutacije	mˈutæt͡sˌɪje
Sporazumom	spˈoræzˌʊmom
hidroksilne	xˈidɾoksˌɪlnɛ
Demetrije	dˈɛmɛtɾˌɪje
planinarenje	plˈanɪnˌɑrɛɲe
članovi	t͡ʃlˈanovɪ
Junior	jˈunɪor
bečkom	bˈɛt͡ʃkom
binarni	bˈinɑrnɪ
Artists	ˈɑrtɪsts
pravac	pɾˈavæt͡s
Slijede	slˈijedɛ
Sanders	sˈandɛrs
Mirage	mˈiræɡɛ
šerif	ʃˈɛrɪf
donosio	dˈonosˌɪo
svojstvu	svˈojstvʊ
Avdo	ˈavdo
nacionalnu	nˈat͡sɪˌonælnʊ
jabučice	jˈabʊt͡ʃˌɪt͡sɛ
klasičnu	klˈasɪt͡ʃnʊ
kretanju	kɾˈɛtæɲʊ
stećak	stˈɛt͡ɕæk
označenih	ˈoznæt͡ʃˌɛnɪh
romantičnu	ɾˈomæntˌɪt͡ʃnʊ
County	t͡sˈo͡ʊntɪ
volji	vˈoʎɪ
Vojnik	vˈojnɪk
doživljava	dˈoʒɪvljˌævæ
filma	fˈilmæ
spremniku	spɾˈɛmnɪkʊ
ispravna	ˈispɾævnæ
improvizacije	ˈimpɾovˌɪzæt͡sˌɪje
poduzeća	pˈodʊzˌɛt͡ɕæ
brežuljaka	bɾˈɛʒʊʎˌækæ
tragovi	tɾˈaɡovɪ
prugom	pɾˈuɡom
Kim	kˈim
Cijena	t͡sˈijenæ
pticu	ptˈit͡sʊ
magijom	mˈaɡɪjom
istakao	ˈistækˌæo
Objekti	ˈobjektɪ
Petru	pˈɛtɾʊ
probiju	pɾˈobɪjʊ
Korištenje	kˈorɪʃtˌɛɲe
Znajući	znˈɑjʊt͡ɕɪ
poezije	pˈoɛzˌɪje
grančice	ɡɾˈant͡ʃɪt͡sɛ
ekipnim	ˈɛkɪpnɪm
Charlieja	t͡shˈɑrlɪˌejæ
prepoznatljive	pɾˈɛpoznˌætʎɪvɛ
odbrambenih	ˈodbɾæmbˌɛnɪh
Čad	t͡ʃˈad
koncert	kˈont͡sɛrt
Takmičenja	tˈakmɪt͡ʃˌɛɲæ
kršćanski	krʃt͡ɕˈanskɪ
nabor	nˈabor
Sem	sˈɛm
TE	tˈɛ
Halida	xˈalɪdæ
Dijagram	dˈijæɡɾæm
najbolju	nˈɑjboʎʊ
očekivanju	ˈot͡ʃɛkˌɪvæɲʊ
konkurencije	kˈoŋkʊrˌɛnt͡sɪje
ekstremiteta	ˈɛkstɾɛmˌɪtɛtæ
svitak	svˈitæk
evolucija	ˈɛvolˌʊt͡sɪjæ
Mississippi	mˈissɪssˌɪppɪ
kućištu	kˈut͡ɕɪʃtʊ
patentirao	pˈatɛntˌɪræo
Enciklopedija	ˈɛnt͡sɪklˌopɛdˌɪjæ
pojednostavljeni	pˈojednˌostævljˌenɪ
skokovima	skˈokovˌɪmæ
simptomima	sˈimptomˌɪmæ
dovršen	dˈovrʃɛn
sakrije	sˈakɾɪje
naučnoj	nˈaʊt͡ʃnoj
dovoljno	dˈovoʎno
Navaho	nˈavæho
Plutona	plˈutonæ
disanje	dˈisæɲe
pravilne	pɾˈavɪlnɛ
vidni	vˈidnɪ
Biološki	bˈiolˌoʃkɪ
kćerke	kt͡ɕˈɛrkɛ
pobunjenike	pˈobʊɲˌenɪkɛ
zaredom	zˈɑrɛdom
miš	mˈiʃ
Cincinnatiju	t͡sˈint͡sɪnnˌætɪjʊ
Posljednjih	pˈosʎedɲɪh
konvergenciju	kˈonvɛrɡˌɛnt͡sɪjʊ
cijelosti	t͡sˈijelˌostɪ
stranicama	stɾˈanɪt͡sˌæmæ
optužnicu	ˈoptʊʒnˌɪt͡sʊ
močvarama	mˈot͡ʃvɑrˌæmæ
Neke	nˈɛkɛ
etapi	ˈɛtæpɪ
ulazna	ˈulæznæ
izgledala	ˈizɡlɛdˌælæ
arhitektonski	ˈɑrhɪtˌɛktonskɪ
pronađe	pɾˈonæd͡ʑɛ
bojenje	bˈojeɲe
teškoća	tˈɛʃkot͡ɕæ
novinama	nˈovɪnˌæmæ
sekcija	sˈɛkt͡sɪjæ
pomenutog	pˈomɛnˌʊtoɡ
radijus	ɾˈadɪjʊs
dočekan	dˈot͡ʃɛkæn
baza	bˈazæ
Hrane	xɾˈanɛ
nadograditi	nˈadoɡɾˌædɪtɪ
raspravljaju	ɾˈaspɾævljˌɑjʊ
brinuti	bɾˈinʊtɪ
religijom	ɾˈɛlɪɡˌɪjom
standardni	stˈandɑrdnɪ
zamjenom	zˈamjenom
Ethernet	ˈɛthɛrnɛt
glumačka	ɡlˈumæt͡ʃkæ
podnese	pˈodnɛsɛ
Yarra	jˈɑrræ
Maria	mˈɑrɪæ
promatrača	pɾˈomætɾˌæt͡ʃæ
stradanja	stɾˈadæɲæ
krivice	kɾˈivɪt͡sɛ
Novo	nˈovo
zaključilo	zˈakʎʊt͡ʃˌɪlo
sljedbenicima	sʎˈedbɛnˌɪt͡sɪmæ
povećaju	pˈovɛt͡ɕˌɑjʊ
obavili	ˈobævˌɪlɪ
poruku	pˈorʊkʊ
inovacije	ˈinovˌæt͡sɪje
predhodno	pɾˈɛthodno
korijenski	kˈorɪjˌenskɪ
komentare	kˈomɛntˌɑrɛ
privremeni	pɾˈivɾɛmˌɛnɪ
grofa	ɡɾˈofæ
grube	ɡɾˈubɛ
Maleziji	mˈalɛzˌɪjɪ
čaršija	t͡ʃˈɑrʃɪjæ
grančica	ɡɾˈant͡ʃɪt͡sæ
shemu	shˈɛmʊ
pridružile	pɾˈidɾʊʒˌɪlɛ
Vrijednosti	vɾˈijednˌostɪ
zabavnog	zˈabævnoɡ
laboratorijski	lˈaborˌætorˌɪjskɪ
rezanje	ɾˈɛzæɲe
Lola	lˈolæ
uočiti	ˈuot͡ʃˌɪtɪ
ljubavnikom	ʎˈubævnˌɪkom
Jacku	jˈat͡skʊ
kontrolisao	kˈontɾolˌɪsæo
saradnja	sˈɑrædɲæ
izdanju	ˈizdæɲʊ
Srbiji	srbˈijɪ
Narodnog	nˈɑrodnoɡ
skinuti	skˈinʊtɪ
uobičajen	ˈuobˌɪt͡ʃɑjen
izvjesne	ˈizvjesnɛ
So	sˈo
stajala	stˈɑjælæ
špekulacija	ʃpˈɛkʊlˌæt͡sɪjæ
vješanjem	vjˈeʃæɲem
Direktno	dˈirɛktno
podigla	pˈodɪɡlæ
jugu	jˈuɡʊ
stimulaciju	stˈimʊlˌæt͡sɪjʊ
ultraljubičastog	ˈultɾæʎˌʊbɪt͡ʃˌæstoɡ
FIA	fˈiæ
resursa	ɾˈɛsʊrsæ
trenerom	tɾˈɛnɛrom
Richie	ɾˈit͡shɪɛ
neželjeni	nˈɛʒɛʎˌenɪ
kip	kˈip
magazina	mˈaɡæzˌɪnæ
Owen	ˈovɛn
Umjetnik	ˈumjetnɪk
nivoima	nˈivoˌɪmæ
slavljen	slˈavljen
studiranje	stˈudɪrˌæɲe
ulicama	ˈulɪt͡sˌæmæ
izvornih	ˈizvornɪh
uobičajeno	ˈuobˌɪt͡ʃɑjˌeno
straha	stɾˈahæ
izučava	ˈizʊt͡ʃˌævæ
stepenište	stˈɛpɛnˌɪʃtɛ
Prost	pɾˈost
Novog	nˈovoɡ
prirodnu	pɾˈirodnʊ
metalu	mˈɛtælʊ
konkurent	kˈoŋkʊrɛnt
Sweet	svˈɛɛt
registracije	ɾˈɛɡɪstɾˌæt͡sɪje
izvorna	ˈizvornæ
Edo	ˈɛdo
dodatna	dˈodætnæ
Djelimično	djˈelɪmˌɪt͡ʃno
nogometnu	nˈoɡomˌɛtnʊ
mokraća	mˈokɾæt͡ɕæ
klimom	klˈimom
rođenje	ɾˈod͡ʑɛɲe
onako	ˈonæko
radara	ɾˈadɑræ
ubjedljivo	ˈubjedʎˌɪvo
potomci	pˈotomt͡sɪ
