vedeckému	vˈedʲet͡skˌeːmu
Výplň	vˈiːpl̩ɲ
Dalsia	dˈalsia
Banskobystrický	bˈanskobˌistrit͡skiː
peripetiách	pˈeripˌetʲiaːx
turnajoch	tˈurnajox
Hore	hˈore
kyslo	kˈislo
Acana	ˈat͡sana
oceľové	ˈot͡seʎˌoveː
nepísaným	ɲˈepiːsˌaniːm
plamene	plˈameɲe
dedovia	dʲˈedovia
skolaudovaný	skˈolaˌudovˌaniː
prezidenti	prˈezidˌentʲi
Iveco	ˈivet͡so
dedičstva	dʲˈedʲit͡ʃstva
k	kˈaː
Brexit	brˈeksit
darom	dˈarom
rožky	rˈoʃki
poprosím	pˈoprosiːm
bezhotovostné	bˈeshotˌovostneː
špicu	ʃpˈit͡su
udeleného	ˈudʲelˌeneːho
saVitajte	savˈitajtʲe
bezdrôtového	bˈezdruˌotovˌeːho
klikni	klˈikɲi
schodísk	sxˈodʲiːsk
Kudlička	kˈudlit͡ʃka
etikety	ˈetikˌeti
niektorým	ɲiˈektoriːm
Olympus	ˈolimpus
okrúhlym	ˈokruːhlim
Maska	mˈaska
mesačník	mˈesat͡ʃɲiːk
Sade	sˈade
kreatínu	krˈeatʲˌiːnu
atraktívny	ˈatraktʲˌiːvni
hlohu	hlˈohu
cezo	t͡sˈezo
ohrozoval	ˈohrozˌoval
spolupráca	spˈoluprˌaːt͡sa
Bárta	bˈaːrta
NÁBYTOK	nˈaːbitok
privlastniť	prˈiwlastɲitʲ
Lucznik	lˈud͡ʑzɲik
formulárov	fˈormulˌaːrow
lámal	lˈaːmal
Celkový	t͡sˈelkoviː
dodatocne	dˈodatˌot͡sɲe
unesie	ˈuɲesie
Pohári	pˈohaːri
Hehe	hˈehe
Universal	ˈunivˌersal
Mna	mnˈa
učím	ˈut͡ʃiːm
sústredení	sˈuːstredʲˌeɲiː
Komfortné	kˈomfortneː
dávaj	dˈaːvaj
pneumatík	pɲˈeumˌatʲiːk
protihodnotu	prˈotʲihˌodnotu
asistovali	ˈasistˌovali
Sedačky	sˈedat͡ʃki
iniciátorom	ˈinit͡sˌiaːtˌorom
automobilku	ˈautˌomobˌilku
módnym	mˈoːdnim
zaujímavosť	zˈaujˌiːmavostʲ
think	thˈiŋk
počínal	pˈot͡ʃiːnal
vlasti	vlˈastʲi
namočte	nˈamot͡ʃtʲe
Cajon	t͡sˈajon
fitka	fˈitka
dopadnú	dˈopadnuː
cerveny	t͡sˈerveni
zvládali	zvlˈaːdali
Astane	ˈastaɲe
Vettela	vˈettʲela
zmažem	zmˈaʒem
členským	t͡ʃlˈenskiːm
dolinách	dˈolinaːx
Nesnažte	ɲˈesnaʃtʲe
urèite	ˈureˌitʲe
bezbolestné	bˈezbolˌestneː
kandidátmi	kˈandʲidˌaːtmi
patentovať	pˈatentˌovatʲ
opravách	ˈopravaːx
masáží	mˈasaːʒiː
zavedenia	zˈavedʲˌeɲia
tranzitu	trˈanzitu
plemenom	plˈemenom
fakultaKatedra	fˈakultakˈatedra
Strieborný	striˈeborniː
šiltovky	ʃˈiltowki
zraniteľnosť	zrˈaɲitʲˌeʎnostʲ
parfémy	pˈarfeːmi
rozvíjajú	rˈozviːjˌajuː
nakrájajte	nˈakraːjˌajtʲe
znejúce	zɲˈejuːt͡se
Radničnom	rˈadɲit͡ʃnom
Rolanda	rˈolanda
snažiť	snˈaʒitʲ
nadnárodných	nˈadnaːrˌodniːx
predvolanie	prˈedvolˌaɲie
začiatočníkov	zˈat͡ʃiˌatot͡ʃɲˌiːkow
uniforiem	ˈunifˌoriem
zvýhodňovanie	zvˈiːhodɲˌovaɲie
popasovali	pˈopasˌovali
podáme	pˈodaːme
drogovú	drˈoɡovuː
túžim	tˈuːʒim
náramky	nˈaːramki
začleniť	zˈat͡ʃleɲitʲ
Pokúsime	pˈokuːsˌime
interiérových	ˈinterˌieːrˌoviːx
zviera	zviˈera
zaťažované	zˈatʲaʒˌovaneː
doménou	dˈomeːno͡ʊ
Pasienkoch	pˈasiˌeŋkox
stredovek	strˈedovek
sklzu	skˈl̩zu
starostom	stˈarostom
kamarátiť	kˈamarˌaːtʲitʲ
topoľčianskej	tˈopoʎt͡ʃiˌanskej
príde	prˈiːdʲe
cisterny	t͡sˈisterni
TIP	tʲˈip
popreli	pˈopreli
dokladmi	dˈokladmi
Víťazmi	vˈiːtʲazmi
zisteniu	zˈistʲeɲiu
ručiteľa	rˈut͡ʃitʲˌeʎa
uhlu	ˈuhlu
Čiže	t͡ʃˈiʒe
agresivity	ˈaɡresˌiviti
obľúbení	ˈobʎuːbˌeɲiː
Folklórny	fˈolkloːrni
diaľnica	diˈaʎɲit͡sa
požiadaviek	pˈoʒiˌadaviek
aktivovať	ˈaktivˌovatʲ
predného	prˈedneːho
morálka	mˈoraːlka
jachte	jˈaxtʲe
Satelitná	sˈatʲelˌitnaː
Dovod	dˈovot
riadiaci	riˈadʲiˌat͡si
Taiwan	tˈaivan
pozerala	pˈozerˌala
obehové	ˈobehˌoveː
historickému	hˈistorˌit͡skeːmu
zistili	zˈistʲili
podhorské	pˈothorskeː
poschodová	pˈosxodˌovaː
Štefana	ʃtʲˈefana
svedkovia	svˈetkovia
Hudec	hˈudʲet͡s
Trumpa	trˈumpa
poplatkom	pˈoplatkom
televízory	tˈelevˌiːzori
zopakuje	zˈopakˌuje
koncesie	kˈont͡sesie
vyčísliť	vˈit͡ʃiːslitʲ
vnútorné	vnˈuːtorneː
výcvikovej	vˈiːt͡svikˌovej
pružnejšie	prˈuʒɲejʃie
trénerom	trˈeːnerom
informácieOchrana	ˈinformˌaːt͡sieˈoxrana
tiez	tʲiˈes
kina	kˈina
roh	rˈox
Krátky	krˈaːtki
susednými	sˈusednˌiːmi
refrén	rˈefreːn
presmerovaný	prˈesmerˌovaniː
spontánnych	spˈontaːnnix
muz	mˈus
nezamestnanosti	ɲˈezamˌestnanˌostʲi
Nádoby	nˈaːdobi
namahu	nˈamahu
ŠPÚ	ʃpˈuː
kľud	kʎˈut
rozsahu	rˈossahu
propagátor	prˈopaɡˌaːtor
nešťastia	ɲˈeʃtʲastʲia
zbrojenie	zbrˈojeɲie
reziva	rˈeziva
Bani	bˈaɲi
November	nˈovember
inovátorov	ˈinovˌaːtorow
ušetrilo	ˈuʃetrˌilo
Evanjelista	ˈevanjˌelista
kotúč	kˈotuːt͡ʃ
opony	ˈoponi
prenosný	prˈenosniː
postave	pˈostave
nabíjacieho	nˈabiːjˌat͡siˌeho
prestavba	prˈestawba
vydaná	vˈidanaː
popise	pˈopise
symptómy	sˈimptoːmi
ležala	lˈeʒala
kapucňou	kˈaput͡sɲo͡ʊ
Riadiť	riˈadʲitʲ
záľuby	zˈaːʎubi
opierok	ˈopiˌerok
etikiet	ˈetikiet
využívať	vˈiuʒˌiːvatʲ
odobratej	ˈodobrˌatej
odsťahoval	ˈotstʲahˌoval
Jones	jˈoɲes
takému	tˈakeːmu
Šebo	ʃˈebo
Rajec	rˈajet͡s
dialógov	diˈaloːɡow
oáze	ˈoaːze
sáčku	sˈaːt͡ʃku
palety	pˈaleti
Komercia	kˈomert͡sia
svine	svˈiɲe
hrazdy	hrˈazdi
vyhlásil	vˈihlaːsil
OSN	ˈosn
spontánneho	spˈontaːnnˌeho
hotelyCestopisy	hˈotelit͡sˈestopˌisi
bytoch	bˈitox
ústretoví	ˈuːstretˌoviː
očkované	ˈot͡ʃkovˌaneː
nezískajú	ɲˈeziːskˌajuː
prijímaných	prˈijiːmˌaniːx
teplotách	tʲˈeplotaːx
konkurent	kˈoŋkurent
vosku	vˈosku
dávku	dˈaːwku
preletu	prˈeletu
linoleum	lˈinolˌeum
záväzok	zˈaːvezok
dokázala	dˈokaːzˌala
Červeného	t͡ʃˈervenˌeːho
kvalifikovaná	kvˈalifˌikovˌanaː
Stanovy	stˈanovi
vyhráža	vˈihraːʒa
zastrelili	zˈastrelˌili
grafika	ɡrˈafika
MAGNUS	mˈaɡnus
opravdivej	ˈoprawdʲˌivej
lepku	lˈepku
chránenou	xrˈaːɲeno͡ʊ
Štubňa	ʃtˈubɲa
Aplikácie	ˈaplikˌaːt͡sie
neoprávnenému	ɲˈeoprˌaːvɲenˌeːmu
predídete	prˈediːdʲˌetʲe
pochádzala	pˈoxaːd͡ʑˌala
premýšľala	prˈemiːʃʎˌala
Ropný	rˈopniː
zhodnotil	shˈodnotʲil
Zmenil	zmˈeɲil
slovníku	slˈovɲiːku
loví	lˈoviː
nevídaným	ɲˈeviːdˌaniːm
Mitchell	mˈitxell̩
zdravy	zdrˈavi
Plemeno	plˈemeno
živly	ʒˈiwli
utrite	ˈutritʲe
spoluautor	spˈoluˌautor
výbor	vˈiːbor
zhrozený	shrˈozeniː
Anti	ˈanti
krátkom	krˈaːtkom
vrabce	vrˈapt͡se
írske	ˈiːrske
irónia	ˈiroːɲia
zabezpečenie	zˈabespˌet͡ʃeɲie
Venujte	vˈenujtʲe
Nedeľu	ɲˈedʲeʎu
Šarišskej	ʃˈariʃskej
podhubie	pˈothubie
štýle	ʃtˈiːle
kopaniciach	kˈopaɲˌit͡siax
zásadná	zˈaːsadnaː
delfínov	dʲˈelfiːnow
Muscle	mˈust͡sle
zrušeniu	zrˈuʃeɲiu
keďže	kˈedʲʒe
posedeli	pˈosedʲˌeli
kontrakcií	kˈontrakt͡sˌiiː
domčekom	dˈomt͡ʃekom
úspor	ˈuːspor
odviezli	ˈodviˌezli
početnosť	pˈot͡ʃetnostʲ
východnom	vˈiːxodnom
tenkú	tʲˈeŋkuː
výučby	vˈiːud͡ʒbi
prototyp	prˈototip
nepochádza	ɲˈepoxˌaːd͡ʑa
listnaté	lˈistnateː
activated	ˈat͡stʲivˌatʲet
bohoslužieb	bˈohoslˌuʒiep
Sveťo	svˈetʲo
klesla	klˈesla
PLAST	plˈast
ïalšie	iˈalʃie
rozdávajú	rˈozdaːvˌajuː
slovenských	slˈovenskiːx
masovej	mˈasovej
Bifokálne	bˈifokˌaːlɲe
výnosnosti	vˈiːnosnˌostʲi
hriešnym	hriˈeʃnim
programové	prˈoɡramˌoveː
prísavky	prˈiːsawki
zlyháva	zlˈihaːva
Celkové	t͡sˈelkoveː
detoxikácia	dʲˈetoksˌikaːt͡sia
tepelnou	tʲˈepelno͡ʊ
HEPY	hˈepi
Peugeot	pˈeuɡˌeot
Turnaja	tˈurnaja
dehydratácii	dʲˈehidrˌataːt͡sˌii
desiatkach	dʲˈesiˌatkax
kamošmi	kˈamoʃmi
nežil	ɲˈeʒil
hroziť	hrˈozitʲ
ciferníkom	t͡sˈiferɲˌiːkom
chemickými	xˈemit͡skˌiːmi
excelentnosti	ˈekst͡selˌentnostʲi
polície	pˈoliːt͡sie
ranky	rˈaŋki
Frozen	frˈozen
priemer	priˈemer
poznávanie	pˈoznaːvˌaɲie
ponúknutá	pˈonuːknˌutaː
medzinárodným	mˈed͡ʑinˌaːrodniːm
astronóm	ˈastronoːm
potravinou	pˈotravˌino͡ʊ
Airbus	ˈairbus
hrdý	hˈr̩diː
Presnú	prˈesnuː
pesimizmus	pˈesimˌizmus
partizánskeho	pˈartizˌaːnskeho
iNELS	ˈiːɲˈels
hoďte	hˈotʲtʲe
podnecovať	pˈodɲet͡sˌovatʲ
stratég	strˈateːk
Noviny	nˈovini
STUDIO	stˈudio
autoritatívne	ˈautˌoritˌatiːvɲe
mojím	mˈojiːm
splácaním	splˈaːt͡saɲiːm
účinnejšia	ˈuːt͡ʃinɲˌejʃia
sochára	sˈoxaːra
part	pˈart
Medera	mˈedʲera
Kapitalizmus	kˈapitˌalizmus
pestovať	pˈestovatʲ
pesticídov	pˈestit͡sˌiːdow
zaleje	zˈaleje
manévrov	mˈaneːvrow
Orbán	ˈorbaːn
protiľahlej	prˈotʲiʎˌahlej
aspekte	ˈaspektʲe
zareagovala	zˈareˌaɡovˌala
prehľadávača	prˈehʎadˌaːvat͡ʃa
absurdná	ˈapsurdnaː
plavidiel	plˈavidʲiel
Panorama	pˈanorˌama
útulnú	ˈuːtulnuː
bleskovo	blˈeskovo
vznikajúce	vzɲˈikajˌuːt͡se
Podzemné	pˈod͡ʑemneː
hody	hˈodi
letného	lˈetneːho
Sniper	sɲˈiper
dlhová	dˈl̩hovaː
zástavy	zˈaːstavi
stavebnica	stˈavebɲˌit͡sa
Spasiteľovi	spˈasitʲˌeʎovi
zahynuli	zˈahinˌuli
Factory	fˈat͡stori
mravenisko	mrˈaveɲˌisko
Evka	ˈewka
obetí	ˈobetʲiː
musli	mˈusli
ubytovaní	ˈubitˌovaɲiː
Väčšine	vˈet͡ʃʃiɲe
môjho	mˈuojho
s	ˈes
Bohatstvo	bˈohatstvo
PVC	pˈeːvˌeːt͡sˌeː
pecou	pˈet͡so͡ʊ
definícií	dˈefinˌiːt͡siiː
rady	rˈadi
dekoratívnym	dˈekorˌatiːvnim
odkúpenie	ˈotkuːpˌeɲie
skrytý	skrˈitiː
atraktívnu	ˈatraktʲˌiːvnu
rozčesávanie	rˈost͡ʃesˌaːvaɲie
Humennom	hˈumennom
teším	tʲˈeʃiːm
Echinacea	ˈexinˌat͡sea
zdržiavať	zdˈr̩ʒiˌavatʲ
Minimálna	mˈinimˌaːlna
polohovať	pˈolohˌovatʲ
krízy	krˈiːzi
Pripravíme	prˈipravˌiːme
Hop	hˈop
Auparku	ˈaupˌarku
dvanástej	dvˈanaːstej
Brisbane	brˈizbaɲe
nejasný	ɲˈejasniː
Kaiser	kˈaiser
Minuloročné	mˈinulˌorot͡ʃneː
núdznych	nˈuːd͡ʑnix
balkon	bˈalkon
informovala	ˈinformˌovala
Wellness	vˈell̩ɲess
odlišnosti	ˈodliʃnˌostʲi
nepotreboval	ɲˈepotrˌeboval
vážia	vˈaːʒia
pevným	pˈevniːm
škandál	ʃkˈandaːl
hvezdáreň	hvˈezdaːreɲ
slizu	slˈizu
vyrovnanej	vˈirovnˌaɲej
Kohútik	kˈohuːtik
zatvárať	zˈatvaːratʲ
Nemozem	ɲˈemozem
vodárenská	vˈodaːrˌenskaː
pouličného	pˈo͡ʊlit͡ʃnˌeːho
nasýti	nˈasiːtʲi
Marián	mˈariaːn
predbiehajú	prˈedbiˌehajuː
platil	plˈatʲil
vycestovať	vˈit͡sestˌovatʲ
netešil	ɲˈetʲeʃil
ekologickejšie	ˈekolˌoɡit͡skˌejʃie
vysvitlo	vˈisvitlo
kamzíkov	kˈamziːkow
snímky	sɲˈiːmki
apartmány	ˈapartmˌaːni
detektíva	dˈetektˌiːva
obedov	ˈobedow
dámy	dˈaːmi
podobenstve	pˈodobˌenstve
chovateľov	xˈovatʲˌeʎow
rezignovať	rˈeziɡnˌovatʲ
literárnom	lˈiterˌaːrnom
Jet	jˈet
zrekonštruovať	zrˈekonʃtrˌuovatʲ
chuťovo	xˈutʲovo
buducnosti	bˈudut͡snˌostʲi
ľudom	ʎˈudom
žiadame	ʒiˈadame
neposkytujú	ɲˈeposkˌitujuː
izraelských	ˈizraˌelskiːx
prácewww	prˈaːt͡sewvv
publikačnú	pˈublikˌat͡ʃnuː
odpadovom	ˈotpadˌovom
poslušný	pˈosluʃniː
kolísanie	kˈoliːsˌaɲie
spravodlivého	sprˈavodlˌiveːho
prebiehali	prˈebiˌehali
ozvučenia	ˈozvut͡ʃˌeɲia
vrážd	vrˈaːʃt
Každých	kˈaʒdiːx
home	hˈome
Hnev	hɲˈew
HDPE	htpˈe
Bresser	brˈesser
Inovovaná	ˈinovˌovanaː
poznámok	pˈoznaːmok
predražených	prˈedraʒˌeniːx
marcových	mˈart͡soviːx
Životopis	ʒˈivotˌopis
otočená	ˈotot͡ʃˌenaː
najobľúbenejšou	nˈajobʎˌuːbeɲˌejʃo͡ʊ
prestížnych	prˈestʲiːʒnix
vyplnit	vˈipl̩ɲit
Odpor	ˈotpor
nebeskému	ɲˈebeskˌeːmu
Skupinka	skˈupiŋka
Najčítanejšie	nˈajt͡ʃiːtˌaɲejʃie
ideológii	ˈideˌoloːɡˌii
navštevovali	nˈawʃtʲevˌovali
naštastie	nˈaʃtastʲie
nevhodná	ɲˈewhodnaː
Silikónové	sˈilikˌoːnoveː
Tvojim	tvˈojim
svetelnej	svˈetʲelnej
Uvedomme	ˈuvedˌomme
zásielky	zˈaːsiˌelki
atómov	ˈatoːmow
trocha	trˈoxa
autobusová	ˈautˌobusˌovaː
štíhleho	ʃtʲˈiːhleho
zámienkou	zˈaːmiˌeŋko͡ʊ
ISTP	ˈistp
predo	prˈedo
vyslaní	vˈislaɲiː
imigrantom	ˈimiɡrˌantom
Vašu	vˈaʃu
Freedom	frˈeedom
dvíhať	dvˈiːhatʲ
Domácnosť	dˈomaːt͡snostʲ
Likvidácie	lˈikvidˌaːt͡sie
pokynoch	pˈokinox
príslušníkmi	prˈiːsluʃɲˌiːkmi
normám	nˈormaːm
osí	ˈosiː
doplnili	dˈopl̩ɲˌili
pošlete	pˈoʃletʲe
Pracovnej	prˈat͡sovnej
Sedí	sˈedʲiː
Ovečkin	ˈovet͡ʃkin
deformáciu	dˈeformˌaːt͡siu
agentúre	ˈaɡentˌuːre
šteňa	ʃtʲˈeɲa
LÁSKA	lˈaːska
vezme	vˈezme
mladej	mlˈadej
Carrie	t͡sˈarie
rozhodol	rˈoshodol
konaniu	kˈonaɲiu
zvláštne	zvlˈaːʃtɲe
Kaviareň	kˈaviˌareɲ
brehov	brˈehow
zakaznik	zˈakazɲik
Najlacnejšia	nˈajlat͡sɲˌejʃia
hybridných	hˈibridniːx
cenách	t͡sˈenaːx
transparentného	trˈansparˌentneːho
stanoveného	stˈanovˌeneːho
nadnes	nˈadɲes
pyšná	pˈiʃnaː
noviciátu	nˈovit͡sˌiaːtu
dominovala	dˈominˌovala
poradenstvu	pˈoradˌenstvu
pralesov	prˈalesow
získate	zˈiːskatʲe
Dánska	dˈaːnska
študentovi	ʃtˈudentˌovi
roľníckeho	rˈoʎɲiːt͡skˌeho
spomínate	spˈomiːnˌatʲe
Galérie	ɡˈaleːrie
roztrhlo	rˈostr̩hlo
Šarišský	ʃˈariʃskiː
vlásky	vlˈaːski
Tanec	tˈaɲet͡s
cukrárni	t͡sˈukraːrɲi
nájomcov	nˈaːjomt͡sow
ďakuje	dʲˈakuje
zákazníci	zˈaːkazɲˌiːt͡si
neprípustný	ɲˈepriːpˌustniː
lokalitách	lˈokalˌitaːx
hladní	hlˈadɲiː
postupov	pˈostupow
končili	kˈont͡ʃili
Urcite	ˈurt͡sitʲe
BKI	pkˈi
primárny	prˈimaːrni
trosku	trˈosku
zveľadiť	zvˈeʎadʲitʲ
zišlo	zˈiʃlo
chladivé	xlˈadʲiveː
ohromný	ˈohromniː
rybiek	rˈibiek
Vystúpili	vˈistuːpˌili
zvieraťu	zviˈeratʲu
neporušil	ɲˈeporˌuʃil
Collection	t͡sˈollet͡stʲˌion
arabské	ˈarapskeː
vločka	vlˈot͡ʃka
nadzemných	nˈad͡ʑemniːx
Contact	t͡sˈontat͡st
manažmentu	mˈanaʒmˌentu
nastavia	nˈastavia
porúčal	pˈoruːt͡ʃal
Berg	bˈerk
Giulia	ɡiˈulia
známymi	znˈaːmimi
preberú	prˈeberuː
nastaveniu	nˈastavˌeɲiu
popredného	pˈoprednˌeːho
administrátorom	ˈadminˌistraːtˌorom
Centru	t͡sˈentru
cirkevnú	t͡sˈirkevnuː
prejazd	prˈejast
dočká	dˈot͡ʃkaː
demokrat	dʲˈemokrat
národa	nˈaːroda
vzdialení	vzdʲiˈaleɲiː
Nikomu	ɲˈikomu
mno¾stvom	mnˈotrˈiʃtvˈr̩tʲinistvˈom
dodávaný	dˈodaːvˌaniː
filmovú	fˈilmovuː
nevzniká	ɲˈewzɲikaː
festivaloch	fˈestʲivˌalox
výrezy	vˈiːrezi
láskyplné	lˈaːskipˌl̩neː
TripAdvisor	trˈipˈadvisor
Anka	ˈaŋka
maturite	mˈaturˌitʲe
základovej	zˈaːkladˌovej
Učia	ˈut͡ʃia
prevádzkovateľa	prˈevaːt͡skˌovatʲˌeʎa
Yuasa	ˈiuˌasa
fan	fˈan
scenérii	st͡sˈeneːrˌii
pripomenul	prˈipomˌenul
Rad	rˈat
blokom	blˈokom
zídu	zˈiːdu
skladateľa	sklˈadatʲˌeʎa
zmiznúť	zmˈiznuːtʲ
vitálna	vˈitaːlna
Kočík	kˈot͡ʃiːk
zamestnaní	zˈamestnˌaɲiː
nežiaduce	ɲˈeʒiˌadut͡se
Bajkal	bˈajkal
montérky	mˈonteːrki
horké	hˈorkeː
ska	skˈa
vypočuté	vˈipot͡ʃˌuteː
Investičné	ˈinvestˌit͡ʃneː
zabezpečoval	zˈabespˌet͡ʃoval
reproduktoru	rˈeprodˌuktoru
stretko	strˈetko
stratena	strˈatʲena
paralelný	pˈaralˌelniː
Schôdze	sxˈuod͡ʑe
predmetových	prˈedmetˌoviːx
Dediny	dʲˈedʲini
Gal	ɡˈal
nadobudlo	nˈadobˌudlo
rečí	rˈet͡ʃiː
Danube	dˈanube
istenie	ˈistʲeɲie
DL	dˈeːˌel
Plusom	plˈusom
inzerátyPredaj	ˈinzerˌaːtiprˈedaj
EPP	ˈepp
Zbraň	zbrˈaɲ
lietať	liˈetatʲ
rebríky	rˈebriːki
kopnúť	kˈopnuːtʲ
Poniektorí	pˈoɲiˌektoriː
zaliata	zˈaliˌata
lôžkové	lˈuoʃkˌoveː
štandardne	ʃtˈandardɲe
Limit	lˈimit
varia	vˈaria
