heroic	eɾɔjk
ocultat	okultat
lesionada	lezionada
titulares	titulaɾəs
quedar	kedaɾ
pollancre	poʎaŋkɾe
bilingüe	biliŋɡwe
remarcats	rəmərkats
abdominal	əbduminal
abraçares	əbɾəsaɾəs
acuses	akuzes
confeccionades	kumfəksiunadəs
reunit	rəunit
desconfiat	deskomfiat
queixada	kejʃada
universalitat	unibərsəlitat
guardat	ɡwərdat
vigorosament	viɡoɾozament
capolar	kapolaɾ
entronitzats	entɾonizats
cuneïforme	kuneifoɾme
baixar	bəʃa
vicent	visɛnt
indignitat	indiɡnitat
ronronejat	runrunəʒat
vocàlics	vokaliks
ornamentada	urnəməntadə
dietètiques	diətətikəs
imperatius	impeɾatiws
regirar	rəʒiɾa
restat	rəstat
acoblada	əkubladə
dors	doɾs
vessant	bəsan
consell	konsəʎ
connotada	konnotada
participats	paɾtisipats
espaventats	əspəvəntats
xafarotejada	t͡ʃafaɾoted͡ʒada
rodolades	rodoladəs
comunicació	komunikasio
evasió	əvəzio
xocolatina	t͡ʃokolatina
descoratjades	dəskuɾəd͡ʒadəs
anotar	ənota
metatarsiana	metataɾsiana
maça	masa
aliats	əliats
dialectal	dialektal
coronar	kuɾuna
inquietades	iŋkietades
rastre	rastɾə
caritatives	kaɾitatives
centredreta	sentɾedɾeta
arrestat	arestat
xatejat	ʃətəʒat
designat	dəziɡnat
digitats	diʒitats
abolicionistes	abolisionistes
macedonians	məsədunians
capicua	kapikua
frança	fɾansə
germinals	d͡ʒeɾminals
vori	vɔɾi
tassa	tasa
filmat	filmat
simplificava	simplifikabə
aglomerat	əɡluməɾat
barbar	bəɾba
xic	ʃik
lausana	lawzana
rizoma	rizoma
pessigats	pəsiɡats
botifarrons	botifərons
porta	pɔɾta
diplomàcia	diplumasiə
apol·lini	əpullini
sistèmic	sistɛmik
abaixaria	abajʃaɾia
xuts	ʃuts
ametller	əməʎʎe
granotot	ɡɾənotɔt
comparació	kompəɾəsio
adonis	adɔnis
sufraganis	sufɾəɡanis
polaritzada	poləɾid͡zadə
liderades	lidəɾadəs
vulcanització	bulkənid͡zəsio
bacallans	bakaʎans
determinàrem	dətərminaɾəm
kenya	kəniə
eludides	əludidəs
arremolinat	ərəmulinat
positiva	pozitivə
grinyolar	ɡɾiɲolaɾ
inhumades	inumadəs
parleu	pəɾləw
préssec	pɾesək
centenar	sentenaɾ
belats	belats
agonitzant	əɡunid͡zan
perfecta	pəɾfɛktə
cartró	kəɾtɾo
contingudes	kontiŋɡudes
espolsada	əspulsadə
coem	koəm
precedí	pɾesedi
restaurares	rəstəwɾaɾəs
embarcació	əmbəɾkəsio
acompanyar	akompaɲaɾ
premio	pɾəmio
banc	baŋk
aflorades	əfluɾadəs
quemaco	kəmaku
plastificada	pləstifikadə
governava	ɡoveɾnava
bordat	burdat
cuidava	kujdabə
entesa	enteza
dissecava	disəkavə
embridats	embɾidats
coreografiat	kuɾəuɡɾəfiat
rebolcats	rəbulkats
xalada	ʃəladə
perilè	pəɾilɛ
convidar	komvida
vacil·lades	vasillades
descartats	deskaɾtats
harmònic	əɾmɔnik
xafarder	t͡ʃafaɾdeɾ
assolellades	əsuləʎadəs
germanastra	ʒərmənastɾə
got	ɡɔt
aclames	əklaməs
agregava	aɡɾeɡava
duna	duna
fàbrica	fabɾika
alcaravia	əlkəɾəviə
amistat	əmistat
curat	kuɾat
saturares	satuɾaɾes
canviable	kəmviablə
inspirades	inspiɾades
abusiu	abuziw
vedat	vədat
nebulós	nebulos
barat	bəɾat
albacetenyes	əlbəsəteɲəs
propiciades	pɾopisiadəs
anguila	əŋɡilə
orares	oɾaɾes
nasalitzada	nəzəlid͡zadə
anà	ana
omeses	umɛzəs
percepció	peɾsepsio
casi	kazi
arrestava	ərəstabə
setembre	sətembɾə
assaborides	əsəbuɾidəs
catalitzats	katalizats
duració	duɾəsio
impaciència	impasiɛnsia
endocarditis	əndokəɾditis
fonamental	fonamental
impreses	impɾezes
alineada	alineada
procedida	pɾusədidə
adiu	ədiw
dolgudes	dolɡudes
cuny	kuɲ
vital	bital
transgenerisme	tɾanzd͡ʒeneɾizme
apostatat	əpustətat
fats	fats
camió	kəmio
maldades	məldadəs
nedar	nedaɾ
regulo	rəɡulo
dispersos	dispɛrsus
franja	fɾaɲd͡ʒa
enterbolides	əntərbulidəs
massejada	mased͡ʒada
altai	əltaj
abeurats	əbəwɾats
continuada	kuntinuadə
millorar	miʎoɾaɾ
lesionats	lezionats
incapacitat	iŋkəpəsitat
barbut	baɾbut
refrescats	rəfɾəskats
duplicada	duplikadə
intercessor	intəɾsəso
trillat	tɾiʎat
botem	botem
associades	asosiades
entronitzat	əntɾunid͡zat
milionèsima	milionəzimə
glúcid	ɡlusit
motllurades	molluɾadəs
pelegrina	pələɡɾinə
àcid	asit
mantinguda	mantiŋɡuda
acusava	akuzava
piulada	piwlada
especificació	əspəsifikəsio
cantons	kantons
diaconat	diakonat
mandarines	məndəɾinəs
mal	mal
anomenat	ənomənat
danyada	daɲada
dinada	dinada
mortifico	murtifiku
cullera	kuʎeɾə
correcció	koreksio
sigudes	siɡudes
dilluns	diʎuns
ardent	ərden
fotovoltaic	futubultajk
llepades	ʎəpadəs
preservat	pɾezeɾvat
anaves	anaves
reuní	rəuni
esmenades	ezmenades
aparcament	əpərkəmen
impediria	impediɾia
nuesa	nuəzə
inapagable	inəpəɡablə
content	kunten
fundadora	fundədoɾə
butaca	butakə
desencadenar	dəzəŋkədəna
gemegat	ʒəməɡat
desbocat	dəzbokat
executades	eɡzekutades
dessagnada	desaɡnada
alletant	aʎetant
inaplicable	inaplikable
descendit	desendit
tirada	tiɾadə
esquiar	əskia
enfundades	emfundades
escandalosa	əskəndəlozə
fotòmetre	fotɔmətɾə
guardiola	ɡwaɾdiɔla
fallar	faʎaɾ
prevenir	pɾəbəni
llavor	ʎəbo
mitològica	mitolɔd͡ʒika
estalviat	əstəlbiat
figuro	fiɡuɾo
renovats	renovats
afavorides	əfəvuɾidəs
desastroses	dezastɾozes
furat	fuɾat
dirigides	diɾiʒidəs
desistit	dezistit
aïllades	əiʎadəs
portuària	poɾtuaɾia
metformina	metfoɾmina
distret	distɾɛt
educació	edukasio
abominada	əbominadə
persuasiu	pəɾsuəziw
cèrcol	sɛrkul
observador	upsərbədo
abaixades	əbəʃadəs
estiuejat	estiwed͡ʒat
benevolència	bənəbulɛnsiə
castrat	kəstɾat
cremat	kɾemat
adherides	ətəɾidəs
continuaria	kontinuəɾiə
barbamec	bərbəmɛk
relatiu	relatiw
abacials	əbəsials
abstencions	əpstənsions
aparentar	apaɾentaɾ
traïda	tɾəidə
formulats	foɾmulats
arrodonir	əruduni
peritatges	peɾitad͡ʒes
tita	tita
arquer	əɾke
lunar	luna
agosarada	əɡuzəɾadə
deteriorar	dətəɾiuɾa
solell	soləʎ
joia	ʒɔjə
escampades	eskampades
bicampió	bikampio
contagiat	kuntəʒiat
impedir	impediɾ
castellans	kəstəʎans
estàtua	estatua
fascinada	fəsinadə
edifici	ədifisi
estratotip	estɾatotip
anomenar	ənoməna
gramàtica	ɡɾamatika
card	kart
sorpresos	soɾpɾəzos
arxivar	əɾʃiva
terminares	teɾminaɾes
hermètic	əɾmɛtik
retina	rətinə
monologades	monoloɡades
salvades	salvades
fustigar	fustiɡa
farta	faɾtə
restablits	rəstəblits
popularització	populaɾizasio
subjectivada	subd͡ʒektivada
aplaudit	aplawdit
lamentada	lamentada
revelat	revelat
admissibles	ədmisibləs
espatllats	əspəʎʎats
agermanar	ad͡ʒeɾmanaɾ
abusar	əbuza
incomodada	iŋkumudadə
indignats	indiɡnats
ma	ma
modernista	mudərnistə
estudiats	əstudiats
congressista	koŋɡɾəsistə
peroné	pəɾune
profundes	pɾufundəs
estropiades	əstɾupiadəs
democràcia	dəmukɾasiə
copejat	koped͡ʒat
emmalaltit	emmalaltit
conceptualitzat	kunsəptuəlid͡zat
bocarruda	bokaruda
raspats	raspats
foscor	fusko
blaugrana	bləwɡɾanə
novembre	novembɾə
safata	safata
eliminava	əliminavə
tortuga	turtuɡə
arrencada	areŋkada
producció	pɾoduksio
melòdiques	melɔdikes
arpons	əɾpons
biodiversitats	biodivəɾsitats
abatre	əbatɾə
naufragades	nawfɾaɡades
xiulada	ʃiwladə
esbotzats	əzbud͡zats
ofegàvem	ofəɡavəm
garbuix	ɡərbuʃ
viatjada	biəd͡ʒadə
espacial	espasial
feu	few
triomfada	tɾiomfadə
esclavitzada	esklavizada
sobrepassats	subɾəpəsats
escrotal	əskɾutal
venal	bənal
estabilitzats	estabilizats
orelluts	oɾeʎuts
obrada	ubɾadə
fregit	fɾəʒit
corpòria	koɾpɔɾiə
cova	kɔvə
portadora	purtədoɾə
instal·lat	instəllat
nominalitzada	nominalizada
calamarsa	kələmarsə
estrafolària	əstɾəfolaɾiə
propagat	pɾopəɡat
firmament	fiɾmament
verm	bɛrm
finlàndia	finlandiə
català	katala
filipina	filipinə
abstinent	əpstinent
destorbada	dəstoɾbadə
xauarma	ʃəwaɾmə
falta	faltə
tractar	tɾaktaɾ
limitador	limitədo
demanada	dəmənadə
feroesa	fəɾoəzə
garantir	ɡaɾantiɾ
subministrar	subministɾa
arxivant	əɾʃivant
revitalització	rəvitəlid͡zəsio
revolucionari	revolusionaɾi
precisades	pɾesizades
rector	rektoɾ
clàusula	klawzula
renovació	rənovəsio
recomençats	rəkumənsats
pastisser	pəstise
patronatge	pətɾonad͡ʒə
àrea	aɾeə
furgoneta	fuɾɡonətə
barrejats	bared͡ʒats
poetessa	puetɛsə
adiades	ədiadəs
terpinè	tərpinɛ
esbombada	ezbombada
certificades	səɾtifikadəs
agüem	əɡuəm
gestionat	ʒəstionat
vibra	vibɾa
patognòmic	patoɡnɔmik
laïcitzat	ləisid͡zat
cèries	sɛɾiəs
progressats	pɾoɡɾesats
corroïda	koroida
pruïda	pɾuida
fumigada	fumiɡadə
sondejat	sondəʒat
acusem	akuzem
ajustar	əʒusta
narrat	nərat
morfologia	moɾfolod͡ʒia
estalviada	estalviada
colonitzats	kulunid͡zats
participat	paɾtisipat
cens	səns
exorcitzar	eɡzoɾsizaɾ
oint	uin
simplifiques	simplifikes
atles	alləs
dantesques	danteskes
capgirar	kabd͡ʒiɾaɾ
impetrar	impətɾa
balcó	bəlko
jurades	ʒuɾadəs
atzar	ad͡zaɾ
desolat	dəzulat
antàrtic	əntartik
preferiu	pɾefeɾiw
enaiguat	enajɡwat
invertit	imveɾtit
letònia	lətɔniə
trenat	tɾenat
bramat	bɾamat
redundant	redundant
cana	kana
exhaurida	eɡzawɾida
informades	imfoɾmadəs
enutjar	ənud͡ʒa
anglicitzades	aŋɡlisizades
fer	fe
malva	malvə
convertits	komvəɾtits
derivades	dəɾibadəs
decisió	dəsizio
motxilla	mot͡ʃiʎa
arpó	aɾpo
exhauriràs	eɡzawɾiɾas
nomenat	nomenat
procurar	pɾokuɾaɾ
emigració	əmiɡɾəsio
neerlandesos	nəərləndɛzus
fomentat	fomentat
escampat	eskampat
decorat	dəkoɾat
far	far
desconeguts	deskoneɡuts
armat	aɾmat
esment	əzmen
nebulós	nəbulos
compostat	kompostat
valorar	vəloɾa
assassinat	asasinat
peregrinada	pəɾəɡɾinadə
luxúria	luksuɾiə
talats	talats
petat	pətat
ambdós	amdos
acotats	əkutats
tadjik	təd͡ʒik
verola	vəɾɔlə
incontrolada	iŋkontɾolada
carnós	kərnos
grinyolar	ɡɾiɲola
interceptar	intəɾsəpta
abdicació	abdikasio
anomenat	ənumənat
oprimida	opɾimidə
vegetal	vəʒətal
matalaf	mətəlaf
boires	bɔjɾəs
sobrealimentada	subɾeəliməntadə
hipocorístic	ipokuɾistik
relatats	rələtats
emèrita	əmɛɾitə
estoc	estɔk
mosca	moska
utilitzats	utilid͡zats
mineralogia	minəɾəluʒiə
ventrut	ventɾut
parrac	pərak
acabada	əkəbadə
pistatxo	pistat͡ʃo
personalitat	peɾsonalitat
lamentada	ləməntadə
toràcica	tuɾasikə
taxonòmiques	təksonɔmikəs
sorprès	soɾpɾes
canvia	kəmviə
càndids	kandits
preocupat	pɾeokupat
frenètica	fɾənɛtikə
polititzats	politid͡zats
deshumanitzades	dəsumənid͡zadəs
digestió	diʒəstio
importat	impurtat
caracteritzat	kəɾəktəɾid͡zat
competitiu	kompetitiw
fogassa	fuɡasə
eteri	etɛɾi
demoníaca	demoniaka
autor	awtoɾ
baül	baul
evacuades	evakuades
cagues	kaɡəs
enverinats	əmvəɾinats
encolomar	eŋkolomaɾ
actua	aktua
basar	bazaɾ
obrar	ubɾa
herètic	eɾɛtik
amics	əmiks
galvanitzats	ɡalvanizats
laberíntic	labeɾintik
forçaria	foɾsəɾiə
casset	kəsət
laringe	laɾiɲd͡ʒe
guineu	ɡinɛw
papil·la	papilla
mostraria	mostɾaɾia
astronòmic	əstɾunɔmik
lucrada	lukɾadə
borm	bɔrm
aglomerant	əɡluməɾan
combatré	kombatɾe
idealitzats	idealizats
pernil	pəɾnil
xerrar	t͡ʃeraɾ
enriquides	enrikides
corbar	koɾba
desautoritzar	dəzəwtuɾid͡za
enquadrar	eŋkwadɾaɾ
verificades	bəɾifikadəs
rosetó	ruzəto
sanitari	sənitaɾi
immoralitat	immoɾalitat
eixir	ejʃiɾ
avantatjós	avantad͡ʒos
vam	bam
topogràfic	tupuɡɾafik
planxada	plaɲt͡ʃada
desodorar	dezodoɾaɾ
cola	kola
apostat	əpustat
fumar	fuma
dessalada	dəsəladə
governes	ɡovɛɾnes
porqueries	poɾkəɾiəs
ensopir	ənsupi
empresonats	əmpɾəzonats
espill	espiʎ
participi	paɾtisipi
estepari	əstəpaɾi
conduït	kunduit
sancionats	sənsiunats
felicitats	fəlisitats
premeditades	pɾəməditadəs
agulla	əɡuʎə
posposat	pospozat
comprats	kompɾats
tèbia	tebia
aerodinàmiques	əeɾodinamikəs
confirmarem	kumfirməɾɛm
omanita	omənitə
sensació	sənsəsio
mesura	məzuɾə
obliquar	oblikwaɾ
perit	pəɾit
letó	leto
pere	peɾə
citats	sitats
infeccionats	imfəksiunats
disputava	disputavə
dejunades	ded͡ʒunades
hàgim	ad͡ʒim
criticada	kɾitikadə
estereofònic	əstəɾəofɔnik
enllà	eɲʎa
eliminar	eliminaɾ
vostès	vostəs
hidrat	idɾat
sabater	sabateɾ
exiliats	əɡziliats
anà	əna
italianitzades	italianizades
memòria	məmɔɾiə
enlairament	enlajɾament
fit	fit
admirada	admiɾada
derrotat	dərotat
guarnida	ɡwaɾnida
savi	savi
botó	buto
lubricada	lubɾikada
investigadora	imvəstiɡədoɾə
estendre	əstendɾə
rol	rɔl
tècniques	tɛɡnikəs
bellugat	beʎuɡat
estonià	əstunia
adorares	adoɾaɾes
pèlag	pɛlək
ai	aj
tentacle	təntaklə
diferenciats	difəɾənsiats
desfilats	desfilats
adormit	adoɾmit
esfilagarsades	esfilaɡaɾsades
llicenciat	ʎisənsiat
càpsula	kapsulə
intimidar	intimida
alfabetitzada	alfabetizada
bellugades	beʎuɡades
sobralles	sobɾaʎes
supines	supines
estimats	əstimats
predominar	pɾədomina
triant	tɾiant
seny	səɲ
tors	tɔrs
viola	viɔla
catània	katania
minuciositat	minusiozitat
torturada	toɾtuɾada
gata	ɡatə
termino	tərminu
afaiçonar	afajsonaɾ
cetè	sete
actini	əktini
contrari	kontɾaɾi
afectar	əfəkta
pregada	pɾeɡada
acariciava	əkəɾisiabə
fricatiu	fɾikətiw
devorats	dəbuɾats
sobreestimat	sobɾəəstimat
tes	tes
resseguida	reseɡida
enutjades	ənud͡ʒadəs
partits	pərtits
superava	supəɾavə
enceses	ensezes
ordir	oɾdiɾ
perfeccionats	pərfəksiunats
tradicionalistes	tɾədisiunəlistəs
àbac	abak
encorregudes	əŋkorəɡudəs
punxuts	puɲt͡ʃuts
madurat	maduɾat
oblit	oblit
lesionats	ləzionats
bruixot	bɾuʃɔt
georgians	d͡ʒeoɾd͡ʒians
avalot	əvəlɔt
cavalcada	kəvəlkadə
abreujat	abɾewd͡ʒat
obsessiva	upsəsibə
equivaler	ekivaleɾ
administrar	ədministɾa
marsupial	məɾsupial
lampista	lampista
abrigar	abɾiɡaɾ
graduat	ɡɾaduat
castanyer	kəstəɲe
fomentada	fuməntadə
agredida	aɡɾedida
avançares	əbənsaɾəs
causem	kəwzɛm
nidificació	nidifikəsio
definitiva	dəfinitibə
estàs	əstas
nobeli	nobɛli
romandre	romandɾe
broca	bɾɔkə
proporcionada	pɾupursiunadə
abatis	əbatis
optades	optades
desitjats	dezid͡ʒats
alterada	əltəɾadə
enterra	əntɛrə
retaule	rətawlə
bordats	boɾdats
arpellejat	ərpəʎəʒat
litogràfica	litoɡɾafika
composició	kumpuzisio
impremta	impɾemtə
filtració	filtɾasio
citis	sitis
nascuts	naskuts
anòxic	anɔksik
brètol	bɾɛtul
terraplè	tərəplɛ
conceptualitzades	kunsəptuəlid͡zadəs
excel·lent	eksellent
adigui	ədiɡi
fusionats	fuziunats
acotxaneta	akot͡ʃaneta
brodi	bɾɔdi
filipines	filipines
jutge	d͡ʒud͡ʒe
inconfusible	iŋkomfuzible
derrocar	dəroka
embolicat	embolikat
delmats	delmats
extracel·lular	ekstɾasellulaɾ
lletraferit	ʎətɾəfəɾit
acusem	əkuzəm
desenterrar	dəzəntəra
incrementada	iŋkɾementada
sol·licitud	sullisitut
abscés	apses
llengua	ʎeŋɡwa
libèria	libɛɾiə
follament	foʎəmen
filantròpiques	filantɾɔpikes
rígida	riʒidə
escorxador	əskurʃədo
multada	multada
balear	bəlear
comunista	komunistə
aflorarem	əfluɾəɾɛm
encriptada	eŋkɾiptada
nominada	nominada
suplantades	suplantades
allargant	əʎərɡan
incentivar	insəntiva
deixats	dəʃats
adonades	adonades
crido	kɾido
epifania	əpifəniə
pessigat	pəsiɡat
abdicaves	əbdikabəs
ingressada	iŋɡɾesada
eternitat	ətərnitat
coixejades	kuʃəʒadəs
casqueta	kəskɛtə
entrecreuar	əntɾəkɾəwa
enfocat	əmfokat
agafar	aɡafaɾ
angles	aŋɡles
fetitxe	fətit͡ʃə
orientades	oɾiəntadəs
despendre	dəspɛndɾə
pronunciades	pɾununsiadəs
autor	əwto
enganxifós	eŋɡaɲt͡ʃifos
fragmentada	fɾaɡmentada
cor	kɔr
beateries	beateɾies
distanciades	distənsiadəs
militància	militansiə
jaqueta	ʒəkətə
nascuda	nəskudə
grua	ɡɾuə
coartades	koəɾtadəs
argument	əɾɡument
triangular	tɾiəŋɡula
nefand	nəfan
incontrolada	iŋkuntɾuladə
atzucac	ad͡zukak
loquaços	lukwasus
hematúrics	ematuɾiks
esterilitzar	əstəɾilid͡za
aina	ajna
cordovès	koɾdoves
insatisfactori	insətisfəktɔɾi
fixats	fiksats
papada	pəpadə
desfrès	dəsfɾɛs
pacífica	pəsifikə
molestada	muləstadə
denunciat	dənunsiat
programat	pɾoɡɾəmat
condemnar	kondəmna
ensenyades	ənsəɲadəs
sobremenjat	subɾəməɲʒat
plasmes	plazməs
estropiaria	əstɾupiəɾiə
insistides	insistides
contacte	kontaktə
tindria	tindɾiə
bocudes	bokudes
reorganitzar	reoɾɡanizaɾ
datxa	dat͡ʃə
espontaneïtat	əspuntənəitat
guixaire	ɡiʃajɾə
exportares	əkspoɾtaɾəs
serrada	səradə
esbotifarrats	ezbotifarats
alevines	alevines
comentarista	koməntəɾistə
ambigüitat	əmbiɡwitat
neurodegenerativa	newɾoded͡ʒeneɾativa
agradades	aɡɾadades
capolat	kəpulat
assassinar	asasinaɾ
auxiliada	əwksiliadə
alfanumèric	alfanumɛɾik
ocorreguts	okoreɡuts
obedient	obədient
porta	pɔɾtə
esposa	espɔza
ragui	raɡi
bull	buʎ
companya	kompaɲa
acudits	akudits
submergides	subməɾʒidəs
manats	manats
aprestar	əpɾəsta
balanç	balans
musicòloga	muzikɔloɡə
aflorava	əfluɾabə
íncub	iŋkup
exhibició	eɡzibisio
desamortitzades	dezamoɾtizades
queixades	kejʃades
elxà	əʎʃa
capvespre	kabvespɾe
refinades	refinades
revelats	rəvəlats
melca	mɛlka
xipollejat	t͡ʃipoʎed͡ʒat
milla	miʎə
salutacions	səlutəsions
ocultada	ukultadə
nobiliari	nubiliaɾi
comptaquilòmetres	kɔmtəkilɔmətɾəs
marbre	marbɾə
cuidava	kujdavə
transfigurats	tɾansfiɡuɾats
rambla	rambla
persona	pəɾsonə
acorralar	əkurəla
urgit	uɾd͡ʒit
blanquejades	blaŋked͡ʒades
etnocentrisme	ənnusəntɾizmə
inicialitzat	inisiəlid͡zat
esgarrapar	ezɡarapaɾ
garbí	ɡərbi
pelegrina	peleɡɾina
decretat	dəkɾətat
torrades	turadəs
matrimonial	mətɾimunial
comprometia	kompɾomətiə
resum	rezum
absorbides	apsoɾbides
sordcec	soɾtsek
fesolet	fəzulɛt
contraoferta	kontɾəofɛɾtə
tremolada	tɾəmoladə
cícliques	siklikəs
rotada	rotada
endèmies	əndɛmiəs
motiu	mutiw
persignats	pərsiɡnats
branda	bɾanda
genèticament	ʒənətikəmənt
carrera	kəreɾə
reproduïdes	rəpɾuduidəs
untats	untats
emergides	əmərʒidəs
pisana	pizanə
longitud	loɲd͡ʒitut
instaurat	instawɾat
comandàrem	koməndaɾəm
comèdia	komədiə
predicades	pɾedikades
consistida	kunsistidə
danyats	daɲats
quedat	kədat
consentits	kunsəntits
net	nɛt
critica	kɾitika
presència	pɾəzɛnsiə
finlandesos	finləndəzos
conceptual	konseptual
sacrifici	sakɾifisi
ignorada	iɡnuɾadə
llançades	ʎənsadəs
tràgica	tɾaʒikə
remull	rəmuʎ
apropar	əpɾopa
tunisians	tunizians
cuboide	kubɔjdə
caminat	kəminat
inculpades	iŋkulpadəs
seduir	sədui
castellans	kasteʎans
forjada	furʒadə
programades	pɾuɡɾəmadəs
debilitades	debilitades
furgades	fuɾɡades
odiada	udiadə
aliades	aliades
làrissa	laɾisa
combinada	kumbinadə
subjectivades	subd͡ʒektivades
encreuades	əŋkɾəwadəs
justina	d͡ʒustina
quedats	kedats
sacrilegi	səkɾilɛʒi
engegats	əɲʒəɡats
acusarem	əkuzəɾɛm
encesa	ənsɛzə
tirotejar	tiɾotəʒa
parlí	pərli
tirrè	tirə
mamella	mameʎa
casualment	kəzuəlment
acaronat	əkəɾonat
pronosticades	pɾonostikadəs
educada	edukada
hidrocarbur	idɾukərbu
adaptacions	ədəptəsions
hel·lens	ellens
cerca	sɛrkə
moralitzat	muɾəlid͡zat
divinitzades	dibinid͡zadəs
fascicle	fəsiklə
expel·lida	əkspəllidə
especialitzats	əspəsiəlid͡zats
coartada	kuərtadə
metà	məta
assassí	asasi
variàncies	bəɾiansiəs
parasitari	paɾazitaɾi
cessament	səsəment
ennuegà	ənnuəɡa
inventat	imbəntat
basquetbol	bəskədbɔl
extrapolats	əkstɾəpolats
fusionar	fuziona
majorment	məʒurmen
acariciaria	əkəɾisiəɾiə
dinastia	dinəstiə
cascada	kəskadə
proporcionades	pɾopoɾsionadəs
legal	leɡal
inalterat	inalteɾat
prolongades	pɾoloŋɡadəs
centè	səntə
abominables	abominables
estat	estat
espavilada	əspəbiladə
pertangut	pəɾtəŋɡut
operar	opəɾa
suquejats	sukəʒats
desbocades	dəzbokadəs
venudes	bənudəs
cartilaginós	kəɾtiləʒinos
alarmada	ələrmadə
monegasca	munəɡaskə
solidificada	sulidifikadə
obligar	obliɡa
serva	sɛrbə
haguda	aɡuda
ensorrar	ənsora
muntanyoses	muntəɲozəs
marejar	məɾəʒa
negligir	nəɡliʒi
targeta	təɾʒətə
embutxacades	embut͡ʃakades
general	d͡ʒeneɾal
assessorar	asesoɾaɾ
planura	planuɾa
distribuïdor	distɾibuido
huit	wit
abonar	əbuna
adormida	ədurmidə
estereotipats	esteɾeotipats
ira	iɾə
atrevint	atɾevint
trinxats	tɾiɲt͡ʃats
