մռու	məɾu
հուշանվեր	huʃɑnəvɛɾ
կաթնաշոռ	ɡɑtʰnɑʃɔɾ
համագործակցության	hɑmɑkʰɔɾd͡zɑkʰt͡sʰutʰjɑn
այր	ɑjɾ
կիտել	ɡidɛl
ապառնի	ɑbɑɾni
հայեցի	hɑjɛt͡sʰi
թատրոն	tʰɑdɾɔn
զեղուն	zɛʁun
նրբերշիկ	nəɾpʰɛɾʃiɡ
սեւակ	sɛvɑɡ
նիկոտին	niɡɔdin
գայանա	kʰɑjɑnɑ
արտասովոր	ɑɾdɑsɔvɔɾ
լիմպոպո	limbɔbɔ
տնջրի	dənt͡ʃʰəɾi
էդ	ɛtʰ
ոսպապուր	vɔspɑbuɾ
հուզել	huzɛl
գեներալ	kʰɛnɛɾɑl
բռնապետ	pʰəɾnɑbɛd
կեղծամ	ɡɛʁd͡zɑm
սլավոնական	slɑvɔnɑɡɑn
գերել	kʰɛɾɛl
դիմադրություն	tʰimɑtʰɾutʰʏn
բառապաշար	pʰɑɾɑbɑʃɑɾ
ֆրիուլերեն	fɾiulɛɾɛn
փուչ	pʰut͡ʃʰ
արխանգելսկ	ɑɾχɑŋkʰɛlsk
առերեսվել	ɑɾɛɾɛsvɛl
սպրդել	səbəɾtʰɛl
արտադրանք	ɑɾdɑtʰɾɑŋkʰ
առաջադիմում	ɑɾɑt͡ʃʰɑtʰimum
թռիչք	tʰəɾit͡ʃʰkʰ
գեստապոյական	kʰɛstɑbɔjɑɡɑn
դերձան	tʰɛɾt͡sʰɑn
ժառանգ	ʒɑɾɑŋkʰ
կառուցակարգային	ɡɑɾut͡sʰɑɡɑɾkʰɑjin
կրծքազարդ	ɡəɾt͡sʰkʰɑzɑɾtʰ
ստվարաթուղթ	əstəvɑɾɑtʰuχtʰ
առու	ɑɾu
ավանակ	ɑvɑnɑɡ
մածուն	mɑd͡zun
պալիկիր	bɑliɡiɾ
անտիսթենես	ɑndistʰɛnɛs
տփղիս	dəpʰχis
մարտահրավեր	mɑɾdɑhəɾɑvɛɾ
թաղապետ	tʰɑʁɑbɛd
պղնձաձույլ	bəʁənt͡sʰɑt͡sʰujl
կիսաշփական	ɡisɑʃəpʰɑɡɑn
թեշիկ	tʰɛʃiɡ
եթե	jɛtʰɛ
ֆիզիկորեն	fiziɡɔɾɛn
վայրկենաչափ	vɑjɾɡɛnɑt͡ʃʰɑpʰ
սուղ	suʁ
ներկա	nɛɾɡɑ
տրդատ	dəɾtʰɑd
սպանախ	əspɑnɑχ
բար	pʰɑɾ
դադարած	tʰɑtʰɑɾɑd͡z
ղայիշ	ʁɑjiʃ
արքունի	ɑɾkʰuni
հունգարիա	huŋkʰɑɾjɑ
բանաստեղծություն	pʰɑnɑstɛʁd͡zutʰʏn
հագնի	hɑkʰni
ծախծխել	d͡zɑχt͡səχɛl
բուստ	pʰust
մոդել	mɔtʰɛl
օնիկ	ɔniɡ
խումար	χumɑɾ
քվազար	kʰvɑzɑɾ
կառավարություն	ɡɑɾɑvɑɾutʰʏn
հղիացում	həʁijɑt͡sʰum
մամա	mɑmɑ
պակասեցնել	bɑɡɑsɛt͡sʰənɛl
հարկային	hɑɾɡɑjin
փռյուգերեն	pʰəɾʏkʰɛɾɛn
բաժնետոմս	pʰɑʒnɛdɔms
նեցուկ	nɛt͡sʰuɡ
միզուկ	mizuɡ
մոնտենեգրո	mɔndɛnɛkʰɾɔ
անհնար	ɑnhənɑɾ
պտկաքար	bədɡɑkʰɑɾ
պահանջել	bɑhɑnt͡ʃʰɛl
անհրաժեշտ	ɑnɾɑʒɛʃt
կոշտ	ɡɔʃt
արույր	ɑɾujɾ
սանատրուկ	sɑnɑdɾuɡ
մեջ	mɛt͡ʃʰ
նկարահանում	nəɡɑɾɑhɑnum
մեծամիտ	mɛd͡zɑmid
կումբ	ɡumpʰ
վահանակ	vɑhɑnɑɡ
հոժարել	hɔʒɑɾɛl
իտալացի	idɑlɑt͡sʰi
մատիտ	mɑdid
անժելա	ɑnʒɛlɑ
խոնարհում	χɔnɑɾum
բիհար	pʰihɑɾ
սպասյակ	əspɑsjɑɡ
եվրիպիդես	jɛvɾibitʰɛs
սարատով	sɑɾɑdɔv
մավի	mɑvi
նեոն	nɛɔn
կենտրոնական	ɡɛndɾɔnɑɡɑn
հոռետես	hɔɾɛdɛs
կարկանդակ	ɡɑɾɡɑntʰɑɡ
տեղեկատվություն	dɛʁɛɡɑdvutʰʏn
գրանտ	kʰəɾɑnd
վենետերեն	vɛnɛdɛɾɛn
էպիկուր	ɛbiɡuɾ
տասերորդ	dɑsɛɾɔɾtʰ
հաբ	hɑpʰ
մուրաբա	muɾɑpʰɑ
գետակ	kʰɛdɑɡ
վիսլա	vislɑ
ֆտոր	fdɔɾ
ձկնաբանություն	t͡sʰəɡnɑpʰɑnutʰʏn
հօպ	hɔb
էսկալացիա	ɛskɑlɑt͡sʰjɑ
կրկնել	ɡəɾɡnɛl
լիդիերեն	litʰijɛɾɛn
կրթություն	ɡəɾtʰutʰʏn
խայտառակ	χɑjdɑɾɑɡ
հայություն	hɑjutʰʏn
դիմախաղ	tʰimɑχɑʁ
օրակարգ	ɔɾɑɡɑɾkʰ
տրամադրություն	dɾɑmɑtʰɾutʰʏn
դրամարկղ	tʰəɾɑmɑɾɡəʁ
հատված	hɑdvɑd͡z
յարդ	jɑɾtʰ
թավշյա	tʰɑfʃjɑ
հեղված	hɛʁvɑd͡z
արա	ɑɾɑ
փունջ	pʰunt͡ʃʰ
վերջավանկ	vɛɾt͡ʃʰɑvɑŋɡ
մանդարին	mɑntʰɑɾin
ինչի	int͡ʃʰi
համանախագահ	hɑmɑnɑχɑkʰɑh
ցանց	t͡sʰɑnt͡sʰ
յուպիտեր	jubidɛɾ
վերագրել	vɛɾɑkʰəɾɛl
չիբուխ	t͡ʃʰipʰuχ
ենթադրելի	jɛntʰɑtʰɾɛli
խորություն	χɔɾutʰʏn
անգյալ	ɑŋkʰjɑl
տատմայր	dɑdmɑjɾ
անճար	ɑnd͡ʒɑɾ
ծաղկունք	d͡zɑʁɡuŋkʰ
ցնծություն	t͡sʰənd͡zutʰʏn
դիակ	tʰijɑɡ
ստեփան	əstɛpʰɑn
վորկուտա	vɔɾɡudɑ
ցամաքահանում	t͡sʰɑmɑkʰɑhɑnum
արդիականացում	ɑɾtʰijɑɡɑnɑt͡sʰum
թուրքմեն	tʰuɾkʰmɛn
որդի	vɔɾtʰi
աղալ	ɑʁɑl
մթնշաղ	mətʰənʃɑʁ
նիկոլ	niɡɔl
ապաշրջափակել	ɑbɑʃəɾt͡ʃʰɑpʰɑɡɛl
իրավախոհություն	iɾɑvɑχɔhutʰʏn
ապահովել	ɑbɑhɔvɛl
տպավորել	dəbɑvɔɾɛl
պատատուկ	bɑdɑduɡ
սնգուրվել	səŋkʰuɾvɛl
մտոց	mədɔt͡sʰ
շարժում	ʃɑɾʒum
չեչեներեն	t͡ʃʰɛt͡ʃʰɛnɛɾɛn
կեսօր	ɡɛsɔɾ
անդունդ	ɑntʰuntʰ
ստրատեգիա	əstɾɑdɛkʰjɑ
շարժիչ	ʃɑɾʒit͡ʃʰ
գործադուլ	kʰɔɾd͡zɑtʰul
պայքար	bɑjkʰɑɾ
էքսպերտ	ɛkʰspɛɾd
եսասիրական	jɛsɑsiɾɑɡɑn
դալմաթիա	tʰɑlmɑtʰjɑ
խոսք	χɔskʰ
կոտոր	ɡɔdɔɾ
հանցավորություն	hɑnt͡sʰɑvɔɾutʰʏn
հոտ	hɔd
վարանում	vɑɾɑnum
բաղաձայն	pʰɑʁɑt͡sʰɑjn
օգտատեր	ɔkʰtɑdɛɾ
հանուն	hɑnun
գնչել	kʰənt͡ʃʰɛl
խոպոպաձեւ	χɔbɔbɑt͡sʰɛv
հակագրոհ	hɑɡɑkʰəɾɔh
մաղադանոս	mɑʁɑtʰɑnɔs
հաթաթա	hɑtʰɑtʰɑ
բանավոր	pʰɑnɑvɔɾ
ատրպատական	ɑdəɾbɑdɑɡɑn
սիցիլիա	sit͡sʰiljɑ
գոա	kʰɔɑ
վերականգնել	vɛɾɑɡɑŋkʰnɛl
պարկապզուկ	bɑɾɡɑbəzuɡ
լավանալ	lɑvɑnɑl
ճապոնական	d͡ʒɑbɔnɑɡɑn
քաջալերություն	kʰɑt͡ʃʰɑlɛɾutʰʏn
գան	kʰɑn
հինդուստան	hintʰustɑn
շիջուցանել	ʃit͡ʃʰut͡sʰɑnɛl
հյուրիս	hʏɾis
վախել	vɑχɛl
համալիր	hɑmɑliɾ
սենեգալ	sɛnɛkʰɑl
կերպ	ɡɛɾb
շարժուն	ʃɑɾʒun
սեզ	sɛz
կարտոֆիլ	ɡɑɾdɔfil
շահագործական	ʃɑhɑkʰɔɾd͡zɑɡɑn
տուն	dun
ճտվտալ	d͡ʒədvədɑl
անմեռական	ɑnmɛɾɑɡɑn
վասիլ	vɑsil
ճարահատ	d͡ʒɑɾɑhɑd
յուղաբլիթ	juʁɑpʰəlitʰ
ընդարմանալ	əntʰɑɾmɑnɑl
լիանալ	lijɑnɑl
բացառություն	pʰɑt͡sʰɑɾutʰʏn
մահապատիժ	mɑhɑbɑdiʒ
բուրժուազիա	pʰuɾʒuɑzjɑ
հիմնադրամ	himnɑtʰɾɑm
պայթել	bɑjtʰɛl
զարհուրեցնել	zɑɾhuɾɛt͡sʰənɛl
օղ	ɔʁ
տեղեկանալ	dɛʁɛɡɑnɑl
թրեւ	tʰəɾɛv
տաքդեղ	dɑkʰtʰɛʁ
ստեղծագործություն	əstɛʁd͡zɑkʰɔɾd͡zutʰʏn
կապվածություն	ɡɑbvɑd͡zutʰʏn
որովհետեւ	vɔɾɔfhɛdɛv
նորմանական	nɔɾmɑnɑɡɑn
կատիոն	ɡɑdiɔn
նախախնամություն	nɑχɑχənɑmutʰʏn
լատվիերեն	lɑdvjɛɾɛn
անդրեաս	ɑntʰɾɛɑs
հրաժարական	həɾɑʒɑɾɑɡɑn
պակաս	bɑɡɑs
անիրավ	ɑniɾɑv
օրնիթոլոգիա	ɔɾnitʰɔlɔkʰjɑ
աստվածամերժություն	ɑstvɑd͡zɑmɛɾʒutʰʏn
ծնոտ	d͡zənɔd
վերակառուցում	vɛɾɑɡɑɾut͡sʰum
համոզել	hɑmɔzɛl
խռմփոց	χəɾəmpʰɔt͡sʰ
գործոն	kʰɔɾd͡zɔn
փխենյան	pʰəχɛnjɑn
բալանս	pʰɑlɑns
խունկ	χuŋɡ
հաճախեցնել	hɑd͡ʒɑχɛt͡sʰənɛl
հմայք	həmɑjkʰ
ածանցյալ	ɑd͡zɑnt͡sʰjɑl
դիմանալ	tʰimɑnɑl
վայրենություն	vɑjɾɛnutʰʏn
տաճիկ	dɑd͡ʒiɡ
մարզասարք	mɑɾzɑsɑɾkʰ
փաստաթուղթ	pʰɑstɑtʰuχtʰ
դատապարտյալ	tʰɑdɑbɑɾdjɑl
հնոտի	hənɔdi
դրոշմ	tʰəɾɔʃm
լիսեռ	lisɛɾ
գիրգ	kʰiɾkʰ
վերջածանց	vɛɾt͡ʃʰɑd͡zɑnt͡sʰ
դիստրիբյուտոր	tʰistɾipʰʏdɔɾ
լոխ	lɔχ
կանխել	ɡɑnχɛl
ընտանիք	əndɑnikʰ
զգետնել	əskʰɛdnɛl
քաշել	kʰɑʃɛl
մանսարդ	mɑnsɑɾtʰ
թելադրիչ	tʰɛlɑtʰɾit͡ʃʰ
որյար	vɔɾjɑɾ
զարհուրել	zɑɾhuɾɛl
անսպասելիություն	ɑnspɑsɛliutʰʏn
առողջ	ɑɾɔχt͡ʃʰ
լանջք	lɑnt͡ʃʰkʰ
հյուպատոսություն	hʏbɑdɔsutʰʏn
ժանիք	ʒɑnikʰ
լորի	lɔɾi
խոպոպահեր	χɔbɔbɑhɛɾ
անրջային	ɑnəɾt͡ʃʰɑjin
տոտեմ	dɔdɛm
նիդեռլանդերեն	nitʰɛɾlɑntʰɛɾɛn
զահմաթ	zɑhmɑtʰ
սեւան	sɛvɑn
հարոյան	hɑɾɔjɑn
անկոս	ɑŋɡɔs
պարտեզ	bɑɾdɛz
հիանալի	hijɑnɑli
կոկով	ɡɔɡɔv
սիրող	siɾɔʁ
դաշնակից	tʰɑʃnɑɡit͡sʰ
եղերական	jɛʁɛɾɑɡɑn
կեղեւ	ɡɛʁɛv
ուժ	uʒ
ապահովացնել	ɑbɑhɔvɑt͡sʰənɛl
լեստեր	lɛstɛɾ
լույծ	lujd͡z
մանկտի	mɑŋɡdi
զգաստություն	əskʰɑstutʰʏn
շորթում	ʃɔɾtʰum
թոռոմել	tʰɔɾɔmɛl
թեշի	tʰɛʃi
դեպի	tʰɛbi
մաչետե	mɑt͡ʃʰɛdɛ
երնջակ	jɛɾənt͡ʃʰɑɡ
տուլա	dulɑ
ինքնաթափ	iŋkʰnɑtʰɑpʰ
բատ	pʰɑd
համերգ	hɑmɛɾkʰ
իրաք	iɾɑkʰ
թլփատություն	tʰəlpʰɑdutʰʏn
պապանձել	bɑbɑnt͡sʰɛl
մակամորձի	mɑɡɑmɔɾt͡sʰi
գլասնոստ	kʰlɑsnɔst
տակ	dɑɡ
հեծանոց	hɛd͡zɑnɔt͡sʰ
երկաթյա	jɛɾɡɑtʰjɑ
բարբառ	pʰɑɾpʰɑɾ
աղատ	ɑʁɑd
բանան	pʰɑnɑn
հյուրախաղ	hʏɾɑχɑʁ
բարոն	pʰɑɾɔn
շքախումբ	ʃəkʰɑχumpʰ
խամոն	χɑmɔn
ճոռոմաբանություն	d͡ʒɔɾɔmɑpʰɑnutʰʏn
երկբայանք	jɛɾkʰpʰɑjɑŋkʰ
աղյուսյակ	ɑʁʏsjɑɡ
մագադան	mɑkʰɑtʰɑn
բարեպաշտ	pʰɑɾɛbɑʃt
արծաթասիրություն	ɑɾd͡zɑtʰɑsiɾutʰʏn
տունդրա	duntʰɾɑ
սարավանդակ	sɑɾɑvɑntʰɑɡ
ընդհանրապես	əntʰɑnɾɑbɛs
պսկով	bəskɔv
սնգուրել	səŋkʰuɾɛl
գրադարձություն	kʰəɾɑtʰɑɾt͡sʰutʰʏn
աշխատանք	ɑʃχɑdɑŋkʰ
բազմագույն	pʰɑzmɑkʰujn
մատ	mɑd
շփագիտություն	ʃəpʰɑkʰidutʰʏn
բարով	pʰɑɾɔv
կերալա	ɡɛɾɑlɑ
կառոչի	ɡɑɾɔt͡ʃʰi
ինֆրաստրուկտուրա	infɾɑstɾuɡduɾɑ
վեթինգ	vɛtʰiŋkʰ
գալեն	kʰɑlɛn
կազմակերպում	ɡɑzmɑɡɛɾbum
ճաք	d͡ʒɑkʰ
այնպես	ɑjnbɛs
տեգերակին	dɛkʰɛɾɑɡin
հորեղբոր	hɔɾɛχpɔɾ
սերֆինգ	sɛɾfiŋkʰ
ասոցիացիա	ɑsɔt͡sʰjɑt͡sʰjɑ
հաղորդագրություն	hɑʁɔɾtʰɑkʰɾutʰʏn
տաբու	dɑpʰu
դիարբեքիր	tʰijɑɾpʰɛkʰiɾ
լեյտենանտ	lɛjdɛnɑnd
բուծ	pʰud͡z
խեցգետին	χɛt͡sʰkʰɛdin
շինծու	ʃind͡zu
լակոտ	lɑɡɔd
ռասա	ɾɑsɑ
թանգարան	tʰɑŋkʰɑɾɑn
հաճախորդություն	hɑd͡ʒɑχɔɾtʰutʰʏn
երբ	jɛɾpʰ
աբխազ	ɑpʰχɑz
մաքրում	mɑkʰɾum
քաղաք	kʰɑʁɑkʰ
գագուլիկ	kʰɑkʰuliɡ
վառելափայտ	vɑɾɛlɑpʰɑjd
անրադառնալ	ɑnɾɑtʰɑɾnɑl
տաճատուհի	dɑd͡ʒɑduhi
բազմացում	pʰɑzmɑt͡sʰum
խնդրել	χəntʰɾɛl
փենջաբ	pʰɛnt͡ʃʰɑpʰ
վառյակ	vɑɾjɑɡ
նախազգուշացում	nɑχɑskʰuʃɑt͡sʰum
իզոգլոս	izɔkʰlɔs
թերագնահատել	tʰɛɾɑkʰənɑhɑdɛl
բաբաջանյան	pʰɑpʰɑt͡ʃʰɑnjɑn
թեւ	tʰɛv
բոզություն	pʰɔzutʰʏn
մայրական	mɑjɾɑɡɑn
հավատարմագրել	hɑvɑdɑɾmɑkʰɾɛl
անմեղ	ɑnmɛʁ
սեւր	sɛvəɾ
պարուհի	bɑɾuhi
սովորություն	sɔvɔɾutʰʏn
պիսիդիա	bisitʰjɑ
ցանցենի	t͡sʰɑnt͡sʰɛni
շարահյուսություն	ʃɑɾɑhʏsutʰʏn
սալյամի	sɑljɑmi
քառանիստ	kʰɑɾɑnist
պատրաստվել	bɑdɾɑstvɛl
հագնվել	hɑkʰnəvɛl
խնձորենի	χənt͡sʰɔɾɛni
եղիշե	jɛʁiʃɛ
կարկատան	ɡɑɾɡɑdɑn
պարգեւել	bɑɾkʰɛvɛl
սրնքամիս	səɾəŋkʰɑmis
թեզաուրուս	tʰɛzɑuɾus
գարնային	kʰɑɾnɑjin
արաբ	ɑɾɑpʰ
գյուրզա	kʰʏɾzɑ
ուռույցք	uɾujt͡sʰkʰ
չիներեն	t͡ʃʰinɛɾɛn
աթոռակ	ɑtʰɔɾɑɡ
շրջափակում	ʃəɾt͡ʃʰɑpʰɑɡum
կարիա	ɡɑɾjɑ
շնիկ	ʃəniɡ
տիկնունի	diɡnuni
բաջաղանք	pʰɑt͡ʃʰɑʁɑŋkʰ
արցախյան	ɑɾt͡sʰɑχjɑn
արժանապատվություն	ɑɾʒɑnɑbɑdvutʰʏn
կար	ɡɑɾ
անբարյացկամ	ɑnpʰɑɾjɑt͡sʰkɑm
պարավանդ	bɑɾɑvɑntʰ
կայինք	ɡɑjiŋkʰ
բացի	pʰɑt͡sʰi
հրաբուխ	həɾɑpʰuχ
վերնագրել	vɛɾnɑkʰɾɛl
մայն	mɑjn
ֆիլիպիներեն	filibinɛɾɛn
անցում	ɑnt͡sʰum
քանանացի	kʰɑnɑnɑt͡sʰi
էքսպերիմենտալ	ɛkʰspɛɾimɛndɑl
գողանալ	kʰɔʁɑnɑl
քաղցել	kʰɑχt͡sʰɛl
դիցաբանություն	tʰit͡sʰɑpʰɑnutʰʏn
նետ	nɛd
լորիկ	lɔɾiɡ
վերակացու	vɛɾɑɡɑt͡sʰu
խոստովանություն	χɔstɔvɑnutʰʏn
արարատ	ɑɾɑɾɑd
մոտիվ	mɔdiv
կորել	ɡɔɾɛl
մետաքսյա	mɛdɑkʰsjɑ
բանջար	pʰɑnt͡ʃʰɑɾ
