ยี้บ	yi:p
บักคักหนึ่ง	bak.khak.nʉŋ
แบ็ดเตอลี้	bɛt.tə:.li:
วั่งหั้น	waŋ.han
โญน	ɲo:n
ญก	ɲok
ลดโลงพะยาบาน	lot.lo:ŋ.pha.ya:.ba:n
ตาแซบ	ta:.sɛ:p
โทละทัด	tho.la.that
เว้า	wao
กะดุม	ga.dum
ขะหนาด	kha.na:t
อี่ปู	i:.pu:
ซ่อยเหลีย	sɔ:i.li:a
ล้าง	la:ŋ
คิหนิก	khi:.nik
แถะ	thɛ
ลูกกก	lu:k.gok
หมวกกันน็อก	mu:ak.gan.nɔk
เฮียง	hi:aŋ
เป	pe:
แตก	tɛ:k
ท่วน	thu:an
เญี่ย	ɲi:a
ค่าวๆ	kha:o
โทละสับ	tho.la.sap
เจ้า	jao
ดอกว่า	dɔ:k.wa:
ไถฮุด	thai.hut
โถส้วม	tho:.su:am
จิ้ม	jim
จ่าย	ja:i
สะบู	sa.bu:
ซ้วน	su:an
ก้อกๆ	gɔ:k
อย่าง	ya:ŋ
เพาะว่า	phɔ.wa:
โดน	do:n
สาม	sa:m
แต่ใส	tɛ:.sai
โท	tho:
นาย	na:i
เหดกาน	he:t.ga:n
แท้	thɛ:
ซ้า	sa:
เพิ้ม	phə:m
คื้น	khʉ:n
คะแนน	kha.nɛ:n
นอก	nɔ:k
ลายได้	la:i.dai
ขาตั้ง	kha:.taŋ
กะ	ga
ฝาผะหนัง	fa:.pha:.naŋ
กั้น	gan
จั่งซั้น	jaŋ.san
หนิหละ	ni.la
ส่ำนี้	sam.ni:
จักกะย๊าน	jak.ga.ya:n
มีแฮง	mi:.hɛ:ŋ
ค็อม	khom
สีตับหมู	si:.tap.mu:
ผง	phoŋ
กุมพาพัน	gum.pha:.phan
พี่สาว	phi:.sa:o
แปน	pɛ:n
กางเกง	ga:ŋ.ge:ŋ
เหดล้าย	he:t.la:i
เฝ้า	fao
บ่ทันได้	bɔ:.than.dai
จั่งซี้	jaŋ.si:
สั่ง	saŋ
เดียน	di:an
ลดไถ	lot.thai
ฝิงไฟ	fiŋ.fai
เจ็บ	jep
ปะดับ	pa.dap
เขียน	khi:an
ป่อน	pɔn
พะทัม	pha.tham
กด	got
อก	ok
นก	nok
บก	bok
เต่า	tao
พัง	phaŋ
บันจุ	ban.ju
เสิมสวย	sə:m.su:ai
ใซ้งาน	sai.ŋa:n
แพง	phɛ:ŋ
เซ้า	sao
กำปั้น	gam.ban
ซั่วคาว	su:a.kha:o
เกิบ	gə:p
ทงซาด	thoŋ.sa:t
กับ	gap
ปะลินญาเอก	pa.lin.ɲa:.e:k
เหม้	me:
งอ	ŋɔ:
สาละ	sa:.la
กุนแกข้อมือ	gun.gɛ:.khɔ:.mʉ:
สิบ	sip
แน่ใจ	nɛ:.jai
เส็ด	set
ซาย	sa:i
ดอกวา	dɔ:k.wa:
ฮาน	ha:n
สี่สิบ	si:.sip
หวัดดี	wat.di:
ส่ำนั้น	sam.nan
อี่หล้า	i:.la:
เกิบผ้าใบ	gə:p.pha:.bai
ซุดโซม	sut.so:m
เฮียน	hi:an
แบบ	bɛ:p
เคาลบ	khao.lop
ตะลี	ta.li:
เงิน	ŋən
มวนอากาด	mu:an.a:.ga:t
หล้า	la:
เอ้อเฮ้อ	ə:.hə:
คาบ	kha:p
เหล้น	len
เหงี่ย	ŋi:a
คีบ	khi:p
เซี้ยม	si:am
อาทิด	a:.thit
ควน	khu:an
เพน	phe:n
ผ่า	pha:
ตั้ง	taŋ
แอ็ปเปิ้น	ɛp.pən
ค็อมพิวเต้อ	khom.piu.tə:
ว้าง	wa:ŋ
พัน	phan
ปี้ๆ	pi:.pi:
ถืกปาก	thʉ:k.pa:k
คัก	khak
หนิ	ni
หม้อง	mɔŋ
เส้น	sen
บ่แม่น	bɔ:.mɛ:n
กะละมัง	ga.la.maŋ
กากี	ga:.gi:
ดวงตะเว็น	du:aŋ.ta.wen
ด้าม	da:m
ท้อง	thɔ:ŋ
สูด	su:t
ใบไม้	bai.mai
วาจา	wa:.ja:
หลาย	la:i
กับตัน	gap.tan
มิดซิด	mit.sit
หว่าน	wa:n
ตา	ta:
เป่ง	peŋ
คิด	khit
พาสา	pha:.sa:
แก้ม	gɛ:m
เอ่ย	ə:i
ซ้อง	sɔ:ŋ
ปู	pu:
อันแต่ว่า	an.tɛ:.wa:
จำ	jam
พุบ่าว	phu.ba:o
โอ่ง	o:ŋ
คาน	kha:n
ตั้ง	taŋ
สาย	sa:i
คู่	khu:
แป่บเดียว	pɛp.di:ao
เกียบ	gi:ap
วันพะ	wan.pha
ตาบอด	ta:.bɔ:t
พัน	phan
ด่า	da:
ฮอง	hɔ:ŋ
เพื่อ	phʉ:a
ดุล้าย	du.la:i
ขั้นตอน	khan.tɔ:n
พะเอก	pha.e:k
ละเหย	la.hə:i
ฮัก	hak
เหลียน	li:an
ลูกหวีด	lu:k.wi:t
ตีนเปิ่ม	ti:n.pə:m
เพง	phe:ŋ
ลดบันทุก	lot.ban.thuk
พุใหญ่	phu.ɲai
อึ้งตึ้ง	ʉŋ.tʉŋ
ดูด	du:t
ใผ	phai
ลึดูฝน	lʉ.du:.fon
ขะโมย	kha.mo:i
ดำ	dam
ฟืน	fʉ:n
ตะก้า	ta.ga:
ใส	sai
พ้อมกัน	phɔ:m.gan
ลอด	lɔ:t
เถ้า	thao
หน้าหนาว	na:.na:o
หลักอากาด	lak.a:.ga:t
หาย	ha:i
เหลีย	li:a
ซื่อๆ	sʉ:
ตู้	tu:
องสา	oŋ.sa:
ล้อ	lɔ:
น้า	na:
พาย	pha:i
เค่งเคียด	kheŋ.khi:at
ถะหนัด	tha.nat
พูมใจ	phu:m.jai
ปัดจุบัน	pat.ju.ban
ห้องน้ำ	hɔŋ.na:m
ล้อมลอบ	lɔ:m.lɔ:p
เห่า	hao
ทีละ	thi:.la
โผ่	pho:
เคี่ยงสำอาง	khi:aŋ.sam.a:ŋ
จะ	ja
พะอาทิด	pha.a:.thit
เกี้ยงมิ่นลิ่น	gi:aŋ.min.lin
กองไฟ	gɔ:ŋ.fai
ตะเกียบ	ta.gi:ap
ซั่ง	saŋ
ไข่ดาว	khai.da:o
บ่า	ba:
ตัว	tu:a
ท่าทาง	tha:.tha:ŋ
สะหลึง	sa.lʉŋ
สีก	si:k
ตอน	tɔ:n
โตอย่าง	to:.ya:ŋ
ปิดบัง	pit.baŋ
เญี่ยว	ɲi:ao
ถานะ	tha:.na
ลัก	lak
มะเล็ดพัน	ma.let.phan
อุ้ยปุ้ย	ui.pui
เกม	ge:m
ลูกบอน	lu:k.bɔ:n
สะหวัดดี	sa.wat.di:
ขอซ้าง	khɔ:.sa:ŋ
แจ้ง	jɛ:ŋ
โล้น	lo:n
ขดตะหมาด	khot.ta.ma:t
ขุด	khut
บินทะบาด	bin.tha.ba:t
หน้า	na:
ก้าน	ga:n
กุงเทบ	guŋ.the:p
คอ	khɔ:
โถแก้ว	tho:.gɛ:o
ลดบั่ด	lot.bat
ถาม	tha:m
บางสิ่งบางอย่าง	ba:ŋ.siŋ.ba:ŋ.ya:ŋ
พุ้นหนะ	phun.na
สบ	sop
ยี้ฮ้อ	yi:.hɔ:
น้อย	nɔ:i
อุบะติเหด	u.ba.ti.he:t
เอ็ด	et
ลูกสาว	lu:k.sa:o
ลี้	li:
พุใด	phu.dai
ลูก	lu:k
เสียงดัง	si:aŋ.daŋ
คอบคัว	khɔ:p.khu:a
ฮ้อน	hɔ:n
กาน	ga:n
พะนักงาน	pha.nak.ŋa:n
คน	khon
คำ	kham
ฟ้ง	foŋ
สะออน	sa.ɔ:n
หัวล้อ	hu:a.lɔ:
เพีย	phi:a
ผัก	phak
ปึ่บ	pʉp
เฮ้ย	hə:i
แบก	bɛ:k
ฟู	fu:
พะ	pha
โพดโพ	pho:t.pho:
ให้	hai
เทิงเบิด	thə:ŋ.bət
มื้อก่อน	mʉ:.gɔ:n
พื้น	phʉ:n
ลดสามล้อ	lot.sa:m.lɔ:
ทำนอง	tham.nɔ:ŋ
น้ำเชื้อม	na:m.chʉ:am
ปะ	pa
เด๊	de:
เลี้ยง	li:aŋ
ก่อส้าง	gɔ:.sa:ŋ
ลดแท็กซี้	lot.thɛk.si:
หมายความ	ma:i.khwa:m
ลวย	lu:ai
ยาง	ya:ŋ
เกิบแตะ	gə:p.tɛ
ห้า	ha:
ฮอย	hɔ:i
จาก	ja:k
อาจาน	a:.ja:n
โทน	tho:n
ก่น	gon
แม่น	mɛ:n
ใส่	sai
ต้นเข้า	ton.khao
เปียก	pi:ak
อาบ	a:p
ก่อง	gɔŋ
นิ้วซี้	niu.si:
พอปะมาน	phɔ:.pa.ma:n
จังหวัด	jaŋ.wat
บอลิกาน	bɔ:.li.ga:n
สีหน้า	si:.na:
ขอโต	khɔ:.to:
พุหญิง	phu.ɲiŋ
ควย	khu:ai
ถ่าน	tha:n
โดยสาน	do:i.sa:n
กำลัง	gam.laŋ
ท่าเทบพะบุด	tha:.the:p.pha.but
หนาว	na:o
หมอน	mɔ:n
ซ้าง	sa:ŋ
สาลา	sa:.la:
ส่ง	soŋ
วัยทอง	wai.thɔ:ŋ
อ้วน	u:an
ลง	loŋ
วิชา	wi.cha:
อ่อน	ɔ:n
เว้าพื้น	wao.phʉ:n
ลดขนของ	lot.khon.khɔ:ŋ
เกิบคีบ	gə:p.khi:p
อัน	an
ไหว้	wai
หน้อย	nɔ:i
ทอด	thɔ:t
ลีโหมด	li:.mo:t
เมี่ยย	mi:ai
น้องซาย	nɔ:ŋ.sa:i
สี	si:
บัง	baŋ
เมี้ยน	mi:an
ขี่	khi:
บักเขียเคีย	bak.khi:a.khi:a
ลูกค้า	lu:k.kha:
มืน	mʉ:n
ว้อ	wɔ:
ห้องสะหมุด	hɔŋ.sa.mut
หมวก	mu:ak
ซั้นวางหนังสือ	san.wa:ŋ.naŋ.sʉ:
ญาม	ɲa:m
เต้น	ten
ซอง	sɔ:ŋ
ไฮ่	hai
ฮอด	hɔ:t
แห้งแล้ง	hɛ:ŋ.lɛ:ŋ
ตัก	tak
โญก	ɲo:k
อาสัย	a:.sai
ละเกะละกะ	la.ge.la.ga
น้ำปั่น	na:m.pan
ตั้งค้า	taŋ.kha:
แนม	nɛ:m
ก่องแก่ง	gɔŋ.gɛŋ
ทันได้	than.dai
คัว	khu:a
อาด	a:t
แล่น	lɛ:n
หลือ	lʉ:
บาน	ba:n
ทันเวลา	than.we:.la:
ข้อง	khɔŋ
ทอละมาน	thɔ.la.ma:n
ทะเล	tha.le:
หัวหน้า	hu:a.na:
ตบ	top
คาง	kha:ŋ
สกกะปก	sok.ga.pok
เบิด	bə:t,bət
อี่หยัง	i:.yaŋ
ยัง	yaŋ
ลดตู้	lot.tu:
แม่ซี	mɛ:.si:
แต่กี้	tɛ:.gi:
ส่วนหน้อย	su:an.nɔ:i
ดัง	daŋ
หน้าฮ้อน	na:.hɔ:n
บ้านนอก	ba:n.nɔ:k
เสา	sao
จินตะนากาน	jin.ta.na:.ga:n
ทุ่ง	thuŋ
หมู่	mu:
เอ่าะเจ่าะ	ɔ.jɔ
ผัด	phat
นาที	na:.thi:
ผะหลิด	pha.lit
บักนาว	bak.na:o
แว่นตา	wɛn.ta:
มอเตอไซ	mɔ:.tə:.sai
ทีหลัง	thi:.laŋ
อันตะลาย	an.ta.la:i
สะพาน	sa.pha:n
ป้าย	pa:i
นำกัน	nam.gan
ลับส่ง	lap.soŋ
สอน	sɔ:n
ก้อนเมก	gɔ:n.me:k
เกียก	gi:ak
ความคิด	khwa:m.khit
นะ	na
หนัก	nak
เซี้ยวซาน	si:ao.sa:n
มัด	mat
ลูบพาบ	lu:p.phap
เปียบเทียบ	pi:ap.thi:ap
สุพาบ	su.pha:p
พุ้นหละ	phun.la
เคียง	khi:aŋ
ญ้อง	ɲɔ:ŋ
เพิ่น	phən
หลังคา	laŋ.ka:
ปอก	pɔ:k
พาชะนะ	pha:.cha.na
ชักโคก	chak.kho:k
ฟอง	fɔ:ŋ
เซเว้น	se:.wen
เปี่ยง	pi:aŋ
หมุน	mun
ซุม	sum
ปอบ	pɔ:p
พุโดยสาน	phu.do:i.sa:n
ทัมมะซาด	tham.ma.sa:t
เกีย	gi:a
วันพุด	wan.phut
นั้นหนะ	nan.na
หล่อเลี้ยง	lɔ:.li:aŋ
ตีน	ti:n
จ่อย	jɔ:i
มะเล็ด	ma.let
ทุละกิด	thu.la.git
เหลว	le:o
เปี้ยน	pi:an
ผม	phom
ถัง	thaŋ
ถอด	thɔ:t
เอ่ย	ə:i
สะดวก	sa.du:ak
วันจัน	wan.jan
กะเดย	ga.də:i
ซง	soŋ
อะนาคด	a.na:.khot
สาสะนา	sa:.sa.na:
ฝ่าตีน	fa:.ti:n
ฮ่ม	hom
ละ	la
ตง	toŋ
ไข่	khai
ส่วนหลาย	su:an.la:i
มื้อแก้ง	mʉ:.gɛ:ŋ
ห่าง	ha:ŋ
ล้านอาหาน	la:n.a:.ha:n
สะหว้ายน้ำ	sa.wa:i.na:m
เท่าใด	thao.dai
งัว	ŋu:a
ส้มตำ	som.tam
คิว	kiu
ปุย	pui
หญัง	ɲaŋ
สะหนามกีลา	sa.na:m.gi:.la:
อย่างเซ้น	ya:ŋ.sen
ขั้วน	khu:an
เซ็ก	sek
ตามสั่ง	ta:m.saŋ
แห่ง	hɛŋ
แก่	gɛ:
บ่าไหล่	ba:.lai
หนึ่ง	nʉŋ
ย๊น	yon
ด้น	don
หมอฟัน	mɔ:.fan
สะหมุด	sa.mut
เพี่ย	phi:a
งา	ŋa:
โบก	bo:k
แนวกิน	nɛ:o.gin
แข้ว	khɛ:o
ขีด	khi:t
ล้า	la:
สุด	sut
เติบ	tə:p
เดิ่น	də:n
ส่าย	sa:i
ค้อย	khɔ:i
ลดเม	lot.me:
ดง	doŋ
ตาเบิ่ง	ta:.bəŋ
ซ่าด	sa:t
มิด	mit
น้ำตา	na:m.ta:
กะปอง	ga.pɔŋ
ตาหน่าย	ta:.na:i
เอเซีย	e:.si:a
เก็บ	gep
หูฟัง	hu:.faŋ
ปาด	pa:t
มุง	muŋ
อ่วย	u:ai
มื้ออื่น	mʉ:.ʉ:n
ปอดพัย	pɔ:t.phai
เลียบ	li:ap
เด่ะ	de
บาด	ba:t
วาง	wa:ŋ
กู	gu:
มากมาย	ma:k.ma:i
บาท	ba:t
หน้าตา	na:.ta:
วัดทะนะทัม	wat.tha.na.tham
สะหนาม	sa.na:m
ปึก	pʉk
เคิ่ง	khəŋ
ซ่างตัดผม	sa:ŋ.tat.phom
นิ้วตีน	niu.ti:n
ซัด	sat
เก้าอี้	gao.i:
อาลม	a:.lom
บักพ้าว	bak.pha:o
ซ่อย	sɔ:i
เข้าเซ้า	khao.sao
อยาก	ya:k
ฮ่อน	hɔn
เอทีเอ็ม	e:.thi:.em
ดุ	du
หลับ	lap
ดาก	da:k
อะพิทัม	a.phi.tham
แฟน	fɛ:n
สำลอง	sam.lɔ:ŋ
เซ้น	sen
เท่านี้	thao.ni:
กิ่น	gin
พาบถ่าย	pha:p.tha:i
ต่อสู้	tɔ:.su:
ทาง	tha:ŋ
นักเลียน	nak.li:an
เฮ็ดไฮ่	het.hai
ปับ	pap
คือใดบุ	khʉ:.dai.bu
โมง	mo:ŋ
อะวัยยะวะ	a.wai.ya.wa
ป่วย	pu:ai
โซ	so:
เอ่าะเญาะ	ɔ.ɲɔ
สิงหาคม	siŋ.ha:.khom
หัน	han
ยานพาหะนะ	ya:n.pha:.ha.na
แกะ	gɛ
ป้องกัน	pɔŋ.gan
ฮ้อง	hɔ:ŋ
หลังกะสี	laŋ.ga.si:
ง่าย	ŋa:i
ข้อต่อ	khɔ:.tɔ:
เหงียก	ŋi:ak
โลงพะยาบาน	lo:ŋ.pha.ya:.ba:n
เหลียว	li:ao
ทำล้าย	tham.la:i
หัวขวัน	hu:a.kwan
แล้ว	lɛ:o
ความฝัน	khwa:m.fan
เสียง	si:aŋ
หลุด	lut
น้อ	nɔ:
หลัก	lak
ลุล่วง	lu.lu:aŋ
ปิด	pit
ซะสั้น	sa.san
ดึก	dʉk
โจน	jo:n
ส้ม	som
หลบซ้อน	lop.sɔn
จังหวะ	jaŋ.wa
หนั้นหละ	nan.la
กะจก	ga.jok
ส่วนปะกอบ	su:an.pa.gɔ:p
คือกัน	khʉ:.gan
อยากหัว	ya:k.hu:a
ไหว	wai
ดูแล	du:.lɛ:
เป็ด	pet
เพงซาด	phe:ŋ.sa:t
ลิบบิ้น	lip.bin
ญาว	ɲa:o
โซ้	so:
ทำบุน	tham.bun
ตะเว็น	ta.wen
ตำบักหุ่ง	tam.bak.huŋ
ไอ	ai
เกี่ยว	gi:ao
มุ่น	mun
ด้วยกัน	du:ai.gan
จ่ง	joŋ
มัก	mak
พาบ	pha:p
จา	ja:
สะ	sa
สอด	sɔ:t
ญาด	ɲa:t
พัดลม	phat.lom
ล้าง	la:ŋ
เห็น	hen
แบ็ด	bɛt
ลอย	lɔ:i
พะลังงาน	pha.laŋ.ŋa:n
ท้อน	thɔ:n
ลูกซาย	lu:k.sa:i
ผัว	phu:a
นา	na:
หอบ	hɔ:p
เด็ก	dek
แต่ง	tɛŋ
มา	ma:
ในเมียง	nai.mi:aŋ
หูหนวก	hu:.nu:ak
เฮ็ดงาน	het.ŋa:n
นิ้วโป้	niu.po:
ไม้ไผ่	mai.phai
ลืม	lʉ:m
หลอด	lɔ:t
ฟ้าผ่า	fa:.pha:
กิน	gin
กาย	ga:i
ดวงจัน	du:aŋ.jan
หนุ่ม	num
แปงสีฟัน	pɛ:ŋ.si:.fan
แนวบำลุง	nɛ:o.bam.luŋ
ปะลิมาน	pa.li.ma:n
ล้อย	lɔ:i
ส้อมแซม	sɔm.sɛ:m
ฮู้สึกโต	hu:.sʉk.to:
หั้น	han
ก้น	gon
คก	khok
ลงทุน	loŋ.thun
ไว	wai
เหล็ก	lek
ตามีแฮง	ta:.mi:.hɛ:ŋ
หน้าฝน	na:.fon
ปึกสา	pʉk.sa:
หิ้ว	hiu
เฟียง	fi:aŋ
เดียว	di:ao
ตา	ta:
เป่า	pao
กะทะ	ga.tha
แต่ว่า	tɛ:.wa:
เฮ็ดนา	het.na:
สิ้น	sin
ซั่วโมง	su:a.mo:ŋ
สั่น	san
หญุ้งญาก	ɲuŋ.ɲa:k
เตียม	ti:am
ใน	nai
เมียงหลวง	mi:aŋ.lu:aŋ
สึม	sʉm
พับ	phap
อุ้ย	ui
น้องสาว	nɔ:ŋ.sa:o
ผ้าปูโต่ะ	pha:.pu:.to
ซัน	san
กัด	gat
ใส	sai
หงอน	ŋɔ:n
เซ็ด	set
เหล้า	lao
ผักบุ้ง	phak.buŋ
ส่วนโต	su:an.to:
หลงเหลีย	loŋ.li:a
ก่อกน้ำ	gɔk.na:m
แนวโกนหนวด	nɛ:o.go:n.nu:at
เฮ็ดกานเฮ็ดงาน	het.ga:n.het.ŋa:n
ตำหลวด	tam.lu:at
จักอย่าง	jak.ya:ŋ
ยาสีฟัน	ya:.si:.fan
ความฮ้อน	khwa:m.hɔ:n
บ่อน	bɔn
เตือนสะติ	tʉ:an.sa.ti
บันทัด	ban.that
ป่อง	pɔŋ
ใบหน้า	bai.na:
เหมิกเถิก	mə:k.thə:k
ขัน	khan
แซง	sɛ:ŋ
นอนหลับ	nɔ:n.lap
ตาม	ta:m
ซ่าง	sa:ŋ
หมา	ma:
ลบ	lop
ใน	nai
ถุง	thuŋ
ส่วนมาก	su:an.ma:k
ปาย	pa:i
หนะ	na
พอใจ	phɔ:.jai
น่วย	nu:ai
ตับ	tap
เคี้ยงหมาย	khi:aŋ.ma:i
ทันวาคม	than.wa:.khom
โพด	pho:t
หอมหัวแดง	hɔ:m.hu:a.dɛ:ŋ
เสย	sə:i
ขาว	kha:o
กอง	gɔ:ŋ
ล้านแนวกิน	la:n.nɛ:o.gin
ปี	pi:
พวก	phu:ak
ข้อย	khɔ:i
น้ำอัดลม	na:m.at.lom
ลู้จัก	lu:.jak
ข้า	kha:
เนินเขา	nə:n.khao
เคี่ยงคิดเลข	khi:aŋ.kit.le:k
ขั้น	khan
นั่ง	naŋ
เผ็ด	phet
ทาน	tha:n
สามแย้ก	sa:m.yɛ:k
ซู่	su:
ไถ	thai
งวง	ŋu:aŋ
ความลู้	khwa:m.lu:
วิดีโอ	wi.di:.o:
มืด	mʉ:t
ล้าน	la:n
หญอง	ɲɔŋ
สามาด	sa:.ma:t
ซม	som
ดืน	dʉ:n
ทูบ	thu:p
โลงบาน	lo:ŋ.ba:n
จ้อง	jɔŋ
ใก้	gai
บันได	ban.dai
ต่อไป	tɔ:.pai
ไหล้	lai
หัว	hu:a
กอน	gɔ:n
เข้าสาน	khao.sa:n
พุข้า	phu.kha:
ฮู้จัก	hu:.jak
เมสาย๊น	me:.sa:.yon
มื้อเซ้า	mʉ:.sao
ผูก	phu:k
แซมพู	sɛ:m.phu:
หยุด	yut
ส่ำ	sam
ตำ	tam
แห้น	hɛ:n
ผิดใจ	phit.jai
จ้อย	jɔ:i
บัดหนิ	bat.ni
ถี่	thi:
ผนละไม้	phon.la.mai
แมง	mɛ:ŋ
เด็กเสิบ	dek.sə:p
แอ	ɛ:
ข้อหล้อ	khɔ:.lɔ:
ขวด	khu:at
เก	ge:
ตอนนี้	tɔ:n.ni:
ตาซั่ง	ta:.saŋ
สาลาวัด	sa:.la:.wat
ปาก	pa:k
ฝาก	fa:k
ดับ	dap
อัด	at
ซ้วง	su:aŋ
บันทุก	ban.thuk
ท่อนไม้	thɔn.mai
แข่ง	khɛŋ
อย่า	ya:
แต่	tɛ:
ดวง	du:aŋ
ติ	ti
ลม	lom
ซะนะ	sa.na
กาแฟ	ga:.fɛ:
ลดตุ่กตุ่ก	lot.tuk.tuk
เมสา	me:.sa:
สั้น	san
ทุละ	thu.la
หนอง	nɔ:ŋ
นำ	nam
พั้ว	phu:a
หลุม	lum
ดอกไม้	dɔ:k.mai
อบอุ่น	op.un
มี	mi:
ดุ	du
บาด	ba:t
สุดท้อง	sut.thɔ:ŋ
ว่าแต่	wa:.tɛ:
แนวมัก	nɛ:o.mak
ลายกาน	la:i.ga:n
อี่สาน	i:.sa:n
ถืก	thʉ:k
ถืก	thʉ:k
เสี้ยผ้า	si:a.pha:
แนว	nɛ:o
เลข	le:k
กะดาด	ga.da:t
เวียดนาม	vi:at.na:m
ลวก	lu:ak
ถังขะยะ	thaŋ.kha.ya
อาดจะ	a:t.ja
หวาน	wa:n
อ่มๆ	om
อาซีบ	a:.si:p
ลด	lot
ถาด	tha:t
เข้า	khao
ตกใจ	tok.jai
ปากด	pa:.got
ฟ้า	fa:
ข้าม	kha:m
แหน้น	nɛn
กุนแจ	gun.jɛ:
ปานใด	pa:n.dai
เบีย	bi:a
เข้าสวย	khao.su:ai
ไหล่	lai
ผ้าห่ม	pha:.hom
นัด	nat
โจ้น	jo:n
โกน	go:n
ทา	tha:
ซ้อน	sɔ:n
แต่งงาน	tɛŋ.ŋa:n
ไป	pai
ทะหาน	tha.ha:n
หิว	hiu
กันไก	gan.gai
โด่งดัง	do:ŋ.daŋ
หนวด	nu:at
พิดสุนักบ้า	phit.su.nak.ba:
ก้าม	ga:m
ฮำ	ham
สอง	sɔ:ŋ
เบก	be:k
ล่วมกัน	lu:am.gan
เม็ดพัน	met.phan
ลักสะนะ	lak.sa.na
แป	pɛ:
เบาะนั่ง	bɔ.naŋ
โดด	do:t
ออก	ɔ:k
ใต้	tai
เค็ม	khem
เสียใจ	si:a.jai
ฮึ	hʉ
กับเข้า	gap.khao
หมอ	mɔ:
บุ	bu
ต้ม	tɔm
แบ้ง	bɛŋ
ทัน	than
ซ้อนซา	sɔ:n.sa:
ยินดี	yin.di:
เผี้ย	phi:a
พะนม	pha.nom
กันญาย๊น	gan.ɲa:.yon
ทาน	tha:n
โดน	do:n
น่อ	nɔ:
แบน	bɛ:n
แนวญก	nɛ:o.ɲok
มื้อนี้	mʉ:.ni:
แมงหวี่	mɛ:ŋ.wi:
ห่อ	hɔ:
ตกแต่ง	tok.tɛŋ
อ่างล้างหน้า	a:ŋ.la:ŋ.na:
บันชี	ban.chi:
ส้อย	sɔ:i
แข็งแลง	khɛŋ.lɛ:ŋ
กอบ	gɔ:p
ใหม่	mai
นับ	nap
แก่งจ่างป่าง	gɛŋ.ja:ŋ.pa:ŋ
ใบเส็ด	bai.set
แลก	lɛ:k
โน่ดบุ่ก	no:t.buk
หมู	mu:
ลูบพาบถ่าย	lu:p.pha:p.tha:i
เลว	le:o
สะมาชิก	sa.ma:.chik
ดำไฮ่ดำนา	dam.hai.dam.na:
กาง	ga:ŋ
