زرتشتی	zæɾtoʃtiː
پرسش	poɾseʃ
ایده	iːde
مشابه	moʃɒːbe
گریز زدن	ɡoɾiːzzædæn
جاده کشیدن	d͡ʒɒːddekeʃiːdæn
جبر	d͡ʒæbɾ
رو پوشانی	ɾuːpuːʃɒːniː
چربی	t͡ʃæɾbiː
اکتبر	oktobɾ
صرع	sæɾ
استراتفورد	estɾɒːtfoɾd
سنگسار	sænɡsɒːɾ
شبیخون	ʃæbiːxuːn
مد	mod
بقالی	bæɢɒːliː
شیردل	ʃiːɾdel
اعدام کردن	eʔdɒːmkæɾdæn
مترادف	motæɾɒːdef
خشمگین	xæʃmɡiːn
صبور	sæbuːɾ
زیاد	ziːjɒːd
گل	ɡel,ɡol,ɡol
بازیهای رایانه	bɒːziːhɒːjeɾɒːjɒːne
مهمان	mehmɒːn
خیزش	xiːzeŝ
کوکب	kouːkæb
طب سوزنی	tebbesuːzæniː
جاوی	d͡ʒɒːviː
علامت جمع	ʔælɒːmæted͡ʒæmʔ
اوکراینی	uːkɾɒːiːniː
ارائه دادن	eɾɒːʔedɒːdæn
باغ	bɒːğ,bɒːɢ
امر	æmɾ
آذری	ɒːzæɾiː
چمبر زدن	t͡ʃæmbæɾzædæn
نشین	neʃiːn
خودنمایی کردن	xodnæmɒːiːkæɾdæn
ميانه	miːjɒːne,miːjɒːnæ
کنونی	konuːniː
عذاب آمدن	æzɒːbɒːmædæn
اشتباه کردن	eʃtebɒːhkæɾdæn
هلال احمر	helɒːleæhmæɾ
اتود زدن	etuːdzædæn
بال بال زدن	bɒːlbɒːlzædæn
گردن گرفتن	ɡæɾdænɡeɾeftæn
جراحی	d͡ʒæɾɾɒːhiː
نای	nɒːj
بانگ کشیدن	bɒːnɡkeʃiːdæn
موش شبگرد	muːʃeʃæbɡæɾd
فرزند	fæɾzænd
کونی	kuːniː
تولید	touːliːd
برهنگی	beɾæhneɡiː
دیر	dejɾ,diːɾ
جدا	d͡ʒeddæn
رضایت دادن	ɾezɒːjætdɒːdæn
رامن	ɾɒːmen
ایگوانا	iːɡvɒːnɒː
بت	bot
با یک تیر دو نشان زدن	bɒːjektiːɾdoneʃɒːnzædæn
شهادت	ʃæhɒːdæt
خفتان	xæftɒːn
زبان میانجی	zæbɒːnemiːjɒːnd͡ʒiː
نیاهندواروپایی	niːjɒːhendooɾuːpɒːjiː
یخچال	jæxt͡ʃɒːl
میوآن	mjuːɒːn
آشوب	ɒːʃuːb
عاريه	ɒːɾiːje
انگلیسی آمریکایی	enɡeliːsiːjeɒːmɾiːkɒːjiː
زبان اودی	zæbɒːnuːdiː
ریاضی	ɾiːjɒːziː
چدن	t͡ʃodæn
پرگار	pæɾɡɒːɾ
بی‌معنی	biːmæʔniː
قید زدن	ɢejdzædæn
شستشو	ʃosteʃuː
پیرزن	piːɾezæn
کیف پول	kiːfepuːl
انترناسیونال	enteɾnɒːsjuːnɒːl
عنان زدن	ænɒːnzædæn
فقر	fæɢɾ
نئره	næɾe
آبستنی	ɒːbestæniː
خوره	xoɾe
شست	ʃæst
تشکیل شدن	tæʃkiːlʃodæn
تخمه	toxmæ
چهچهه کردن	t͡ʃæht͡ʃæhekæɾdæn
زیر	ziːɾ
توگوشی	tuːɡuːʃiː
رنج دادن	ɾænd͡ʒdɒːdæn
هنر	honæɾ
اقتصاد	eɢtesɒːd
حدس زدن	hædszædæn,hædszædæn
نظر خوردن	næzæɾxoɾdæn
پسند	pæsænd
ژنو	ʒenev
پدرخوانده	pedæɾxwɒːnde
مردمسالاری	mæɾdomsɒːlɒːɾiː
سوسیالیستی	sosiːjɒːliːstiː
سورینام	suːɾiːnɒːm
ببخشید	bebæxʃiːd
اطاق خواب	otɒːɢexɒːb
شیون	ʃiːvæn
بجز	bed͡ʒoz
تعلق	tæʔælloɢ
پیشین	piːʃiːn
آدامس	ɒːdɒːms
نیایش	niːjɒːjeʃ
مهاچین	mæhɒːt͡ʃiːn
وول خوردن	vuːlxoɾdæn
بهانه کردن	bæhɒːnekæɾdæn
طغیان کردن	toɢjɒːnkæɾdæn
آهوبره	ɒːhuːbæɾɾe
فلسفه اخلاق	fælsæfejeæxlɒːɢ
نابه هنگام	nɒːbehænɡɒːm
ذهن	zehn
ماهی مرکب	mɒːhiːjemæɾkæb
عقرب	ʔæɢɾæb,æɢɾæb
پادزهر	pɒːdzæhɾ
موشک	muːʃæk
باکره	bɒːkeɾe
چندک	t͡ʃondæk
پادرد	pɒːdæɾd
سده	sæde
بالا کشیدن	bɒːlɒːkeʃiːdæn
یاس شیروانی	jɒːseʃiːɾvɒːniː
هفتم	hæftom
پستاندار	pestɒːndæɾ,pestɒːndɒːɾ
قندوز	ɢonduːz
چرت زدن	t͡ʃoɾtzædæn,t͡ʃoɾtzædæn
تبخال زدن	tæbxɒːlzædæn
پس فردا	pæsfæɾdɒː
لاجورد	lɒːd͡ʒvæɾd
تصنيف هجائی	tæsniːfehed͡ʒɒːʔiː
بیل	biːl
سنگین	sænɡiːn
پخ	pæx
هفده	hefdæh,hefdæʔ
کار گروهی	kɒːɾeɡoɾuːhiː
بنانج	bænɒːnd͡ʒ
هستی	hæstiː,hæsiː
رأی	ɾɒːʔiː
دنبال	donbɒːl
کانال	kɒːnɒːl
هرچند	hæɾt͡ʃænd
حمل کردن	hæmlkæɾdæn
یقین کردن	jæɢiːnkæɾdæn
ادامه یافتن	edɒːmejɒːftæn
گلوله بستن	ɡoluːlebæstæn
فهرست پی‌گیری‌ها	fehɾestepejɡiːɾiːhɒː
آگهی دادن	ɒːɡæhiːdɒːdæn
کونگ فو	kuːnɡfuː
پوتین	puːtiːn
ساروج	sɒːɾuːd͡ʒ
بشارت دادن	beʃɒːɾætdɒːdæn
دارم می‌خواهم	dɒːɾæmmíxɒːhæm
سر کشیدن	sæɾkeʃiːdæn
آبجو	ɒːbd͡ʒoʊ,ɒːbd͡ʒo
ناگهان	nɒːɡæhɒːn
انسان	ensɒːn
بخواه	bexɒːh
گورکن	ɡuːɾkæn
شوت زدن	ʃuːtzædæn
انباشتن	ænbɒːʃtæn
برنامه	bæɾnɒːme
برجستگی	bæɾd͡ʒæsteɡiː
کشور	keʃvæɾ
راگبی	ɾɒːɡbiː
روزه	ɾozæ,ɾuːze
همدستی	hæmdæstiː
بروکسل	bɾuːksel
قطره	ɢætɾe
فراموشکاری زدن	fæɾɒːmuːʃkɒːɾiːzædæn
کتابخانه	ketɒːbxɒːne
انتقام	enteɢɒːm
پیامک زدن	pæjɒːmækzædæn
دکتر زایمان	doktoɾezɒːjemɒːn
ژئودزی	ʒeodeziː
عذرخواهی کردن	ozɾxɒːhiːkæɾdæn
فوران	fævæɾɒːn
خطاب کردن	xætɒːbkæɾdæn
ستاره داوود	setɒːɾejedævuːd
زندگی	zendeɡiː,zendæɡiː
پنجشنبه	pænd͡ʒʃænbe
جاسوسی	d͡ʒɒːsuːsiː
خیابان	xiːɒːbɒːn,xiːjɒːbɒːn
عرفانی	eɾfɒːniː
ضربه	zæɾbe
توفا	tuːfɒː
کوکاکولا	kokɒːkolɒː
دو زن داری	dôzændɒːɾiː
پسته	peste
پدر و مادر	pedæɾomɒːdæɾ,pedæɾvæmɒːdæɾ
بغداد	bæɢdɒːd
تمساح	temsɒːh
گوراسب	ɡuːɾɒːsb
ابر اورت	æbɾeuːɾt
تلاش	tælɒːʃ
جوانی	d͡ʒævɒːniː
عائله	ʔɒːʔiːle
چوب	t͡ʃuːb
بغل گرفتن	bæɢælɡeɾeftæn
جلو	d͡ʒeloʊ,d͡ʒolo,d͡ʒelo,d͡ʒeloʊ
جزجز کردن	d͡ʒezd͡ʒezkæɾdæn
داس	dɒːs
آشپز	ɒːʃpæz
بوق	buːɢ
فهرست کردن	fehɾestkæɾdæn
پس غذا	pæsɢæzɒː
رودست زدن	ɾuːdæstzædæn
عراقی	ʔeɾɒːɢiː
طلوع کردن	toluːʔkæɾdæn
سپاسگزار	sepɒːsɡozɒːɾ
گلو	ɡæluː
شمعدان	ʃæmʔædɒːn
می‌خواهم	míxɒːhæm
سپوتنیک	spuːtniːk
توگوشی زدن	tuːɡuːʃiːzædæn
بیگانه	biːɡɒːnæ,biːɡɒːne
پارکور	pɒːɾkuːɾ
دهن  دهان	dæhæn
ورق  خوردن	væɾæɢxoɾdæn
شاخ زدن	ʃɒːxzædæn
ساتور	sɒːtuːɾ
تگرگ	tæɡæɾɡ
پیانو فورته	piːɒːnofoɾte
امضا	emzɒː
پیشرفت کردن	piːʃɾæftkæɾdæn
گویان	ɡuːjɒːn
گل خوردن	ɡolxoɾdæn
پیچ‌گوشتی	piːt͡ʃɡuːʃtiː
بدرود	bedɾuːd
چوپون	t͡ʃuːpuːn
نعره	næ’ɾe
میخ زدن	miːxzædæn
قاچ	ɢɒːt͡ʃ
دهه	dæhe
نیشخند	niːʃxænd
خمپاره	xompɒːɾe
بیرون	biːɾuːn
مجارستانی	mæd͡ʒɒːɾestɒːniː
گوش	ɡuːʃ
چک زدن	t͡ʃækzædæn
پماد زدن	pomɒːdzædæn
نراد	næɾɒːd
دور انداختن	duːɾændɒːxtæn
نگاه انداختن	neɡɒːhændɒːxtæn
شبنم زدن	ʃæbnæmzædæn
آدیس آبابا	ɒːdiːsɒːbɒːbɒː
گذر کردن	ɡozæɾkæɾdæn
روشنک	ɾoʊʃænæk
برمه‌ای	beɾmeʔɒːjiː
آبجو زدن	ɒːbd͡ʒozædæn
تمام کردن	tæmɒːmkæɾdæn
آبخازیه	ɒːbxɒːziːje
پرواز دادن	pæɾvɒːzdɒːdæn
سرمایه‌گذاری کردن	sæɾmɒːjeɡozɒːɾiːkæɾdæn
تلمبه	tolombe
کمردرد	kæmæɾdæɾd
نیمسال تحصیلی	niːmsɒːltæhsiːliː
بالکن	bɒːlkon
آب‌سنگ	ɒːbsænɡ
م‍ﮩ‍ر	mohoɾ
سیم	siːm
رستاخیز شدن	ɾæstɒːxiːzŝodæn
چاک زدن	t͡ʃɒːkzædæn
تشکیل دادن	tæʃkiːldɒːdæn
گوجه فرنگی	ɡod͡ʒefæɾænɡiː
میکال	miːkɒːl
دلو	dæluː
من	mæn
المپیک	olæmpiːk
ژامبون	ʒɒːmbon
پیوند زدن	pejvændzædæn
ناخوشی زدن	nɒːxoʃiːzædæn
تاسیس کردن	tæʔsiːskæɾdæn
مس	mes
چهار گوش	t͡ʃæhɒːɾɡuːʃ
هاوائ	hævɒːiː
مجازات کردن	mod͡ʒɒːzɒːtkæɾdæn
گرفت	ɡeɾeft
پشه	pæʃe
روبل	ɾuːbl
آذرخش	ɒːzæɾæxʃ
نیشگون	niːʃɡuːn
جادوی سیاه	d͡ʒɒːduːjesiːjɒːh
ارابه	æɾɾɒːbe,æɾɒːbe
زلزله‌شناسی	zelzeleʃenɒːsiː
زجر کشیدن	zæd͡ʒɾkeʃiːdæn
رایانه	ɾɒːjɒːne
مانند	mɒːnænd
روسیه	ɾuːsiːje
فردا	fæɾdɒː
آموختن	ɒːmuːxtæn
ارشاد کردن	eɾʃɒːdkæɾdæn
فروزان	fɾuːzɒːn
عصا	æsɒː
تن دادن	tændɒːdæn
کیمیا	kiːmiːjɒː
روح	ɾuːh
شهمات	ʃɒːhmɒːt
فلوت	fluːt
زبان آمدن	zæbɒːnɒːmædæn
متشکرم	moteʃækeɾæm
سرباز نیزه‌دار	sæɾbɒːzenejzedɒːɾ
پوست بیضه	puːstebejze
شرکت کردن	ʃeɾkætkæɾdæn
پیشکش	piːʃkæʃ,piːʃkeʃ
ختم شدن	xætmʃodæn
یادآوری	jɒːdɒːvæɾiː
توکان	tuːkɒːn
رقّاص	ɾæɢɢɒːs
جرمن شپرد	d͡ʒæɾmænʃepæɾd
تاکید	tæʔkiːd
تلگراف	teleɡɾɒːf
پخش شدن	pæxʃʃodæn
یائسگی	jɒːeseɡiː
ترکی عثمانی	toɾkiːjeʔosmɒːniː
کناره گیری	kenɒːɾeɡiːɾiː
واکسن کردن	vɒːksænkæɾdæn
خارگیل	xɒːɾɡiːl
اقرار کردن	eɢɾɒːɾkæɾdæn
اسرائیلی	esɾɒːʔiːliː
زرّافه	zæɾɾɒːfe
سی‌دی	siːdiː
دشنام	doʃnɒːm
لاک زدن	lɒːkzædæn
بخاری	boxɒːɾiː
مرسی	meɾsiː
سر زدن	sæɾzædæn
دمبل زدن	dæmbelzædæn
چمپداک	t͡ʃæmpædɒːk
سراغ	soɾɒːɢ
چرک	t͡ʃoɾæk,t͡ʃeɾk
خواستند	xɒːstænd
انگيختار	ænɡiːxtɒːɾ
الان	ælɒːn
بلوز	boluːz,bluːz
موتورسیکلت	motoɾsiːklet
ساعت یک و نیم	sɒːʔætjekoniːm
دیگ به دیگ می‌گه روت سیاه	diːɡbediːɡmiːɡeɾuːtsiːjɒːh
نوزده	nuːzdæh
جاوه	d͡ʒɒːve
عقل	æɢæl
پی	piː,pej
اصابت کردن	esɒːbætkæɾdæn
حل کردن	hælkæɾdæn,hællkæɾdæn
گاز گرفتن	ɡɒːzɡeɾeftæn
باور دادن	bɒːvæɾdɒːdæn
که	ke,kæh,koh
نصب	næsb
دخالت	dexɒːlæt
داغ خوردن	dɒːɢxoɾdæn
مجاری	mæd͡ʒɒːɾiː
روغن زدن	ɾoʊɢænzædæn
تجویز	tæd͡ʒviːz
پسر برادر	pesæɾebæɾɒːdæɾ
ناف	nɒːf
قهقهه زدن	ɢæhɢæhezædæn
چپق	t͡ʃopoɢ
رنگارنگ	ɾænɡɒːɾænɡ
خط کشیدن	xætkeʃiːdæn
رقص عربی	ɾæɢsʔæɾæbiː
دست اره	dæstæɾɾe
اسکوپیه	iːskopiːjæh
دخپسر	doxpesæɾ
هواپيما	hævɒːpejmɒː
تعیین	tæʔiːn
رقم	ɾæɢæm
خواسته	xɒːste
همدستی در جرم	hæmdæstiːdæɾd͡ʒoɾm
رودست	ɾuːdæst
دونقطه	donoɢte
تحریم‌	tæhɾiːm
آخور	ɒːxoɾ
نامزدن	nɒːmzædæn
امروز صبح	emɾuːzsobh
سپاس	sepɒːs
قیماغ	ɢejmɒːɢ
طاعون	tɒːʔuːn
ادراری	edɾɒːɾiː
شهریور	ʃæhɾiːvæɾ
برچسب	bæɾt͡ʃæsb
ماجورو	mɒːd͡ʒoɾo
پر دادن	pæɾdɒːdæn
سرمه‌ای	soɾmejiː
خیانت کردن	xiːɒːnætkæɾdæn
بلروسى	belæɾuːsiː
دورواژ	duːɾvɒːʒ
وجد	væd͡ʒd
چانه	t͡ʃɒːne
نتیجه	nætiːd͡ʒe
پرسپولیس	peɾspoliːs
انرژی هسته‌ای	eneɾʒiːjehæsteʔiː
ابلاغ	eblɒːɢ
پس گردنی	pæsɡæɾdæniː
مؤدب	moʔæddæb
ناله	nɒːle,nɒːlæ
آسیب رسیدن	ɒːsiːbɾesiːdæn
بی‌خیالی زدن	biːxiːjɒːliːzædæn
بژ	beʒ
ادویه زدن	ædviːjezædæn
کسل کننده	keselkonænde
فرودگاه	foɾuːdɡɒːh
مکیدن	mækiːdæn
شاه‌بلوط	ʃɒːhbæluːt
قوزک پا	ɢuːzækepɒː
چچنی	t͡ʃet͡ʃeniː
نی زدن	nejzædæn
عیسی مسیح	ʔiːsɒːmæsiːh
مچ	mot͡ʃ
بمب زدن	bombzædæn
سپهر	sepehɾ
خواب زدن	xɒːbzædæn
موژیک	muːʒiːk
بازی گرفتن	bɒːziːɡeɾeftæn
مالت	mɒːlt
لاندا	lɒːndɒː
پروتون	pɾuːtuːn
مات	mɒːt
جزجز زدن	d͡ʒezd͡ʒezzædæn
شنا کردن	ʃenɒːkæɾdæn
پیاله	piːɒːle
چنبر زدن	t͡ʃænbæɾzædæn
تمرین کردن	tæmɾiːnkæɾdæn
خودنویس	xodneviːs
بازی	bɒːziː
اسقف	osɢof
آذربایجانی	ɒːzæɾbɒːjd͡ʒɒːniː
نقاشی	næɢɢɒːʃiː
فقیر	fæɢiːɾ
آوریل	ɒːvɾîl
کاروان‌سرا	kɒːɾvɒːnsæɾɒː
دلداده	deldɒːde
آمیزش	ɒːmiːzeʃ
محاصره شدن	mohɒːseɾeʃodæn
پشتو	pæʃto
جواب	d͡ʒævɒːb
ساعت یک و ربع	sɒːʔætjekoɾobʔ
اسرائیل	esɾɒːʔiːl
پيش شرط	piːʃʃæɾt
قلمه خوردن	ɢælæmexoɾdæn
لبی	læbiː
اوردن	ovoɾdæn
قاپ	ɢɒːp
بلوف	bolof
قیمق	ɢejmæɢ
اتازونی	etɒːzuːniː
ژاکت	ʒɒːket
مایع	mɒːjeʔ
تبلیغ	tæbliːɢ
مهر خوردن	mohɾxoɾdæn
شیرجه	ʃiːɾd͡ʒe
هرازدان	heɾɒːzdɒːn
اقلیم‌شناسی	eɢliːmʃenɒːsiː
مسیحی	mæsiːhiː
حسابدار	hesɒːbdɒːɾ
آلاسکا	ɒːlæskæ
امتحان دادن	emtehɒːndɒːdæn
حس	hes
ترکی	toɾkiː
ساموآ	sɒːmoɒː
عوض شدن	ævæzʃodæn
ترسو	tæɾsuː
باریدن	bɒːɾiːdæn
تخم‌دان	toxmdɒːn
بلن کردن	bolænkæɾdæn
کاست	kɒːst
وضو	vozuː
یا	jɒː
حمام	hæmmɒːm
حزب	hezb
وزن کردن	væznkæɾdæn
کمان زنبورکی	kæmɒːnezænbuːɾækiː
خرج شدن	xæɾd͡ʒʃodæn
برگزیده	bæɾɡoziːde
فراموشی زدن	fæɾɒːmuːʃiːzædæn
تسکین	tæskiːn
ورزشگاه	væɾzeʃɡɒːh
بادبان	bɒːdbɒːn
صفت برترین	sefætebæɾtæɾiːn
آشپزی	ɒːʃpæziː
یاکوتسک	jækuːtsk
کارناوال	kɒːɾnɒːvɒːl
عرش	ʔæɾʃ
جهان	d͡ʒæhɒːn
لب گرفتن	læbɡeɾeftæn
قایق اژدها	ɢɒːjeɢeʒdehæ
زنبور زدن	zænbuːɾzædæn
کیسه بیضه	kiːsejebejze
بیدار کردن	biːdɒːɾkæɾdæn
اسلامی	eslɒːmiː
ترسناک	tæɾsnɒːk
بی‌شمار	biːʃomɒːɾ
معجزه	moʔd͡ʒeze
نژادپرستی	neʒɒːdpæɾæstiː
سازدهنی زدن	sɒːzdæhæniːzædæn
دریاچهٔ مازندران	dæɾjɒːt͡ʃejiːmɒːzændæɾɒːn
مقعد	mæɢʔæd
الکترونی	elekteɾoniː
فاصله مجازی	fɒːselejemæd͡ʒɒːziː
رستاخیز	ɾæstɒːxiːz
شما را	ʃomɒːɾɒː
چنگك	t͡ʃænɡæk
تلافی	tælɒːfiː
گواوا	ɡvɒːvɒː
قوس	ɢoʊs
نیمه‌عمر	niːmeʔomɾ
گول خوردن	ɡuːlxoɾdæn
تغییرمسیر	tæɢjiːɾemæsiːɾ
رده بندی	ɾædebændiː
آتش‌فشان	ɒːteʃfeʃɒːn
ادامه دادن	edɒːmedɒːdæn
ارتداد	eɾtedɒːd
گرگینه	ɡoɾɡiːne
ژاپنی	ʒɒːponiː
تخته نرد زدن	tæxtenæɾdzædæn
فندک	fændæk
شاهکار	ʃɒːhkɒːɾ
درونی	dæɾuːniː
جر	d͡ʒeɾ
رنگ زدن	ɾænɡzædæn
مارکس	mɒːɾks
هیجده	hiːd͡ʒdæh
ویتنام	viːjætnɒːm
جلق زدن	d͡ʒælɢzædæn
بر داشتن	bæɾdɒːʃtæn
پشه زدن	pæʃezædæn
جناس	d͡ʒenɒːs
بربخ	bæɾbæx
خیابان زدن	xiːɒːbɒːnzædæn
شوهرعمه	ʃoʊhæɾæmme
تغییر کردن	tæɢʔiːɾkæɾdæn
زلاند جدید	zelɒːnded͡ʒædiːd
بارود	bɒːɾuːd
استاندارد	estɒːndɒːɾd
بسنده	bæssænde
تحمل	tæhæmmol
پاک کردن	pɒːkkæɾdæn
کیر	kiːɾ
تصاحب	tæsɒːhob
عزیز	æziːz,ʔæziːz
آشتی دادن	æʃtiːdɒːdæn
غش و ضعف	ɢæʃozæʔf
سقف	sæɢf
اینجا	iːnd͡ʒɒː
خلیفه	xæliːfe
