memberitahukan	məmbˌɛritahˈukan
sanggau	sˈaŋɡa͡ʊ
tepukan	təpˈukan
bermasalah	bərmasˈalah
Pr	pˌeər
molekulnya	mˌoləkˈulɲa
sitkom	sˈitkom
penunjuk	pənˈund͡ʒuk
ikutilah	ˌikutˈilah
MKG	ˌɛmkˌaɡˈe
Manunggal	manˈuŋɡal
sitokin	sitˈokin
arti	ˈarti
pengawalan	pəŋawˈalan
subordinat	sˌubɔrdˈinat
liang	lˈiaŋ
Sesko	sˈɛsko
penyambung	pəɲˈambuŋ
ICM	ˈit͡ʃm
intelektualitasnya	ˌintəlˌɛktuˌalitˈasɲa
ucapannya	ˌut͡ʃapˈanɲa
Arloji	arlˈod͡ʒi
CLC	t͡ʃˌeəlt͡ʃˈe
Kudamati	kˌudamˈati
Dhabi	dhˈabi
Elit	ˈɛlit
permen	pˈɛrmən
Padangan	padˈaŋan
Nash	nˈash
Bypass	bjpˈas
Soup	sˈoup
Gastritis	ɡastrˈitis
Choo	χˈoo
mempesona	məmpəsˈona
Opening	opˈɛniŋ
mempublikasikan	məmpˌublikasˈikan
buktinya	buktˈiɲa
Cappuccino	t͡ʃˌaput͡ʃt͡ʃˈino
Internship	intˈɛrnship
Ladin	lˈadin
Insulin	insˈulin
dinamo	dinˈamo
menginformasikannya	məŋˌinfɔrmˌasikˈanɲa
terkininya	tərkinˈiɲa
subsidi	subsˈidi
bernilai	bərnˈila͡ɪ
Kedele	kədˈɛlə
Terapkan	tərˈapkan
superioritas	sˌupərˌiɔrˈitas
Alias	alˈias
Bucks	bˈut͡ʃks
heteroskedastisitas	hˌɛtərˌoskədˌastisˈitas
terdengar	tərdˈɛŋar
pengunduran	pəŋundˈuran
Brajan	brˈad͡ʒan
Unipa	unˈipa
kabag	kˈabaɡ
Sprinter	sprˈintər
xanthones	zanthˈonəs
Nurbaya	nurbˈaja
flek	flˈɛk
Baturiti	bˌaturˈiti
empirisme	ˌɛmpirˈismə
mengharamkan	məŋharˈamkan
rubel	rˈubəl
Bius	bˈius
beralih	bərˈalih
ditawarkan	dˌitawˈarkan
Pameungpeuk	pˌaməuŋpˈɛuk
Memproduksi	məmprodˈuksi
SIAP	sˈiap
Idling	ˈidliŋ
DED	dˈɛd
Antibodi	ˌantibˈodi
Pt	pˌetˈe
terselenggara	tərsˌɛləŋɡˈara
penggunaa	pəŋɡunˈaa
Goetze	ɡˈutzə
menginspirasinya	məŋˌinspirasˈiɲa
Nagan	nˈaɡan
keuletan	kəulˈɛtan
Patahan	patˈahan
Tebal	tˈɛbal
SHINee	shˈinˈɛə
nira	nˈira
preference	prˌɛfərˈɛnt͡ʃə
Kristus	krˈistus
Prince	prˈint͡ʃə
Driyorejo	drˌijɔrˈɛd͡ʒo
empedu	əmpˈɛdu
Ciputra	t͡ʃipˈutra
eksplisit	əksplˈisit
ceritakan	t͡ʃˌɛritˈakan
penalaran	pənalˈaran
menyeruak	məɲərˈuak
pile	pˈilə
Alvarez	alvˈarəz
realisme	rˌɛalˈismə
manager	manˈaɡər
Sungguh	sˈuŋɡuh
zikir	zˈikir
pengharum	pəŋhˈarum
penyebar	pəɲˈɛbar
Return	rˈɛturn
tiba	tˈiba
Narendra	narˈɛndra
Kanjuruhan	kˌand͡ʒurˈuhan
targeting	tarɡˈɛtiŋ
GORONTALO	ɡˌɔrontˈalo
packing	pˈat͡ʃkiŋ
bersisa	bərsˈisa
Hendaknya	həndˈakɲa
Kazakhstan	kazˈaxstan
pengarungan	pəŋarˈuŋan
sedikit	sədˈikit
kaumnya	kˈa͡ʊmɲa
Casual	t͡ʃasˈual
Reboot	rəbˈoot
DOP	dˈop
Leci	lˈɛt͡ʃi
jajan	d͡ʒˈad͡ʒan
Minimum	minˈimum
Bohong	bˈohoŋ
Menyenangkan	məɲənˈaŋkan
PTKP	pˌetˌekˌapˈe
SELAMAT	səlˈamat
kontraktornya	kˌontraktˈɔrɲa
memintaku	məmintˈaku
peroksidase	pərˌoksidˈasə
Reflexology	rˌɛfləksˈoloɡj
via	vˈia
Gumelar	ɡumˈɛlar
Berpotensi	bərpotˈɛnsi
Subag	sˈubaɡ
reformis	rəfˈɔrmis
Aman	ˈaman
maksudku	maksˈudku
adit	ˈadit
Burgess	bˈurɡəs
lanskap	lˈanskap
Lionel	liˈonəl
SHOPPING	shˈopiŋ
GATT	ɡˈatt
pialang	piˈalaŋ
NFS	ˌɛnˌɛfˈɛs
gandanya	ɡandˈaɲa
Buaran	buˈaran
Superbrands	supˈɛrbrands
Atambua	ˌatambˈua
Hilman	hˈilman
Whites	whˈitəs
Pengontrolan	pəŋontrˈolan
Nagreg	nˈaɡrəɡ
Martanto	martˈanto
Ando	ˈando
eksim	ˈɛksim
AKUT	ˈakut
berisik	bərˈisik
Tigo	tˈiɡo
Kucuran	kut͡ʃˈuran
infrastuktur	ˌinfrastˈuktur
Azikin	azˈikin
er	ˈɛr
jemaatnya	d͡ʒˌɛmaˈatɲa
menceritakannya	mənt͡ʃˌɛritakˈanɲa
Jolly	d͡ʒˈolj
Doohan	doˈohan
Nurburgring	nurbˈurɡriŋ
konsultan	konsˈultan
gasa	ɡˈasa
waktuku	waktˈuku
Mardani	mardˈani
Noda	nˈoda
subtansial	sˌubtansˈial
lp	ˌɛlpˈe
Burundi	burˈundi
menambahkan	mənambˈahkan
Andil	ˈandil
Passing	pˈasiŋ
PJM	pˌed͡ʒˌeəm
Nyalla	ɲˈala
motorola	mˌotɔrˈola
tempatnya	təmpˈatɲa
ESDM	ˈɛsdm
Panselnas	pansˈɛlnas
Provsu	prˈovsu
Kertosari	kərtosˈari
ketidakcocokan	kətˌidakt͡ʃot͡ʃˈokan
bersenandung	bərsənˈanduŋ
Zivilia	zˌivilˈia
diperbatasan	dˌipərbatˈasan
Perak	pˈɛrak
plum	plˈum
kantorku	kantˈɔrku
Sekedar	səkˈɛdar
temani	təmˈani
umtuk	ˈumtuk
gencarnya	ɡənt͡ʃˈarɲa
surge	sˈurɡə
Kamil	kˈamil
fraud	frˈa͡ʊd
binus	bˈinus
SAMPANG	sˈampaŋ
Gusman	ɡˈusman
IBCBET	ˈibt͡ʃbət
Fasli	fˈasli
Pek	pˈɛk
Mendingan	məndˈiŋan
Sinathrya	sinˈathrja
Berada	bərˈada
DUT	dˈut
didrop	dˈidrop
RPS	ˌɛrpˌeəs
Enigma	ənˈiɡma
Stark	stˈark
Zarkasi	zarkˈasi
berpeganglah	bərpəɡˈaŋlah
Disclaimer	dist͡ʃlˈa͡ɪmər
imigran	imˈiɡran
roadshow	roˈadshow
terangkatnya	təraŋkˈatɲa
RCS	ˌɛrt͡ʃˌeəs
host	hˈost
Lubitz	lˈubitz
disusukan	dˌisusˈukan
taruni	tarˈuni
utilities	ˌutilˈitis
jika	d͡ʒˈika
significant	sˌiɡnifˈit͡ʃant
ditopang	ditˈopaŋ
maba	mˈaba
Purna	pˈurna
kekompakan	kəkompˈakan
pelajarilah	pəlˌad͡ʒarˈilah
meniduri	mənidˈuri
Sudibyo	sudˈibjo
realita	rˌɛalˈita
Roadshow	roˈadshow
qurbannya	kwrbˈanɲa
Jack	d͡ʒˈat͡ʃk
MANADO	manˈado
Chand	χˈand
lapak	lˈapak
serena	sərˈɛna
Cantiknya	t͡ʃantˈikɲa
Civitas	t͡ʃivˈitas
Qiroah	kirˈoah
pengkondisi	pəŋkondˈisi
Sobary	sˈobarj
limit	lˈimit
triple	trˈiplə
Wp	wˌepˈe
Lek	lˈɛk
bauran	bˈa͡ʊran
trooper	troˈopər
tercakup	tərt͡ʃˈakup
pengobatan	pəŋobˈatan
Bumdes	bˈumdəs
Kerawang	kərˈawaŋ
Nasib	nˈasib
webmaster	wəbmˈastər
fryer	frjˈɛr
surah	sˈurah
profit	prˈofit
memantulkan	məmantˈulkan
Datanya	datˈaɲa
Subkon	sˈubkon
Gan	ɡˈan
Guarantee	ɡˌuarantˈɛə
mengerut	məŋˈɛrut
uptime	uptˈimə
mengkudu	məŋkˈudu
oat	ˈoat
THP	tˌehˌapˈe
DCP	dˌet͡ʃˌepˈe
pantang	pˈantaŋ
terkhir	tˈɛrxir
Ikatlah	ikˈatlah
Feat	fˈɛat
Term	tˈɛrm
merekomendasikannya	mərˌɛkomˌɛndasikˈanɲa
Sutejo	sutˈɛd͡ʒo
mutlak	mˈutlak
persamaannya	pərsˌamaˈanɲa
diaturnya	dˌiatˈurɲa
VE	vˈɛ
Syair	çˈa͡ɪr
Virzha	vˈirzha
Sabun	sˈabun
Jikalahari	d͡ʒˌikalahˈari
Fatin	fˈatin
Hardisk	hˈardisk
tuju	tˈud͡ʒu
Sculpture	st͡ʃulptˈurə
minang	mˈinaŋ
nikmatnya	nikmˈatɲa
regristrasi	rˌɛɡristrˈasi
multikhasiat	mˌultixasˈiat
pengemudi	pəŋəmˈudi
KRL	kˌaˌɛrˈɛl
InterContinental	ˈintərt͡ʃˌontinˈɛntal
MAM	mˈam
Merah	mˈɛrah
Cilandak	t͡ʃilˈandak
Beginning	bəɡˈinniŋ
labuan	labˈuan
dead	dˈɛad
IGI	ˈiɡi
penginjilan	pəŋind͡ʒˈilan
berkedudukan	bərkˌɛdudˈukan
surwandono	sˌurwandˈono
UTC	ˈutt͡ʃ
sumber	sˈumbər
Heraklius	hˌɛraklˈius
Doctor	dˈot͡ʃtɔr
Berpartisipasi	bərpˌartisipˈasi
ikatannya	ˌikatˈanɲa
Slash	slˈash
msuk	msˈuk
Kikim	kˈikim
macapat	mat͡ʃˈapat
bergentayangan	bərɡˌɛntajˈaŋan
pendalaman	pəndalˈaman
PTKI	ptkˈi
darajat	darˈad͡ʒat
interference	ˌintərfərˈɛnt͡ʃə
komputer	kompˈutər
lily	lˈilj
Dihadiahi	dˌihadiˈahi
prabayar	prabˈajar
Mulyasari	mˌuljasˈari
TIMSS	tˈims
Falls	fˈals
tanur	tˈanur
bln	bˌeəlˈɛn
KI	kˈi
Menyegarkan	məɲəɡˈarkan
Beli	bˈɛli
social	sot͡ʃˈial
Tergiur	tərɡˈiur
didampingin	dˌidampˈiŋin
zigot	zˈiɡot
VTC	fˌetˌet͡ʃˈe
Philip	fˈilip
menukar	mənˈukar
Premera	prəmˈɛra
Teramati	təramˈati
maneuver	mˌanəˈuvər
Dhika	dhˈika
pendaftaraan	pəndˌaftarˈaan
Mavi	mˈavi
Pemberdaya	pəmbərdˈaja
terhebat	tərhˈɛbat
EPC	ˈɛpt͡ʃ
Mendiskusikan	məndˌiskusˈikan
ekspektasinya	ˌɛkspəktasˈiɲa
Gawat	ɡˈawat
landreform	landrˈɛfɔrm
Porprov	pˈɔrprov
batiknya	batˈikɲa
KBO	kbˈo
tembus	tˈɛmbus
bubur	bˈubur
RPJMD	ˌɛrpˌed͡ʒˈeəmdˈe
Canonical	t͡ʃˌanonˈit͡ʃal
Wathon	wˈathon
sekolahkan	səkolˈahkan
economics	ˌɛt͡ʃonˈomit͡ʃs
underdog	undˈɛrdoɡ
Lempuyang	ləmpˈujaŋ
kambium	kambˈium
infastruktur	ˌinfastrˈuktur
materialitas	mˌatərˌialˈitas
Count	t͡ʃˈount
toolbar	toˈolbar
pengatasan	pəŋatˈasan
Council	t͡ʃoˈunt͡ʃil
Planner	plˈannər
rebus	rˈɛbus
Sumatera	sˌumatˈɛra
PGP	pˌeɡˌepˈe
suguhan	suɡˈuhan
kedermawanannya	kədˌɛrmawanˈanɲa
Interpol	intˈɛrpol
keberadaaan	kəbˌɛradaˈaan
Resah	rˈɛsah
penyeragaman	pəɲˌɛraɡˈaman
romusha	romˈusha
Sofia	sofˈia
broadcasting	brˌoadt͡ʃˈastiŋ
Kobe	kˈobə
Hyo	hjˈo
Usus	ˈusus
pemakzulan	pəmakzˈulan
Doel	dˈul
badai	bˈada͡ɪ
pengrusakan	pəŋrusˈakan
Chrysler	χrjslˈɛr
GNU	ɡnˈu
ICW	ˈit͡ʃw
Keras	kˈɛras
kafe	kˈafə
Peluru	pəlˈuru
lingkupnya	liŋkˈupɲa
kooperator	kˌoopərˈatɔr
SHOW	shˈow
Toshio	toshˈio
Sukodadi	sˌukodˈadi
Truong	trˈuoŋ
Padangsambian	pˌadaŋsambˈian
enzyme	ˈɛnzjmə
depnaker	dəpnˈakər
Cycle	t͡ʃjt͡ʃlˈɛ
Sphere	sfˈɛrə
MSE	msˈɛ
zinc	zˈint͡ʃ
Success	sˈut͡ʃt͡ʃəs
shahibul	shahˈibul
Psi	psˈi
Pecahan	pət͡ʃˈahan
analogi	ˌanalˈoɡi
gencatan	ɡənt͡ʃˈatan
Bioenergi	bˌiunˈɛrɡi
Puncak	pˈunt͡ʃak
berlapis	bərlˈapis
keahlian	kəahlˈian
Abdul	ˈabdul
dimanfaat	dˌimanfˈaat
Keberanian	kəbˌɛranˈian
cirebon	t͡ʃirˈɛbon
hobby	hˈobbj
Cahyana	t͡ʃahjˈana
Kuntjoro	kunt͡ʃˈɔro
mikroenkapsulasi	mˌikrunkˌapsulˈasi
TPIA	tpˈia
Muzammil	muzˈammil
Valerie	valˈɛri
Perpeloncoan	pərpˌɛlont͡ʃˈoan
keputusanmu	kəpˌutusˈanmu
kecermatan	kət͡ʃərmˈatan
Mikroskil	mikrˈoskil
Diajukan	dˌiad͡ʒˈukan
penyulang	pəɲˈulaŋ
Zuhro	zˈuhro
Yudisial	jˌudisˈial
Nam	nˈam
meregistrasi	mərˌɛɡistrˈasi
holders	hˈoldərs
penyedia	pəɲədˈia
hill	hˈil
Gap	ɡˈap
diliput	dilˈiput
Benteng	bəntˈɛŋ
rejim	rˈɛd͡ʒim
divisinya	dˌivisˈiɲa
iPhone	ˈifˈonə
menyahut	məɲˈahut
FSC	ˌɛfˌɛst͡ʃˈe
Kofi	kˈofi
prostate	prostˈatə
Enrique	ənrˈikwə
Pedan	pˈɛdan
Mocha	mˈoχa
rentetan	rəntˈɛtan
MnSOD	ˌɛmˈɛnsˈod
Musliar	muslˈiar
Bodong	bˈodoŋ
Anta	ˈanta
Summary	sˈummarj
mencontohkan	mənt͡ʃontˈohkan
Kepunyaan	kəpuɲˈaan
babak	bˈabak
Naga	nˈaɡa
muharram	muhˈaram
nasabnya	nasˈabɲa
PPKM	pˌepˌekˌaˈɛm
Ekselensi	ˌɛksəlˈɛnsi
America	ˌamərˈit͡ʃa
Khataman	xatˈaman
bacan	bˈat͡ʃan
Kimono	kimˈono
Kebisingan	kəbisˈiŋan
Electrical	ˌɛlət͡ʃtrˈit͡ʃal
mencecar	mənt͡ʃˈɛt͡ʃar
Superliga	sˌupərlˈiɡa
Miliyar	milˈijar
Melainkan	məlˈa͡ɪnkan
Lindung	lˈinduŋ
lia	lˈia
Formades	fɔrmˈadəs
burung	bˈuruŋ
gada	ɡˈada
Peninsula	pəninsˈula
PRJ	pˌeərd͡ʒˈe
gerimis	ɡərˈimis
buser	bˈusər
Upayanya	ˌupajˈaɲa
beraroma	bərarˈoma
studies	stˈudis
Soelistianingsih	sˌulistˌianˈiŋsih
Cariu	t͡ʃarˈiu
PENCARIAN	pənt͡ʃarˈian
farmasi	farmˈasi
terakses	tərˈaksəs
GCI	ɡt͡ʃˈi
gading	ɡˈadiŋ
cegahlah	t͡ʃəɡˈahlah
kiwi	kˈiwi
RON	rˈon
Aliza	alˈiza
Uyainah	ujˈa͡ɪnah
Membingungkan	məmbiŋˈuŋkan
bayar	bˈajar
Hermione	hˌɛrmiˈonə
Sohee	sohˈɛə
penampilan	pənampˈilan
Malau	mˈala͡ʊ
Cheung	χˈɛuŋ
religius	rˌɛliɡˈius
kasrah	kˈasrah
mengegolkan	məŋəɡˈolkan
tatib	tˈatib
jalanNya	d͡ʒˈalanɲˈa
Orientasinya	ˌɔrintasˈiɲa
Wardhani	wardhˈani
Faperta	fapˈɛrta
Terburuk	tərbˈuruk
mempermudah	məmpərmˈudah
nakal	nˈakal
tkp	tˌekˌapˈe
dirantai	dirˈanta͡ɪ
berasimilasi	bərˌasimilˈasi
mengumpulkannya	məŋˌumpulkˈanɲa
pengelolanya	pəŋˌɛlolˈaɲa
unlimited	ˌunlimˈitəd
Rambat	rˈambat
Mercy	mˈɛrt͡ʃj
digeber	diɡˈɛbər
Cnet	t͡ʃnˈɛt
darma	dˈarma
dijaring	did͡ʒˈariŋ
terimakasih	tərˌimakˈasih
disajikan	dˌisad͡ʒˈikan
css	t͡ʃˌeəsˈɛs
Defence	dəfˈɛnt͡ʃə
Martino	martˈino
Un	ˈun
slice	slˈit͡ʃə
kegelisahannya	kəɡˌɛlisahˈanɲa
Nuswantoro	nˌuswantˈɔro
Breast	brˈɛast
Hamdi	hˈamdi
Yesus	jˈɛsus
Galliano	ɡˌaliˈano
Normal	nˈɔrmal
diwahyukan	dˌiwahjˈukan
khasiatnya	xˌasiˈatɲa
benerin	bənˈɛrin
sampaikan	sampˈa͡ɪkan
menjustifikasi	mənd͡ʒˌustifikˈasi
Persempit	pərsˈɛmpit
About	abˈout
cerdas	t͡ʃˈɛrdas
Kitabul	kitˈabul
ghrelin	ɡhrˈɛlin
Wallis	wˈalis
fikiran	fikˈiran
anggapan	aŋɡˈapan
earnings	əˈarniŋs
sambutanya	sˌambutˈaɲa
Rosemary	rosˈɛmarj
usahawan	ˌusahˈawan
incremental	ˌint͡ʃrəmˈɛntal
Lelang	lˈɛlaŋ
Bonjol	bˈond͡ʒol
Psychology	pçχˈoloɡj
belur	bˈɛlur
perbuatan	pərbuˈatan
Barlian	barlˈian
Affiliate	ˌafiliˈatə
nahwu	nˈahwu
ToT	tˈotˈe
Blink	blˈink
SMGR	ˌɛsˌɛmɡˌeər
moneternya	mˌonətˈɛrɲa
Deutsche	dəˈutsχə
KPAN	kpˈan
sandaran	sandˈaran
hi	hˈi
konsekwensinya	kˌonsəkwənsˈiɲa
kkn	kˌakˌaˈɛn
BBPPTP	bˌebˌepˈepˌetˌepˈe
Keswadayaan	kəswˌadajˈaan
Coca	t͡ʃˈot͡ʃa
Vox	vˈoks
Wear	wˈɛar
Score	st͡ʃˈɔrə
surati	surˈati
agrikultur	ˌaɡrikˈultur
Diavolo	dˌiavˈolo
Buddha	bˈuddha
Resorts	rˈɛsɔrts
JRE	d͡ʒrˈɛ
Denis	dˈɛnis
Gobleg	ɡˈobləɡ
kucuran	kut͡ʃˈuran
hipotalamus	hˌipotalˈamus
Tantang	tˈantaŋ
Empowering	ˌɛmpowˈɛriŋ
hajat	hˈad͡ʒat
Sportsmole	spɔrtsmˈolə
primernya	primˈɛrɲa
rudy	rˈudj
voucer	voˈut͡ʃər
Ekstrim	ˈɛkstrim
yum	jˈum
Reiki	rəˈiki
Buffalo	bufˈalo
Trias	trˈias
Kejar	kˈɛd͡ʒar
dibandingin	dˌibandˈiŋin
pelan	pˈɛlan
Basel	bˈasəl
Hanabilah	hˌanabˈilah
sendal	sˈɛndal
Menunya	mənˈuɲa
khuldi	xˈuldi
frontal	frˈontal
Shape	shˈapə
Sdr	ˌɛsdˌeər
RedHat	rˈɛdhˈat
Koorsahli	kˌoɔrsˈahli
JALAN	d͡ʒˈalan
keep	kˈɛəp
diambilnya	dˌiambˈilɲa
hardcore	hardt͡ʃˈɔrə
operand	opˈɛrand
letak	lˈɛtak
Laa	lˈaa
Tangki	tˈaŋki
UUM	ˈuum
manekin	manˈɛkin
Printed	prˈintəd
visualisasikan	vˌisuˌalisasˈikan
menempelnya	mənəmpˈɛlɲa
insourcing	ˌinsoˈurt͡ʃiŋ
Pendanaan	pəndanˈaan
mV	ˈɛmfˈe
Tambunan	tambˈunan
Jarwo	d͡ʒˈarwo
penarikan	pənarˈikan
Launch	lˈa͡ʊnχ
RED	rˈɛd
Sukowati	sˌukowˈati
shareholders	shˌarəhˈoldərs
Must	mˈust
BK	bˌekˈa
menganggu	məŋˈaŋɡu
pengunungan	pəŋunˈuŋan
Katrin	kˈatrin
RFID	rfˈid
Jrakah	d͡ʒrˈakah
menggunggah	məŋɡˈuŋɡah
disain	dˈisa͡ɪn
Horror	hˈɔrɔr
Menilik	mənˈilik
Sha	shˈa
Magenda	maɡˈɛnda
Embrio	əmbrˈio
sunnahnya	sunnˈahɲa
revegetasi	rˌɛvəɡətˈasi
Djabar	d͡ʒˈabar
Atma	ˈatma
diapprove	dˌiaprˈovə
Merangin	mərˈaŋin
mari	mˈari
daulat	dˈa͡ʊlat
hapal	hˈapal
permohonannya	pərmˌohonˈanɲa
