ସହଯୋଗୀ	sɔhɔd͡ʒogi
ଅଭାବ	ɔbʱaːbɔ
ନେଳି	nel̪i
ଦୌଡ଼ିଲା	d̪ɔuɽilaː
ଭାରତ	bʱaːɾɔt̪ɔ
ଚଳ	t͡ʃɔl̪ɔ
ସାରେ	saːre
ଫୁଲରେ	pʰulɔre
ନିରୀକ୍ଷଣ	nirikʰjɔɳɔ
ଖବର	kʰɔbɔɾɔ
ମେ	me
ପ୍ରତିମା	pɾɔt̪imaː
ଧରିବି	d̪ʱɔribi
ସାମାଜିକ	saːmaːd͡ʒikɔ
ସବାଶେଷ	sɔbaːsesɔ
ରଞ୍ଜନ	ɾɔɲd͡ʒɔnɔ
ପକେଇଲା	pɔkeilaː
ବୋହିଯିବ	bohid͡ʒibɔ
ଯାହାକି	d͡ʒaːhaːki
ଏବେ	ebe
ବଳଭଦ୍ର	bɔl̪ɔbʰɔd̪ɾɔ
ଶୁଣିଲା	suɳilaː
ଆଉଜଣେ	aːud͡ʒɔɳe
ପଡ଼ିଥିଲା	pɔɽit̪ʰilaː
ଡରୁଆ	ɖɔruaː
ଥୋଇଦେଇ	t̪ʰoid̪ei
ସୀଲଟ୍	silɔʈ
ଲାଗିଯାନ୍ତି	laːgid͡ʒaːnt̪i
ଧଳାମେଘ	d̪ʱɔl̪aːmeɡʱɔ
ସୁରେନ୍ଦ୍ର	surend̪ɾɔ
ତୁମେ	t̪ume
ଖାଇଲା	kʰaːilaː
ରୋଇବାରେ	roibaːre
ଆସୁନୁ	aːsunu
ଚାରିଆଡ଼କୁ	t͡ʃaːriaːɽɔku
ଆପ୍ପା	aːppaː
ରଖିବି	ɾɔkʰibi
ବିକାଶ	bikaːsɔ
ଦଣ୍ଡ	d̪ɔɳɖɔ
ସହସା	sɔhɔsaː
ଦୁମଦୁମ୍	d̪umɔd̪um
ରଖୁଥିବାବେଳେ	ɾɔkʰut̪ʰibaːbel̪e
ରାସାୟନ	raːsaːjɔnɔ
ମୂଲ୍ୟବାନ	muljɔbaːnɔ
ବିଧି	bid̪ʱi
ପଶିଗଲା	pɔsiɡɔlaː
ହର	hɔɾɔ
କିଏ	kie
ଆଶ୍ଚର୍ଯ୍ୟ	aːst͡ʃɔrd͡ʒjɔ
ଜୀବଜଗତ	d͡ʒibɔd͡ʒɔɡɔt̪ɔ
ଗଡି	ɡɔɖi
ଚିନ୍ତାମଣି	t͡ʃint̪aːmɔɳi
ଏମିତିକି	emit̪iki
ଚାଲିଲା	t͡ʃaːlilaː
ରଙ୍ଗଣୀ	ɾɔŋɡɔɳi
କମ୍ପନ	kɔmpɔnɔ
କାନ୍ଦୁକାନ୍ଦୁ	kaːnd̪ukaːnd̪u
ଧୂଆଁ	d̪ʱuaː̃
ରାଜସ୍ଥାନ	raːd͡ʒɔst̪ʰaːnɔ
ଏସିଆର	esiaːɾɔ
ରୁଟି	ruʈi
ଆମ୍ମା	aːmmaː
ଅବକାଶ	ɔbɔkaːsɔ
ବେଳାଭୂମି	bel̪aːbʱumi
କହିବା	kɔhibaː
ଝିଅଟି	d͡ʒʱiɔʈi
ଚୁଲିରେ	t͡ʃulire
ତହାମଧ୍ୟ	t̪ɔhaːmɔd̪ʱjɔ
ପଛଗୋଡ଼ରେ	pɔt͡ʃʰɔgoɽɔre
ପାହାଞ୍ଚ	paːhaːɲt͡ʃɔ
ଡର	ɖɔɾɔ
ଶୁଆଟିଏ	suaːʈie
ଖ୍ରୀଷ୍ଟପୂର୍ବ	kʰrisʈɔpurbɔ
ଲାଞକୁ	laːɲɔku
କବାଟ୍	kɔbaːʈ
ବୋକା	bokaː
ଏଗୁଡ଼ିକ	eguɽikɔ
ଛତୁରୁ	t͡ʃʰɔt̪uru
ବେଶରେ	besɔre
ଏକା	ekaː
ଦିଲ୍ଲୀରେ	d̪illire
ପୂଜା	pud͡ʒaː
ନଖାଇ	nɔkʰaːi
ରଖିବା	ɾɔkʰibaː
ସଂକ୍ଷିପ୍ତ	sɔŋkʰipt̪ɔ
କହୁଛନ୍ତି	kɔhut͡ʃʰɔnt̪i
ପହଁରି	pɔhɔ̃ri
ମା	maː
ଅକ୍ଟୋବର	ɔkʈobɔɾɔ
ଥରହର	t̪ʰɔɾɔhɔɾɔ
ଜୋର୍	d͡ʒor
ଉଦ୍ଭାବନ	ud̪bʱaːbɔnɔ
ଅନାଇଲା	ɔnaːilaː
ମିହିର	mihiɾɔ
ଅମାବାସ୍ୟା	ɔmaːbaːsjaː
ହେବା	hebaː
ବଡ଼-ବଡ଼	bɔɽɔ-bɔɽɔ
ପହଁରୁଥିଲେ	pɔhɔ̃rut̪ʰile
ଟୋପି	ʈopi
ମାଝି	maːd͡ʒʱi
କରାଗଲା	kɔraːɡɔlaː
ବାରମାସୀ	baːɾɔmaːsi
ସାଙ୍ଗମାନଙ୍କୁ	saːŋɡɔmaːnɔŋku
ଡଙ୍ଗାର	ɖɔŋgaːɾɔ
ପ୍ରଥମ	pɾɔt̪ʰɔmɔ
ଫାଳିଆରେ	pʰaːl̪iaːre
ପା	paː
ଅଷ୍ଟମ	ɔsʈɔmɔ
ରୁ	ru
ଡାଳରୁ	ɖaːl̪ɔru
ବୀର	biɾɔ
ଯେଉଁ	d͡ʒeũ
ଶୀତରୁ	sit̪ɔru
ବିଭକ୍ତ	bibʰɔkt̪ɔ
ସତ	sɔt̪ɔ
ଫାଳିଆ	pʰaːl̪iaː
ଅଟୁ	ɔʈu
ପାରିବିକି	paːribiki
ସଦର	sɔd̪ɔɾɔ
ଆଜ୍ଞା	aːd͡ʒɲaː
ବତଉଚି	bɔt̪ɔut͡ʃi
ପକେଇକି	pɔkeiki
ଅପେକ୍ଷା	ɔpekʰjaː
ଛତୁଗୁଡ଼ିକ	t͡ʃʰɔt̪uguɽikɔ
ମିଠାର	miʈʰaːɾɔ
ପେଟକୁ	peʈɔku
ଢୋକେ	ɖʱoke
ତିନିକୋଣିଆ	t̪inikoɳiaː
ଲେଖିଥିଲେ	lekʰit̪ʰile
ନଭେମ୍ବର	nɔbʱembɔɾɔ
ଢାଳି	ɖʱaːl̪i
ବୁଢ଼ା	buɽʱaː
କୋଉଠି	kouʈʰi
ୟେଲ୍ଲୁ	jellu
ଯାଇଥାଏ	d͡ʒaːit̪ʰaːe
ଖରାଦିନିଆ	kʰɔraːd̪iniaː
କାଳୀନ	kaːl̪inɔ
ଡାକ୍ଟରଙ୍କ	ɖaːkʈɔɾɔŋkɔ
ପଟିଟି	pɔʈiʈi
ସାଧିବା	saːd̪ʱibaː
ବୈଶାଖ	bɔisaːkʰɔ
କହୁ	kɔhu
ଚେର	t͡ʃeɾɔ
ଲେଣି	leɳi
ଅସରପା	ɔsɔɾɔpaː
ରାଜକୀୟ	raːd͡ʒɔkijɔ
ତୋଲିଲା	t̪olilaː
ଜ୍ଞାନକୋଷ	d͡ʒɲaːnɔkosɔ
ଷ୍ଟୁଲ୍	sʈul
ତିନି	t̪ini
ଚିହ୍ନ	t͡ʃihnɔ
ସଂସ୍କୃତରେ	sɔŋskrut̪ɔre
ପରସ୍ପରକୁ	pɔɾɔspɔɾɔku
ଗରିବ	ɡɔribɔ
ପଡ଼ିଆ	pɔɽiaː
ବୃକ୍ଷ	brukʰjɔ
ଓଡ଼ିଆ	oɽiaː
ରୁମ୍	rum
ନଈରେ	nɔire
ୱାଡା	uaːɖaː
ଦଶ	d̪ɔsɔ
ସବୁଦିଗକୁ	sɔbud̪iɡɔku
ମକଚିଲା	mɔkɔt͡ʃilaː
ପାଟି	paːʈi
କରିକି	kɔriki
ପ୍ରସ୍ତୁତି	pɾɔst̪ut̪i
ଗଙ୍ଗାଧର	ɡɔŋgaːd̪ʱɔɾɔ
ଇଣ୍ଡିଆ	iɳɖiaː
ଚିଡ଼ାଇଲା	t͡ʃiɽaːilaː
ମାଆମାନେ	maːaːmaːne
ଦେଖିଲ	d̪ekʰilɔ
ପଥରରେ	pɔt̪ʰɔɾɔre
ସ୍କୁଲରେ	skulɔre
ସିଝିବ	sid͡ʒʱibɔ
କାଲି	kaːli
ଅଣ	ɔɳɔ
ଖୋଜନ୍ତି	kʰod͡ʒɔnt̪i
କହେ	kɔhe
କରିପାରିବ	kɔripaːribɔ
କାମ	kaːmɔ
ଫଳମାନେ	pʰɔl̪ɔmaːne
ପାଳିବୁ	paːl̪ibu
ଗୁଣ୍ଡ	guɳɖɔ
ବୁମ୍ମ୍	bumm
ପାହାରେ	paːhaːre
ଖାଲି	kʰaːli
ପୋଖରୀଟି	pokʰɔriʈi
ଖାଇବାକୁ	kʰaːibaːku
ଧାଇଁଲା	d̪ʱaːĩlaː
ଦହି	d̪ɔhi
ରଖୁଥିଲା	ɾɔkʰut̪ʰilaː
ସୈନିକ	sɔinikɔ
ବାଜାଟିକୁ	baːd͡ʒaːʈiku
କହିଦେ	kɔhid̪e
ରଥରେ	ɾɔt̪ʰɔre
ଜିଲାପି	d͡ʒilaːpi
ସେମାନଙ୍କୁ	semaːnɔŋku
ଡିଆଁ	ɖiaː̃
ପୁଜା	pud͡ʒaː
କଥାରେ	kɔt̪ʰaːre
ଅନ୍ୟାନ୍ୟ	ɔnjaːnjɔ
ପେଡ଼ି	peɽi
ସମ୍ବନ୍ଧରେ	sɔmbɔnd̪ʱɔre
ପ୍ରସଙ୍ଗରେ	pɾɔsɔŋɡɔre
ଗୁଣୁଗୁଣୁ	guɳuguɳu
ଫୁଟେଇବା	pʰuʈeibaː
ଦୁଇଦିନ	d̪uid̪inɔ
ହଉଛି	hɔut͡ʃʰi
ଶିଖାଇଦେଲେ	sikʰaːid̪ele
ଆସିଥାଏଇମ୍ମା	aːsit̪ʰaːeimmaː
ଧରିଲାଣି	d̪ʱɔrilaːɳi
ହୋଇଥିଲେ	hoit̪ʰile
ହରଣ	hɔɾɔɳɔ
କେକ୍‌	kek
ଆଣିବୁ	aːɳibu
ଭାବିପାରୁ	bʱaːbipaːru
ଡିଭାଇଡର୍‌ରେ	ɖibʱaːiɖɔrre
କହିଲିକି	kɔhiliki
ସଂଗ୍ରାମୀ	sɔŋgraːmi
ମିଠା	miʈʰaː
ଗାଲିଚାଠାରୁ	gaːlit͡ʃaːʈʰaːru
ପୃଷ୍ଠା	prusʈʰaː
ବଲବ୍	bɔlɔb
ବାହାରିଯିବ	baːhaːrid͡ʒibɔ
ରହିଗଲି	ɾɔhiɡɔli
ଗ୍ରହଣ	gɾɔhɔɳɔ
ଗଢ଼ଣଟି	ɡɔɽʱɔɳɔʈi
ମୁଣି	muɳi
ଅଦ୍ୱିତୀୟ	ɔd̪uit̪ijɔ
ପ୍ରାନ୍ତରୁ	praːnt̪ɔru
ଆସୁ	aːsu
ବାଲାଙ୍କ	baːlaːŋkɔ
ମଣିପୁରୀ	mɔɳipuri
ନିର୍ଦ୍ଦେଶନାରେ	nird̪d̪esɔnaːre
ରାଜୁ	raːd͡ʒu
ଅତିଥିଙ୍କ	ɔt̪it̪ʰiŋkɔ
ପୁଅକୁ	puɔku
ବିକୃତ	bikrut̪ɔ
ପୁଡିଆ	puɖiaː
ଚେୟାର	t͡ʃejaːɾɔ
ଜୀବନରେ	d͡ʒibɔnɔre
ତୁମଠାରୁ	t̪umɔʈʰaːru
ବିହାରର	bihaːɾɔɾɔ
ଗୁଣ୍ଡୁଚି	guɳɖut͡ʃi
ଥାଆନ୍ତି	t̪ʰaːaːnt̪i
ଗଲି	ɡɔli
ପକାଇଲା	pɔkaːilaː
ଏବିଷୟରେ	ebisɔjɔre
ଶ୍ରୀମନ୍ଦିରରେ	srimɔnd̪iɾɔre
ଡାକ	ɖaːkɔ
ସ୍ଵପ୍ନ	suɔpnɔ
ପ୍ରତ୍ୟେକ	pɾɔt̪jekɔ
ତାରିଖ	t̪aːrikʰɔ
ରଚନାବଳୀ	ɾɔt͡ʃɔnaːbɔl̪i
ଜୟ	d͡ʒɔjɔ
କାହିଁକି	kaːhĩki
ଚଢି	t͡ʃɔɖʱi
ବୃହତ୍ତମ	bruhɔt̪t̪ɔmɔ
ପାଳିଛି	paːl̪it͡ʃʰi
ମି	mi
ଆଗାମୀ	aːgaːmi
ଦୁଇଜଣ	d̪uid͡ʒɔɳɔ
ନିର୍ବାଚିତ	nirbaːt͡ʃit̪ɔ
କାରଖାନା	kaːɾɔkʰaːnaː
ନିଗମ	niɡɔmɔ
ଭାଙ୍ଗ	bʱaːŋɡɔ
ପହଞ୍ଚିଗଲେ	pɔhɔɲt͡ʃiɡɔle
ବାହାରିଛୁ	baːhaːrit͡ʃʰu
ପାଟିରୁ	paːʈiru
ଆକାଶବାଣୀ	aːkaːsɔbaːɳi
ଲିଫ୍‌ଟରେ	lipʰʈɔre
ମହୁ	mɔhu
କାଟୋକୁ	kaːʈoku
ସାନ	saːnɔ
ଅଭିନୀତ	ɔbʱinit̪ɔ
ତନ୍ମଧ୍ୟରୁ	t̪ɔnmɔd̪ʱjɔru
ମନୋରମ	mɔnoɾɔmɔ
ମାସେ	maːse
ଧପ୍	d̪ʱɔp
ଗୁଡ଼	guɽɔ
ଶ୍ରୀରାମ	sriraːmɔ
କଅଁଳ	kɔɔ̃l̪ɔ
କଲ	kɔlɔ
ମମତା	mɔmɔt̪aː
ଭେନୁ	bʱenu
ବଟ୍	bɔʈ
ନିର୍ଜନ	nird͡ʒɔnɔ
ପଛରେ	pɔt͡ʃʰɔre
ମାଟି	maːʈi
ୟିବା	jibaː
ଜଗନ୍ନାଥ	d͡ʒɔɡɔnnaːt̪ʰɔ
ତାର	t̪aːɾɔ
ଲୁଣ	luɳɔ
ରହ	ɾɔhɔ
ଘୋଡାରୁ	gʰoɖaːru
ଛୋଳି	t͡ʃʰol̪i
ନହେଲେ	nɔhele
ପରିଷଦ	pɔrisɔd̪ɔ
ଚାଲିପାରିବେନି	t͡ʃaːlipaːribeni
ପଟ	pɔʈɔ
ହେଇପାରେ	heipaːre
ଟାଣିଲା	ʈaːɳilaː
ଭିଜେଇ	bʱid͡ʒei
ମୀରା	miraː
ଜିଲ୍ଲା	d͡ʒillaː
ଗାତ	gaːt̪ɔ
ଲାର୍ଭା	laːrbʱaː
ସମ୍ପୃକ୍ତ	sɔmprukt̪ɔ
ସାଗର	saːɡɔɾɔ
ଲଗେଇବାକୁ	lɔgeibaːku
ଯାଉଯାଉ	d͡ʒaːud͡ʒaːu
ରଂଗର	ɾɔŋɡɔɾɔ
ଗଛଟିଏ	ɡɔt͡ʃʰɔʈie
ଲାଗିଲାଣି	laːgilaːɳi
ସ୍ଵାସ୍ଥ୍ୟ	suaːst̪ʰjɔ
ଇଂରାଜୀରେ	iŋraːd͡ʒire
ଅଭିନୟରେ	ɔbʱinɔjɔre
ଇମ୍ମାଙ୍କ	immaːŋkɔ
ଯାହାଙ୍କ	d͡ʒaːhaːŋkɔ
ଦିଶୁଥିବା	d̪isut̪ʰibaː
କରିପାରିଲା	kɔripaːrilaː
ଧର୍ମର	d̪ʱɔrmɔɾɔ
ଭରିଚାଲିଲା	bʰɔrit͡ʃaːlilaː
କହିଲେନି	kɔhileni
ପଳାଉଥିଲେ	pɔl̪aːut̪ʰile
ସଉଦା	sɔud̪aː
ପକାଇଲି	pɔkaːili
କହିବୁନି	kɔhibuni
ମିନିଟ୍	miniʈ
ସବୁଠାରୁ	sɔbuʈʰaːru
ପେଟେ	peʈe
ବିହାର	bihaːɾɔ
ବିଶେଷତା	bisesɔt̪aː
ବାକ୍ସଟିକୁ	baːksɔʈiku
ଉଦୟଗିରି	ud̪ɔjɔgiri
ହାଲକା	haːlɔkaː
ପିଁ	pĩ
ଫ୍ରକ୍	pʰɾɔk
ଗାଉଛନ୍ତି	gaːut͡ʃʰɔnt̪i
ଡାଇନୋସରଟି	ɖaːinosɔɾɔʈi
ଧରିତ୍ରୀ	d̪ʱɔrit̪ri
ବିଜୁଳି	bid͡ʒul̪i
ମାରିବି	maːribi
ପଡିଗଲାଣି	pɔɖiɡɔlaːɳi
ଟାଙ୍କି	ʈaːŋki
କମରପଟି	kɔmɔɾɔpɔʈi
କଲେ	kɔle
ସମାଧାନ	sɔmaːd̪ʱaːnɔ
ବାସ୍ନା	baːsnaː
ଦକ୍ଷିଣ	d̪ɔkʰiɳɔ
ସିନେ	sine
ଓଡ଼ିଶାରେ	oɽisaːre
ଅଂଶୁମାନ	ɔŋsumaːnɔ
ବିଗ୍ରହ	bigɾɔhɔ
ଖଣ୍ଡିଏ	kʰɔɳɖie
ବୁଣିବି	buɳibi
ବ୍ଲକ	blɔkɔ
ଉଡ଼େଇ	uɽei
ଖେଳାଳି	kʰel̪aːl̪i
ସୁବାସ	subaːsɔ
ଜଣାଯାଉଛି	d͡ʒɔɳaːd͡ʒaːut͡ʃʰi
ପଳେଇ	pɔl̪ei
ଶୁଣିପାର	suɳipaːɾɔ
ହାଇଦ୍ରାବାଦ	haːid̪raːbaːd̪ɔ
ଭିଜି	bʱid͡ʒi
ବଗିଚା	bɔgit͡ʃaː
ଝରଣାଟିଏ	d͡ʒʱɔɾɔɳaːʈie
ବରକୁ	bɔɾɔku
ଦଂଶ	d̪ɔŋsɔ
ଏହା	ehaː
ଜଗନ୍ନାଥଙ୍କ	d͡ʒɔɡɔnnaːt̪ʰɔŋkɔ
ହେଲାଣି	helaːɳi
ସାହସ	saːhɔsɔ
ଉଁ	ũ
ଗଡ଼ଗଡ଼	ɡɔɽɔɡɔɽɔ
ଚମକିବାକୁ	t͡ʃɔmɔkibaːku
ଶୂଚନା	sut͡ʃɔnaː
ପରିମାଣର	pɔrimaːɳɔɾɔ
ରହିବ	ɾɔhibɔ
ତୁମର	t̪umɔɾɔ
ଯଦିଓ	d͡ʒɔd̪io
ସ୍ଥାନ	st̪ʰaːnɔ
ବଦଳ	bɔd̪ɔl̪ɔ
ମଣ୍ଡଳ	mɔɳɖɔl̪ɔ
ହ୍ୟାପୀ	hjaːpi
ଦସ୍ତାନ	d̪ɔst̪aːnɔ
ଚାଲି	t͡ʃaːli
ଜଗତସିଂହପୁର	d͡ʒɔɡɔt̪ɔsiŋhɔpuɾɔ
ଠିପି	ʈʰipi
ଓଟ	oʈɔ
ଜି	d͡ʒi
ଗୁଲି	guli
ପଥରକୁ	pɔt̪ʰɔɾɔku
କୁହା	kuhaː
ତୁଳାର	t̪ul̪aːɾɔ
ଡରିଗଲା	ɖɔriɡɔlaː
କୁଖ୍ୟାତି	kukʰjaːt̪i
ଜାଣୁ	d͡ʒaːɳu
କାମଟି	kaːmɔʈi
ଆଧୁନିକ	aːd̪ʱunikɔ
ପିଲାଟିର	pilaːʈiɾɔ
ଆଇ	aːi
ଉଡ଼ିଚାଲ	uɽit͡ʃaːlɔ
ଝାଉଁଳି	d͡ʒʱaːũl̪i
ଲାଜୁଆ	laːd͡ʒuaː
ମଣିଷମାନଙ୍କ	mɔɳisɔmaːnɔŋkɔ
ଦୁଷ୍ଟ	d̪usʈɔ
କଲମ	kɔlɔmɔ
ଛତୁଗୁଡ଼ିକୁ	t͡ʃʰɔt̪uguɽiku
ପ୍ରଣାମ	pɾɔɳaːmɔ
ନୌକାଟେ	nɔukaːʈe
ଫୁର୍-ଫୁର୍	pʰur-pʰur
ନେବି	nebi
ଥଣ୍ଡା	t̪ʰɔɳɖaː
ଫେରିଲେନି	pʰerileni
ଆଗୁଆ	aːguaː
ରାଷ୍ଟ୍ର	raːsʈɾɔ
କୋଉ	kou
ଲୋକସଭା	lokɔsɔbʱaː
ରାଜ୍ୟରେ	raːd͡ʒjɔre
ପଡ଼ିଆରେ	pɔɽiaːre
ବୋଧହୁଏ	bod̪ʱɔhue
ଯତ୍ନରେ	d͡ʒɔt̪nɔre
ଲୁସିଫେରାସ୍	lusipʰeraːs
ଖେଳିବା	kʰel̪ibaː
ଗୁଜରାଟ	gud͡ʒɔraːʈɔ
ହସିବାକୁ	hɔsibaːku
ଋତୁରେ	rut̪ure
କଷ୍ଟ	kɔsʈɔ
ମୁହାଁ	muhaː̃
ଜୀବନର	d͡ʒibɔnɔɾɔ
କୁସ୍ତି	kust̪i
ପାନିପଥ	paːnipɔt̪ʰɔ
ଜିନିଷକୁ	d͡ʒinisɔku
ଉଡିବୁଲିବାକୁ	uɖibulibaːku
କମଳା	kɔmɔl̪aː
ସନ୍ତାନ	sɔnt̪aːnɔ
ହଜିଥିବା	hɔd͡ʒit̪ʰibaː
ଜହ୍ନ	d͡ʒɔhnɔ
ପାଳିତ	paːl̪it̪ɔ
ସମ୍ପୁର୍ଣ୍ଣ	sɔmpurɳɳɔ
ନିମୋନିଆ	nimoniaː
ବାମନ	baːmɔnɔ
ଅଧାଗଢା	ɔd̪ʱaːɡɔɖʱaː
ନୂଆପଡ଼ା	nuaːpɔɽaː
କୋଷ	kosɔ
ପତାକା	pɔt̪aːkaː
ଟିକିଏ	ʈikie
ଗୋଡ଼ି	goɽi
ତକିଆ	t̪ɔkiaː
ସାମ୍ରାଜ୍ୟ	saːmraːd͡ʒjɔ
ତେଢ଼ାମେଢ଼ା	t̪eɽʱaːmeɽʱaː
ଅସଲରେ	ɔsɔlɔre
ବସିଗଲେ	bɔsiɡɔle
ଗୁମ୍ଫା	gumpʰaː
ପେଟରେ	peʈɔre
ବୟସର	bɔjɔsɔɾɔ
ପଡେନାହିଁ	pɔɖenaːhĩ
ବ୍ରସ୍	bɾɔs
ଘାସ	gʰaːsɔ
ବିଷୟ	bisɔjɔ
ଟଙ୍କାରେ	ʈɔŋkaːre
କୁ	ku
ହୁଅନ୍ତିନି	huɔnt̪ini
ସିନେମା	sinemaː
ପିନ୍ଧିଛି	pind̪ʱit͡ʃʰi
ଅଜଣା	ɔd͡ʒɔɳaː
ଯାଆନ୍ତି	d͡ʒaːaːnt̪i
ସାମାନ୍ୟ	saːmaːnjɔ
ପର୍ଯ୍ୟଟନ	pɔrd͡ʒjɔʈɔnɔ
ଗ୍ରାମରେ	graːmɔre
କରନ୍ତି	kɔɾɔnt̪i
ସମସ୍ତ	sɔmɔst̪ɔ
ଧ୍ୟାନମଗ୍ନ	d̪ʱjaːnɔmɔgnɔ
ବାସନା	baːsɔnaː
ଲୁହା	luhaː
ସୋଫାରେ	sopʰaːre
ଚାଲିଯାଇଛନ୍ତି	t͡ʃaːlid͡ʒaːit͡ʃʰɔnt̪i
ସାରିଥିଲା	saːrit̪ʰilaː
ଭୂଖଣ୍ଡ	bʱukʰɔɳɖɔ
ଥିଲାଇମ୍ମା	t̪ʰilaːimmaː
ଖୁସିରେ	kʰusire
ଆବଶ୍ୟକ	aːbɔsjɔkɔ
ସଂଳାପ	sɔŋl̪aːpɔ
ସଙ୍ଗେ	sɔŋge
ବହିଗୁଡ଼ିକ	bɔhiguɽikɔ
ଜେଜେବାପା	d͡ʒed͡ʒebaːpaː
ଯାହାହେଉ	d͡ʒaːhaːheu
ଲାଗୁନି	laːguni
ନାୟକ	naːjɔkɔ
ଉନ୍ନତି	unnɔt̪i
ଚିବୁକ	t͡ʃibukɔ
ଆମ୍ବ	aːmbɔ
ଟପିଲେ	ʈɔpile
ମଷ୍ତିଷ୍କ	mɔst̪iskɔ
ମହିଳା	mɔhil̪aː
ବୁଜି	bud͡ʒi
ନିର୍ମଳ	nirmɔl̪ɔ
ଯାଇଥିଲେ	d͡ʒaːit̪ʰile
ଦେବ	d̪ebɔ
ଧନ୍ୟବାଦ	d̪ʱɔnjɔbaːd̪ɔ
ହାଃ	haːh
ଶୁଣାନ୍ତି	suɳaːnt̪i
ବରୁଣ	bɔruɳɔ
ସିନ୍ଦୂର	sind̪uɾɔ
କିଣ	kiɳɔ
କାନର	kaːnɔɾɔ
ହଜୁର୍	hɔd͡ʒur
ସେତେବେଳେ	set̪ebel̪e
ଦାମ୍	d̪aːm
ଘୁରୁଥିଲା	gʰurut̪ʰilaː
ପୁରୁଣା	puruɳaː
ମାଲୟାଲମ	maːlɔjaːlɔmɔ
ଗାଇପାରୁଥିବ	gaːipaːrut̪ʰibɔ
ରେଭେନ୍ସା	rebʱensaː
ରୋହନ	rohɔnɔ
ନିଅନ୍ତୁ	niɔnt̪u
ପଢ଼ିବା	pɔɽʱibaː
ଆଗରେ	aːɡɔre
ଉତ୍କଳ	ut̪kɔl̪ɔ
ବାହାରନ୍ତେ	baːhaːɾɔnt̪e
ଦେଖାଇ	d̪ekʰaːi
କଢ଼େଇ	kɔɽʱei
ବସେ	bɔse
ବିଜୁଳିର	bid͡ʒul̪iɾɔ
ଆଗ୍ରହରେ	aːgɾɔhɔre
ଲାଗିଲାନି	laːgilaːni
ପରୀ	pɔri
ଆପଣତ	aːpɔɳɔt̪ɔ
ଟୋକେଇରେ	ʈokeire
ଉପମା	upɔmaː
ବହିର	bɔhiɾɔ
ଗଞ୍ଜାମ	ɡɔɲd͡ʒaːmɔ
କୁମ୍ଭାରୁଣୀ	kumbʱaːruɳi
