leeschtungsstaark	leːʃtˈuɳstaːʀk
Stammzellen	ʃɑmʦˈəleːn
Virwërf	fˈiːʁvʁf
beréiert	bˈəʀɜ͡ɪʁt
Briedemes	bʀi͡ədˈeːmeːz
développement	dˌæveːlopˈeːmeːnt
verdroen	fʁdʀˈoːən
zesoen	ʦəzˈoən
Bielefeld	bi͡əlˈeːfeːlt
Emdenken	əmdˈənkeːn
opzefëllen	ˌopʦəfˈəleːn
wirklesch	vˈiʀkleːʃ
privaten	pʀiːvˈaːteːn
Popsongs	pˈopzoɳz
oppent	ˈopeːnt
Botox	bˈoːtoːks
Houellebecq	hˌə͡ʊəlˈeːbeːkk
Kaukasus	kɑ͡ʊkˈaːzuːz
Dunn	dˈun
schwanken	ʃvˈɑɳeːn
Stackem	ʃtˈɑkəm
experimentelle	ˌəkspeːʀˌiːmeːntˈəllə
langues	lˈɑɳu͡əz
Desst	dˈeːst
ënnerstellen	ənʁʃtˈælən
afrikanescher	ˌɑfʀiːkaːnˈeːʃeːʀ
Geleet	gˈəleːt
vergaangenen	vˌeːʀgaːɳˈeːnən
Cédric	kˈædʀiːk
Chiers	ʃˈiʁs
statuéieren	ʃˌaːtuɜ͡ɪˈɐeːn
Hg	hg
Gebaut	gˈəbæː͡ʊt
briechen	bʀˈi͡əɕən
Entscheedungsprozess	ˌəntʃeːduɳzpʀˈoːʦəs
Depistage	dˌeːpiztˈɑʁə
Ayhancan	ˌɑihˈɑnkaːn
iewel	ˈi͡əveːl
Bildgestaltung	bˌiltgəztˈɑltuɳ
Scheld	ʃˈeːlt
Judith	jˈuːdith
Philipp	phˈiːlip
Ännerungen	ˌænəʀˈuɳən
Chambres	khˈɑmbʀeːz
lassgaange	lɑsgˈaːɳə
Apel	ˈaːpəl
Algorithmen	ˌɑlgoːʀˈithmeːn
Radare	ʀaːdˈaːʀə
Matgrënner	mɑtgʀˈəneːʀ
mé	mˈæ
zouseet	ʦˈə͡ʊzeːt
Gewënnerin	gˌəvənˈəʀin
Decompte	deːkˈomptə
reiwen	ʀˈɑ͡ɪvən
angestallt	ɑɳˈeːztɑlt
uwennen	uvˈænən
Mauere	mɑ͡ʊˈɐə
Honnertdausende	hˌoneːʀttɑ͡ʊsˈəntə
Beruffsverbänn	bˌeːʀufzvˈeːʀben
Modalitéiten	mˌodaːlitˈɜ͡ɪtən
Zoumuddung	ʦə͡ʊmˈuduɳ
erfort	ˈɐfoʀt
iwwerrieden	ˌivəʀˈi͡ədən
Groupement	gʀə͡ʊpˈeːmeːnt
Aner	ˈaːnʁ
Gomez	gˈoːmeːʦ
Kanéngchen	kɑnˈeɳɕən
Flüchtlingen	flyɕtlˈiɳən
Rondel	ʀˈondəl
Vollekszielung	vˌoleːksʦˈi͡əluɳ
Virstellungskraaft	vˌiʀztəllˈuɳzkʀaːft
geflu	gˈəflu
Endenergieverbrauch	ˌəndənˌeːʀʒi͡əvˈeːʀbʀɑ͡ʊX
Uecht	ˈu͡əɕt
iwwermuer	ˈivʁmuːʁ
grenziwwergräifend	gʀˌeːnʦiveːʀgʀˈæː͡ɪfənt
virläit	vˈiʀlæː͡ɪt
Verzerrungen	fʁʦʁʀˈuɳən
matgemeet	mɑtgˈəmeːt
Una	ˈuːnɑ
bësser	bˈəseːʀ
Koob	kˈoːb
Gemengt	gˈəmæɳt
fannen	fˈɑnən
satireschen	zˌaːtiːʀˈeːʃeːn
Kraaftwierker	kʀˈaːftviːʁkʁ
konjunkturell	kˌonʒuɳktˈuːʀæl
Schoulmeeschteren	ʃˌə͡ʊlmeːʃtˈəʀən
zweiwelhaft	ʦwɑ͡ɪvˈəlhɑft
Pappe	pˈɑpə
éierlech	ˈɜ͡ɪʁləɕ
rumänesch	ʀumˈɛːnəʃ
Schlässer	ʃlˈæsʁ
Passanten	pɑsˈɑntən
Biden	bˈiːdən
schenken	ʃˈæɳkən
virgestallte	vˌiʀgəztˈɑltə
onrecht	ˈonʀæɕt
Bicherbutteker	biɕʁbˈutekʁ
Jagger	jˈɑggəʀ
Déi	dˈɜ͡ɪ
Spillerei	ʃpilˈəʀɑ͡ɪ
Spruddel	ʃpʀˈudəl
obschon	ˈobʃoːn
faarweg	fˈaːʁvəɕ
Gud	gˈuːd
Mechanissem	mˌæɕaːnˈiseːm
déer	dˈeːʀ
äusserlech	ˈo͡ɪsʁləɕ
Kosettchen	kozˈætɕən
humanitärer	hˌumaːnˌiːtɛːˈɐeːʀ
schmuggelen	ʃmuXgˈələn
Häfen	hˈɛːfən
Stéierunge	ʃˌɜ͡ɪɐˈuɳə
Haaptaltor	haːptˈɑltoːʀ
Schweech	ʃwˈeːɕ
meter	mˈeːtʁ
LA	lˈɑ
Bänken	bˈæɳkən
FNEL	fnˈeːl
bilden	bˈildən
areesen	ɑʀˈeːzən
Kommissioune	kˌomisiˈə͡ʊnə
Representanten	ʀˌəpʀezɑ̃ːntˈɑntən
Tabletten	tɑblˈætən
Memoire	mˈɑ̃ːmwaːʀ
Ezri	ˈəʦʀi
Regierungskoalitioun	ʀˌeːʒiˌɐuɳzkˌoaːliːtˈiə͡ʊn
Rëm	ʀˈəm
aschränken	ɑʃʀˈæɳkən
Ambitioun	ɑ̃ːmbˈisjə͡ʊn
Obligatiounen	ˌobligɑʦjˈə͡ʊnən
benotzt	bˈənoʦt
Fifth	fˈifth
Verlagerung	fʁlaːʁˈəʀuɳ
Fielser	fˈi͡əlzeːʀ
Wasserbillig	vˌɑseːʀbˈiliːk
matzegestalten	mˌɑtʦəgəztˈɑlteːn
geschnëtzt	gˈəʃnəʦt
geseid	gˈəzɑ͡ɪd
Entente	ˈəntɑ̃ːt
Bryant	bʀˈiɑnt
Psychiateren	psˌikjaːtˈəʀən
Äishockeyclub	ˌæː͡ɪzhokəˈikluːb
Experimenter	ˌækspeʀˈimæntʁ
separater	zˌeːpaːʀˈaːteːʀ
Accise	ɑkkˈiːzə
hannerfroen	hɑnʁfʀˈoːən
beanträchtegt	bˌəɑntʀˈekhteːgt
Lex	lˈeːks
Réckstau	ʀˈækztɑ͡ʊ
Solarzellen	zˌoːlɑʀʦˈəleːn
bedrohlech	beːdʀˈohlæɕ
Neil	nˈɑ͡ɪl
öffentlech	œːfˈeːntlæɕ
psychiatresch	psikjˈaːtʀəʃ
virgestalt	viʀgˈəztɑlt
ausgepaakt	ˌæː͡ʊsgəpˈɑɑkt
ufanks	ˈufɑɳks
royale	ʀo͡ɪˈaːlə
Molen	mˈoːlən
Koppen	kˈopən
serbesch	sˈeʀbəʃ
Bäerdrefer	bˌɛːɐtʀˈeːfeːʀ
Kanneranimatioun	kˌɑneːʀˌaːniːmɑtˈiə͡ʊn
vollen	fˈolən
Rechtssécherheet	ʀˌæɕtsækhˈeːʀheːt
Mécke	mˈækə
Definitiv	dˌəfinˈitiːf
ewesch	ˈəveːʃ
Bunkeren	buɳkˈəʀən
Öffentlechkeet	ˌœːfeːntlˈæɕkeːt
Ryanair	ʀiˈaːnɑ͡ɪʀ
moderne	moːdˈɐnə
reeche	ʀˈeːɕə
encouragéiere	ˌənkə͡ʊʀˌaːgɜ͡ɪˈɐə
Gesetzgebung	gˌəzæʦgˈəbuɳ
Trainerposten	tʀˌɑ͡ɪneːʀpˈozteːn
Hypothes	hipˈotheːz
libesch	lˈibəʃ
Steiersaz	ʃtˈɑ͡ɪʁzaːʦ
argumentéiert	ˌɑʀʑumˈæntɜ͡ɪʁt
onglécklecherweis	ˌongleklˈəɕʁvɑ͡ɪs
Boyd	bˈo͡ɪd
Doropshi	doːʀˈopzhi
Villecher	vilˈæɕeːʀ
Konschtprojet	konʃtpʀˈoːjeːt
verkierperen	fʁki͡əpˈəʀən
Versioun	fʁzjˈə͡ʊn
Zwar	ʦwˈaːʀ
penale	pænˈaːlə
Gemeinschaften	gˌəmɑ͡ɪnʃˈɑftən
Cohesioun	kˌoːheːzˈiə͡ʊn
Fligerei	fliːgˈəʀɑ͡ɪ
unhat	ˈunhaːt
doduerger	doːdˈu͡əʀgəʀ
sauer	zˈɑ͡ʊʁ
Verännerung	fʁænˈəʀuɳ
Daiwel	dˈɑ͡ɪveːl
Stigma	ʃˈigmɑ
Estgen	ˈəztgən
Eschdorf	ˈəʃtoʀf
Muenches	mˈu͡ənɕəs
Usbekistan	ˌusbəkˈistaːn
konsekréiert	konzˈəkʀɜ͡ɪʁt
Schaum	ʃˈæː͡ʊm
Häip	hˈæː͡ɪp
Kubica	kuːbˈiːkɑ
opbauen	opbˈɑ͡ʊən
Instruction	ˌinʃʀuktˈioːn
lëschteg	lˈəʃtəɕ
Jidderen	jidˈeːʀeːn
kraacht	kʀˈaːXt
print	pʀˈint
liesbar	lˈi͡əzbaːʀ
Staddeel	ʃˈɑdeːl
Sowjetrepublik	zˌovjeːtʀeːpˈubliːk
Bauprojet	bɑ͡ʊpʀˈoʒeː
Muttwëll	mˈutvəl
opgeluede	ˌopgəlˈu͡ədə
Spezial	zpeːʦˈiɑl
roueg	ʀˈə͡ʊəɕ
Crèchë	kʀˈeːkhə
Finanzpolitik	fˌiːnɑnʦpoːlˈiːtiːk
systemesche	zˌizteːmˈeːʃə
operéiert	opˈəʀɜ͡ɪʁt
Ruddel	ʀˈudeːl
geschrauwt	gˈəʃʀɑ͡ʊvt
staune	ʃˈɑ͡ʊnə
eranzebréngen	ˌɐɑnʦəbʀˈæɳeːn
Paté	pˈɑteː
kommunistescher	kˌomuːniztˈeːʃeːʀ
voyageurs	vˌo͡ɪɑʁˈəuʀz
Brauch	bʀˈæː͡ʊX
butzegen	butʦˈəgən
grupp	gʀˈup
Bewäertung	bəvˈɛːʁtuɳ
st	zt
Ironescherweis	ˌiːɐˌoːneːʃˈeːʀvɑ͡ɪz
Ravel	ʀˈaːveːl
Capaldi	kaːpˈɑlti
opzezeechnen	ˌopʦəʦəˈəɕnən
EGMJ	ˈəgmj
Finanzgestioun	fˌiːnɑnʦgəztˈiə͡ʊn
Partido	pɑʀtˈiːdoː
Promo	pʀˈoːmoː
dréngenden	dʀæɳˈeːndən
deenen	dˈeːnən
Biergerinitiativen	bˌiːʁʑʁinˌiʦjɑtˈiːvən
sammelen	zɑmˈələn
danzen	dˈɑnʦən
Perseinlech	peːʀzˈɑ͡ɪnlæɕ
CISM	kˈizm
Int	ˈint
Ell	ˈæl
Echtzäit	ˈəɕtʦæː͡ɪt
Freet	fʀˈeːt
Lacrosse	lɑkʀˈosə
chaotescher	khˌɑoːtˈeːʃeːʀ
iwwerwannen	ivʁvˈɑnən
Ach	ˈɑX
opfonnt	ˈopfont
Choreographie	khˌoːʀəogʀˈɑphi͡ə
culturelles	kˌultuːʀˈeːleːz
Nationalen	nˌaːtioːnˈaːleːn
Regierungsequipe	ʀˌeːʒiˌɐuɳzˌeːkuˈipə
Week	vˈeːk
Maroon	mˈaːʀoːn
Synapsen	zinˈɑpsən
Transparenz	tʀɑnspˈɑʀænʦ
Maachen	mˈaːXən
jeweileger	jˌeːvɑ͡ɪlˈeːgəʀ
goung	gˈə͡ʊɳ
Spezialitéiten	ʃpˌeʦjaːlitˈɜ͡ɪtən
matkommen	mɑtkˈomən
Eisleck	ˈɑ͡ɪzleːk
Dynamic	dinˈaːmiːk
nokomme	noːkˈomə
Flüchtlinge	flyːkhtlˈiɳə
Lapko	lˈɑpkoː
behale	beːhˈaːlə
erwuessenen	ˌɐvu͡əsˈeːnən
Frances	fʀˈɑnsz
Tierkesch	tˈiːʁkəʃ
Kaiserslautern	kˌɑ͡ɪzeːʀzlˈɑ͡ʊteːʀn
Drauf	dʀˈɑ͡ʊf
Schafung	ʃˈaːfuɳ
barock	bˈɑʀok
Utopie	utˈopiː
géinteneen	gɜ͡ɪndˈəneːn
Optik	ˈoptik
Boxestopp	boːksˈeːztop
zaubere	ʦɑ͡ʊbˈeːʀə
verfeineren	fʁfɑ͡ɪnˈəʀən
Essay	əsˈɑiː
ungefangen	ˌuɳeːfˈɑɳeːn
Grondsteen	gʀˈontzteːn
Knäppchen	knˈæpɕən
Diabetis	dˌiaːbˈeːtiːz
duerchgegraff	duːʁɕgˈəgʀɑf
Magistrat	mɑgˈistʀaːt
Onbedéngt	onbˈədeɳt
designéiert	dˌeːzignˈɜ͡ɪɐt
Arabeschen	ˌaːʀaːbˈeːʃeːn
Aasselbuer	aːsˈeːlbu͡əʀ
JW	jv
Philharmoneschen	phˌilhɑʀmoːnˈeːʃeːn
Kannerfuesbal	kˌɑneːʀfˈu͡əzbaːl
ofbriechen	oːfbʀˈi͡əɕən
blöd	blˈœːt
Kanounen	kɑnˈə͡ʊnən
dozou	dˈoːʦə͡ʊ
Tickete	tikˈeːtə
dofunner	doːfˈuneːʀ
israelesche	ˌizʀɑəlˈeːʃə
Sätz	zˈæʦ
ënnerscheede	ˌoæneːʀʃˈeːdə
jugendlech	juːʁˈəndləɕ
Gelli	gˈəli
schwéierfälleg	ʃwɜ͡ɪʁfˈæləɕ
Contern	kˈonteːʀn
weiderzedreiwen	vˌɑ͡ɪdɐʦədʀˈɑ͡ɪveːn
TDF	ttf
Steinmeier	ʃɑ͡ɪnmˈɑ͡ɪɐ
appreciéieren	ˌɑpʀesjɜ͡ɪˈəʀən
haidege	hˈɑ͡ɪdeːʃ
ukämpfen	uːkˈempfən
verëffentlechen	fʁˌəfəntlˈəɕən
verstoppte	veːʀztˈoptə
Drenken	dʀˈeːɳeːn
Chrëschten	kʀˈəʃtən
Wiederlag	vi͡ədˈɐlaːX
Srel	zʀˈeːl
corps	kˈoʀpz
Lavendel	lɑvˈændəl
Gäste	gˈeztə
Kayak	kɑˈiɑk
geléngen	gəlˈeɳən
Camera	kaːmˈeːʀɑ
Stellewäert	ʃtælˈəvɛːʁt
Staatsmusée	ʃaːtzmˈuːzeː
Schlussphase	ʃlusphˈaːzə
Debussy	deːbˈusiː
Wëssenschaftler	vəsˈənʃɑftlʁ
Princess	pʀˈinss
zouloossen	ʦə͡ʊlˈoːsən
langfristeg	lɑɳfʀˈizteːk
globalen	gloːbˈaːleːn
Politikberäicher	pˌoːliːtˌikbeːʀˈæː͡ɪʃeːʀ
Fleegefamill	flˌeːgəfˈaːmil
Contrôle	kontʀˈoːlə
gespiert	gˈəʃpiːʁt
