caixilho	kajʃiʎu
margarina	maʁɡaɾina
lacónia	lakoniɐ
cleptomania	klɛpitomɐnia
relacionamento	helasjonamẽto
samoano	samuɐnu
rojão	ʁoʒɐ̃w̃
projeção	pɾoʒesɐ̃w̃
carambola	kaɾɐ̃bɔla
vermelho	veʁmeʎu
ontem	õtẽj̃
monumento	monumẽtu
entusiasticamente	ẽtuziastikɐmẽt͡ʃi
forte	fɔʁt͡ʃi
máquina	makina
trapo	tɾapu
alpendre	awpẽdɾi
frauda	fɾawdɐ
ideologia	idioloʒiɐ
wisconsin	wiskõsĩ
trituradora	tɾituɾadoɾɐ
outros	owtɾus
desprezível	despɾezivew
briga	bɾiɡɐ
junto	ʒũtu
viagem	viaʒẽj̃
banguela	bɐ̃ɡɛla
pérola	pɛɾula
irmandade	iʁmɐ̃dad͡ʒi
turismo	tuɾiʃmu
eduardo	eduaʁdu
clínico	kliniku
muralha	muɾaʎɐ
voraz	voɾajs
onde	õd͡ʒ
parcelar	paʁselaʁ
alcateia	awkatɛjɐ
trevisan	tɾevizɐ̃
consigo	kõsiɡu
louvar	lowvaʁ
víbora	viboɾa
labareda	labaɾeda
consigo	kũsiɡu
arte	aht͡ʃ
protuberância	pɾotubeɾɐ̃sjɐ
gol	ɡow
lhe	ʎi
repugnância	ʁepuɡnɐ̃sjɐ
arquimedes	aʁkimɛd͡ʒis
mansidão	mɐ̃sidɐ̃w̃
vosso	vɔsu
comentário	komẽtaɾju
rítmico	xitʃmiku
tontura	tõtuɾɐ
púbis	pubis
tetraedro	tɛtɾaɛdɾu
negação	neɡasɐ̃w̃
emagrecer	imaɡɾeseʁ
diz	d͡ʒis
supor	supoʁ
haver	aveɻ
ilha	iʎɐ
safa	safɐ
produção	pɾodusɐ̃w̃
semente	semẽt͡ʃi
génova	ʒenovɐ
dodecaedro	dodekaɛdɾu
remo	ʁemu
rutilância	ʁutʃilãsja
largar	laχɡaχ
sigilo	siʒilu
cátedra	katedɾɐ
sombrio	sõbɾiu
fábula	fabula
fracasso	fɾakasu
aleijado	alejʒadu
casulo	kazulʊ
nomear	nomiaʁ
estopim	istupĩ
cretino	kɾet͡ʃinu
bandeira	bɐ̃dejɾɐ
mantém	mɐ̃tẽj̃
taboa	taboɐ
rolando	ʁolɐ̃du
proibição	pɾoibisɐ̃w̃
felizmente	felizmẽtʃi
candomblé	kɐ̃dõblɛ
dívida	d͡ʒivida
específico	espesifiku
vital	vitaw
desculpa	d͡ʒiskuwpɐ
prometer	pɾometeʁ
onda	õda
boate	boate
missa	misɐ
banho	bɐɲu
parte	paʁt͡ʃi
oásis	oazis
despender	despẽdeʁ
proceder	pɾosedeʁ
montanha	mõtɐ̃j̃ɐ
código	kɔd͡ʒiɡu
venera	venɛɾa
chiclete	ʃiklɛt͡ʃi
aluna	alũnɐ
perigosas	peɾiɡɔzas
chamada	ʃɐmadɐ
latino	lat͡ʃinu
poucas	powkɐs
negligenciável	neɡliʒẽsjavew
opção	opsɐ̃w̃
cilindrar	silĩdɾaʁ
narguilé	narɡilɛ
exegese	ezeʒɛzi
tempero	tẽperu
sandália	sɐ̃daljɐ
quite	kit͡ʃi
faz	fajʃ
sossego	soseɡu
reconciliar	ʁekõsiliaɹ
éfeso	ɛfezu
buquê	buke
cheque	ʃɛki
acordo	akoʁdu
charrete	ʃaʁɛtʃi
agradecimento	aɡɾadesimẽj̃tu
pinheiro	piɲejɾu
modem	modẽj̃
marte	maɾtʃi
nágua	naɡwa
corcunda	koxkũdɐ
paradigma	paɾad͡ʒiɡma
saúde	saudi
solidariedade	solidaɾjedad͡ʒi
baraço	baɾasu
resina	ʁezinɐ
nesta	nɛstɐ
questionar	kwestʃjonaʁ
revés	ʁivɛs
cavoucar	kavokaχ
versúcia	veχsusja
realidade	ʁealidad͡ʒi
avistamento	aviʃtamẽtu
desculpar	d͡ʒiskuwpaʁ
marcar	maʁkaʁ
limitado	limitadu
garrancho	ɡaxɐ̃ʃu
óbolo	ɔbolu
indivíduo	ĩdʒividu
animar	animaʁ
grifo	ɡɾifu
apenas	apenɐʃ
pra	pɾa
papoula	papowla
palito	palitu
mata	matɐ
murcho	muʁʃu
cisto	sistu
rango	rɐ̃ɡu
colonial	koloniaw
disponível	d͡ʒisponivew
lingual	lĩɡwaw
crápula	kɾapula
cheio	ʃeju
hall	hɔw
camomila	kamomila
terceiro	teʁsejɾu
matador	matadoʁ
acerto	aseʁtu
postal	postaw
grátis	ɡɾat͡ʃis
paulada	pawladɐ
escadaria	eskadaɾiɐ
com	kũ
retornar	ʁetoʁnaʁ
ottawa	otawɐ
merlin	meʁlĩ
beslan	bezlɐ̃
soviético	soviɛtʃikʊ
canela	kɐnɛlɐ
plotadora	plotadoɾa
uísque	wiski
funeral	funeɾaw
ver	veh
premiu	pɾemiw
cupido	kupidu
avó	avɔ
lexicologia	lɛksikoloʒiɐ
nairobi	najɾɔbi
árvore	aɹvoɾi
memória	memɔɾjɐ
à	a
seco	seku
zootecnia	zootɛkniɐ
insuficiente	ĩsufisiẽt͡ʃi
preconceito	pɾekõsejtu
brasília	bɾaziljɐ
odre	odɾi
perda	peɾdɐ
seca	sɛkɐ
misturo	mistuɾu
upar	upaʁ
pivete	pivɛtʃi
paquistão	pakistɐ̃w̃
realmente	ʁeawmẽt͡ʃi
cegueta	seɡeta
esmagamento	izmaɡɐmẽtu
pouco	powku
antiderrapante	ɐ̃t͡ʃideʁapɐ̃t͡ʃi
éxons	ɛksõs
vídeo	vid͡ʒiw
afastar	afastaʁ
escolha	iskoʎɐ
assembleia	asẽblɛjɐ
urutau	uɾutaw
monte	mõt͡ʃi
babe	babi
tríptico	tɾipt͡ʃiku
velocidades	velosidad͡ʒis
assistir	asijʃt͡ʃiχ
picardia	pikaʁd͡ʒiɐ
acelerar	aseleɾaʁ
desenhista	dezeɲiʃtɐ
ralé	ʁalɛ
tio	t͡ʃiw
aproximar	apɾosimaχ
motor	motoʁ
ferrugem	feʁuʒẽj̃
amortizai	amoʁt͡ʃizaj
dinossauro	dinɔsawɾu
demorar	demoɾaʁ
descrita	deskɾitɐ
fizeste	fizɛstʃi
libra	libɾɐ
arrojo	aʁoʒu
vinho	viɲu
alfredo	awfɾedu
ironicamente	iɾonikɐmẽt͡ʃi
dicionário	d͡ʒisjonaɾjo
nylon	najlõ
otava	otavɐ
canhoto	kɐɲotu
temeste	temest͡ʃi
shopping	ʃɔpẽj̃
nossa	nɔsɐ
chinfrim	ʃĩfɾĩ
toque	tɔki
jogar	ʒoɡaʁ
escolher	eskoʎeɻ
pior	pjɔʁ
septicemia	sept͡ʃisemiɐ
produz	pɾodujs
game	ɡejm
visitar	vizitaʁ
cavalo	kavalo
teoria	teoɾiɐ
enrolar	ĩʁolaʁ
claríssima	klaɾisimɐ
ábaco	abako
embaraço	ĩbaɾasu
cachorro	kaʃoʁu
petróleo	petɾɔʎo
eles	elis
camal	kamaw
vetar	vetaʁ
agoiro	aɡojɾu
encalço	ĩkawsu
futriqueiro	futɾikejɾu
rodeado	ʁod͡ʒiadu
devorar	devoɾaɹ
maldição	mawd͡ʒisɐ̃w̃
linha	liɲɐ
átrio	atɾju
carregar	kaʁeɡaɹ
amazonita	ɐmɐzunitɐ
saturno	satuʁnu
usina	uzinɐ
adoecer	adueseʁ
rui	ʁuj
menino	meninu
segurar	seɡuɾaɹ
enfrentar	ĩfɾẽtaʁ
quaresma	kwaɾɛzmɐ
zimbabué	zĩbabuɛ
intragável	ĩtraɡavew
alado	aladu
nagasaki	naɡazaki
salada	salada
celestial	selest͡ʃiaw
álibi	alibi
tetraz	tetɾajs
sabão	sabɐ̃w̃
tuas	tuɐs
bezerro	bezeʁu
tereré	teɾeɾɛ
gestor	ʒestoʁ
amavioso	amaviozu
isto	isto
impacientes	ĩpasjẽt͡ʃis
acebolado	aseboladu
virgindade	viʁʒĩdad͡ʒi
nem	nẽj̃
navajo	navaʒu
meme	memi
bis	biʃ
bruaca	bruaka
pneumonia	pinewmoniɐ
destacar	dʒistakaɾ
álcool	awkoɔw
sermos	seʁmuʃ
ferir	feɾiʁ
criptogâmico	kɾipɡɐmiku
webnamorar	wɛbinamoɾaχ
limpar	lĩpaɹ
socialismo	sosialismu
abandonar	abɐ̃donaʁ
mui	mũj̃
envolver	ẽvowveɻ
catarina	kataɾinɐ
título	t͡ʃitulo
mesopotâmia	mezopotɐmiɐ
cérebro	sɛɾebɾu
científico	sjẽtʃifiku
roídos	ʁoidus
espádua	espadua
proxeneta	pɾokseneta
penicilina	penisilinɐ
repetidamente	ʁepet͡ʃidɐmẽt͡ʃi
redondo	ʁedõdu
linguiça	lĩɡuisɐ
proposta	pɾopɔstɐ
for	fɔɹ
suco	suko
fortalecer	foʁtaleseʁ
chão	ʃɐ̃w̃
wyoming	wajomĩ
broderagem	bɾodeɾaʒẽj̃
amadeu	amadew
defesa	defezɐ
olá	ola
sandália	sɐ̃dalja
dmitri	d͡ʒimitɾi
inteiro	ĩtejɾo
tonelada	toneladɐ
prazo	pɾazu
empregar	ĩpɾeɡaʁ
ânus	ɐnus
centurião	sẽtuɾjɐ̃w̃
doar	doaɹ
calor	kaloʁ
quinhão	kiɲɐ̃w̃
catita	kat͡ʃita
teeteto	teetetu
palanca	palɐ̃kɐ
messina	mesinɐ
pente	pẽti
guia	ɡiɐ
atrito	atɾitu
iço	isu
terpsícore	teʁpsikoɾi
televendedor	tɛlevẽdedoʁ
madrugar	madɾuɡaʁ
usuário	uzuaɾiu
pedir	ped͡ʒiʁ
insensato	ĩsẽsatu
capturar	kaptuɾaʁ
cópia	kɔpjɐ
afã	afɐ̃
criptocomunismo	kɾipkomunijʃmu
posto	postu
pintassilgos	pĩtasiwɡus
véio	vɛjʊ
comércio	komɛɻsio
avaliar	avaliaʁ
cocô	koko
média	mɛd͡ʒja
madeira	madejɾa
têm	tẽj̃
selo	sɛlu
trisavô	tɾizavo
bete	bɛtʃi
quebracho	kebɾaʃu
próprio	pɾɔpɾjo
sul	suw
desgraça	dzɡɾasɐ
pormenor	poʁmenɔʁ
reich	ʁajk
pagamento	paɡamẽtu
ã	ɐ̃
alceu	awsew
àquele	akeli
picareta	pikaɾetɐ
urrar	uʁaχ
político	pulit͡ʃiku
organizar	oʁɡɐnizaʁ
substantivo	substɐ̃t͡ʃivu
fricção	fɾiksɐ̃w̃
sigla	siɡlɐ
edificar	ed͡ʒifikaʁ
dão	dɐ̃w̃
vau	vaw
campo	kɐ̃pu
violento	vjolẽtu
sorumbático	soɾũbat͡ʃiku
alice	alisi
derradeira	deʁadejɾɐ
rio	ʁiw
senso	sẽsu
banheira	bɐɲejɾa
hostil	ost͡ʃiw
garfo	ɡaʁfu
parestesia	paɾeʃtezia
condicionado	kõd͡ʒisjonadu
recompensa	ʁekũpẽsa
suábia	swabjɐ
beca	bɛka
economia	ekonomiɐ
trânsito	tɾɐ̃zitu
pedem	pɛdẽj̃
testosterona	testosteɾonɐ
imperiosa	ĩpeɾjɔzɐ
rubéola	ʁubɛwla
salsa	sawsɐ
alimento	alimẽto
elevar	elevaʁ
hoplita	oplitɐ
heleno	elenu
limpeza	lĩpeza
antibullying	ɐ̃t͡ʃibulĩ
xeque	ʃɛki
opera	opɛɾa
preferir	pɾefeɾiʁ
caudal	kawdaw
beber	bebeʁ
helicóptero	elikɔpiteɾu
quão	kwɐ̃w̃
fatorial	fatoɾjaw
início	inisiu
crepes	kɾɛpes
cidade	sidade
novais	novajs
oeste	ɔɛʃti
recife	ʁesifi
ênfase	ẽfɐzi
vamos	vɐmus
bandeja	bɐ̃deʒa
arau	aɾaw
workshop	woʁkʃɔpi
unhar	uɲaɾ
céu	sɛw
recompense	ʁekõpẽsi
quarto	kwaʁtu
adesão	adezɐ̃w̃
bocado	bukadu
pinóquio	pinɔkju
informar	ĩfoʁmaʁ
susana	suzɐnɐ
vitória	vitɔɾjɐ
moral	moɾaw
remédio	ʁemɛd͡ʒiu
pois	pojs
cirenaica	siɾenajkɐ
carinho	kaɾiɲu
àquelas	akɛlɐs
eduardo	edwaʁdu
google	ɡuɡow
ignóbil	iɡinɔbiw
quera	kwɛɾa
peso	peso
vovó	vovɔ
nenhum	neɲũ
pipi	pipi
favela	favɛlɐ
deificação	deifikasɐ̃w̃
deixa	dejʃɐ
vieira	viejɾa
espírito	ispiɾitu
uruguai	uɾuɡwaj
semáforo	semafoɾu
resto	ʁɛstu
edifício	edifisju
substantivo	subistɐ̃t͡ʃivu
consistir	kõsistʃiʁ
preparação	pɾepaɾɐsɐ̃w̃
ciúme	sjumi
alameda	alameda
fernandes	fehnɐ̃ds
esperto	iʃpɛʁtu
ascensão	asẽsɐ̃w̃
fechar	feʃaʁ
malandragem	malɐ̃dɾaʒẽj̃
gripar	ɡɾipaʁ
olhada	oʎadɐ
pintar	pĩtaʁ
abdômen	abidomẽj̃
assistir	asist͡ʃiʁ
tadeu	tadew
diplomático	d͡ʒiplomatiku
simetria	simetɾiɐ
licença	lisẽsɐ
sacana	sakɐ̃nɐ
hertz	hɛʁts
arroz	ahojs
joãozinho	ʒoɐ̃w̃ziɲu
criptofascismo	kɾiptofasijʃmu
mago	maɡu
estofado	estofadu
pela	pɛlɐ
sinceramente	sĩsɛɾɐmẽt͡ʃi
arconte	aʁkõt͡ʃi
índio	ĩd͡ʒo
godofredo	ɡodofɾedu
ampulheta	ɐ̃puʎeta
granada	ɡɾanadɐ
sais	sajʃ
sem	sẽj̃
fluído	fluidu
renhir	reɲiɹ
ideia	idɛjɐ
desperdício	dʒispeʁdʒisju
satisfação	satʃiʃfasɐ̃w̃
xiita	ʃiita
publicitado	publisitadu
trambicar	tɾãbikaɾ
ligar	liɡaʁ
circulação	siʁkulasɐ̃w̃
tempo	tẽpo
lutinha	lut͡ʃiɲɐ
viril	viɾiw
admirador	ad͡ʒimiɾadoʁ
corvo	koʁvu
ditatorial	d͡ʒitatoɾjaw
fustigar	fustiɡaʁ
serenidade	seɾenidad͡ʒi
palmira	pawmiɾɐ
desinteresse	dezĩteɾɛsi
dez	dɛjʃ
cá	ka
selecionado	selesjonadu
antigamente	ɐ̃t͡ʃiɡamẽt͡ʃi
mofo	mofu
sucatear	sukateaʁ
otimista	ot͡ʃimiʃtɐ
bragança	bɾaɡɐ̃sɐ
vós	vɔjs
entediar	ĩted͡ʒjaɹ
sociniano	sosinjɐnu
fidúcia	fidusja
caneco	kɐnɛku
icônico	ikoniku
desídia	dezidʒja
charamela	ʃaɾɐmɛlɐ
safadeza	safadezɐ
guilherme	ɡiʎɛʁmi
assustadores	asustadoɾis
europol	ewɾopɔw
coral	koɾaw
em	ẽj̃
traje	tɾaʒi
candeeiro	kɐ̃d͡ʒiejɾo
catapúcia	katapusja
edifício	edʒifisju
nádia	nad͡ʒjɐ
daquela	dakɛlɐ
oportunidade	opoʁtunidad͡ʒi
ter	teʁ
rogério	ʁoʒɛɾju
presidiário	pɾezid͡ʒiaɾiu
condão	kõdɐ̃w̃
cavaquinho	kavakiɲu
plano	plɐnu
placar	plɐkar
própria	pɾɔpɾja
criar	kɾiaʁ
filão	filɐ̃w̃
estupro	istupɾu
fiar	fiaɾ
turu	tuɾu
produz	pɾodujʃ
legenda	leʒẽda
compatriota	kõpatɾiɔtɐ
vai	vaj
medíocre	med͡ʒiwkɾi
elevar	elevaɾ
brinco	bɾĩku
