հեռաձայնել	hɛrɑd͡zɑjnɛl
վաճառատեղ	vɑt͡ʃɑrɑtɛʁ
իվան	ivɑn
գործակցություն	ɡɔɾt͡sɑkt͡sʰutʰjun
առաջադեմ	ɑrɑt͡ʃʰɑdɛm
բառապաշար	bɑrɑpɑʃɑɾ
իննսուն	inːəsun
դետ	dɛt
հնարավոր	hənɑɾɑvɔɾ
լիֆչիկ	lift͡ʃʰik
գյուղացի	ɡjuʁɑt͡sʰi
բեկտել	bɛktɛl
գրպան	ɡəɾpɑn
չորեքկին	t͡ʃʰɔɾɛkʰkin
խարբալել	χɑɾbɑlɛl
ժահր	ʒɑhəɾ
երկայնել	jɛɾkɑjnɛl
թրաշ	tʰəɾɑʃ
ծովահեն	t͡sɔvɑhɛn
պորտուգալիա	pɔɾtuɡɑljɑ
փեթակ	pʰɛtʰɑk
վաչե	vɑt͡ʃʰɛ
ճաճանչ	t͡ʃɑt͡ʃɑnt͡ʃʰ
վեցանկյուն	vɛt͡sʰɑŋkjun
հավետ	hɑvɛt
հոնոլուլու	hɔnɔlulu
երեւի	jɛɾɛvi
ոլոր	vɔlɔɾ
պոռոտախոսել	pɔrɔtɑχɔsɛl
մթամ	mətʰɑm
լեզվաբանություն	lɛzvɑbɑnutʰjun
ջերմություն	d͡ʒɛɾmutʰjun
մղմուղ	məʁmuʁ
ծիծառ	t͡sit͡sɑr
գավրիլ	ɡɑvɾil
շչակ	ʃət͡ʃʰɑk
հիմունք	himuŋkʰ
պետական	pɛtɑkɑn
դաշտով	dɑʃtɔv
բուխ	buχ
կարել	kɑɾɛl
հնէաբան	hənɛɑbɑn
գեղարքունի	ɡɛʁɑɾkʰuni
առաջաբան	ɑrɑt͡ʃʰɑbɑn
օրգան	ɔɾɡɑn
ծանծաղ	t͡sɑnt͡sɑʁ
դիակ	dijɑk
բենիլյուքս	bɛniljukʰs
պարկեշտ	pɑɾkɛʃt
նինոծմինդա	ninɔt͡smindɑ
հանդուրժողական	hɑnduɾʒɔʁɑkɑn
իրավմամբ	iɾɑvmɑmpʰ
օդեսա	ɔdɛsɑ
տպիչ	təpit͡ʃʰ
ցուրտ	t͡sʰuɾt
խափան	χɑpʰɑn
օծել	ɔt͡sɛl
ընկնավորություն	əŋknɑvɔɾutʰjun
եղծ	jɛχt͡s
ավստրալիա	ɑfstɾɑljɑ
քաբաբ	kʰɑbɑb
նպաստել	nəpɑstɛl
սպառող	əspɑrɔʁ
բեռնյան	bɛrnjɑn
անասուն	ɑnɑsun
հոկեյ	hɔkɛj
սահմանափակորեն	sɑhmɑnɑpʰɑkɔɾɛn
գարնային	ɡɑɾnɑjin
ավազ	ɑvɑz
արեւածագ	ɑɾɛvɑt͡sɑkʰ
մնաք	mənɑkʰ
հյուսվածք	hjusvɑt͡skʰ
միջադիր	mit͡ʃʰɑdiɾ
կայտառ	kɑjtɑr
իջեւանային	id͡ʒɛvɑnɑjin
գիրոկաստրա	ɡiɾɔkɑstɾɑ
զննել	zənːɛl
փութով	pʰutʰɔv
նրանում	nəɾɑnum
բացորոշաբար	bɑt͡sʰɔɾɔʃɑbɑɾ
կայիք	kɑjikʰ
կռնակ	kərnɑk
մենթալիտետ	mɛntʰɑlitɛt
հարությունյան	hɑɾutʰjunjɑn
եսասիրական	jɛsɑsiɾɑkɑn
կորպուսը	kɔɾpusə
թուրջ	tʰuɾt͡ʃʰ
ղ	ʁə
փեդ	pʰɛd
գոչ	ɡɔt͡ʃʰ
միջոցառում	mit͡ʃʰɔt͡sʰɑrum
միլիցա	milit͡sʰɑ
դեգերում	dɛɡɛɾum
քաղց	kʰɑχt͡sʰ
ընկերություն	əŋkɛɾutʰjun
որդեգրում	vɔɾtʰɛɡəɾum
նորման	nɔɾmɑn
օգտակար	ɔkʰtɑkɑɾ
ինքնություն	iŋkʰnutʰjun
կից	kit͡sʰ
դեցիմետր	dɛt͡sʰimɛtəɾ
իտանագար	itɑnɑɡɑɾ
առասպել	ɑrɑspɛl
ճանճկեն	t͡ʃɑnt͡ʃkɛn
փնտրել	pʰəntɾɛl
ափիոն	ɑpʰijɔn
ջիբութի	d͡ʒibutʰi
առլյուծ	ɑrljut͡s
բորբոքել	bɔɾbɔkʰɛl
դրակոնյան	dɾɑkɔnjɑn
զգացում	əzɡɑt͡sʰum
ցածր	t͡sʰɑt͡səɾ
հիգիենա	hiɡjɛnɑ
թեոկրատական	tʰɛɔkɾɑtɑkɑn
ապահովել	ɑpɑhɔvɛl
վերջամաս	vɛɾt͡ʃʰɑmɑs
վենեսուելա	vɛnɛsuɛlɑ
վանք	vɑŋkʰ
յուրային	juɾɑjin
գնահատել	ɡənɑhɑtɛl
գեռլա	ɡɛrlɑ
բոլշեւիկ	bɔlʃɛvik
առավել	ɑrɑvɛl
թոքային	tʰɔkʰɑjin
բենին	bɛnin
կանխամտածվել	kɑnχɑmətɑt͡svɛl
պրիշտինա	pɾiʃtinɑ
պարարտ	pɑɾɑɾt
աքսորվել	ɑkʰsɔɾvɛl
տասերորդ	tɑsɛɾɔɾtʰ
հյուրերիցդ	hjuɾɛɾit͡sʰəd
պեդալ	pɛdɑl
բլնգազ	bələŋɡɑz
քրիստոս	kʰɾistɔs
տժվժիկ	təʒvəʒik
հասանելի	hɑsɑnɛli
ներողություն	nɛɾɔʁutʰjun
գիրք	ɡiɾkʰ
գիհի	ɡihi
ծլիկային	t͡səlikɑjin
թալանչի	tʰɑlɑnt͡ʃʰi
տեսաերիզ	tɛsɑjɛɾiz
ֆրիդրիխ	fɾidɾiχ
պուրի	puɾi
շուշի	ʃuʃi
անկոս	ɑŋkɔs
վերջավորություն	vɛɾt͡ʃʰɑvɔɾutʰjun
աբքայք	ɑpʰkʰɑjkʰ
ավտովարորդ	ɑftɔvɑɾɔɾtʰ
վասիլ	vɑsil
հակահեղափոխական	hɑkɑhɛʁɑpʰɔχɑkɑn
յ	jə
զինվորական	zinvɔɾɑkɑn
տրամաչափ	təɾɑmɑt͡ʃʰɑpʰ
ձառ	d͡zɑr
տեխնոլոգիա	tɛχnɔlɔɡjɑ
անզգայացվել	ɑnəzɡɑjɑt͡sʰvɛl
աստվածյան	ɑstvɑt͡sjɑn
հաբեշստան	hɑbɛʃstɑn
հայրենասեր	hɑjɾɛnɑsɛɾ
գիտակցորեն	ɡitɑkt͡sʰɔɾɛn
ջրասուզակ	d͡ʒəɾɑsuzɑk
անզգայացվել	ɑnzɡɑjɑt͡sʰvɛl
կենտրոնական	kɛntɾɔnɑkɑn
տագնապ	tɑɡnɑp
տորգ	tɔɾɡ
ալազան	ɑlɑzɑn
օյաղ	ɔjɑʁ
ուլյանովսկ	uljɑnɔfsk
շոֆեր	ʃɔfɛɾ
արեկիպա	ɑɾɛkipɑ
հրայր	həɾɑjɾ
զուլու	zulu
պարեն	pɑɾɛn
հեստապարուհի	hɛstɑpɑɾuhi
համակարգչային	hɑmɑkɑɾkʰt͡ʃʰɑjin
ճշմարիտ	t͡ʃəʃmɑɾit
շղթա	ʃəχtʰɑ
հոյակերտ	hɔjɑkɛɾt
գանգրածածկ	ɡɑŋɡɾɑt͡sɑt͡sk
պորտուգալական	pɔɾtuɡɑlɑkɑn
հանապազ	hɑnɑpɑz
հացհամեմ	hɑt͡sʰhɑmɛm
ղուսուր	ʁusuɾ
կափույր	kɑpʰujɾ
կանչել	kɑnt͡ʃʰɛl
սանրվել	sɑnəɾvɛl
բլղուր	bəlʁuɾ
հղփություն	həχpʰutʰjun
արմատ	ɑɾmɑt
նոբելիում	nɔbɛlijum
զորեղ	zɔɾɛʁ
փքել	pʰəkʰɛl
հոդված	hɔtvɑt͡s
զրահամորթ	zəɾɑhɑmɔɾtʰ
ամպար	ɑmpɑɾ
բաբայան	bɑbɑjɑn
կոկիկ	kɔkik
ժանտափուշ	ʒɑntɑpʰuʃ
փաղանգ	pʰɑʁɑŋɡ
շլդիկ	ʃəldik
դյուրին	djuɾin
ապրես	ɑpɾɛs
լուռ	lur
ջեզվե	d͡ʒɛzvɛ
մարկիզ	mɑɾkiz
լիագումար	lijɑɡumɑɾ
անի	ɑni
քիրազ	kʰiɾɑz
լոլիկ	lɔlik
արքայանարինջ	ɑɾkʰɑjɑnɑɾind͡ʒ
նատյուրմորտ	nɑtjuɾmɔɾt
խառը	χɑrə
խնձորօղի	χənd͡zɔɾɔʁi
պարտվել	pɑɾtvɛl
անապատ	ɑnɑpɑt
վառեկ	vɑrɛk
նոպա	nɔpɑ
կտոր	kətɔɾ
ապարանջան	ɑpɑɾɑnd͡ʒɑn
սաղմ	sɑʁm
ծոփք	t͡sɔpʰkʰ
խաչիկ	χɑt͡ʃʰik
վերջինեկ	vɛɾt͡ʃʰinɛk
խոզագրիպ	χɔzɑɡəɾip
թուփ	tʰupʰ
չ	t͡ʃʰ
քյանդրբազ	kʰjɑndəɾbɑz
պսկով	pəskɔv
իդիշ	idiʃ
չէ	t͡ʃʰɛ
հանքաքար	hɑŋkʰɑkʰɑɾ
հեռաձայն	hɛrɑd͡zɑjn
գնչել	ɡənt͡ʃʰɛl
նեոդիմ	nɛɔdim
զուսպ	zusp
աստիճան	ɑstit͡ʃɑn
լկստվել	ləkəstvɛl
կազմություն	kɑzmutʰjun
սափոր	sɑpʰɔɾ
ճապուկ	t͡ʃɑpuk
ղազվին	ʁɑzvin
հարսանեկան	hɑɾsɑnɛkɑn
երեսնամյա	jɛɾɛsnɑmjɑ
հարյուրամյակ	hɑɾjuɾɑmjɑk
փոխանակ	pʰɔχɑnɑk
ինչ	int͡ʃʰ
մղձուկ	məʁd͡zuk
ձուղպ	d͡zuχp
եթե	jɛtʰɛ
կայիր	kɑjiɾ
ստալին	əstɑlin
առաջավոր	ɑrɑt͡ʃʰɑvɔɾ
սոցիոլոգիա	sɔt͡sʰjɔlɔɡjɑ
մանանեխ	mɑnɑnɛχ
ֆաթիմյան	fɑtʰimjɑn
գիտելիք	ɡitɛlikʰ
գողանալ	ɡɔʁɑnɑl
մսագործ	məsɑɡɔɾt͡s
ճան	t͡ʃɑn
ուռուցք	urut͡sʰkʰ
ապահովվել	ɑpɑhɔvːɛl
թոխար	tʰɔχɑɾ
կալլինոս	kɑlːinɔs
հիմնադրական	himnɑdɾɑkɑn
ատրներսեհ	ɑtəɾnɛɾsɛh
գուարանի	ɡuɑɾɑni
բեսեդկա	bisɛdkɑ
բուծանել	but͡sɑnɛl
կարճամետրաժ	kɑɾt͡ʃɑmɛtɾɑʒ
փորթուգալիա	pʰɔɾtʰuɡɑljɑ
հառաչալից	hɑrɑt͡ʃʰɑlit͡sʰ
մորաքրոջ	mɔɾɑkʰəɾɔt͡ʃʰ
գառնիկ	ɡɑrnik
աղվեսենի	ɑʁvɛsɛni
հուսահատվել	husɑhɑtvɛl
ալկմենե	ɑlkmɛnɛ
ամնիստիա	ɑmnistjɑ
տելուր	tɛluɾ
քարաճիկ	kʰɑɾɑt͡ʃik
նունուֆար	nunufɑɾ
կարմրուկ	kɑɾmɾuk
սիմֆերոպոլ	simfɛɾɔpɔl
քաոսայնություն	kʰɑɔsɑjnutʰjun
խալիֆայություն	χɑlifɑjutʰjun
խաղամոլ	χɑʁɑmɔl
զամբյուղ	zɑmbjuʁ
պլոկել	pəlɔkɛl
մշակել	məʃɑkɛl
վիրավոր	viɾɑvɔɾ
ծալծալ	t͡sɑlt͡sɑl
դրվատիք	dəɾvɑtikʰ
կուլմինացիա	kulminɑt͡sʰjɑ
նան	nɑn
ոսկոր	vɔskɔɾ
վարշամակ	vɑɾʃɑmɑk
ատոմ	ɑtɔm
կարիբյան	kɑɾibjɑn
դողէրոցք	dɔʁɛɾɔt͡sʰkʰ
թարթառ	tʰɑɾtʰɑr
շաքարավազ	ʃɑkʰɑɾɑvɑz
դառնենի	dɑrnɛni
կարմրանալ	kɑɾmɾɑnɑl
համբուրել	hɑmpʰuɾɛl
տոմսկ	tɔmsk
ստեղնաշար	əstɛʁnɑʃɑɾ
անօգ	ɑnɔkʰ
քյանդրբազություն	kʰjɑndəɾbɑzutʰjun
սմեգմա	smɛɡmɑ
պաղատել	pɑʁɑtɛl
մյուոն	mjuɔn
սողալ	sɔʁɑl
գաղափարախոսություն	ɡɑʁɑpʰɑɾɑχɔsutʰjun
հաղթաթուղթ	hɑχtʰɑtʰuχtʰ
պատառ	pɑtɑr
տարկետում	tɑɾkɛtum
անհապաղ	ɑnhɑpɑʁ
գերմանական	ɡɛɾmɑnɑkɑn
սահմանափակվել	sɑhmɑnɑpʰɑkvɛl
գրատախտակ	ɡəɾɑtɑχtɑk
ռագատկա	rɑɡɑtkɑ
կարծր	kɑɾt͡səɾ
պտտահողմ	pətətɑhɔʁm
լիմոն	limɔn
հեշտ	hɛʃt
մեդալ	mɛdɑl
ճոխ	t͡ʃɔχ
երկաթ	jɛɾkɑtʰ
կոալա	kɔɑlɑ
չարչարվել	t͡ʃʰɑɾt͡ʃʰɑɾvɛl
սուջուխ	sud͡ʒuχ
երեկոյան	jɛɾɛkɔjɑn
բուծել	but͡sɛl
ոլորակ	vɔlɔɾɑk
ղպտիերեն	ʁəptijɛɾɛn
գրենլանդերեն	ɡɾɛnlɑndɛɾɛn
ձմուկ	d͡zəmuk
ծույլ	t͡sujl
յոթանասուն	jɔtʰɑnɑsun
ճուճուլ	t͡ʃut͡ʃul
ելույթ	jɛlujtʰ
նախասիրտ	nɑχɑsiɾt
քիոս	kʰiɔs
մուռ	mur
ցունամի	t͡sʰunɑmi
տեղատվություն	tɛʁɑtvutʰjun
փողորակ	pʰɔʁɔɾɑk
փմձ	pʰəməd͡zə
կելտական	kɛltɑkɑn
սերգո	sɛɾɡɔ
վերջնավանկային	vɛɾt͡ʃʰnɑvɑŋkɑjin
զառամանալ	zɑrɑmɑnɑl
ճամփորդ	t͡ʃɑmpʰɔɾtʰ
որոնել	vɔɾɔnɛl
ակնակապիճ	ɑknɑkɑpit͡ʃ
փարթամություն	pʰɑɾtʰɑmutʰjun
աբբայարան	ɑbːɑjɑɾɑn
փոխարինող	pʰɔχɑɾinɔʁ
բնույթ	bənujtʰ
անձուկ	ɑnd͡zuk
քերականական	kʰɛɾɑkɑnɑkɑn
բահայի	bɑhɑji
բեհեզ	bɛhɛz
սամվել	sɑmvɛl
միկրոբ	mikɾɔb
ալերգիա	ɑlɛɾɡjɑ
պայուսակ	pɑjsɑk
հագնվել	hɑɡnəvɛl
ինտելիգենցիա	intɛliɡɛnt͡sʰjɑ
խեղություն	χɛʁutʰjun
ուագադուգու	uɑɡɑduɡu
պոլտավա	pɔltɑvɑ
դաքա	dɑkʰɑ
շաքարախտ	ʃɑkʰɑɾɑχt
չաղություն	t͡ʃʰɑʁutʰjun
ռունգ	ruŋɡ
դայլայլել	dɑjlɑjlɛl
պոդգորիցա	pɔdɡɔɾit͡sʰɑ
այժմ	ɑjʒəm
վերջավորել	vɛɾt͡ʃʰɑvɔɾɛl
մտածելակերպ	mətɑt͡sɛlɑkɛɾp
համասեռահակություն	hɑmɑsɛrɑhɑkutʰjun
ջերմաչափ	d͡ʒɛɾmɑt͡ʃʰɑpʰ
լահմաջուն	lɑhmɑd͡ʒun
մուրհակ	muɾhɑk
կոնտեյներ	kɔntɛjnɛɾ
արտասահման	ɑɾtɑsɑhmɑn
հոհենցոլեր	hɔhɛnt͡sʰɔlɛɾ
շփոթել	ʃəpʰɔtʰɛl
է	ɛ
սահաթ	sɑhɑtʰ
կոշկատակ	kɔʃkɑtɑk
կատիոն	kɑtiɔn
ցերեկ	t͡sʰɛɾɛk
բառապատճեն	bɑrɑpɑtt͡ʃɛn
վերակառուցում	vɛɾɑkɑrut͡sʰum
պատժվել	pɑtəʒvɛl
եղբայր	jɛχpɑjɾ
հանկարծ	hɑŋkɑɾt͡s
կոֆե	kɔfɛ
հիսուն	hisun
փառասիրություն	pʰɑrɑsiɾutʰjun
քան	kʰɑn
անտիգոնե	ɑntiɡɔnɛ
խնդրանք	χəntʰɾɑŋkʰ
սիրավեպ	siɾɑvɛp
սակավ	sɑkɑv
սառչել	sɑrt͡ʃʰɛl
անահիտ	ɑnɑhit
կռճիկ	kərt͡ʃik
թիթեռնակ	tʰitʰɛrnɑk
ծրագրավորող	t͡səɾɑɡɾɑvɔɾɔʁ
խիշտ	χiʃt
հրավառություն	həɾɑvɑrutʰjun
հոխորտան	hɔχɔɾtɑn
էտրուսկ	ɛtɾusk
օգտագործվել	ɔkʰtɑɡɔɾt͡svɛl
սպրիչ	əspɾit͡ʃʰ
լեպտոն	lɛptɔn
հունվար	hunvɑɾ
տերիտորիա	tɛɾitɔɾjɑ
հետնորդ	hɛtnɔɾtʰ
ագարակացնել	ɑɡɑɾɑkɑt͡sʰnɛl
բումերանգ	bumɛɾɑŋɡ
ամորձի	ɑmɔɾd͡zi
ենթադրյալ	jɛntʰɑdəɾjɑl
թաքթաքուր	tʰɑkʰtʰɑkʰuɾ
փիլիսոփայություն	pʰilisɔpʰɑjutʰjun
սրընթաց	səɾəntʰɑt͡sʰ
եղնորթ	jɛʁnɔɾtʰ
տիկնիկային	tiknikɑjin
նախարարություն	nɑχɑɾɑɾutʰjun
աա	ɑɑ
նախապայման	nɑχɑpɑjmɑn
շեշտ	ʃɛʃt
բալետ	bɑlɛt
գաղտրիկ	ɡɑχtɾik
արտեւանունք	ɑɾtɛvɑnuŋkʰ
ջերմ	d͡ʒɛɾm
խռթացնել	χərtʰɑt͡sʰnɛl
չսիրած	t͡ʃʰəsiɾɑt͡s
թալիբան	tʰɑlibɑn
փերիխան	pʰɛɾiχɑn
պատրաստ	pɑtɾɑst
թվական	tʰəvɑkɑn
մալայերեն	mɑlɑjɛɾɛn
պրակտիկ	pɾɑktik
օր	ɔɾ
արեւապաշտպան	ɑɾɛvɑpɑʃpɑn
պլասկագուբցի	plɑskɑɡupʰt͡sʰi
ագանյա	ɑɡɑnjɑ
փափկամորթ	pʰɑpʰkɑmɔɾtʰ
ցինիզմ	t͡sʰinizm
քուլա	kʰulɑ
բախչիսարայ	bɑχt͡ʃʰisɑɾɑj
չեննայ	t͡ʃʰɛnːɑj
ճպուռ	t͡ʃəpur
կոշկակար	kɔʃkɑkɑɾ
դարեր	dɑɾɛɾ
դինոզավր	dinɔzɑvəɾ
զանգվածային	zɑŋɡvɑt͡sɑjin
թովմաս	tʰɔvmɑs
փարիզյան	pʰɑɾizjɑn
հեռացնել	hɛrɑt͡sʰnɛl
երգիչ	jɛɾkʰit͡ʃʰ
ոտնառում	vɔtnɑrum
աղմուկ	ɑʁmuk
չարիք	t͡ʃʰɑɾikʰ
բաղբաջել	bɑʁbɑd͡ʒɛl
սլայդ	slɑjd
ավտոպարկ	ɑftɔpɑɾk
բանական	bɑnɑkɑn
մայկա	mɑjkɑ
բրդյա	bəɾtʰjɑ
շտապ	əʃtɑp
խորհրդարանական	χɔɾəɾtʰɑɾɑnɑkɑn
անգլերեն	ɑŋɡlɛɾɛn
ճոճ	t͡ʃɔt͡ʃ
թուլաբանջար	tʰulɑbɑnd͡ʒɑɾ
հորան	hɔɾɑn
դիարբեքիր	dijɑɾbɛkʰiɾ
արդարացի	ɑɾtʰɑɾɑt͡sʰi
լայվ	lɑjv
խորվաթիա	χɔɾvɑtʰjɑ
բացատ	bɑt͡sʰɑt
հասկանալ	hɑskɑnɑl
արիստակես	ɑɾistɑkɛs
կաշառվել	kɑʃɑrvɛl
տորմուզ	tɔɾmuz
հելիոս	hɛliɔs
շուշմա	ʃuʃmɑ
դոգմա	dɔɡmɑ
համադրույթ	hɑmɑdəɾujtʰ
շարժական	ʃɑɾʒɑkɑn
վարիչ	vɑɾit͡ʃʰ
հյուր	hjuɾ
լինգալա	liŋɡɑlɑ
պոռոչագին	pɔrɔt͡ʃʰɑɡin
պանթուրքիզմ	pɑntʰuɾkʰizm
անեզական	ɑnɛzɑkɑn
ուհան	uhɑn
նովոռոսիյսկ	nɔvɔrɔsijsk
ուռուցքաբանություն	urut͡sʰkʰɑbɑnutʰjun
շվեյցար	ʃvɛjt͡sʰɑɾ
քող	kʰɔʁ
օծյալ	ɔt͡sjɑl
լուսնկա	lusəŋkɑ
թուրքեստան	tʰuɾkʰɛstɑn
կորած	kɔɾɑt͡s
քյարփինջ	kʰjɑɾpʰind͡ʒ
գահույք	ɡɑhujkʰ
մաղ	mɑʁ
փոքրացնել	pʰɔkʰɾɑt͡sʰnɛl
պեչենի	pɛt͡ʃʰɛni
շվեյցարիա	ʃvɛjt͡sʰɑɾjɑ
բաղեղ	bɑʁɛʁ
սեռի	sɛri
կալիում	kɑlijum
հարթ	hɑɾtʰ
