של	ʃl
חדש	χadˈaʃ
בתפקיד	vtfkˈid
בסרט	vsʁt
הפך	ʔfχ
בעוד	vʔvd
שהם	ʃʔm
שוב	ʃvv
עקב	ʔkv
כ	χˈaf
שימוש	ʃjmvʃ
המשפט	ʔmʃft
הלהקה	ʔlʔkʔ
בכך	vχχ
ארצות	ʔʁtsvt
בידי	vˈidi
היהודים	ˈiʔvdim
הממשלה	ʔmmʃlʔ
נשים	nʃjm
והיא	vˈiʔ
בעת	vʔt
בהמשך	vʔmʃχ
ממנו	mmnv
אז	ʔz
בשנים	vʃnˈim
מול	mvl
כמעט	χmʔt
פעולה	fʔvlʔ
החלה	ʔχlʔ
בסוף	vsvf
המאה	ʔmʔʔ
הגדול	ʔɡdvl
ברחבי	vʁχvˈi
קיבל	kˈivl
שמו	ʃmv
אנשי	ʔnʃj
וגם	vɡm
רבה	ʁvʔ
הארץ	ʔʔʁts
בארצות	vʔʁtsvt
מאוחר	mʔvχʁ
בתחום	vtχvm
נוספת	nvsft
מקום	mkvm
עדיין	ʔdˈijn
בצורה	vtsvʁʔ
נמצא	nmtsʔ
בת	vt
השלישי	ʔʃlˈiʃj
הצבא	ʔtsvʔ
פעם	fʔm
למקום	lmkvm
אחרות	ʔχʁvt
שהיו	ʃˈiv
נקודות	nkvdvt
האחרון	ʔʔχʁvn
ולאחר	vlʔχʁ
חברי	χvʁˈi
קצר	ktsʁ
נולד	nvld
ימים	jmˈim
במיוחד	vmˈivχd
כוחות	χvχvt
ועד	vʔd
השנה	hˌaʃanˈa
אביו	ʔvˈiv
שלוש	ʃalˈoʃ
שבה	ʃvʔ
כוח	χvχ
באותו	vʔvtv
לבית	lvˈit
השם	ʔʃm
פעמים	fʔmˈim
מדי	mdˈi
בתי	vtˈi
ככל	χχl
אצל	ʔtsl
בגיל	vɡˈil
המשחק	ʔmʃχk
למעשה	lmʔʃʔ
החיים	ʔχˈijm
תקופה	tkvfʔ
כתוצאה	χtvtsʔʔ
כגון	χɡvn
אינה	ˈinʔ
אביב	ʔvˈiv
ק	kˈof
לרוב	lʁvv
הזמן	ʔzmn
איש	ˈiʃ
מונה	mvnʔ
עבר	ʔvʁ
שונה	ʃvnʔ
בארץ	vʔʁts
ועוד	vʔvd
כלי	χlˈi
החלו	ʔχlv
דולר	dvlʁ
קטן	ktn
מי	mˈi
ש	ʃ
אליו	ʔlˈiv
הצליח	hitslˈiaχ
תוכנית	tvχnˈit
גדולה	ɡdvlʔ
בגלל	vɡll
הראשונים	ʔʁʔʃvnˈim
מכיוון	mχˈiwn
קשה	kʃʔ
מותו	mvtv
התוכנית	ʔtvχnˈit
בלתי	vltˈi
פחות	paχˈot
לכן	lχn
הים	ˈim
ובכך	vvχχ
בהן	vʔn
שיחק	ʃjχk
והן	vʔn
פני	fnˈi
החדש	ʔχdʃ
בשלב	vʃlv
ס	sˈameχ
המפלגה	ʔmflɡʔ
הרבה	ʔʁvʔ
דה	dʔ
יהיה	jˈiʔ
ביניהם	vˈiniʔm
מטרים	mtʁˈim
כלומר	χlvmʁ
לעומת	lʔvmt
כפי	χfˈi
ערך	ʔʁχ
שנת	ʃnt
חבר	χvʁ
נוספות	nvsfvt
The	(͡e͡n)tˈiː ˈe͡ɪt͡ʃ ˈiː(͡h͡e)
יחסית	jχsˈit
והם	vʔm
סיים	sˈijm
בתחילת	vtχˈilt
בסדרה	vsdʁʔ
למשל	lmʃl
קבוצת	kvvtst
אינם	ˈinm
להגיע	lʔɡˈiʔ
שיש	ʃjʃ
הבית	ʔvˈit
א	ˈalefʔ
הקהילה	ʔkˈilʔ
המלך	ʔmlχ
ידוע	jdvʔ
מים	mˈajim
שימש	ʃjmʃ
חזר	χzʁ
הקרב	ʔkʁv
בפני	vfnˈi
עצמה	ʔtsmʔ
מדינות	mdˈinvt
חודשים	χvdʃjm
נבחר	nvχʁ
מצד	mtsd
ד	dˈalet
משום	mʃvm
לשם	lʃm
בתקופה	vtkvfʔ
מכל	mχl
והיה	vˈiʔ
זהב	zʔv
במשחק	vmʃχk
לצד	ltsd
לקבל	lkvl
מכך	mχχ
מידע	mˈidʔ
האם	ʔʔm
כסף	kˈesef
מחוץ	mχvts
במדליית	vmdlˈijt
במספר	vmsfʁ
כלפי	χlfˈi
מעבר	mʔvʁ
קשר	kʃʁ
נקרא	nkʁʔ
שהייתה	ʃˈijtʔ
יכולים	jχvlˈim
נחשב	nχʃv
בעבר	vʔvʁ
שכן	ʃχn
בעונה	vʔvnʔ
המדינות	ʔmdˈinvt
גבוהה	ɡvvʔʔ
משנת	mʃnt
כנגד	χŋd
העבודה	ʔʔvvdʔ
הזה	ʔzʔ
וכך	vχχ
כיוון	χˈiwn
באליפות	vʔlˈifvt
בנו	vnv
החדשה	ʔχdʃʔ
בעזרת	vʔzʁt
הארגון	ʔʔʁɡvn
במטרה	vmtʁʔ
קבוצות	kvvtsvt
תפקיד	tfkˈid
בתוצאה	vtvtsʔʔ
חדשים	χdʃjm
הגיעו	ʔɡˈiʔv
בהתאם	vʔtʔm
יהודי	jʔvdˈi
אחרת	ʔχʁt
החוק	ʔχvk
לראות	lʁʔvt
במקביל	vmkvˈil
האוויר	ʔʔwjʁ
דומה	dvmʔ
ארבעה	ˌaʁbaʔˈa
מלחמת	mlχmt
הגמר	ʔɡmʁ
ח	χˈet
חוק	χvk
האי	ʔˈi
לצורך	ltsvʁχ
לגבי	lɡvˈi
הראשי	ʔʁʔʃj
חיל	χˈil
לבסוף	lvsvf
קודם	kvdm
עבודה	ʔvvdʔ
הגדולה	ʔɡdvlʔ
המשיך	ʔmʃjχ
מבין	mvˈin
למצוא	lmtsvʔ
המים	ʔmˈim
הפכה	ʔfχʔ
למעלה	lmʔlʔ
בסופו	vsvfv
ליצור	lˈitsvʁ
משחק	mʃχk
הכנסת	ʔχnst
ממנה	mmnʔ
מרכז	mʁχz
המשפחה	hˌamiʃpaχˈa
ראשון	ʁʔʃvn
בסיס	vsˈis
גדולים	ɡdvlˈim
שירים	ʃjʁˈim
בניגוד	vnˈiɡvd
וב	vv
תהליך	tʔlˈiχ
מפני	mfnˈi
הופעות	ʔvfʔvt
שניות	ʃnˈivt
הכוחות	ʔχvχvt
נראה	nʁʔʔ
היהודית	ˈiʔvdit
חזרה	χzʁʔ
העליון	ʔʔlˈivn
נעשה	nʔʃʔ
יכולה	jˌeχolˈa
השלטון	ʔʃltvn
חדשה	χdʃʔ
מעט	mʔt
במאי	vmˈi
עליה	ʔlˈiʔ
נכון	naχˈon
מצב	mtsv
בתור	vtvʁ
אי	ˈi
בשנות	vʃnvt
לעשות	lʔʃvt
באוקטובר	vʔvktvvʁ
בנושא	vnvʃʔ
גבוה	ɡvvʔ
הטוב	ʔtvv
משחקים	mʃχkˈim
סיימה	sˈijmʔ
שעות	ʃʔvt
סביב	svˈiv
לקראת	lkʁʔt
אשתו	ʔʃtv
המקום	ʔmkvm
טוב	tˈov
במדינה	vmdˈinʔ
ביום	vˈivm
הדבר	ʔdvʁ
אני	anˈi
הבריטי	ʔvʁˈiti
פעילות	fˈilvt
הכוח	ʔχvχ
ארגון	ʔʁɡvn
במקרה	vmkʁʔ
השלישית	ʔʃlˈiʃjt
חייו	χˈijv
ג	ɡˈimel
סוף	svf
במרץ	vmʁts
בשני	vʃnˈi
בראש	vʁʔʃ
תל	tl
of	(͡e͡n)ˈə͡ʊ ˈɛf(͡h͡e)
אמר	ʔmʁ
ירושלים	jʁvʃlˈim
למנוע	lmnvʔ
קיים	kˈijm
חברות	χvʁvt
עונה	ʔvnʔ
אירופה	ˈiʁvfʔ
לבצע	lvtsʔ
להשתמש	lʔʃtmʃ
זכו	zχv
מסוים	msvjm
הופיע	ʔvfˈiʔ
לב	lv
מאשר	mʔʃʁ
ואילו	vˈilv
בשנה	vʃnʔ
חיילים	χˈijlim
בספטמבר	vsftmvʁ
שטח	ʃtχ
ארבע	aʁbˈa
רבי	ʁvˈi
התנועה	ʔtnvʔʔ
בעלת	vʔlt
הללו	ʔllv
במרכז	vmʁχz
צבא	tsvʔ
היהודי	ˈiʔvdi
עלה	ʔlʔ
בנובמבר	vnvvmvʁ
אזור	ʔzvʁ
המבנה	ʔmvnʔ
למשחק	lmʃχk
ישנם	jʃnm
האזור	ʔʔzvʁ
הדין	ʔdˈin
מבנה	mvnʔ
השימוש	ʔʃjmvʃ
לעבוד	lˌaavˈod
היחידה	ˈiχidʔ
ם	mˈem
עת	ʔt
ביוני	vˈivni
השונים	ʔʃvnˈim
ספרים	sfʁˈim
באפריל	vʔfʁˈil
חשוב	χʃvv
קרובות	kʁvvvt
לאחד	lʔχd
שערים	ʃʔʁˈim
בעלות	vʔlvt
ביחד	vˈiχd
בדצמבר	vdtsmvʁ
הנראה	ʔnʁʔʔ
בתחרות	vtχʁvt
להצלחה	lʔtslχʔ
הלאומית	ʔlʔvmˈit
באוגוסט	vʔvɡvst
גרמניה	ɡʁmnˈiʔ
שבהם	ʃvʔm
הרביעי	ʔʁvˈii
מערכות	mʔʁχvt
המרכזי	ʔmʁχzˈi
בינואר	vˈinvʔʁ
ביולי	vˈivli
יורק	jvʁk
הגיעה	ʔɡˈiʔʔ
הטלוויזיה	ʔtlwjzˈiʔ
קרב	kʁv
הראשונות	ʔʁʔʃvnvt
קטנים	ktnˈim
שינוי	ʃjnvj
מאות	mʔvt
בירושלים	vˈiʁvʃlim
עצמם	ʔtsmm
ראשי	ʁʔʃj
החולים	ʔχvlˈim
העם	ʔʔm
היחיד	ˈiχid
עליהם	ʔlˈiʔm
מגיע	mɡˈiʔ
תמיד	tmˈid
בליגה	vlˈiɡʔ
השניים	ʔʃnˈijm
בספר	vsfʁ
האוכלוסייה	ʔʔvχlvsˈijʔ
כחלק	χχlk
לתפקיד	ltfkˈid
הכל	ʔχl
ממשלת	mmʃlt
הבכורה	ʔvχvʁʔ
בעונת	vʔvnt
צוות	tswt
מדליות	mdlˈivt
במהירות	vmˈiʁvt
לשעבר	lʃʔvʁ
צרפת	tsʁft
מבחינה	mvχˈinʔ
פרסם	fʁsm
ברית	vʁˈit
הלאומי	ʔlʔvmˈi
החליט	ʔχlˈit
השתתף	ʔʃttf
האחרונה	ʔʔχʁvnʔ
מרבית	mʁvˈit
המקורי	ʔmkvʁˈi
מסוימים	msvjmˈim
אליה	ʔlˈiʔ
קו	kv
הקמת	ʔkmt
שמה	ʃmʔ
משרד	mʃʁd
קבע	kvʔ
זכויות	zχvjvt
כשהוא	χʃʔvʔ
היתר	ˈitʁ
בסדרת	vsdʁt
אפשר	ʔfʃʁ
אחיו	ʔχˈiv
אלף	ʔlf
מתחת	mtχt
בתוכנית	vtvχnˈit
מאחר	mʔχʁ
מהווה	mʔwʔ
מיד	mˈid
סיום	sˈivm
שאין	ʃˈin
זהו	zʔv
מחקר	mχkʁ
סדרת	sdʁt
בתקופת	vtkvft
לחלוטין	lχlvtˈin
יכולת	jχvlt
לדוגמה	ldvɡmʔ
מקור	mkvʁ
אור	ʔvʁ
הצליחו	ʔtslˈiχv
הנשים	ʔnʃjm
צורך	tsvʁχ
מנסה	mnsʔ
הגוף	ʔɡvf
ושל	vʃl
הנשיא	ʔnʃjʔ
תושבי	tvʃvˈi
עבד	ʔvd
שאר	ʃʔʁ
הילדים	ˈildim
נפטר	nftʁ
המועדון	ʔmvʔdvn
שיר	ʃjʁ
צריך	tsʁˈiχ
היחסים	ˈiχsim
עולם	ʔvlm
ובו	vvv
הדרך	ʔdʁχ
לי	lˈi
תואר	tvʔʁ
טען	tʔn
בפעם	vfʔm
מגלה	mɡlʔ
ליד	lˈid
קיימת	kˈijmt
הגרמנים	ʔɡʁmnˈim
וכי	vχˈi
התקופה	ʔtkvfʔ
לעיר	lˈiʁ
משמש	mʃmʃ
לפחות	lfχvt
ההגנה	ʔʔɡnʔ
הציבור	ʔtsˈivvʁ
חמישה	χˌamiʃˈa
קבוצה	kvvtsʔ
תקופת	tkvft
בחלק	vχlk
קבוע	kvvʔ
חדשות	χdʃvt
משפחת	mʃfχt
בפועל	vfvʔl
לידי	lˈidi
במשחה	vmʃχʔ
החינוך	ʔχˈinvχ
לשחק	lʃχk
בזכות	vzχvt
אותן	ʔvtn
שיא	ʃjʔ
עמד	ʔmd
לצאת	ltsʔt
המוזיקה	ʔmvzˈikʔ
הליגה	ʔlˈiɡʔ
שלאחר	ʃlʔχʁ
המועצות	ʔmvʔtsvt
בסך	vsχ
אלבום	ʔlvvm
בפרס	vfʁs
בפברואר	vfvʁvʔʁ
באירופה	vˈiʁvfʔ
ביקורת	vˈikvʁt
חצי	χtsˈi
בשתי	vʃtˈi
למען	lmʔn
האחרונות	ʔʔχʁvnvt
השירים	ʔʃjʁˈim
לשמור	lʃmvʁ
חופשי	χvfʃj
מת	mt
לחזור	lχzvʁ
חברה	χvʁʔ
קיימים	kˈijmim
הסינגל	ʔsˈiŋl
הצעיר	ʔtsˈiʁ
הקשר	ʔkʃʁ
למד	lmd
פעיל	fˈil
העיקרי	ʔˈikʁi
בקבוצה	vkvvtsʔ
ורק	vʁk
י	jˈod
דוד	dvd
ביחס	vˈiχs
מסוג	msvɡ
מעולם	mʔvlm
מדובר	mdvvʁ
גוף	ɡvf
חוסר	χvsʁ
דין	dˈin
שמונה	ʃmvnʔ
בבחירות	vvχˈiʁvt
חי	χˈi
ללמוד	lilmˈod
שכל	ʃχl
קיבלה	kˈivlʔ
במצב	vmtsv
מטעם	mtʔm
משפחתו	mʃfχtv
כמות	χmvt
לארץ	lʔʁts
לשנת	lʃnt
הבחירות	ʔvχˈiʁvt
שנתיים	ʃntˈijm
משמעותי	mʃmʔvtˈi
עברה	ʔvʁʔ
להמשיך	lʔmʃjχ
קטנה	ktnʔ
מלחמה	mlχmʔ
עשרה	ˌasaʁˈa
לישראל	lˈiʃʁʔl
העת	ʔʔt
שניתן	ʃnˈitn
שר	ʃʁ
עונת	ʔvnt
הגרמני	ʔɡʁmnˈi
מסוימת	msvjmt
לעבור	lʔvvʁ
הוקם	ʔvkm
השחקן	ʔʃχkn
ניסיון	nˈisivn
למשך	lmʃχ
מהן	mʔn
כדור	χdvʁ
גדולות	ɡdvlvt
התיכון	ʔtˈiχvn
לשיר	lʃjʁ
הכפר	ʔχfʁ
להשיג	lʔʃjɡ
יחידות	jχˈidvt
השטח	ʔʃtχ
שאינו	ʃˈinv
המערכת	ʔmʔʁχt
עולה	ʔvlʔ
כזה	χzʔ
מעמד	mʔmd
בדרום	vdʁvm
הוועדה	ʔwʔdʔ
ניו	nˈiv
עשרות	ʔʃʁvt
אפילו	ʔfˈilv
הוקמה	ʔvkmʔ
הקים	ʔkˈim
נכתב	nχtv
בתחילה	vtχˈilʔ
תושבים	tvʃvˈim
ובין	vvˈin
הפעולה	ʔfʔvlʔ
מופיע	mvfˈiʔ
בחברה	vχvʁʔ
המשטרה	ʔmʃtʁʔ
חברים	χvʁˈim
שער	ʃʔʁ
מרכזי	mʁχzˈi
הקרקע	ʔkʁkʔ
בפרק	vfʁk
גברים	ɡvʁˈim
מנהל	mnʔl
היישוב	ˈijʃvv
הישראלית	ˈiʃʁʔlit
מפקד	mfkd
חמש	χamˈeʃ
הישראלי	ˈiʃʁʔli
הגדולים	ʔɡdvlˈim
הכנסייה	ʔχnsˈijʔ
קרוב	kʁvv
יד	jd
פרס	fʁs
הבריטים	ʔvʁˈitim
האימפריה	ʔˈimfʁiʔ
המצב	ʔmtsv
עומד	ʔvmd
מיוחד	mˈivχd
תהיה	tˈiʔ
נושא	nvʃʔ
ברוב	vʁvv
לבן	lvn
במידה	vmˈidʔ
הקריירה	ʔkʁˈijʁʔ
לתוך	ltvχ
ניסה	nˈisʔ
רשמי	ʁʃmˈi
הוציא	ʔvtsˈiʔ
במערכת	vmʔʁχt
בדומה	vdvmʔ
גיל	ɡˈil
ארץ	eʁˈets
שאינם	ʃˈinm
המכונה	ʔmχvnʔ
המחקר	ʔmχkʁ
פתח	ftχ
חלקים	χlkˈim
עשר	ˈeseʁ
באתר	vʔtʁ
המועצה	ʔmvʔtsʔ
שבין	ʃvˈin
לשני	lʃnˈi
ניצח	nˈitsχ
הופיעה	ʔvfˈiʔʔ
לגרום	lɡʁvm
מלא	mlʔ
הפכו	ʔfχv
הבא	ʔvʔ
בצפון	vtsfvn
מזון	mzvn
השונות	ʔʃvnvt
יצאו	jtsʔv
נכנס	nχns
ימי	jmˈi
ואז	vʔz
לפעול	lfʔvl
במאה	vmʔʔ
כללי	χllˈi
the	(͡e͡n)tˈiː ˈe͡ɪt͡ʃ ˈiː(͡h͡e)
הנוער	ʔnvʔʁ
מדינה	mdˈinʔ
שבועות	ʃvvʔvt
כולם	χvlm
משמעותית	mʃmʔvtˈit
צה	tsʔ
לבנות	lvnvt
בניו	vnˈiv
משני	mʃnˈi
פנים	fnˈim
אפריקה	ʔfʁˈikʔ
המטוס	ʔmtvs
הזוג	ʔzvɡ
הצי	ʔtsˈi
בשטח	vʃtχ
מדינת	mdˈint
שב	ʃv
רשת	ʁʃt
הצליחה	ʔtslˈiχʔ
מלך	mlχ
הצבאי	ʔtsvˈi
שלום	ʃalˈom
הצטרף	ʔtstʁf
כיצד	kejtsˈad
פיתוח	fˈitvχ
השפעה	ʔʃfʔʔ
טיפול	tˈifvl
כעבור	χʔvvʁ
לתת	ltt
יחסים	jχsˈim
תוכניות	tvχnˈivt
העובדה	ʔʔvvdʔ
מבלי	mvlˈi
גרם	ɡʁm
הוביל	ʔvvˈil
הכללי	ʔχllˈi
יחסי	jχsˈi
שיחקה	ʃjχkʔ
גורם	ɡvʁm
הכולל	ʔχvll
סרט	seʁˈet
עותקים	ʔvtkˈim
נמוך	nmvχ
עברו	ʔvʁv
ייתכן	jjtχn
נהרגו	nʔʁɡv
רקע	ʁkʔ
בתואר	vtvʔʁ
הסכם	ʔsχm
הסיפור	ʔsˈifvʁ
להביא	lʔvˈiʔ
ראה	ʁʔʔ
בנות	vnvt
פרק	fʁk
אבן	ʔvn
טובה	tovˈa
הרכבת	ʔʁχvt
מדיניות	mdˈinivt
משה	mʃʔ
ועם	vʔm
האמריקאי	ʔʔmʁˈiki
ולעיתים	vlˈitim
במקרים	vmkʁˈim
העברית	ʔʔvʁˈit
יוסף	jvsf
נמצאים	nmtsˈim
ארוך	ʔʁvχ
רחב	ʁχv
לעולם	lʔvlm
איתו	ˈitv
אמו	ʔmv
אלפי	ʔlfˈi
המילה	ʔmˈilʔ
יתר	jtʁ
כה	χʔ
פעולות	fʔvlvt
משמעות	mʃmʔvt
צעיר	tsˈiʁ
המידע	ʔmˈidʔ
הביטחון	ʔvˈitχvn
שינויים	ʃjnvjjm
לטובת	ltvvt
עזב	ʔzv
אישה	ˈiʃʔ
נמצאת	nmtsʔt
בריטניה	vʁˈitniʔ
להקים	lʔkˈim
עובדים	ʔvvdˈim
מלבד	mlvd
קטנות	ktnvt
לכיוון	lχˈiwn
משנה	mʃnʔ
הגנה	ʔɡnʔ
הרכב	ʔʁχv
נשק	nʃk
ארד	ʔʁd
מוזיקה	mvzˈikʔ
משתמשים	mʃtmʃjm
ביטוי	vˈitvj
עשוי	ʔʃvj
אישי	ˈiʃj
יוצא	jvtsʔ
התרבות	ʔtʁvvt
ראו	ʁʔv
המרכז	ʔmʁχz
סוג	svɡ
שגם	ʃɡm
ברור	vʁvʁ
וכל	vχl
עץ	ʔts
צבאי	tsvˈi
גישה	ɡˈiʃʔ
כיהן	χˈiʔn
אביה	ʔvˈiʔ
באוניברסיטת	vʔvnˈivʁsitt
קילומטרים	kˈilvmtʁim
החלק	ʔχlk
לשמש	lʃmʃ
תפקידו	tfkˈidv
חשיבות	χʃjvvt
חוזר	χvzʁ
לאפשר	lʔfʃʁ
ידע	jdʔ
דרום	dʁvm
הזהב	ʔzʔv
התעופה	ʔtʔvfʔ
אורך	ʔvʁχ
אש	ˈeʃ
שיתוף	ʃjtvf
תנועת	tnvʔt
במצעד	vmtsʔd
החמישי	ʔχmˈiʃj
כבש	χvʃ
להפוך	lʔfvχ
צעירים	tsˈiʁim
חיי	χˈij
תרבות	tʁvvt
האחרים	ʔʔχʁˈim
רמת	ʁmt
בהיסטוריה	vˈistvʁiʔ
הפעם	ʔfʔm
גרסה	ɡʁsʔ
נבחרת	nvχʁt
שירות	ʃjʁvt
להתמודד	lʔtmvdd
משפט	mʃft
אמריקה	ʔmʁˈikʔ
הגבוה	ʔɡvvʔ
הבינלאומי	ʔvˈinlʔvmi
תחילה	tχˈilʔ
מזה	mzʔ
שבע	ʃevˈa
העיתון	ʔˈitvn
השחקנים	ʔʃχknˈim
המקומית	ʔmkvmˈit
בבתי	vvtˈi
לכתוב	liχtˈov
מין	mˈin
חולים	χvlˈim
לעבר	lʔvʁ
ההיסטוריה	ʔˈistvʁiʔ
להגן	lʔɡn
נאלץ	nʔlts
הרי	ʔʁˈi
יכולות	jχvlvt
מספיק	msfˈik
בעלה	vʔlʔ
נשאר	nʃʔʁ
המשחקים	ʔmʃχkˈim
כולו	χvlv
הנושא	ʔnvʃʔ
נשוי	nʃvj
דמות	dmvt
החוץ	ʔχvts
שישה	ʃiʃˈa
מקומות	mkvmvt
רוסיה	ʁvsˈiʔ
הצוות	ʔtswt
וזאת	vzʔt
האתר	ʔʔtʁ
ויש	vjʃ
ספרו	sfʁv
עיר	ˈiʁ
פרקים	fʁkˈim
שדה	ʃdʔ
שלושת	ʃlvʃt
מכונה	mχvnʔ
הצדדים	ʔtsddˈim
דמויות	dmvjvt
חודש	χvdʃ
הנהר	ʔnʔʁ
במקומות	vmkvmvt
בתל	vtl
אכן	ʔχn
סיפור	sˈifvʁ
השתתפה	ʔʃttfʔ
יהודה	jʔvdʔ
בנוגע	vnvɡʔ
לשימוש	lʃjmvʃ
רוצה	ʁotsˈe
מצליח	mˌatsliˈaχ
נקבע	nkvʔ
באזורים	vʔzvʁˈim
יעקב	jʔkv
בסיום	vsˈivm
הצורך	ʔtsvʁχ
משפחה	mˌiʃpaχˈa
קיבלו	kˈivlv
מחוז	mχvz
להעביר	lʔʔvˈiʁ
אמנות	ʔmnvt
שיצא	ʃjtsʔ
היטב	ˈitv
להורג	lʔvʁɡ
כוללת	χvllt
המשיכה	ʔmʃjχʔ
באורך	vʔvʁχ
לימודיו	lˈimvdiv
הקבוצות	ʔkvvtsvt
נוצר	nvtsʁ
די	dˈi
הביא	ʔvˈiʔ
תחילת	tχˈilt
באנגלית	bˌeʔanɡlˈit
הוחלט	ʔvχlt
עונות	ʔvnvt
אפשרות	ʔfʃʁvt
מגוון	mɡwn
נולדה	nvldʔ
רשמית	ʁʃmˈit
דמותו	dmvtv
אודות	ʔvdvt
באמצע	vʔmtsʔ
התואר	ʔtvʔʁ
וזכה	vzχʔ
התושבים	ʔtvʃvˈim
נותר	nvtʁ
בעיות	vˈivt
ליגה	lˈiɡʔ
השאר	ʔʃʔʁ
יצאה	jtsʔʔ
לנשים	lnʃjm
נשיא	nʃjʔ
גורמים	ɡvʁmˈim
הקיסר	ʔkˈisʁ
שעל	ʃʔl
סרטים	sʁtˈim
להופיע	lʔvfˈiʔ
גדל	ɡdl
הדמות	ʔdmvt
הצרפתי	ʔtsʁftˈi
בשימוש	vʃjmvʃ
חומר	χvmʁ
שמות	ʃmvt
מתחיל	mtχˈil
חוקי	χvkˈi
