да	dˈɑ
қоғамдық	qoʀˈɑmdəq
қызмет	qəzmet
шықты	ʃəqtə
бастап	bɑstˈɑp
неге	neɡˈe
дұрыс	dˈʊɾəs
адамның	ɑdˈɑmnəŋ
шығып	ʃəʀəp
Олардың	oɫˈɑɾdəŋ
әрі	æɾˈɪ
жүр	ʒˈuɾ
қылмыстық	qəɫməstəq
бері	beɾˈɪ
ақша	ɑqʃˈɑ
біз	bˈɪz
жас	ʒˈɑs
барып	bˈɑɾəp
уақыт	wˈɑqət
қаржы	qˈɑɾʒə
жайлы	ʒˈɑjɫə
сайын	sˈɑjən
бірге	bɪɾɡˈe
енді	endˈɪ
бойы	bˈojə
одан	odˈɑn
алғашқы	ɑɫʀˈɑʃqə
Астана	ɑstɑnˈɑ
бес	bˈes
өзге	ɵzɡˈe
сайлау	sɑjɫˈɑw
төрағасы	tɵɾɑʀˈɑsə
ала	ɑɫˈɑ
халықтың	xˈɑɫəqtəŋ
түскен	tuskˈen
әскери	æskˈeɾəj
жылғы	ʒəɫʀə
дейдi	dˈejd(͡e͡n)ˈa͡ɪ(͡k͡k)
қорғау	qoɾʀˈɑw
айында	ˈɑjəndɑ
екенiн	ekˈen(͡e͡n)ˈa͡ɪ(͡k͡k)nə
билік	bəjlɪk
баспасөз	bɑspɑsˈɵz
мәселе	mæselˈe
Орталық	oɾtˈɑɫəq
тиіс	təjɪs
өзінің	ɵzɪnˈɪŋ
мүмкiн	mˈumk(͡e͡n)ˈa͡ɪ(͡k͡k)nə
саны	sˈɑnə
аз	ˈɑz
әр	ˈæɾ
бала	bɑɫˈɑ
экономикалық	ekonˈoməjkɑɫəq
әлем	ælˈem
беру	bˈeɾw
дәл	dˈæɫ
су	sw
жасап	ʒɑsˈɑp
істер	ɪstˈeɾ
әлеуметтік	ælewmettˈɪk
салып	sˈɑɫəp
аса	ɑsˈɑ
ешқандай	eʃqɑndˈɑj
бұған	bʊʀˈɑn
біздің	bɪzdˈɪŋ
ендi	ˈend(͡e͡n)ˈa͡ɪ(͡k͡k)
құқық	qˈʊqəq
Қытай	qətɑj
бастады	bɑstˈɑdə
бола	boɫˈɑ
қаласында	qɑɫˈɑsəndɑ
жағдайда	ʒɑʀdɑjdˈɑ
қатты	qˈɑttə
Қазір	qɑzˈɪɾ
полиция	pˈoɫəjtsəjja
тұратын	tʊɾˈɑtən
орыс	ˈoɾəs
қазақстандық	qɑzɑqstˈɑndəq
бiздiң	bə(͡e͡n)ˈa͡ɪ(͡k͡k)zədə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
қарап	qɑɾˈɑp
Бұған	bʊʀˈɑn
арасындағы	ɑɾˈɑsəndɑʀə
берді	beɾdˈɪ
пе	pˈe
төрт	tˈɵɾt
жергілікті	ʒeɾɡɪlɪktˈɪ
үй	ˈuj
келіп	kelˈɪp
арналған	ɑɾnɑɫʀˈɑn
шығар	ʃəʀɑɾ
елдің	eɫdˈɪŋ
былай	bəɫɑj
облысы	ˈobɫəsə
бiз	bə(͡e͡n)ˈa͡ɪ(͡k͡k)zə
Сонымен	sˈonəmen
басты	bˈɑstə
қала	qɑɫˈɑ
орынбасары	ˈoɾənbɑsɑɾə
жолы	ʒˈoɫə
қойған	qojʀˈɑn
қатар	qɑtˈɑɾ
доллар	doɫɫˈɑɾ
ауыр	ˈɑwəɾ
уақытта	wˈɑqəttɑ
толық	tˈoɫəq
он	ˈon
онда	ondˈɑ
қаза	qɑzˈɑ
мұнай	mʊnˈɑj
сотқа	sotqˈɑ
болар	boɫˈɑɾ
жасаған	ʒɑsɑʀˈɑn
іс	ˈɪs
Оған	oʀˈɑn
қазіргі	qɑzɪɾɡˈɪ
нақты	nˈɑqtə
облыстық	ˈobɫəstəq
бара	bɑɾˈɑ
жылдары	ʒəɫdɑɾə
оларды	oɫˈɑɾdə
пайда	pɑjdˈɑ
Қазақстанға	qɑzɑqstɑnʀˈɑ
Біз	bˈɪz
отырып	ˈotəɾəp
туған	twʀˈɑn
Еуропа	ewɾopˈɑ
еткен	etkˈen
көз	kˈɵz
Мәселен	mæselˈen
топ	tˈop
атап	ɑtˈɑp
айта	ɑjtˈɑ
Азия	ˈɑzəjja
Алматыда	ɑɫmˈɑtədɑ
Ресейдің	ɾesejdˈɪŋ
наразылық	nɑɾˈɑzəɫəq
Назарбаевтың	nɑzɑɾbɑˈevtəŋ
тұрып	tˈʊɾəp
қиын	qəjən
өкілдері	ɵkɪɫdeɾˈɪ
ішкі	ɪʃkˈɪ
өкілі	ɵkɪlˈɪ
күнге	kunɡˈe
Бiр	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
алмайды	ɑɫmˈɑjdə
ай	ˈɑj
маған	mɑʀˈɑn
Украина	wkɾˈɑəjnɑ
жөніндегі	ʒɵnɪndeɡˈɪ
еңбек	eŋbˈek
жастағы	ʒɑstˈɑʀə
дедi	dˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
оқу	ˈoqw
екінші	ekɪnʃˈɪ
Сонда	sondˈɑ
әлi	ˈæɫ(͡e͡n)ˈa͡ɪ(͡k͡k)
кейбір	kejbˈɪɾ
қазақтың	qɑzˈɑqtəŋ
Ұлттық	ˈʊɫttəq
көрген	kɵɾɡˈen
iшiнде	(͡e͡n)ˈa͡ɪ(͡k͡k)ʃə(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
жасалған	ʒɑsɑɫʀˈɑn
Оны	ˈonə
Владимир	vɫˈɑdəjməjɾ
ауыл	ˈɑwəɫ
бірінші	bɪɾɪnʃˈɪ
келедi	kelˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
мәлімдеді	mælɪmdedˈɪ
кетті	kettˈɪ
анық	ˈɑnəq
діни	dˈɪnəj
қалалық	qɑɫˈɑɫəq
бастаған	bɑstɑʀˈɑn
белгілі	beɫɡɪlˈɪ
елде	eɫdˈe
басып	bˈɑsəp
қана	qɑnˈɑ
ұстап	ʊstˈɑp
қауіпсіздік	qɑwɪpsɪzdˈɪk
алуға	ɑɫwʀˈɑ
жазылған	ʒˈɑzəɫʀɑn
жуық	ʒwəq
директоры	dəjɾektoɾə
сыртқы	səɾtqə
келiп	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)pə
етіп	etˈɪp
жағынан	ʒˈɑʀənɑn
Мұхтар	mʊxtˈɑɾ
болмаса	boɫmɑsˈɑ
көптеген	kɵpteɡˈen
тіпті	tɪptˈɪ
қара	qɑɾˈɑ
адамдардың	ɑdɑmdˈɑɾdəŋ
жалпы	ʒˈɑɫpə
астам	ɑstˈɑm
барлығы	bˈɑɾɫəʀə
жетекшісі	ʒetekʃɪsˈɪ
дауыс	dˈɑwəs
тұрады	tʊɾˈɑdə
атты	ˈɑttə
бiрi	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)
болмайды	boɫmˈɑjdə
әйел	æjˈeɫ
Өйткені	ɵjtkenˈɪ
орнына	ˈoɾnənɑ
ба	bˈɑ
қазiр	qˈɑz(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
яғни	jˈaʀnəj
бәрі	bæɾˈɪ
Содан	sodˈɑn
билiк	bəjɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
көмек	kɵmˈek
азаматтық	ɑzɑmˈɑttəq
сәйкес	sæjkˈes
Мұндай	mʊndˈɑj
тергеу	teɾɡˈew
басында	bˈɑsəndɑ
Өйткенi	ɵjtkˈen(͡e͡n)ˈa͡ɪ(͡k͡k)
жерге	ʒeɾɡˈe
орын	ˈoɾən
еш	ˈeʃ
миллиард	məjɫɫəjɑɾd
қаласының	qɑɫˈɑsənəŋ
хабарлады	xɑbɑɾɫˈɑdə
балалар	bɑɫɑɫˈɑɾ
Ендi	ˈend(͡e͡n)ˈa͡ɪ(͡k͡k)
жатқанын	ʒɑtqˈɑnən
жұрт	ʒˈʊɾt
бе	bˈe
Жаңаөзен	ʒɑŋɑɵzˈen
қай	qˈɑj
Яғни	jˈaʀnəj
заңсыз	zˈɑŋsəz
кеттi	kˈett(͡e͡n)ˈa͡ɪ(͡k͡k)
оқиға	ˈoqəjʀɑ
тартып	tˈɑɾtəp
жақын	ʒˈɑqən
маңызды	mˈɑŋəzdə
елге	eɫɡˈe
мемлекеттiк	memlekˈett(͡e͡n)ˈa͡ɪ(͡k͡k)kə
кезiнде	kˈez(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
биыл	bəjəɫ
өтті	ɵttˈɪ
берi	bˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
Әрине	ˈæɾəjne
тыйым	təjəm
жастар	ʒɑstˈɑɾ
келді	keɫdˈɪ
оларға	oɫɑɾʀˈɑ
түрлі	tuɾlˈɪ
ие	əje
мектеп	mektˈep
партиясының	pˈɑɾtəjjasənəŋ
қоса	qosˈɑ
жазған	ʒɑzʀˈɑn
Енді	endˈɪ
жақта	ʒɑqtˈɑ
Бiз	bə(͡e͡n)ˈa͡ɪ(͡k͡k)zə
басым	bˈɑsəm
ретiнде	ɾˈet(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈe
беріп	beɾˈɪp
ұлы	ˈʊɫə
барады	bɑɾˈɑdə
заңды	zˈɑŋdə
белгiлi	bˈeɫɡ(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə(͡e͡n)ˈa͡ɪ(͡k͡k)
пайызы	pˈɑjəzə
сағат	sɑʀˈɑt
жөн	ʒˈɵn
кiм	kə(͡e͡n)ˈa͡ɪ(͡k͡k)mə
әсер	æsˈeɾ
еске	eskˈe
Дегенмен	deɡenmˈen
ерекше	eɾekʃˈe
қатысы	qˈɑtəsə
аудандық	ɑwdˈɑndəq
рұқсат	ɾʊqsˈɑt
барысында	bˈɑɾəsəndɑ
береді	beɾedˈɪ
өзiнiң	ˈɵz(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
жалғыз	ʒˈɑɫʀəz
жүзеге	ʒuzeɡˈe
жазып	ʒˈɑzəp
Батыс	bˈɑtəs
жазады	ʒɑzˈɑdə
Астанада	ɑstɑnɑdˈɑ
тиiс	təj(͡e͡n)ˈa͡ɪ(͡k͡k)sə
Өзбекстан	ɵzbekstˈɑn
етiп	ˈet(͡e͡n)ˈa͡ɪ(͡k͡k)pə
болғанын	boɫʀˈɑnən
қанша	qɑnʃˈɑ
қалып	qˈɑɫəp
Онда	ondˈɑ
қолдау	qoɫdˈɑw
қоғам	qoʀˈɑm
шығарып	ʃəʀɑɾəp
облысының	ˈobɫəsənəŋ
әрi	ˈæɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
қойды	qˈojdə
білім	bɪlˈɪm
бәрi	bˈæɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
бөлек	bɵlˈek
мұны	mˈʊnə
беруге	beɾwɡˈe
қарамастан	qɑɾɑmɑstˈɑn
партия	pˈɑɾtəjja
тауып	tˈɑwəp
тілшісіне	tɪɫʃɪsɪnˈe
Алматыдағы	ɑɫmˈɑtədɑʀə
адамды	ɑdˈɑmdə
бұдан	bʊdˈɑn
Бұдан	bʊdˈɑn
министрі	məjnəjstɾɪ
өтіп	ɵtˈɪp
қой	qˈoj
Мысалы	məsɑɫə
Өткен	ɵtkˈen
Одан	odˈɑn
тапқан	tɑpqˈɑn
тілшісі	tɪɫʃɪsˈɪ
болғаны	boɫʀˈɑnə
өмір	ɵmˈɪɾ
бердi	bˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
үкімет	ukɪmˈet
Бір	bˈɪɾ
бiрнеше	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾneʃˈe
менің	menˈɪŋ
оқып	ˈoqəp
мына	mənɑ
атындағы	ˈɑtəndɑʀə
хат	xˈɑt
Және	ʒænˈe
алдымен	ˈɑɫdəmen
па	pˈɑ
қаласы	qɑɫˈɑsə
салынған	sˈɑɫənʀɑn
ҚазАқпарат	qˈɑz ɑqpɑɾˈɑt
кез	kˈez
алты	ˈɑɫtə
қайда	qɑjdˈɑ
тарапынан	tɑɾˈɑpənɑn
журналист	ʒwɾnˈɑɫəjst
қойып	qˈojəp
орналасқан	oɾnɑɫɑsqˈɑn
санайды	sɑnˈɑjdə
іске	ɪskˈe
барған	bɑɾʀˈɑn
менiң	mˈen(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
соты	sˈotə
елдiң	ˈeɫd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
ұзақ	ʊzˈɑq
аталған	ɑtɑɫʀˈɑn
бере	beɾˈe
әбден	æbdˈen
бiрге	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾɡˈe
қатысқан	qˈɑtəsqɑn
қарапайым	qɑɾɑpˈɑjəm
ондай	ondˈɑj
Ең	ˈeŋ
пайызға	pˈɑjəzʀɑ
өзін	ɵzˈɪn
Иран	əjɾɑn
тұрғыны	tˈʊɾʀənə
жасады	ʒɑsˈɑdə
Президент	pɾˈezəjdent
бағасы	bɑʀˈɑsə
пікірінше	pɪkɪɾɪnʃˈe
жеткен	ʒetkˈen
баласы	bɑɫˈɑsə
талай	tɑɫˈɑj
мамыр	mˈɑməɾ
қаласындағы	qɑɫˈɑsəndɑʀə
Тек	tˈek
орта	oɾtˈɑ
себеп	sebˈep
шешім	ʃeʃˈɪm
жасау	ʒɑsˈɑw
Жалпы	ʒˈɑɫpə
Соңғы	sˈoŋʀə
ұлт	ˈʊɫt
жерден	ʒeɾdˈen
жылда	ʒəɫdɑ
келгенде	keɫɡendˈe
жұмысқа	ʒˈʊməsqɑ
парламент	pɑɾɫɑmˈent
компаниясының	kompˈɑnəjjasənəŋ
осылай	ˈosəɫɑj
адамға	ɑdɑmʀˈɑ
телефон	telefˈon
артық	ˈɑɾtəq
келдi	kˈeɫd(͡e͡n)ˈa͡ɪ(͡k͡k)
пайыз	pˈɑjəz
Путин	pwtəjn
ірі	ɪɾˈɪ
Ислам	əjsɫɑm
соның	sˈonəŋ
ұйымының	ˈʊjəmənəŋ
қолға	qoɫʀˈɑ
боп	bˈop
Ресейге	ɾesejɡˈe
күш	kˈuʃ
тұрғындары	tˈʊɾʀəndɑɾə
алтын	ˈɑɫtən
өзіне	ɵzɪnˈe
банк	bˈɑnk
елдегі	eɫdeɡˈɪ
мүлде	muɫdˈe
қалады	qɑɫˈɑdə
жаппай	ʒɑppˈɑj
салған	sɑɫʀˈɑn
негізгі	neɡɪzɡˈɪ
шағын	ʃˈɑʀən
егер	eɡˈeɾ
белсенді	beɫsendˈɪ
орталық	oɾtˈɑɫəq
тiптi	tə(͡e͡n)ˈa͡ɪ(͡k͡k)pətə(͡e͡n)ˈa͡ɪ(͡k͡k)
Мәскеу	mæskˈew
хатшысы	xˈɑtʃəsə
қазiргi	qˈɑz(͡e͡n)ˈa͡ɪ(͡k͡k)ɾəɡə(͡e͡n)ˈa͡ɪ(͡k͡k)
орай	oɾˈɑj
айып	ˈɑjəp
етті	ettˈɪ
отбасы	otbˈɑsə
қазан	qɑzˈɑn
Себебі	sebebˈɪ
қамтамасыз	qɑmtɑmˈɑsəz
Мұны	mˈʊnə
жүріп	ʒuɾˈɪp
облыс	ˈobɫəs
ҚР	qəɾə
мәрте	mæɾtˈe
жағдайы	ʒɑʀdˈɑjə
оппозициялық	oppˈozəjtsəjjaɫəq
азамат	ɑzɑmˈɑt
мүмкіндік	mumkɪndˈɪk
алға	ɑɫʀˈɑ
ештеңе	eʃteŋˈe
соғыс	sˈoʀəs
тәуелсіз	tæweɫsˈɪz
мәжбүр	mæʒbˈuɾ
жан	ʒˈɑn
халыққа	xˈɑɫəqqɑ
алдын	ˈɑɫdən
алмады	ɑɫmˈɑdə
жөнінде	ʒɵnɪndˈe
Қырғызстан	qəɾʀəzstɑn
газет	ɡɑzˈet
айтылған	ˈɑjtəɫʀɑn
Азаттыққа	ɑzˈɑttəqqɑ
салу	sˈɑɫw
Сот	sˈot
жарық	ʒˈɑɾəq
ешкім	eʃkˈɪm
тура	twɾˈɑ
өттi	ˈɵtt(͡e͡n)ˈa͡ɪ(͡k͡k)
айналып	ɑjnˈɑɫəp
өмiр	ˈɵm(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
билігі	bəjlɪɡɪ
пікір	pɪkˈɪɾ
қарсылық	qˈɑɾsəɫəq
басшылары	bˈɑsʃəɫɑɾə
тұрғын	tˈʊɾʀən
сай	sˈɑj
Қарағанды	qɑɾɑʀˈɑndə
аптада	ɑptɑdˈɑ
болсын	bˈoɫsən
екiншi	ˈek(͡e͡n)ˈa͡ɪ(͡k͡k)nəʃə(͡e͡n)ˈa͡ɪ(͡k͡k)
ақын	ˈɑqən
шығады	ʃəʀɑdə
партиясы	pˈɑɾtəjjasə
сұрап	sʊɾˈɑp
шыға	ʃəʀɑ
Рахат	ɾɑxˈɑt
маусым	mˈɑwsəm
қызметі	qəzmetɪ
жайында	ʒˈɑjəndɑ
оң	ˈoŋ
алдына	ˈɑɫdənɑ
тым	təm
Александр	ɑleksˈɑndɾ
жағдайды	ʒɑʀdˈɑjdə
әрекет	æɾekˈet
газ	ɡˈɑz
басына	bˈɑsənɑ
әлде	æɫdˈe
әйелдер	æjeɫdˈeɾ
халқы	xˈɑɫqə
сауда	sɑwdˈɑ
Өз	ˈɵz
ұйымы	ˈʊjəmə
көріп	kɵɾˈɪp
жоққа	ʒoqqˈɑ
сөзінше	sɵzɪnʃˈe
бiрiншi	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)nəʃə(͡e͡n)ˈa͡ɪ(͡k͡k)
Жаңа	ʒɑŋˈɑ
айтқанда	ɑjtqɑndˈɑ
үкіметі	ukɪmetˈɪ
соңында	sˈoŋəndɑ
салды	sˈɑɫdə
Қазiр	qˈɑz(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
сақтау	sɑqtˈɑw
Сергей	seɾɡˈej
алдағы	ɑɫdˈɑʀə
қызы	qəzə
ұйым	ˈʊjəm
сондықтан	sˈondəqtɑn
мұның	mˈʊnəŋ
қызметкерлері	qəzmetkeɾleɾɪ
Мұның	mˈʊnəŋ
азаматтар	ɑzɑmɑttˈɑɾ
көбі	kɵbˈɪ
ашып	ˈɑʃəp
оқ	ˈoq
тыс	təs
шығарды	ʃəʀɑɾdə
бiлiм	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫə(͡e͡n)ˈa͡ɪ(͡k͡k)mə
биліктің	bəjlɪktɪŋ
Мiне	mə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
спорт	spˈoɾt
тамыз	tˈɑməz
сұхбатында	sʊxbˈɑtəndɑ
Себебi	sebˈeb(͡e͡n)ˈa͡ɪ(͡k͡k)
кетіп	ketˈɪp
сонда	sondˈɑ
берiп	bˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)pə
жарияланған	ʒˈɑɾəjjaɫɑnʀɑn
компаниясы	kompˈɑnəjjasə
бізге	bɪzɡˈe
нәрсе	næɾsˈe
бүкіл	bukˈɪɫ
қыз	qəz
Осыдан	ˈosədɑn
тең	tˈeŋ
болғандықтан	boɫʀˈɑndəqtɑn
десе	desˈe
дайын	dˈɑjən
сотта	sottˈɑ
наурыз	nˈɑwɾəz
Ақтөбе	ɑqtɵbˈe
қайтыс	qˈɑjtəs
баға	bɑʀˈɑ
ету	ˈetw
ана	ɑnˈɑ
ортақ	oɾtˈɑq
басын	bˈɑsən
Ресейде	ɾesejdˈe
бiрақ	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈɑq
Тiптi	tə(͡e͡n)ˈa͡ɪ(͡k͡k)pətə(͡e͡n)ˈa͡ɪ(͡k͡k)
кім	kˈɪm
тарихи	tˈɑɾəjxəj
секiлдi	sˈek(͡e͡n)ˈa͡ɪ(͡k͡k)ɫədə(͡e͡n)ˈa͡ɪ(͡k͡k)
Оңтүстік	oŋtustˈɪk
бүгін	buɡˈɪn
әкімі	ækɪmˈɪ
iс	(͡e͡n)ˈa͡ɪ(͡k͡k)sə
қысым	qəsəm
биылғы	bəjəɫʀə
солай	soɫˈɑj
Бас	bˈɑs
отырмыз	ˈotəɾməz
ісі	ɪsˈɪ
арада	ɑɾɑdˈɑ
ресейлік	ɾesejlˈɪk
жүрiп	ʒˈuɾ(͡e͡n)ˈa͡ɪ(͡k͡k)pə
сайлауға	sɑjɫɑwʀˈɑ
арқасында	ɑɾqˈɑsəndɑ
белгісіз	beɫɡɪsˈɪz
назар	nɑzˈɑɾ
ядролық	jadɾˈoɫəq
Болат	boɫˈɑt
қорғаушы	qoɾʀˈɑwʃə
қатаң	qɑtˈɑŋ
көрiп	kˈɵɾ(͡e͡n)ˈa͡ɪ(͡k͡k)pə
өзбек	ɵzbˈek
ауданы	ɑwdˈɑnə
құқығы	qˈʊqəʀə
кеңес	keŋˈes
халықты	xˈɑɫəqtə
азаматтардың	ɑzɑmɑttˈɑɾdəŋ
Біздің	bɪzdˈɪŋ
болмаған	boɫmɑʀˈɑn
халқының	xˈɑɫqənəŋ
компания	kompˈɑnəjja
