ನಗರಗಳ	nˈɐɡɐɹˌɐɡɐɭɐ
ಅರಸರ	ˈɐɹɐsˌɐɹɐ
ಫಲ	pʰˈɐlɐ
ಬಡ	bˈɐɖɐ
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡k͡n)
ಕದನ	kˈɐdɐnɐ
ಘಟಕದ	ɡʰˈɐʈɐkˌɐdɐ
ಸಕಲ	sˈɐkɐlɐ
ಇತರರ	ˈitɐɹˌɐɹɐ
and	(͡e͡n)and(͡k͡n)
ಘಟಕಗಳ	ɡʰˈɐʈɐkˌɐɡɐɭɐ
WWE	(͡e͡n)dˌʌbə͡ljˌuːdˌʌbə͡ljˌuːˈiː(͡k͡n)
ಪದರ	pˈɐdɐɹɐ
ಭಯ	bʰˈɐjɐ
ತರಹ	tˈɐɹɐhɐ
B	bˈiː
ಬರಹ	bˈɐɹɐhɐ
ಊಟದ	ˈuːʈɐdɐ
DNA	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡k͡n)
ಮಠ	mˈɐʈʰɐ
ಓ	ˈoː
ಓಟದ	ˈoːʈɐdɐ
III	(͡e͡n)ɹˌə͡ʊmən θɹˈiː(͡k͡n)
ನವ	nˈɐvɐ
TV	(͡e͡n)tˌiːvˈiː(͡k͡n)
ಯವರ	jˈɐvɐɹɐ
ಉಪಕರಣಗಳ	ˈupɐkˌɐɹɐɳˌɐɡɐɭɐ
ಬಡತನ	bˈɐɖɐtˌɐnɐ
ಸಮ	sˈɐmɐ
ಉಪಕರಣ	ˈupɐkˌɐɹɐɳɐ
the	(͡e͡n)ðə(͡k͡n)
ಪರಮ	pˈɐɹɐmɐ
ಆಳ	ˈaːɭɐ
ಎರಡರ	ˈeɹɐɖˌɐɹɐ
ಧನ	dʰˈɐnɐ
ಬಲದ	bˈɐlɐdɐ
ಮಗನ	mˈɐɡɐnɐ
WWF	(͡e͡n)dˌʌbə͡ljˌuːdˌʌbə͡ljˌuːˈɛf(͡k͡n)
ದರದ	dˈɐɹɐdɐ
ಚಲನ	cˈɐlɐnɐ
V	vˈiː
ಕಡತ	kˈɐɖɐtɐ
x	ˈɛks
ಜಲಜನಕ	ɟˈɐlɐɟˌɐnɐkɐ
X	ˈɛks
ಫಲಕ	pʰˈɐlɐkɐ
ಕಣ	kˈɐɳɐ
ನರಗಳ	nˈɐɹɐɡˌɐɭɐ
RFID	(͡e͡n)ˈɑːfˈɪd(͡k͡n)
ಒ	ˈo
ನರ	nˈɐɹɐ
ಊರ	ˈuːɹɐ
The	(͡e͡n)ðə(͡k͡n)
ಪದರದ	pˈɐdɐɹˌɐdɐ
IV	(͡e͡n)ɹˌə͡ʊmən fˈɔː(͡k͡n)
FA	(͡e͡n)fˈɑː(͡k͡n)
BBC	(͡e͡n)bˌiːbˌiːsˈiː(͡k͡n)
H	ˈeːt͡ʃ
ಕಥನ	kˈɐtʰɐnɐ
ದಹನ	dˈɐhɐnɐ
p	pˈiː
ಉಭಯ	ˈubʰɐjɐ
ಸಮರದ	sˈɐmɐɹˌɐdɐ
ಆಳದ	ˈaːɭɐdɐ
ಮಗಳ	mˈɐɡɐɭɐ
ಶರಣ	ɕˈɐɹɐɳɐ
T	tʰˈiː
ಬಡತನದ	bˈɐɖɐtˌɐnɐdɐ
ಅರಸ	ˈɐɹɐsɐ
ಉಗಮ	ˈuɡɐmɐ
E	ˈiː
in	(͡e͡n)ˈɪn(͡k͡n)
ಕಣದ	kˈɐɳɐdɐ
ಮತಗಳ	mˈɐtɐɡˌɐɭɐ
ಗಣಕ	ɡˈɐɳɐkɐ
ISSN	(͡e͡n)ˈɪsən(͡k͡n)
ಉಪಕರಣದ	ˈupɐkˌɐɹɐɳˌɐdɐ
ಬರಹದ	bˈɐɹɐhˌɐdɐ
ಶತಕ	ɕˈɐtɐkɐ
UEFA	(͡e͡n)jˈuːfə(͡k͡n)
a	ˈeːj
ದಳದ	dˈɐɭɐdɐ
ಬಸವ	bˈɐsɐvɐ
ಲಯ	lˈɐjɐ
ಗಣದ	ɡˈɐɳɐdɐ
ಭವನ	bʰˈɐvɐnɐ
ಏ	ˈeː
ಔಷಧಗಳ	ˈa͡ʊʂɐdʰˌɐɡɐɭɐ
ಕವಚ	kˈɐvɐcɐ
BC	(͡e͡n)bˌiːsˈiː(͡k͡n)
BP	(͡e͡n)bˌiːpˈiː(͡k͡n)
PC	(͡e͡n)pˌiːsˈiː(͡k͡n)
S	ˈɛs
ತರದ	tˈɐɹɐdɐ
BMW	(͡e͡n)bˌiːˌɛmdˈʌbə͡ljˌuː(͡k͡n)
O	ˈoː
ಉಪನಗರ	ˈupɐnˌɐɡɐɹɐ
CEO	(͡e͡n)sˌiːˌiːˈə͡ʊ(͡k͡n)
D	dˈiː
USA	(͡e͡n)jˌuːˌɛsˈe͡ɪ(͡k͡n)
ಆಭರಣ	ˈaːbʰɐɹˌɐɳɐ
ದಡದ	dˈɐɖɐdɐ
ರಥ	ɹˈɐtʰɐ
ಓಟ	ˈoːʈɐ
ಚಮಚ	cˈɐmɐcɐ
ಪತನದ	pˈɐtɐnˌɐdɐ
ಪದರಗಳ	pˈɐdɐɹˌɐɡɐɭɐ
ಮನ	mˈɐnɐ
s	ˈɛs
ಕದನದ	kˈɐdɐnˌɐdɐ
ಜಠರ	ɟˈɐʈʰɐɹɐ
ಜನಕ	ɟˈɐnɐkɐ
ಆವರಣ	ˈaːvɐɹˌɐɳɐ
ಭರತ	bʰˈɐɹɐtɐ
CO	(͡e͡n)kˈə͡ʊ(͡k͡n)
MTV	(͡e͡n)ˌɛmtˌiːvˈiː(͡k͡n)
UKಯ	(͡e͡n)jˌuːkˈe͡ɪ(͡k͡n)jˈɐ
ಇವಳ	ˌivɐɭɐ
ಋಣ	ɹˈuɳɐ
ಜಠರದ	ɟˈɐʈʰɐɹˌɐdɐ
ಬಡವರ	bˈɐɖɐvˌɐɹɐ
ಮತದ	mˈɐtɐdɐ
ABC	(͡e͡n)ˌe͡ɪbˌiːsˈiː(͡k͡n)
St	(͡e͡n)sənt(͡k͡n)
WCW	(͡e͡n)dˌʌbə͡ljˌuːsˌiːdˈʌbə͡ljˌuː(͡k͡n)
ಆಕರ	ˈaːkɐɹɐ
Bluetooth	(͡e͡n)blˈuːtuːθ(͡k͡n)
ODI	(͡e͡n)ˈə͡ʊdi(͡k͡n)
ಜನನದ	ɟˈɐnɐnˌɐdɐ
ಡ	ɖˈɐ
ತಳ	tˈɐɭɐ
ದಳ	dˈɐɭɐ
ದಶಕ	dˈɐɕɐkɐ
ಪಥ	pˈɐtʰɐ
ವಲಯಗಳ	vˈɐlɐjˌɐɡɐɭɐ
AD	(͡e͡n)ˈad(͡k͡n)
OS	(͡e͡n)ˌə͡ʊˈɛs(͡k͡n)
VoIP	(͡e͡n)vˈə͡ʊ ˌa͡ɪpˈiː(͡k͡n)
n	ˈɛn
ಅಗಲದ	ˈɐɡɐlˌɐdɐ
ಉದಯ	ˈudɐjɐ
ಮಕರ	mˈɐkɐɹɐ
ಸಮತಲ	sˈɐmɐtˌɐlɐ
EU	(͡e͡n)ˌiːjˈuː(͡k͡n)
c	sˈiː
ಅವರವರ	ˈɐvɐɹˌɐvɐɹɐ
ಕಸ	kˈɐsɐ
ಗಣ	ɡˈɐɳɐ
ಜಲಜನಕದ	ɟˈɐlɐɟˌɐnɐkˌɐdɐ
ಳ	ɭˈɐ
ವರ	vˈɐɹɐ
AOL	(͡e͡n)ˌe͡ɪˌə͡ʊˈɛl(͡k͡n)
U	jˈuː
ಕಳವಳ	kˈɐɭɐvˌɐɭɐ
ಜಡ	ɟˈɐɖɐ
ಜನಗಳ	ɟˈɐnɐɡˌɐɭɐ
ನಟರ	nˈɐʈɐɹɐ
ಲವಣ	lˈɐvɐɳɐ
IP	(͡e͡n)ˌa͡ɪpˈiː(͡k͡n)
SAP	(͡e͡n)sˈap(͡k͡n)
UFO	(͡e͡n)jˌuːˌɛfˈə͡ʊ(͡k͡n)
km	(͡e͡n)kˌe͡ɪˈɛm(͡k͡n)
ಅರಸನ	ˈɐɹɐsˌɐnɐ
ಉ	ˈu
ಗಮಕ	ɡˈɐmɐkɐ
ನವರ	nˈɐvɐɹɐ
ಮಲ	mˈɐlɐ
DVD	(͡e͡n)dˌiːvˌiːdˈiː(͡k͡n)
L	ˈɛl
SMS	(͡e͡n)ˌɛsˌɛmˈɛs(͡k͡n)
ಆಟಗಳ	ˈaːʈɐɡˌɐɭɐ
ತಳದ	tˈɐɭɐdɐ
ಫಲಕದ	pʰˈɐlɐkˌɐdɐ
ARM	(͡e͡n)ˈɑːm(͡k͡n)
CIA	(͡e͡n)sˌiːˌa͡ɪˈe͡ɪ(͡k͡n)
ZIP	(͡e͡n)zˈɪp(͡k͡n)
BPA	(͡e͡n)bˌiːpˌiːˈe͡ɪ(͡k͡n)
M	ˈɛm
MIT	(͡e͡n)ˌɛmˌa͡ɪtˈiː(͡k͡n)
P	pˈiː
USನ	(͡e͡n)ˌʌs(͡k͡n)nˈɐ
m	ˈɛm
ನರದ	nˈɐɹɐdɐ
ಪಥದ	pˈɐtʰɐdɐ
ISS	(͡e͡n)ˈɪs(͡k͡n)
NBA	(͡e͡n)ˌɛnbˌiːˈe͡ɪ(͡k͡n)
ಎರಕ	ˈeɹɐkɐ
ಕಣಜ	kˈɐɳɐɟɐ
ಕಮಲ	kˈɐmɐlɐ
ಕಮಲದ	kˈɐmɐlˌɐdɐ
ಪಯಣ	pˈɐjɐɳɐ
ಬರ	bˈɐɹɐ
UN	(͡e͡n)jˌuːˈɛn(͡k͡n)
pH	pˈiː ˈeːt͡ʃ
ಅಸಹಜ	ˈɐsɐhˌɐɟɐ
ಉದರದ	ˈudɐɹˌɐdɐ
ಕವಚದ	kˈɐvɐcˌɐdɐ
ಬಸವನ	bˈɐsɐvˌɐnɐ
K	kˈeːj
ಆವರಣದ	ˈaːvɐɹˌɐɳɐdɐ
ಆಶಯ	ˈaːɕɐjɐ
ಆಸನ	ˈaːsɐnɐ
ದನಗಳ	dˈɐnɐɡˌɐɭɐ
ಪತನ	pˈɐtɐnɐ
Inc	(͡e͡n)ˈɪŋk(͡k͡n)
R	ˈaːr
b	bˈiː
ಗದಗ	ɡˈɐdɐɡɐ
AT	(͡e͡n)at(͡k͡n)
FM	(͡e͡n)ˌɛfˈɛm(͡k͡n)
IT	(͡e͡n)ˌa͡ɪtˈiː(͡k͡n)
RNA	(͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡k͡n)
Windows	(͡e͡n)wˈɪndə͡ʊz(͡k͡n)
ಆಗಮನ	ˈaːɡɐmˌɐnɐ
ದನ	dˈɐnɐ
ಫಲಕಗಳ	pʰˈɐlɐkˌɐɡɐɭɐ
ಬರಹಗಳ	bˈɐɹɐhˌɐɡɐɭɐ
ಸ	sˈɐ
F	ˈɛf
FIFA	(͡e͡n)fˈiːfə(͡k͡n)
IBM	(͡e͡n)ˌa͡ɪbˌiːˈɛm(͡k͡n)
N	ˈɛn
Nokia	(͡e͡n)nˈə͡ʊkiə(͡k͡n)
ಆದರ	ˈaːdɐɹɐ
ಊತ	ˈuːtɐ
ಊತಕ	ˈuːtɐkɐ
ಶಕ	ɕˈɐkɐ
ಶರಣರ	ɕˈɐɹɐɳˌɐɹɐ
ISO	(͡e͡n)ˈa͡ɪzə͡ʊ(͡k͡n)
mm	(͡e͡n)ˌɛmˈɛm(͡k͡n)
ಇರದ	ˈiɹɐdɐ
ಉಪನಗರದ	ˈupɐnˌɐɡɐɹˌɐdɐ
ಉಪಶಮನ	ˈupɐɕˌɐmɐnɐ
ರಜತ	ɹˈɐɟɐtɐ
GSM	(͡e͡n)d͡ʒˌiːˌɛsˈɛm(͡k͡n)
Z	zˈɛd
km²	(͡e͡n)skwˌe͡əkɪlˈɒmɪtəz(͡k͡n)
ಆಗಮ	ˈaːɡɐmɐ
ಗಣಕದ	ɡˈɐɳɐkˌɐdɐ
ಬರದ	bˈɐɹɐdɐ
VI	(͡e͡n)vˌiːˈa͡ɪ(͡k͡n)
ಅಮರ	ˈɐmɐɹɐ
ಅಸಮ	ˈɐsɐmɐ
ನಯ	nˈɐjɐ
ಮಗಧ	mˈɐɡɐdʰɐ
ಲ	lˈɐ
ವಚನಗಳ	vˈɐcɐnˌɐɡɐɭɐ
ಹವಳದ	hˈɐvɐɭˌɐdɐ
CD	(͡e͡n)sˌiːdˈiː(͡k͡n)
FAO	(͡e͡n)fˈa͡ʊ(͡k͡n)
GDP	(͡e͡n)d͡ʒˌiːdˌiːpˈiː(͡k͡n)
HP	(͡e͡n)ˌe͡ɪt͡ʃpˈiː(͡k͡n)
Mac	(͡e͡n)mˈak(͡k͡n)
XI	(͡e͡n)ɹˌə͡ʊmən ɪlˈɛvən(͡k͡n)
ಆಭರಣಗಳ	ˈaːbʰɐɹˌɐɳɐɡˌɐɭɐ
ಕವನಗಳ	kˈɐvɐnˌɐɡɐɭɐ
ಮಲಯ	mˈɐlɐjɐ
CE	(͡e͡n)sˈiː(͡k͡n)
Dr	(͡e͡n)dˈɒktə(͡k͡n)
G	d͡ʒˈiː
MBA	(͡e͡n)ˌɛmbˌiːˈe͡ɪ(͡k͡n)
PDF	(͡e͡n)pˌiːdˌiːˈɛf(͡k͡n)
UV	(͡e͡n)jˌuːvˈiː(͡k͡n)
ಉದರ	ˈudɐɹɐ
ಓಟಗಳ	ˈoːʈɐɡˌɐɭɐ
ಕಡತಗಳ	kˈɐɖɐtˌɐɡɐɭɐ
ಗಗನ	ɡˈɐɡɐnɐ
ಜನಪರ	ɟˈɐnɐpˌɐɹɐ
ಪ	pˈɐ
ಭವನದ	bʰˈɐvɐnˌɐdɐ
ರಥದ	ɹˈɐtʰɐdɐ
ಹದ	hˈɐdɐ
ಹಲವರ	hˈɐlɐvˌɐɹɐ
ಹವಳ	hˈɐvɐɭɐ
AC	(͡e͡n)ˌe͡ɪsˈiː(͡k͡n)
AM	(͡e͡n)am(͡k͡n)
ARDS	(͡e͡n)ˈɑːdz(͡k͡n)
BCE	(͡e͡n)bˌiːsˌiːˈiː(͡k͡n)
DOS	(͡e͡n)dˈɒs(͡k͡n)
ECW	(͡e͡n)ˈɛkwə(͡k͡n)
et	(͡e͡n)ˈɛt(͡k͡n)
ಏಕದಳ	ˈeːkɐdˌɐɭɐ
ತವರ	tˈɐvɐɹɐ
ದನದ	dˈɐnɐdɐ
ಶತಕದ	ɕˈɐtɐkˌɐdɐ
ಸಮತಲದ	sˈɐmɐtˌɐlɐdɐ
AI	(͡e͡n)ˌe͡ɪˈa͡ɪ(͡k͡n)
BAFTA	(͡e͡n)bˈaftə(͡k͡n)
DC	(͡e͡n)dˌiːsˈiː(͡k͡n)
J	d͡ʒˈeːj
PGA	(͡e͡n)pˌiːd͡ʒˌiːˈe͡ɪ(͡k͡n)
ಔಷಧದ	ˈa͡ʊʂɐdʰˌɐdɐ
ಕ	kˈɐ
ಕರ	kˈɐɹɐ
ಕಸದ	kˈɐsɐdɐ
ಜಲಚರ	ɟˈɐlɐcˌɐɹɐ
ನಟನ	nˈɐʈɐnɐ
ಬಳಗದ	bˈɐɭɐɡˌɐdɐ
ವನ	vˈɐnɐ
ವರನ	vˈɐɹɐnɐ
ಸರ	sˈɐɹɐ
BMI	(͡e͡n)bˌiːˌɛmˈa͡ɪ(͡k͡n)
Google	(͡e͡n)ɡˈuːɡə͡l(͡k͡n)
HPV	(͡e͡n)ˌe͡ɪt͡ʃpˌiːvˈiː(͡k͡n)
IIರ	(͡e͡n)ˈɪa͡ɪ(͡k͡n)ɹˈɐ
USB	(͡e͡n)jˌuːˌɛsbˈiː(͡k͡n)
i	ˈaːj
ಆಲದ	ˈaːlɐdɐ
ಉಗಮದ	ˈuɡɐmˌɐdɐ
ಏಕವಚನ	ˈeːkɐvˌɐcɐnɐ
ದಮನ	dˈɐmɐnɐ
ನಮನ	nˈɐmɐnɐ
ಪಚನ	pˈɐcɐnɐ
ಬಳಗ	bˈɐɭɐɡɐ
ರಸದ	ɹˈɐsɐdɐ
ಹಠ	hˈɐʈʰɐ
FDA	(͡e͡n)ˌɛfdˌiːˈe͡ɪ(͡k͡n)
HIV	(͡e͡n)ˌe͡ɪt͡ʃˌa͡ɪvˈiː(͡k͡n)
MHz	(͡e͡n)mˈɛɡəhˌɜːts(͡k͡n)
MW	(͡e͡n)ˌɛmdˈʌbə͡ljˌuː(͡k͡n)
Q	kjˈuː
Raw	(͡e͡n)ɹˈɔː(͡k͡n)
USD	(͡e͡n)jˌuːˌɛsdˈiː(͡k͡n)
Wikipedia	(͡e͡n)wˌɪkipˈiːdi͡ə(͡k͡n)
de	(͡e͡n)də(͡k͡n)
to	(͡e͡n)tuː(͡k͡n)
ಗಜ	ɡˈɐɟɐ
ಚರ	cˈɐɹɐ
ದಳಗಳ	dˈɐɭɐɡˌɐɭɐ
ಪವನ	pˈɐvɐnɐ
ಭಯದ	bʰˈɐjɐdɐ
ಯಶ	jˈɐɕɐ
ATP	(͡e͡n)ˈatp(͡k͡n)
COPD	(͡e͡n)kˈɒpd(͡k͡n)
CPU	(͡e͡n)sˌiːpˌiːjˈuː(͡k͡n)
From	(͡e͡n)fɹɒm(͡k͡n)
India	(͡e͡n)ˈɪndiə(͡k͡n)
PMID	(͡e͡n)pˈiːmˈɪd(͡k͡n)
SS	(͡e͡n)ˌɛsˈɛs(͡k͡n)
UNESCO	(͡e͡n)ʌnˈɛskə͡ʊ(͡k͡n)
for	(͡e͡n)fɔː(͡k͡n)
ಆಗದ	ˈaːɡɐdɐ
ಊ	ˈuː
ಕರಗ	kˈɐɹɐɡɐ
ಛಲ	cʰˈɐlɐ
ಜಗಳ	ɟˈɐɡɐɭɐ
ದರಗಳ	dˈɐɹɐɡˌɐɭɐ
ವ	vˈɐ
ಹಗರಣ	hˈɐɡɐɹˌɐɳɐ
FC	(͡e͡n)ˌɛfsˈiː(͡k͡n)
IMF	(͡e͡n)ˈɪmf(͡k͡n)
NASA	(͡e͡n)nˈasɐ(͡k͡n)
NET	(͡e͡n)nˈɛt(͡k͡n)
NSA	(͡e͡n)ˌɛnˌɛsˈe͡ɪ(͡k͡n)
UFC	(͡e͡n)ˈʌfk(͡k͡n)
VIII	(͡e͡n)ɹˌə͡ʊmən ˈe͡ɪt(͡k͡n)
World	(͡e͡n)wˈɜːld(͡k͡n)
k	kˈeːj
nm	(͡e͡n)ˌɛnˈɛm(͡k͡n)
ಅಚಲ	ˈɐcɐlɐ
ಆಗಮನದ	ˈaːɡɐmˌɐnɐdɐ
ಆವರ	ˈaːvɐɹɐ
ಒಳಪಡದ	ˈoɭɐpˌɐɖɐdɐ
ಕಫ	kˈɐpʰɐ
ಗ	ɡˈɐ
ಜ	ɟˈɐ
ಜನಪದರ	ɟˈɐnɐpˌɐdɐɹɐ
ಜಪ	ɟˈɐpɐ
ನಯನ	nˈɐjɐnɐ
ಬಣಗಳ	bˈɐɳɐɡˌɐɭɐ
ಬಲಗಳ	bˈɐlɐɡˌɐɭɐ
ಶಮನ	ɕˈɐmɐnɐ
ABN	(͡e͡n)ˈabən(͡k͡n)
GSLV	(͡e͡n)d͡ʒˌiːˌɛsˌɛlvˈiː(͡k͡n)
IAEA	(͡e͡n)a͡ɪˈi͡ə(͡k͡n)
ID	(͡e͡n)a͡ɪdˈiː(͡k͡n)
LCD	(͡e͡n)ˌɛlsˌiːdˈiː(͡k͡n)
MITಯ	(͡e͡n)mˈɪt(͡k͡n)jˈɐ
MP	(͡e͡n)ˌɛmpˈiː(͡k͡n)
NBC	(͡e͡n)ˌɛnbˌiːsˈiː(͡k͡n)
TEM	(͡e͡n)tˈɛm(͡k͡n)
WHO	(͡e͡n)hˈuː(͡k͡n)
on	(͡e͡n)ˈɒn(͡k͡n)
or	(͡e͡n)ɔː(͡k͡n)
β	(͡e͡l)vˈita(͡k͡n)
ಅಡಕ	ˈɐɖɐkɐ
ಕಲಶ	kˈɐlɐɕɐ
ಚರಕ	cˈɐɹɐkɐ
ಜಗದ	ɟˈɐɡɐdɐ
ಜಯದ	ɟˈɐjɐdɐ
ಪಠಣ	pˈɐʈʰɐɳɐ
ಮ	mˈɐ
ಮಗಧದ	mˈɐɡɐdʰˌɐdɐ
ಲವಣಗಳ	lˈɐvɐɳˌɐɡɐɭɐ
ಶಪಥ	ɕˈɐpɐtʰɐ
Iರ	ˈaːjɹˈɐ
LPG	(͡e͡n)ˌɛlpˌiːd͡ʒˈiː(͡k͡n)
MI	(͡e͡n)mˈa͡ɪ(͡k͡n)
Microsoft	(͡e͡n)mˈa͡ɪkɹəsˌɒft(͡k͡n)
National	(͡e͡n)nˈaʃənə͡l(͡k͡n)
QoS	(͡e͡n)kˈə͡ʊ(͡k͡n) ˈɛs
RCA	(͡e͡n)ˌɑːsˌiːˈe͡ɪ(͡k͡n)
al	(͡e͡n)ˈal(͡k͡n)
by	(͡e͡n)bˈa͡ɪ(͡k͡n)
free	(͡e͡n)fɹˈiː(͡k͡n)
v	vˈiː
ಅಗ	ˈɐɡɐ
ಅಭಯ	ˈɐbʰɐjɐ
ಉಪನಯನ	ˈupɐnˌɐjɐnɐ
ಕಡತದ	kˈɐɖɐtˌɐdɐ
ಕರಗತ	kˈɐɹɐɡˌɐtɐ
ಕವನದ	kˈɐvɐnˌɐdɐ
ಗತ	ɡˈɐtɐ
ತರ	tˈɐɹɐ
ದಶ	dˈɐɕɐ
ದಹನದ	dˈɐhɐnˌɐdɐ
ಮಠಗಳ	mˈɐʈʰɐɡˌɐɭɐ
ಮನದ	mˈɐnɐdɐ
ಶವ	ɕˈɐvɐ
ADಯ	(͡e͡n)ˈad(͡k͡n)jˈɐ
CBI	(͡e͡n)sˌiːbˌiːˈa͡ɪ(͡k͡n)
CNN	(͡e͡n)sˌiːˌɛnˈɛn(͡k͡n)
CT	(͡e͡n)sˌiːtˈiː(͡k͡n)
Disney	(͡e͡n)dˈɪzni(͡k͡n)
EPA	(͡e͡n)ˈɛpə(͡k͡n)
FBI	(͡e͡n)ˌɛfbˌiːˈa͡ɪ(͡k͡n)
GPS	(͡e͡n)d͡ʒˌiːpˌiːˈɛs(͡k͡n)
HRM	(͡e͡n)ˌe͡ɪt͡ʃˌɑːɹˈɛm(͡k͡n)
Hz	(͡e͡n)ˌe͡ɪt͡ʃzˈɛd(͡k͡n)
IPO	(͡e͡n)ˈa͡ɪpə͡ʊ(͡k͡n)
NCAA	(͡e͡n)ˈɛŋkˈɑː(͡k͡n)
NSG	(͡e͡n)ˌɛnˌɛsd͡ʒˈiː(͡k͡n)
No	(͡e͡n)nˈə͡ʊ(͡k͡n)
encyclopedia	(͡e͡n)ɛnsˌa͡ɪklə͡ʊpˈiːdi͡ə(͡k͡n)
kg	(͡e͡n)kˌe͡ɪd͡ʒˈiː(͡k͡n)
ಆಸನದ	ˈaːsɐnˌɐdɐ
ಕಡಪ	kˈɐɖɐpɐ
ಕನಕ	kˈɐnɐkɐ
ಚಟ	cˈɐʈɐ
ಜನಪದದ	ɟˈɐnɐpˌɐdɐdɐ
ಜನಮತ	ɟˈɐnɐmˌɐtɐ
ಪಣ	pˈɐɳɐ
ಫಲದ	pʰˈɐlɐdɐ
ಬಡವ	bˈɐɖɐvɐ
ಬಣ	bˈɐɳɐ
ರಭಸದ	ɹˈɐbʰɐsˌɐdɐ
ವರದ	vˈɐɹɐdɐ
ಹಗರಣದ	hˈɐɡɐɹˌɐɳɐdɐ
API	(͡e͡n)ˌe͡ɪpˌiːˈa͡ɪ(͡k͡n)
CDM	(͡e͡n)sˌiːdˌiːˈɛm(͡k͡n)
DNAಯ	(͡e͡n)dˌiːˌɛnˈe͡ɪ(͡k͡n)jˈɐ
EI	(͡e͡n)ˈa͡ɪ(͡k͡n)
El	(͡e͡n)ˌɛl(͡k͡n)
ICC	(͡e͡n)ˈa͡ɪk(͡k͡n)
